,atletas.posicao_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.foto,atletas.atleta_id,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.preco_num,atletas.slug,atletas.variacao_num,atletas.nome,CA,DS,FC,FS,SG,FD,FF,I,CV,A,FT,G,DE,DP,GS,PS,PC,V,PP,GC
10,1,6.49,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,42234,7,283,CRU,11,4.2,Cássio,True,Cássio,11,10.11,cassio,-0.48,Cássio Roberto Ramos,2.0,,,,5.0,,,,,,,,38.0,1.0,8.0,,,,,
11,6,5.99,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,42411,7,282,CAM,11,7.64,Cuca,True,Cuca,11,10.4,cuca,0.3,Alexi Stival,,,,,,,,,,,,,,,,,,4.0,,
12,2,6.67,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,42500,7,283,CRU,6,0.0,Fagner,False,Fagner,11,9.39,fagner,0.0,Fagner Conserva Lemos,1.0,14.0,9.0,4.0,4.0,,1.0,1.0,,,,,,,,,,,,
13,3,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,50317,6,2305,MIR,0,0.0,D. Braz,False,David Braz,11,5.0,david-braz,0.0,David Braz de Oliveira Filho,,,,,,,,,,,,,,,,,,,,
14,3,4.6,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,50353,6,356,FOR,3,0.0,Titi,False,Titi,11,6.28,titi,0.0,Christian Chagas Tarouco,,5.0,4.0,1.0,2.0,,,,1.0,,,,,,,,,,,
15,1,8.16,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,51413,6,2305,MIR,5,10.7,Walter,True,Walter,11,10.62,walter,0.75,Walter Leandro Capeloza Artune,1.0,,,1.0,2.0,,,,,,,,21.0,1.0,3.0,,,,,
16,4,3.43,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,51772,7,265,BAH,10,4.4,E. Ribeiro,True,Everton Ribeiro,11,7.75,everton-ribeiro,0.56,Everton Augusto de Barros Ribeiro,2.0,15.0,8.0,15.0,,3.0,,,1.0,,,1.0,,,,,,,,
17,4,2.75,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,52271,5,285,INT,6,0.0,Fernando,True,Fernando,11,5.95,fernando,-0.59,Fernando Francisco Reges,,8.0,2.0,3.0,,3.0,,,,,,,,,,,,,,
18,3,3.34,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,52827,6,356,FOR,5,0.0,D. Luiz,False,David Luiz,11,7.23,david-luiz,0.0,David Luiz Moreira Marinho,1.0,4.0,4.0,1.0,2.0,,3.0,,,,,,,,,,,,,
19,5,0.0,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,53865,6,2305,MIR,0,0.0,L. Gamalho,False,Léo Gamalho,11,4.0,leo-gamalho,0.0,Leonardo Gamalho de Souza,,,,,,,,,,,,,,,,,,,,
20,5,0.88,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,60793,6,267,VAS,6,1.2,A. Teixeira,True,Alex Teixeira,11,2.85,alex-teixeira,0.09,Alex Teixeira Santos,1.0,3.0,2.0,,,2.0,,,,,,,,,,,,,,
21,5,0.96,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,61188,6,286,JUV,8,0.0,Gilberto,True,Gilberto,11,3.43,gilberto,-0.14,Gilberto Oliveira Souza Júnior,2.0,,9.0,7.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,
