,atletas.atleta_id,atletas.jogos_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.slug,atletas.nome,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.rodada_id,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.foto,A,DS,FC,FF,FS,I,CA,FD,G,FT,SG,V,DE,DP,GS,PC,PS,CV,PP,GC
47,70696,12,True,6,fabio-carille,Fábio Luiz Carille de Araújo,4.95,287,8.3,2.2,19,7,-0.51,F. Carille,Fábio Carille,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,,,,,,,,,,,3.0,,,,,,,,
48,70788,12,False,5,enner-valencia,Enner Remberto Valencia Lastra,1.83,285,5.81,0.0,19,6,0.0,E. Valencia,Enner Valencia,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,2.0,13.0,5.0,11.0,3.0,2.0,4.0,1.0,1.0,,,,,,,,,,
49,70916,9,False,2,diogo-barbosa,Diogo Barbosa Mendanha,4.01,356,7.58,0.0,19,2,0.0,D. Barbosa,Diogo Barbosa,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,10.0,4.0,1.0,9.0,,1.0,,1.0,,2.0,,,,,,,,,
50,70944,14,True,4,bruno-henrique,Bruno Henrique Corsini,2.94,285,6.28,1.5,19,6,0.06,B. Henrique,Bruno Henrique,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,20.0,26.0,8.0,8.0,,,3.0,1.0,,,,,,,,,1.0,,
51,71123,2,False,4,thiago-mendes,Thiago Henrique Mendes Ribeiro,0.45,267,5.92,0.0,19,6,0.0,T. Mendes,Thiago Mendes,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,
52,71162,0,False,4,vina,Vinícius Goes Barbosa de Souza,0.0,354,6.0,0.0,19,6,0.0,Vina,Vina,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,,,,,,,,,
53,71536,1,False,4,luiz-gustavo,Luiz Gustavo Dias,9.6,276,10.73,0.0,19,5,0.0,L. Gustavo,Luiz Gustavo,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,4.0,4.0,1.0,2.0,,,,,1.0,,,,,,,,,,
54,71571,6,False,1,fernando-miguel,Fernando Miguel Kaufmann,6.18,354,7.02,0.0,19,6,0.0,F. Miguel,Fernando Miguel,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,6.0,,,,,,3.0,,17.0,,3.0,,,,,
55,71631,16,True,1,weverton,Weverton Pereira da Silva,4.16,275,7.91,1.6,19,7,-0.02,Weverton,Weverton,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,,,,6.0,,2.0,,,,6.0,,32.0,1.0,13.0,,,,,
56,71680,8,False,2,raul-caceres,Raúl Alejandro Cáceres Bogado,2.75,287,3.09,0.0,19,6,0.0,R. Cáceres,Raúl Cáceres,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.0,4.0,7.0,2.0,2.0,1.0,3.0,3.0,,,2.0,,,,,,,,,
