,atletas.foto,atletas.clube.id.full.name,atletas.variacao_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.nome,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.jogos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,CV,DP,PP,PC,GC
22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,-0.68,28,True,2.1,alan-patrick,A. Patrick,4,Alan Patrick Lourenço,Alan Patrick,68685,285,7,13.26,6.75,21,,,5.0,3.0,15.0,17.0,7.0,7.0,29.0,2.0,9.0,3.0,,,,,,1.0,,
23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,0.13,28,True,0.7,eduardo,Eduardo,4,Carlos Eduardo de Oliveira Alves,Eduardo,68708,283,6,3.38,1.38,21,,,,1.0,12.0,17.0,2.0,4.0,11.0,,1.0,1.0,1.0,,,1.0,,,,
24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,0.0,28,False,0.0,neto,Neto,1,Norberto Murara Neto,Neto,68806,263,5,7.25,2.03,3,7.0,3.0,,,,,,,,,,,,,,,,,,
25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,oscar,Oscar,4,Oscar dos Santos Emboaba Júnior,Oscar,68811,276,5,11.39,1.67,6,,,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,
26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,0.0,28,False,0.0,marcelo-lomba,M. Lomba,1,Marcelo Lomba do Nascimento,Marcelo Lomba,68872,275,6,7.63,3.2,1,4.0,2.0,,,,,,,,,,,,,,,,,,
27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,0.19,28,True,4.2,philippe-coutinho,P. Coutinho,4,Philippe Coutinho Correia,Philippe Coutinho,68899,267,7,10.15,5.02,20,,,3.0,1.0,8.0,13.0,15.0,16.0,29.0,1.0,4.0,1.0,1.0,,,1.0,,,,
28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.47,28,True,3.9,dudu,Dudu,5,Eduardo Pereira Rodrigues,Dudu,68920,282,2,8.27,2.27,10,,,,,4.0,6.0,,2.0,12.0,1.0,1.0,1.0,,,,,,,,
29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.27,28,True,4.5,rafael,Rafael,1,Rafael Pires Monteiro,Rafael,68928,276,7,9.87,4.93,25,83.0,27.0,,2.0,1.0,,,,6.0,,,,,8.0,,,,,,
30,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,0.0,28,False,0.0,marinho,Marinho,5,Mário Sérgio Santos Costa,Marinho,68952,356,6,6.22,2.95,15,,,2.0,2.0,10.0,24.0,5.0,11.0,20.0,,1.0,13.0,,,,1.0,,,,
31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,0.37,28,True,6.5,lucas-sasha,L. Sasha,4,Lucas Pacheco Affini,Lucas Sasha,68991,356,7,8.91,5.69,19,,,,2.0,66.0,33.0,3.0,3.0,16.0,,1.0,1.0,,,,,,,1.0,
