,atletas.clube.id.full.name,atletas.foto,atletas.media_num,atletas.nome,atletas.status_id,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,atletas.clube_id,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,PS,V,SG,FT,CV,DE,DP,GS,PP,PC,GC
179,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5.05,Luciano Federico Acosta,7,6,Lucho Acosta,lucho-acosta,2.9,8.95,27,89837,266,-1.26,True,L. Acosta,4,,2.0,8.0,8.0,2.0,,9.0,2.0,2.0,,,,,,,,,,,
180,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,-0.77,Jonathan Calleri,5,3,Calleri,calleri,0.0,5.78,27,89840,276,0.0,False,Calleri,5,,,1.0,2.0,1.0,2.0,2.0,,,,,,,1.0,,,,1.0,,
181,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.38,Franco Cristaldo,6,18,Cristaldo,cristaldo,0.0,5.95,27,89846,284,0.0,False,Cristaldo,4,2.0,1.0,12.0,4.0,3.0,3.0,22.0,,1.0,,,,,,,,,,,
182,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.97,Douglas Moreira Fagundes,7,21,Dodi,dodi,-1.3,3.8,27,89883,284,-0.39,True,Dodi,4,,5.0,27.0,25.0,,3.0,30.0,,,,,,,1.0,,,,,1.0,
183,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6.09,Bruno de Jesus Pacheco,7,7,Bruno Pacheco,bruno-pacheco,0.0,9.27,27,90061,356,0.0,False,B. Pacheco,2,1.0,2.0,10.0,7.0,,1.0,10.0,1.0,1.0,,,2.0,1.0,,,,,,,
184,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,2.45,Bruno Henrique Pinto,6,23,Bruno Henrique,bruno-henrique,2.4,5.79,27,90285,262,-0.17,True,B. Henrique,5,,4.0,13.0,33.0,11.0,12.0,26.0,2.0,10.0,,,,,,,,,,,
185,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1.56,Olávio Vieira dos Santos Júnior,6,11,Juninho,juninho,0.0,4.24,27,90307,262,0.0,False,Juninho,5,,,5.0,7.0,2.0,2.0,4.0,,2.0,,,,2.0,,,,,,,
186,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2.69,David Correa da Fonseca,6,13,David,david,1.1,5.67,27,90309,267,-0.02,True,David,5,3.0,1.0,6.0,7.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,,
187,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2.57,Matheus Pereira da Silva,3,12,Matheus Pereira,matheus-pereira,3.2,5.09,27,90370,356,0.04,True,M. Pereira,4,3.0,3.0,11.0,14.0,2.0,2.0,5.0,,,,,,,,,,,,,
188,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.95,Júlio César de Rezende Miranda,6,8,Rezende,rezende,0.7,2.64,27,90449,265,-0.14,True,Rezende,4,,,4.0,8.0,,,8.0,,,,,,,,,,,,,
189,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.14,Arthur Henrique Ramos de Oliveira Melo,7,5,Arthur Melo,arthur-melo,3.4,8.56,27,90532,284,-0.43,True,A. Melo,4,,1.0,9.0,8.0,1.0,,15.0,,1.0,,,,,1.0,,,,,,
190,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.32,Caique de Jesus Gonçalves,7,16,Caíque,caique,0.0,4.44,27,90588,286,0.0,False,Caíque,4,,6.0,26.0,29.0,,1.0,26.0,,,,,,,,,,,,1.0,
191,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,4.14,Francisco da Costa Aragão,7,12,Chico da Costa,chico-da-costa,0.0,7.3,27,90608,2305,-0.27,True,C. Costa,5,,1.0,2.0,8.0,1.0,6.0,9.0,5.0,5.0,,,,,,,,,,,
192,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.8,Matheus Martins Fogaça de Paulo,6,18,Matheuzinho,matheuzinho,0.0,9.46,27,90703,287,0.0,False,Matheuzinho,4,,3.0,18.0,11.0,10.0,4.0,40.0,2.0,2.0,,,,,1.0,,,,,,
193,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,4.6,Fabrício Bruno Soares de Faria,6,25,Fabrício Bruno,fabricio-bruno,0.0,8.79,27,90768,283,0.0,False,F. Bruno,3,,6.0,27.0,16.0,2.0,5.0,16.0,2.0,,,,11.0,,,,,,,,
194,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.5,Carlos Eduardo Ferreira de Souza,6,14,Carlos Eduardo,carlos-eduardo,6.5,4.77,27,90917,2305,0.96,True,C. Eduardo,5,3.0,1.0,6.0,10.0,4.0,3.0,16.0,,2.0,,,,,,,,,,,
195,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2.26,José Marcos Alves Luis,7,20,Zé Marcos,ze-marcos,-0.4,3.37,27,90943,287,-2.06,True,Z. Marcos,3,,5.0,10.0,17.0,,1.0,13.0,1.0,1.0,,,5.0,,,,,,,,
196,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5.48,Ronaldo de Oliveira Strada,7,15,Ronaldo,ronaldo,8.9,7.7,27,91101,265,0.53,True,Ronaldo,1,1.0,,,,,,3.0,,,,,5.0,,,43.0,2.0,18.0,,1.0,
197,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2.82,Fernando José Marques Maciel,6,9,Fernandinho,fernandinho,2.1,5.25,27,91130,354,0.12,True,Fernandinho,5,1.0,2.0,10.0,8.0,2.0,4.0,9.0,,3.0,,,,,,,,,,,
198,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.88,Kaio Fernando da Silva Pantaleão,5,9,Kaio,kaio,0.0,8.62,27,91158,263,0.0,False,Kaio,3,,,10.0,8.0,2.0,5.0,10.0,,1.0,,,4.0,,,,,,,,
199,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.8,Éder Ferreira Graminho,6,2,Éder,eder,0.0,2.82,27,91203,354,0.0,False,Éder,3,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
200,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,2.89,Erick Antonio Pulgar Farfán,6,9,Erick Pulgar,erick-pulgar,0.0,6.34,27,91473,262,0.0,False,E. Pulgar,4,,2.0,12.0,13.0,2.0,,7.0,1.0,,,,,,,,,,,,
201,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.78,Rodrigo Eduardo da Silva,6,7,Rodrigo Sam,rodrigo-sam,2.7,3.81,27,91509,286,0.39,True,R. Sam,3,,2.0,8.0,13.0,1.0,2.0,6.0,,4.0,1.0,,,,,,,,,,
202,SAO,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.62,Robert Abel Arboleda Escobar,7,16,Arboleda,arboleda,7.5,9.45,27,91573,276,0.87,True,Arboleda,3,,3.0,26.0,11.0,,6.0,7.0,3.0,2.0,,,5.0,,,,,,,,
203,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.15,Ronielson da Silva Barbosa,7,23,Rony,rony,2.8,9.73,27,91607,282,-1.16,True,Rony,5,1.0,3.0,19.0,38.0,17.0,12.0,40.0,3.0,16.0,1.0,,,1.0,,,,,,,
204,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,Carlos Eduardo de Souza Vieira,6,0,Dudu Vieira,dudu-vieira,0.0,3.0,27,91627,286,0.0,False,D. Vieira,4,,,,,,,,,,,,,,,,,,,,
205,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.73,Igor Aquino da Silva,6,17,Igor Cariús,igor-carius,0.9,7.58,27,91639,292,-0.71,True,I. Cariús,2,,1.0,32.0,19.0,5.0,4.0,19.0,,5.0,,,5.0,,,,,,,1.0,1.0
206,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.07,Marlon Rodrigues Xavier,3,20,Marlon,marlon,3.5,7.68,27,91706,284,-0.09,True,Marlon,2,2.0,5.0,45.0,17.0,2.0,2.0,22.0,,,,,4.0,,,,,,,1.0,
207,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3.1,David de Duarte Macedo,6,18,David Duarte,david-duarte,4.4,5.36,27,91772,265,0.63,True,D. Duarte,3,,3.0,8.0,14.0,2.0,6.0,8.0,,1.0,,,8.0,,,,,,,,
208,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3.52,Caíque França Godoy,6,12,Caíque França,caique-franca,0.0,6.53,27,91808,292,0.0,False,C. França,1,,2.0,2.0,,,,1.0,,,,,2.0,,,39.0,,20.0,,,
209,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.88,José Ivaldo Almeida Silva,6,14,Zé Ivaldo,ze-ivaldo,0.0,5.92,27,91866,277,0.0,False,Z. Ivaldo,3,,4.0,20.0,14.0,,11.0,10.0,1.0,3.0,,,3.0,,1.0,,,,,1.0,
210,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.62,Cristian David Pavón,7,16,Pavón,pavon,1.9,4.94,27,91908,284,-0.67,True,Pavón,5,2.0,4.0,14.0,8.0,5.0,9.0,9.0,,2.0,,,,,,,,,,,
211,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5.27,Ramón Ángel Díaz,7,7,Ramón Díaz,ramon-diaz,10.49,9.78,27,92075,285,1.13,True,R. Díaz,6,,,,,,,,,,,2.0,,,,,,,,,
212,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.72,Giovanny Bariani Marques,6,10,Giovanny,giovanny,0.0,3.2,27,92085,286,0.0,False,Giovanny,5,1.0,,3.0,4.0,,5.0,10.0,,1.0,,,,,,,,,,,
213,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.08,Lyanco Evangelista Silveira Neves Vojnovic,7,15,Lyanco,lyanco,0.0,8.87,27,92087,282,0.0,False,Lyanco,3,,5.0,32.0,25.0,3.0,6.0,19.0,,2.0,,,6.0,,2.0,,,,,1.0,
214,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5.49,Arthur Mendonça Cabral,7,11,Arthur Cabral,arthur-cabral,1.4,11.65,27,92171,263,-0.46,True,A. Cabral,5,1.0,,6.0,18.0,7.0,9.0,17.0,3.0,3.0,1.0,,,1.0,,,,,,,
215,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4.9,Jair Ventura,7,3,Jair Ventura,jair-ventura,4.67,10.11,27,92180,287,-0.47,True,J. Ventura,6,,,,,,,,,,,1.0,,,,,,,,,
216,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.84,José Carlos Ferreira Júnior,2,13,Juninho,juninho,8.5,5.34,27,92182,285,0.59,True,Juninho,3,,3.0,18.0,9.0,2.0,6.0,7.0,,,,,1.0,,,,,,,,
217,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.6,Rodrigo Ely,5,2,Rodrigo Ely,rodrigo-ely,0.0,4.75,27,92237,284,0.0,False,R. Ely,3,,,1.0,1.0,,,,,,,,,,,,,,,,
218,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.6,André Ramalho Silva,5,18,André Ramalho,andre-ramalho,0.0,6.21,27,92440,264,0.0,False,A. Ramalho,3,,4.0,23.0,19.0,1.0,7.0,8.0,,,,,6.0,,,,,,,1.0,
219,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4.62,Renato Kayzer de Souza,7,20,Renato Kayzer,renato-kayzer,2.1,8.89,27,92696,287,0.16,True,R. Kayzer,5,,2.0,8.0,29.0,6.0,11.0,35.0,7.0,14.0,,,,1.0,,,,,,,
220,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4.95,Daniel Pollo Barioni,7,14,Daniel Paulista,daniel-paulista,4.85,8.2,27,92702,292,-0.14,True,D. Paulista,6,,,,,,,,,,,2.0,,,,,,,,,
221,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.05,Deyverson Brum Silva,6,17,Deyverson,deyverson,0.0,5.88,27,92708,356,0.0,False,Deyverson,5,,1.0,6.0,12.0,4.0,13.0,21.0,2.0,3.0,,,,2.0,,,,,,,
222,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.6,Bruno Rafael Rodrigues do Nascimento,6,2,Bruno Rodrigues,bruno-rodrigues,0.0,5.19,27,92811,275,0.0,False,B. Rodrigues,5,,,,,1.0,,,,,,,,,,,,,,,
223,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,3.52,Rafael Santos Borré Maury,6,20,Borré,borre,3.2,9.85,27,92854,285,-0.18,True,Borré,5,1.0,2.0,15.0,29.0,5.0,13.0,12.0,4.0,5.0,,,,1.0,1.0,,,,,,
224,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1.88,Ronaldo da Silva Souza Guerrero,6,13,Ronaldo,ronaldo,1.5,3.7,27,92981,285,-0.06,True,Ronaldo,4,,3.0,21.0,20.0,2.0,2.0,2.0,,2.0,,,,,1.0,,,,,,
225,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.95,Rafael António Figueiredo Ramos,6,14,Rafael Ramos,rafael-ramos,0.0,6.06,27,93236,354,0.0,False,R. Ramos,2,,2.0,21.0,17.0,1.0,4.0,3.0,,,,,5.0,,,,,,,,
226,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.42,João Othávio Basso,6,6,João Basso,joao-basso,0.0,7.74,27,93372,277,0.0,False,J. Basso,3,,2.0,7.0,10.0,,,6.0,1.0,,,,2.0,,,,,,,,
227,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5.6,Aitor Cantalapiedra Fernández,7,8,Cantalapiedra,cantalapiedra,14.4,8.51,27,93411,287,2.4,True,Cantalapiedra,5,2.0,1.0,7.0,4.0,4.0,3.0,7.0,2.0,2.0,,,,,,,,,,,
228,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2.02,Wanderson Maciel Sousa Campos,5,24,Wanderson,wanderson,0.0,4.76,27,93478,283,0.0,False,Wanderson,5,2.0,2.0,10.0,25.0,9.0,16.0,14.0,,6.0,,,,1.0,,,,,,,
229,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,8.07,Paulo Henrique de Oliveira Alves,6,19,Paulo Henrique,paulo-henrique,8.7,13.36,27,93716,267,0.71,True,P. Henrique,2,5.0,7.0,63.0,41.0,6.0,4.0,18.0,1.0,1.0,,,4.0,2.0,,,,,,,
230,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.19,Marlon Rodrigues Freitas,7,22,Marlon Freitas,marlon-freitas,1.2,5.11,27,93790,263,-0.47,True,M. Freitas,4,3.0,4.0,19.0,22.0,4.0,9.0,7.0,,,,,,,,,,,,,
231,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,Keiller da Silva Nunes,6,0,Keiller,keiller,0.0,3.0,27,93834,354,0.0,False,Keiller,1,,,,,,,,,,,,,,,,,,,,
232,RBB,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.32,Cleiton Schwengber,7,24,Cleiton,cleiton,7.6,8.02,27,93882,280,0.58,True,Cleiton,1,,5.0,,,,,7.0,,,,,6.0,,,84.0,,34.0,,,
233,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,5.17,Matheus Leonardo Sales Cardoso,7,13,Matheusinho,matheusinho,6.0,8.15,27,93886,292,0.46,True,Matheusinho,4,3.0,1.0,13.0,7.0,4.0,8.0,17.0,2.0,1.0,,,,,,,,,,,
234,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.85,Breno Henrique Vasconcelos Lopes,7,18,Breno Lopes,breno-lopes,6.0,7.22,27,93988,356,0.57,True,B. Lopes,5,,2.0,6.0,8.0,5.0,12.0,30.0,4.0,10.0,,,,1.0,,,,,,,
235,RBB,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1.64,Matheus Fernandes Siqueira,6,13,Matheus Fernandes,matheus-fernandes,2.3,4.33,27,94067,280,0.15,True,M. Fernandes,4,,2.0,15.0,13.0,1.0,3.0,2.0,,,,,,,,,,,,,
236,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,2.18,Maycon de Andrade Barberan,7,18,Maycon,maycon,8.9,4.88,27,94154,264,1.43,True,Maycon,4,,1.0,15.0,11.0,,4.0,4.0,2.0,,,,,,,,,,,,
237,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6.62,Guilherme Augusto Vieira dos Santos,7,20,Guilherme,guilherme,1.8,9.58,27,94207,277,-0.92,True,Guilherme,5,2.0,,30.0,10.0,11.0,22.0,37.0,4.0,10.0,,,,,,,,,,,
238,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.86,Matheus Barcelos da Silva,6,14,Matheus Babi,matheus-babi,0.0,3.87,27,94444,286,0.0,False,M. Babi,5,,4.0,7.0,14.0,,4.0,10.0,2.0,4.0,,,,,,,,,,,
239,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,2.86,Raphael Cavalcante Veiga,7,14,Raphael Veiga,raphael-veiga,-0.3,10.41,27,94509,275,-0.78,True,R. Veiga,4,1.0,1.0,7.0,11.0,3.0,4.0,26.0,1.0,,1.0,,,,,,,,,,
240,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1.85,Lucas da Cruz Oliveira,6,6,Lucas Oliveira,lucas-oliveira,0.0,4.15,27,94514,267,0.0,False,L. Oliveira,3,,1.0,2.0,3.0,,,,,,,,2.0,,,,,,,,
241,FLA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6.88,Pedro Guilherme Abreu dos Santos,6,19,Pedro,pedro,0.0,15.25,27,94583,262,-0.38,True,Pedro,5,4.0,3.0,8.0,10.0,14.0,4.0,10.0,10.0,1.0,1.0,,,1.0,,,,,1.0,,
242,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.04,Lucas Fernandes da Silva,7,5,Lucas Fernandes,lucas-fernandes,1.1,4.58,27,94931,286,-0.47,True,L. Fernandes,4,,,5.0,5.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,
243,RBB,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,7.72,Luis Antônio da Rocha Júnior,6,14,Juninho Capixaba,juninho-capixaba,8.5,11.89,27,94968,280,0.98,True,J. Capixaba,2,,1.0,31.0,18.0,4.0,8.0,28.0,1.0,1.0,,,7.0,,,,,,,,
244,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1.73,Gabriel Henrique Feitosa da Silva,7,3,Gabriel Bahia,gabriel-bahia,2.7,3.56,27,95106,263,0.34,True,G. Bahia,3,,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,,
245,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.48,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,6,10,Nicolas,nicolas,0.0,6.33,27,95127,354,0.0,False,Nicolas,2,,1.0,11.0,9.0,1.0,3.0,7.0,,,,,3.0,,,,,,,,
246,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3.98,Gabriel Pereira Taliari,7,22,Gabriel Taliari,gabriel-taliari,4.7,8.17,27,95131,286,0.7,True,G. Taliari,5,2.0,3.0,18.0,30.0,6.0,11.0,34.0,3.0,3.0,,,,2.0,,,,,,,
247,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.3,Daniel Eduardo Giraldo Cárdenas,7,13,Giraldo,giraldo,0.0,1.83,27,95354,286,0.0,False,Giraldo,4,,3.0,6.0,17.0,,2.0,3.0,,1.0,,,,,,,,,,,
248,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.84,Christian Hernando Rivera Cuéllar,7,23,Rivera,rivera,3.9,5.02,27,95357,292,-0.12,True,Rivera,4,,5.0,49.0,55.0,,,27.0,,3.0,,,,,,,,,,,
249,SAN,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,2.72,Igor Vinícius de Souza,6,13,Igor Vinícius,igor-vinicius,2.9,6.2,27,95466,277,0.19,True,I. Vinícius,2,,5.0,16.0,16.0,3.0,3.0,10.0,,,,,2.0,,,,,,,,
250,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.63,Raniele Almeida Melo,7,22,Raniele,raniele,6.1,6.4,27,95556,264,0.14,True,Raniele,4,1.0,5.0,41.0,28.0,4.0,5.0,36.0,,,,,,,,,,,,,
251,FOR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,Marcelo da Conceição Benevenuto Malaquias,6,0,Marcelo Benevenuto,marcelo-benevenuto,0.0,5.0,27,95638,356,0.0,False,M. Benevenuto,3,,,,,,,,,,,,,,,,,,,,
252,SPT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,-0.2,Lucas Kal Schenfeld Prigioli,6,3,Lucas Kal,lucas-kal,0.0,3.36,27,95662,292,-0.48,True,L. Kal,4,,,,2.0,,,,,,,,,,,,,,,,
253,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,4.25,Artur Victor Guimarães,6,17,Artur,artur,0.0,8.38,27,95799,263,0.0,False,Artur,5,4.0,1.0,9.0,11.0,6.0,11.0,16.0,2.0,1.0,,,,1.0,,,,,,,
254,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,-0.7,Daniel Cerântula Fuzato,6,2,Daniel Fuzato,daniel-fuzato,0.0,2.04,27,95936,267,0.0,False,D. Fuzato,1,,,,,,,,,,,,,,,2.0,,4.0,,,
