,atletas.slug,atletas.preco_num,atletas.foto,atletas.jogos_num,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.entrou_em_campo,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,atletas.apelido_abreviado,atletas.status_id,atletas.atleta_id,atletas.variacao_num,CA,DS,FC,FD,FS,CV,FF,FT,I,PC,G,SG,DE,GS,A,PS,V,DP,GC,PP
27,alan-patrick,13.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,9,14,0.0,Alan Patrick,False,285,4,Alan Patrick Lourenço,INT,5.94,A. Patrick,7,68685,0.0,3.0,7.0,5.0,4.0,10.0,,2.0,,,,2.0,,,,4.0,,,,,
28,eduardo,2.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11,14,-0.3,Eduardo,True,283,4,Carlos Eduardo de Oliveira Alves,CRU,0.12,Eduardo,6,68708,-0.03,1.0,2.0,8.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,1.0,,,,
29,oscar,12.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5,14,1.7,Oscar,True,276,4,Oscar dos Santos Emboaba Júnior,SAO,2.0,Oscar,7,68811,-1.48,1.0,5.0,3.0,2.0,4.0,,,,,,,,,,,,,,,
30,marcelo-lomba,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0,14,0.0,Marcelo Lomba,False,275,1,Marcelo Lomba do Nascimento,PAL,0.0,M. Lomba,6,68872,0.0,,,,,,,,,,,,,,,,,,,,
31,philippe-coutinho,9.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,9,14,0.0,Philippe Coutinho,False,267,4,Philippe Coutinho Correia,VAS,3.15,P. Coutinho,7,68899,0.0,,1.0,8.0,10.0,16.0,1.0,9.0,,,,,,,,1.0,,,,,
32,dudu,8.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,14,0.0,Dudu,False,282,5,Eduardo Pereira Rodrigues,CAM,2.57,Dudu,7,68920,0.0,,4.0,5.0,,11.0,,,,,,1.0,,,,,,,,,
33,gil,5.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,14,0.0,Gil,False,277,3,Carlos Gilberto do Nascimento Silva,SAN,2.25,Gil,6,68923,0.0,2.0,7.0,7.0,,1.0,,2.0,,,,,1.0,,,,,,,,
34,rafael,9.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,13,14,0.6,Rafael,True,276,1,Rafael Pires Monteiro,SAO,4.04,Rafael,7,68928,-1.27,2.0,1.0,,,5.0,,,,,,,2.0,45.0,18.0,,,,,,
35,marinho,5.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,8,14,0.0,Marinho,False,356,5,Mário Sérgio Santos Costa,FOR,2.59,Marinho,7,68952,0.0,1.0,5.0,15.0,2.0,14.0,1.0,4.0,,9.0,,,,,,2.0,,,,,
36,lucas-sasha,8.79,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,8,14,0.0,Lucas Sasha,False,356,4,Lucas Pacheco Affini,FOR,6.75,L. Sasha,7,68991,0.0,1.0,35.0,14.0,2.0,7.0,,1.0,,,,,,,,,,,,,
37,willian-jose,6.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,11,14,0.0,Willian José,False,265,5,Willian José da Silva,BAH,3.05,W. José,2,68996,0.0,2.0,,3.0,4.0,3.0,,4.0,2.0,,,2.0,,,,1.0,,,,,
38,manoel,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0,14,0.0,Manoel,False,266,3,Manoel Messias Silva Carvalho,FLU,0.0,Manoel,6,69014,0.0,,,,,,,,,,,,,,,,,,,,
