,atletas.jogos_num,atletas.foto,atletas.media_num,atletas.nome,atletas.status_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.variacao_num,atletas.entrou_em_campo,atletas.rodada_id,atletas.preco_num,atletas.clube_id,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,DE,GS,FT,V,CV,DP,PP,PC,GC
14,20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.13,Gilberto Oliveira Souza Júnior,7,61188,Gilberto,JUV,-0.2,True,30,4.24,286,5,Gilberto,gilberto,1.7,2.0,5.0,6.0,22.0,9.0,6.0,16.0,2.0,4.0,,,,,,,,,1.0,,
15,17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,4.15,Alex Sandro Lobo Silva,2,61987,A. Sandro,FLA,0.0,False,30,9.44,262,2,Alex Sandro,alex-sandro,0.0,,4.0,16.0,35.0,1.0,3.0,15.0,,1.0,,10.0,,,,,,,,,
16,14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1.18,Paulo Henrique Chagas de Lima,6,62977,Ganso,FLU,0.0,False,30,5.49,266,4,Ganso,ganso,0.0,,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,
17,13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.78,Neymar da Silva Santos Júnior,5,63007,Neymar,SAN,0.0,False,30,13.81,277,4,Neymar,neymar,0.0,,4.0,3.0,15.0,9.0,9.0,49.0,3.0,2.0,,,,,1.0,,1.0,,,,
18,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.63,Rafael Toloi,6,63008,R. Tolói,SAO,0.0,False,30,9.37,276,3,Rafael Tolói,rafael-toloi,0.0,,,8.0,2.0,,,1.0,,,,1.0,,,,,,,,,
19,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6.43,Marcos Luis Rocha Aquino,5,63013,M. Rocha,GRE,0.0,False,30,9.61,284,2,Marcos Rocha,marcos-rocha,0.0,,,21.0,4.0,1.0,,7.0,,,,2.0,,,,,,,,,
20,15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.02,Alan Luciano Ruschel,7,63110,A. Ruschel,JUV,-0.15,True,30,4.71,286,2,Alan Ruschel,alan-ruschel,-0.3,,3.0,14.0,13.0,,,21.0,,3.0,,2.0,,,,,1.0,,,1.0,
21,22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.61,Edenílson Andrade dos Santos,7,63289,Edenílson,GRE,-0.15,True,30,5.03,284,4,Edenílson,edenilson,1.5,1.0,5.0,11.0,13.0,3.0,5.0,25.0,3.0,1.0,1.0,,,,,,,,,,
22,22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.42,Alan Patrick Lourenço,7,68685,A. Patrick,INT,-0.72,True,30,12.54,285,4,Alan Patrick,alan-patrick,-0.4,5.0,4.0,15.0,18.0,7.0,7.0,31.0,9.0,4.0,,,,,2.0,,,,1.0,,
23,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.27,Carlos Eduardo de Oliveira Alves,6,68708,Eduardo,CRU,-0.04,True,30,3.17,283,4,Eduardo,eduardo,0.2,,1.0,12.0,18.0,2.0,4.0,12.0,1.0,1.0,1.0,,,,,,1.0,,,,
