,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.nome,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,CA,DS,FC,FD,FF,FS,SG,DE,DP,GS,G,I,V,A,FT,PS,CV,PC,PP,GC
13,D. Braz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,David Braz,,David Braz de Oliveira Filho,50317,3,False,6,0.0,0.0,2305,5.0,12,MIR,david-braz,0.0,,,,,,,,,,,,,,,,,,,,
14,Walter,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,5,Walter,,Walter Leandro Capeloza Artune,51413,1,False,7,0.0,8.16,2305,10.62,12,MIR,walter,0.0,1.0,,,,,1.0,2.0,21.0,1.0,3.0,,,,,,,,,,
15,E. Ribeiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,11,Everton Ribeiro,,Everton Augusto de Barros Ribeiro,51772,4,True,7,3.1,3.4,265,7.56,12,BAH,everton-ribeiro,-0.19,2.0,16.0,11.0,4.0,1.0,16.0,,,,,1.0,,,,,,1.0,,,
16,Fernando,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,Fernando,,Fernando Francisco Reges,52271,4,False,6,0.0,2.75,285,5.95,12,INT,fernando,0.0,,8.0,2.0,3.0,,3.0,,,,,,,,,,,,,,
17,D. Luiz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,David Luiz,,David Luiz Moreira Marinho,52827,3,True,7,2.4,3.18,356,7.34,12,FOR,david-luiz,0.11,2.0,5.0,6.0,1.0,4.0,2.0,2.0,,,,,,,,,,,,,
18,L. Gamalho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,Léo Gamalho,,Leonardo Gamalho de Souza,53865,5,False,6,0.0,0.0,2305,4.0,12,MIR,leo-gamalho,0.0,,,,,,,,,,,,,,,,,,,,
19,A. Teixeira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7,Alex Teixeira,,Alex Teixeira Santos,60793,5,True,6,0.0,0.75,267,2.58,12,VAS,alex-teixeira,-0.27,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,
20,Gilberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,8,Gilberto,,Gilberto Oliveira Souza Júnior,61188,5,False,6,0.0,0.96,286,3.43,12,JUV,gilberto,0.0,2.0,,9.0,2.0,2.0,7.0,,,,,,1.0,,1.0,,,,,,
21,A. Sandro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,9,Alex Sandro,,Alex Sandro Lobo Silva,61987,2,False,7,0.0,5.06,262,10.82,12,FLA,alex-sandro,0.0,1.0,11.0,20.0,,2.0,9.0,6.0,,,,,1.0,,,,,,,,
22,Ganso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,Ganso,,Paulo Henrique Chagas de Lima,62977,4,False,7,0.0,1.69,266,6.62,12,FLU,ganso,0.0,1.0,5.0,1.0,,2.0,8.0,,,,,,,,,,,,,,
