,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.nome,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,CA,DS,FC,FD,FF,FS,SG,DE,DP,GS,G,I,V,A,FT,PS,CV,PC,PP,GC
76,C. Soares,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,10,Cédric Soares,,Cédric Ricardo Alves Soares,77656,2,True,7,5.0,2.33,276,6.88,12,SAO,cedric-soares,0.52,1.0,9.0,4.0,,,4.0,1.0,,,,,,,1.0,,,,,,
77,S. Oliveira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,Sérgio Oliveira,,Sérgio Miguel Relvas de Oliveira,77664,4,False,6,0.0,4.83,292,8.73,12,SPT,sergio-oliveira,0.0,3.0,13.0,10.0,3.0,4.0,5.0,,,,,1.0,,,,1.0,,,,,
78,J. Schmidt,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,9,João Schmidt,,João Felipe Schmidt Urbano,77777,4,True,3,-1.3,2.37,277,4.59,12,SAN,joao-schmidt,-0.42,3.0,15.0,15.0,1.0,4.0,4.0,,,,,,1.0,,,,,,,,
79,Everaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,11,Everaldo,,Everaldo Stum,78117,5,False,6,0.0,1.65,266,3.45,12,FLU,everaldo,0.0,1.0,2.0,12.0,4.0,5.0,6.0,,,,,1.0,,,,,,,,,
80,G. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3,Gustavo Henrique,,Gustavo Henrique Vernes,78248,3,False,6,0.0,3.33,264,7.25,12,COR,gustavo-henrique,0.0,,6.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
81,Renê,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,8,Renê,,Renê Rodrigues Martins,78445,2,False,6,0.0,7.71,266,11.04,12,FLU,rene,0.0,,24.0,8.0,,2.0,7.0,3.0,,,,1.0,,,,,,,,,
82,C. Tencati,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,3,Cláudio Tencati,,Cláudio Tencati,78450,6,False,7,0.0,3.45,286,6.93,12,JUV,claudio-tencati,0.0,,,,,,,,,,,,,,,,,,,,
83,C. Xavier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,Cleber Xavier,,Cleber Marcio Serpa Xavier,78479,6,True,7,6.21,5.02,277,10.22,12,SAN,cleber-xavier,0.44,,,,,,,,,,,,,2.0,,,,,,,
84,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,11,Gabriel,,Gabriel Girotto Franco,78605,4,True,7,5.5,4.33,280,6.72,12,RBB,gabriel,0.23,2.0,24.0,16.0,1.0,4.0,12.0,,,,,1.0,,,,,,,,,
85,Reinaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,11,Reinaldo,,Reinaldo Manoel da Silva,78850,2,False,7,0.0,7.83,2305,11.09,12,MIR,reinaldo,0.0,2.0,10.0,8.0,4.0,4.0,7.0,2.0,,,,6.0,,,2.0,,,,,1.0,
86,Richard,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,Richard,,Richard de Oliveira Costa,78851,1,False,6,0.0,0.0,354,5.0,12,CEA,richard,0.0,,,,,,,,,,,,,,,,,,,,
87,T. Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4,Thiago Santos,,Thiago dos Santos,78855,3,False,6,0.0,5.15,266,7.89,12,FLU,thiago-santos,0.0,,4.0,3.0,,,1.0,3.0,,,,,,,,,,,,,
88,A. Muralha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,Alex Muralha,,Alex Roberto Santana Rafael,79066,1,False,6,0.0,2.37,2305,3.34,12,MIR,alex-muralha,0.0,2.0,,,,,1.0,,19.0,,9.0,,,,,,,,,,
89,B. Ferreira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3,Bruno Ferreira,,Bruno Ferreira Ventura Diniz - de Lins,79266,1,False,7,0.0,4.4,354,5.49,12,CEA,bruno-ferreira,0.0,1.0,,1.0,,,1.0,1.0,10.0,,4.0,,,,,,,,,,
90,R. Machado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,12,Roger Machado,,Roger Machado Marques,79437,6,True,7,4.03,4.88,285,9.47,12,INT,roger-machado,0.04,,,,,,,,,,,,,2.0,,,,,,,
91,Cano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,6,Cano,,Germán Ezequiel Cano,79631,5,False,7,0.0,3.17,266,8.41,12,FLU,cano,0.0,1.0,1.0,4.0,1.0,9.0,7.0,,,,,1.0,2.0,,,,,,,,
92,L. Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11,Lucas Silva,,Lucas Silva Borges,79701,4,True,7,0.7,2.87,283,5.14,12,CRU,lucas-silva,-0.27,1.0,6.0,20.0,1.0,3.0,10.0,,,,,1.0,,,2.0,1.0,,,,,
93,A. Carlos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,3,Antônio Carlos,,Antônio Carlos Cunha Capocasali Júnior,79702,3,False,7,0.0,1.37,292,3.81,12,SPT,antonio-carlos,0.0,,3.0,3.0,,,1.0,,,,,,,,,,,,,,
94,Z. Roberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,Zé Roberto,,José Roberto Assunção de Araújo Filho,80076,5,False,6,0.0,0.0,292,6.0,12,SPT,ze-roberto,0.0,,,,,,,,,,,,,,,,,,,,
95,Jadson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,10,Jadson,,Jadson Alves dos Santos,80129,4,False,6,0.0,3.47,286,5.81,12,JUV,jadson,0.0,3.0,18.0,15.0,3.0,1.0,14.0,,,,,,2.0,,1.0,,,,1.0,,
96,Y. Pikachu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,11,Yago Pikachu,,Glaybson Yago Souza Lisboa,80196,4,True,6,18.5,3.63,356,8.29,12,FOR,yago-pikachu,3.0,,7.0,4.0,3.0,3.0,10.0,,,,,2.0,3.0,,,1.0,1.0,,,,
97,R. Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,Rafa Silva,,Rafael da Silva,80225,5,False,6,0.0,0.0,2305,4.0,12,MIR,rafa-silva,0.0,,,,,,,,,,,,,,,,,,,,
98,Luciano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,10,Luciano,,Luciano da Rocha Neves,80287,5,True,3,8.3,4.32,276,8.97,12,SAO,luciano,-0.09,3.0,10.0,8.0,7.0,11.0,13.0,,,,,1.0,1.0,,,,2.0,,,,
99,Gilberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,10,Gilberto,,Gilberto Moraes Júnior,80313,2,True,6,7.4,4.22,265,8.13,12,BAH,gilberto,1.11,2.0,13.0,9.0,1.0,1.0,5.0,3.0,,,,1.0,1.0,,,,,,,,
100,Wendell,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,7,Wendell,,Wendell Nascimento Borges,80570,2,True,7,1.2,3.23,276,8.51,12,SAO,wendell,-0.51,,7.0,8.0,,,9.0,2.0,,,,,,,,,,,,,
101,L. Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,10,Lucas Lima,,Lucas Rafael Araújo Lima,80583,4,False,7,0.0,2.52,292,5.01,12,SPT,lucas-lima,0.0,4.0,6.0,15.0,7.0,1.0,12.0,,,,,,5.0,,2.0,,,,,,
102,Jair,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,Jair,,Jair Rodrigues Júnior,81091,4,False,6,0.0,2.02,267,4.89,12,VAS,jair,0.0,2.0,8.0,9.0,,1.0,8.0,,,,,,,,,,,,,,
103,L. Mugni,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,8,Lucas Mugni,,Lucas Andrés Mugni,81121,4,False,7,0.0,5.23,354,7.24,12,CEA,lucas-mugni,0.0,2.0,15.0,14.0,1.0,3.0,8.0,,,,,1.0,1.0,,2.0,,,,,,
104,Mayke,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,2,Mayke,,Mayke Rocha de Oliveira,81150,2,False,6,0.0,4.5,275,8.92,12,PAL,mayke,0.0,1.0,3.0,4.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,,
105,G. Paciência,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2,Gonçalo Paciência,,Gonçalo Mendes Paciência,81401,5,False,5,0.0,1.3,292,7.13,12,SPT,goncalo-paciencia,0.0,,,1.0,,3.0,1.0,,,,,,,,,,,,,,
106,Alisson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,10,Alisson,,Alisson Euler de Freitas Castro,81845,4,True,6,7.0,1.78,276,5.41,12,SAO,alisson,1.08,3.0,4.0,9.0,3.0,3.0,13.0,,,,,,,,1.0,,,,,,
107,J. Ricardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,11,João Ricardo,,João Ricardo Riedi,81881,1,True,7,-4.7,4.75,356,8.76,12,FOR,joao-ricardo,-1.61,,,,,,,4.0,41.0,,18.0,,,,,,,,,,1.0
108,W. Oliveira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4,Willian Oliveira,,Willian Osmar de Oliveira Silva,81952,4,True,6,-1.9,0.33,287,3.06,12,VIT,willian-oliveira,-0.67,2.0,1.0,5.0,,1.0,5.0,,,,,,,,,,,,,,
109,C. Kim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3,Chico Kim,,Francisco Hyun-Sol Kim,82407,4,False,6,0.0,4.13,2305,5.84,12,MIR,chico-kim,0.0,,6.0,1.0,1.0,,3.0,,,,,,,,,,1.0,,,,
110,Z. Rafael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5,Zé Rafael,,José Rafael Vivian,82455,4,True,7,5.5,4.48,277,8.05,12,SAN,ze-rafael,-0.12,1.0,12.0,4.0,,2.0,10.0,,,,,,,,,,,,,,
111,Otávio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0,Otávio,,Otávio Henrique Passos Santos,82463,4,False,5,0.0,0.0,266,7.0,12,FLU,otavio,0.0,,,,,,,,,,,,,,,,,,,,
112,L. Araújo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,10,Luiz Araújo,,Luiz de Araújo Guimarães Neto,82627,5,False,7,0.0,5.71,262,11.11,12,FLA,luiz-araujo,0.0,,16.0,6.0,3.0,6.0,5.0,,,,,2.0,1.0,,1.0,1.0,,,,,
113,Tinga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,Tinga,,Guilherme de Jesus da Silva,82628,2,False,6,0.0,4.9,356,8.39,12,FOR,tinga,0.0,1.0,4.0,4.0,,2.0,2.0,3.0,,,,1.0,,,,,,,,,
114,W. Rato,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5,Wellington Rato,,Wellington Soares da Silva,82766,4,False,6,0.0,2.66,287,6.2,12,VIT,wellington-rato,0.0,,1.0,3.0,2.0,1.0,3.0,,,,,1.0,,,,,,,,,
115,L. Ramon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,10,Lucas Ramon,,Lucas Ramon Batista Silva,82775,2,False,7,0.0,6.23,2305,9.38,12,MIR,lucas-ramon,0.0,2.0,22.0,11.0,2.0,1.0,15.0,2.0,,,,1.0,1.0,,1.0,,1.0,,,,
116,R. Thyere,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,Rafael Thyere,,Rafael Thyere de Albuquerque Marques,83048,3,False,6,0.0,0.0,292,5.0,12,SPT,rafael-thyere,0.0,,,,,,,,,,,,,,,,,,,,
117,A. Benítez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,Alan Benítez,,Alan Max Benítez Domínguez,83251,2,False,6,0.0,0.0,285,6.0,12,INT,alan-benitez,0.0,,,,,,,,,,,,,,,,,,,,
118,Recalde,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,Recalde,,Jorge Eduardo Recalde Ramírez,83252,4,False,6,0.0,0.0,354,3.0,12,CEA,recalde,0.0,,,,,,,,,,,,,,,,,,,,
119,Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,9,Gabriel,,Gabriel Barbosa Almeida,83257,5,False,6,0.0,3.53,283,6.83,12,CRU,gabriel,0.0,,1.0,1.0,4.0,3.0,3.0,,,,,2.0,2.0,,2.0,,,,,1.0,
120,J. Furch,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,Julio Furch,,Julio César Furch,83276,5,False,6,0.0,0.0,277,4.0,12,SAN,julio-furch,0.0,,,,,,,,,,,,,,,,,,,,
121,L. Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,10,Léo Pereira,,Leonardo Pereira,83528,3,False,7,0.0,5.01,262,10.08,12,FLA,leo-pereira,0.0,,5.0,4.0,,1.0,2.0,7.0,,,,1.0,,,,,,,1.0,,
122,Neris,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3,Neris,,Hueglo dos Santos Neris,83786,3,False,5,0.0,0.0,287,3.37,12,VIT,neris,0.0,1.0,1.0,7.0,1.0,,1.0,,,,,,1.0,,,,,,,,
123,T. Soares,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,11,Tiquinho Soares,,Francisco das Chagas Soares dos Santos Meireles,84042,5,True,7,6.6,3.4,277,8.83,12,SAN,tiquinho-soares,0.93,2.0,6.0,17.0,4.0,8.0,13.0,,,,,1.0,2.0,,2.0,,,,,,
124,R. Carneiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,Ruan Carneiro,,Eudes Ruan de Souza Carneiro,84094,1,False,6,0.0,0.0,286,1.0,12,JUV,ruan-carneiro,0.0,,,,,,,,,,,,,,,,,,,,
125,Jemerson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,9,Jemerson,,Jemerson de Jesus Nascimento,84263,3,False,6,0.0,3.2,284,4.77,12,GRE,jemerson,0.0,3.0,11.0,14.0,1.0,1.0,3.0,1.0,,,,1.0,,,,1.0,,,,,
126,F. Sobral,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,8,Fernando Sobral,,Fernando Pereira do Nascimento,84428,4,False,6,0.0,1.95,354,4.67,12,CEA,fernando-sobral,0.0,3.0,11.0,9.0,,1.0,8.0,,,,,,,,,,,,,,
127,Romarinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,4,Romarinho,,José Romário Silva de Souza,84523,5,False,6,0.0,0.73,292,2.96,12,SPT,romarinho,0.0,,,,2.0,,1.0,,,,,,,,,,,,,,
128,L. Romero,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11,Lucas Romero,,Lucas Daniel Romero,84558,4,True,7,4.5,5.02,283,8.04,12,CRU,lucas-romero,0.32,4.0,26.0,12.0,,3.0,17.0,,,,,1.0,1.0,,1.0,,,,,,
129,L. Evangelista,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,8,Lucas Evangelista,,Lucas Evangelista Santana de Oliveira,84674,4,False,6,0.0,2.48,275,6.43,12,PAL,lucas-evangelista,0.0,,6.0,5.0,1.0,2.0,9.0,,,,,,,,1.0,,,,,,
130,Jorginho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,Jorginho,,Jorge Luiz Frello Filho,84735,4,False,7,0.0,0.0,262,12.0,12,FLA,jorginho,0.0,,,,,,,,,,,,,,,,,,,,
131,Varela,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6,Varela,,Guillermo Varela Olivera,84816,2,False,7,0.0,7.22,262,10.24,12,FLA,varela,0.0,,5.0,1.0,1.0,,2.0,5.0,,,,,1.0,,2.0,,,,1.0,,
132,L. Peres,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5,Luan Peres,,Luan Peres Petroni,84847,3,True,6,1.5,2.36,277,5.15,12,SAN,luan-peres,-0.62,3.0,3.0,8.0,1.0,,3.0,2.0,,,,,,,,,,,,,
133,M. Felipe,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,9,Marcos Felipe,,Marcos Felipe de Freitas Monteiro,85004,1,True,7,8.1,5.14,265,8.41,12,BAH,marcos-felipe,0.9,,,,,,1.0,4.0,26.0,,7.0,,,,,,,,1.0,,
134,O. Romero,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,8,Óscar Romero,,Óscar David Romero Villamayor,85034,4,False,6,0.0,1.57,285,4.71,12,INT,oscar-romero,0.0,1.0,2.0,1.0,1.0,4.0,5.0,,,,,,,,1.0,,,,1.0,,
135,M. Depay,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,8,Memphis Depay,,Memphis Depay,85048,5,False,7,0.0,7.69,264,15.35,12,COR,memphis-depay,0.0,2.0,4.0,5.0,6.0,6.0,12.0,,,,,3.0,,,3.0,2.0,,,,1.0,
136,Danielzinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,11,Danielzinho,,Daniel de Oliveira Sertanejo,85403,4,False,7,0.0,3.54,2305,5.55,12,MIR,danielzinho,0.0,1.0,13.0,14.0,2.0,4.0,20.0,,,,,,,,1.0,1.0,1.0,,,,
137,J. Paulo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0,João Paulo,,João Paulo Silva Martins,85425,1,False,6,0.0,-1.0,277,6.45,12,SAN,joao-paulo,0.0,2.0,,,,,,,,,,,,,,,,,,,
138,A. Santana,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3,Alex Santana,,Alex Paulo Menezes Santana,85465,4,False,6,0.0,0.4,284,4.28,12,GRE,alex-santana,0.0,,,2.0,,1.0,2.0,,,,,,,,,,,,,,
139,R. Ryller,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,11,Ricardo Ryller,,Ricardo Ryller Ribeiro Lino Silva,85856,4,False,7,0.0,1.35,287,2.88,12,VIT,ricardo-ryller,0.0,3.0,12.0,21.0,3.0,,5.0,,,,,,,,,,,,,,
140,Aylon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5,Aylon,,Aylon Darwin Tavella,85930,5,False,6,0.0,3.48,354,4.62,12,CEA,aylon,0.0,,4.0,8.0,1.0,2.0,6.0,,,,,1.0,,,,,,,,,
141,Hyoran,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,Hyoran,,Hyoran Kaue Dalmoro,85931,4,False,6,0.0,0.0,292,5.0,12,SPT,hyoran,0.0,,,,,,,,,,,,,,,,,,,,
142,Bolasie,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6,Bolasie,,Yannick Bolasie,86292,5,True,6,1.0,0.55,283,3.71,12,CRU,bolasie,-0.14,,2.0,6.0,1.0,,2.0,,,,,,1.0,,,,,,,,
143,V. Luis,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1,Victor Luis,,Victor Luis Chuab Zamblauskas,86410,2,False,6,0.0,1.7,267,4.24,12,VAS,victor-luis,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,
144,Keno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4,Keno,,Marcos da Silva França,86485,5,False,6,0.0,1.95,266,6.01,12,FLU,keno,0.0,,1.0,2.0,1.0,4.0,5.0,,,,,,,,,,,,,,
145,Jandrei,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,Jandrei,,Jandrei Chitolina Carniel,86508,1,False,6,0.0,0.0,276,5.0,12,SAO,jandrei,0.0,,,,,,,,,,,,,,,,,,,,
146,Richardson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,Richardson,,Richardson Fernandes dos Santos,86536,4,False,5,0.0,0.0,354,4.0,12,CEA,richardson,0.0,,,,,,,,,,,,,,,,,,,,
147,T. Tchê,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,9,Tchê Tchê,,Danilo das Neves Pinheiro,86686,4,True,7,1.9,1.03,267,3.9,12,VAS,tche-tche,0.02,,1.0,2.0,1.0,1.0,13.0,,,,,,1.0,,,,,,,,
148,Everton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,11,Everton,,Everton Sousa Soares,86757,5,False,7,0.0,2.97,262,7.7,12,FLA,everton,0.0,,7.0,6.0,4.0,8.0,,,,,,1.0,1.0,,1.0,,,,,,
149,M. Rossetto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,Matheus Rossetto,,Matheus Rossetto,86766,4,False,6,0.0,1.27,356,3.71,12,FOR,matheus-rossetto,0.0,,5.0,3.0,,,2.0,,,,,,,,,,,,,,
150,D. Barbosa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2,Danilo Barbosa,,Danilo Barbosa da Silva,86777,4,False,6,0.0,-0.65,263,4.35,12,BOT,danilo-barbosa,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,
151,Reginaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4,Reginaldo,,Reginaldo Lopes de Jesus,86820,2,False,6,0.0,1.13,286,2.98,12,JUV,reginaldo,0.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
152,J. Welison,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,8,José Welison,,José Welison da Silva,86859,4,True,7,5.7,2.19,356,4.71,12,FOR,jose-welison,0.34,2.0,12.0,6.0,,1.0,5.0,,,,,,,,,,,,,,
153,L. Otávio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,Luiz Otávio,,Luiz Otávio da Silva Santos,86863,3,False,6,0.0,0.0,2305,4.0,12,MIR,luiz-otavio,0.0,,,,,,,,,,,,,,,,,,,,
154,L. Jardim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,11,Léo Jardim,,Leonardo César Jardim,87008,1,True,7,2.1,2.79,267,7.12,12,VAS,leo-jardim,0.25,,,,,,2.0,2.0,26.0,,14.0,,,,,,,,,,
