,atletas.atleta_id,atletas.posicao_id,atletas.slug,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.media_num,atletas.variacao_num,atletas.apelido,atletas.status_id,atletas.jogos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,FS,DE,GS,SG,A,CA,DS,FC,FD,FF,FT,G,I,PS,V,CV,DP,PP,PC,GC
50,71536,4,luiz-gustavo,SAO,4.5,8.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,L. Gustavo,4.12,-0.38,Luiz Gustavo,6,6,276,32,Luiz Gustavo Dias,5.0,,,,,,8.0,8.0,,2.0,1.0,1.0,,,,,,,,
51,71571,1,fernando-miguel,CEA,0.0,7.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,F. Miguel,6.18,0.0,Fernando Miguel,6,6,354,32,Fernando Miguel Kaufmann,6.0,17.0,3.0,3.0,,,,,,,,,,,,,,,,
52,71631,1,weverton,PAL,0.0,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,Weverton,4.36,0.0,Weverton,6,25,275,32,Weverton Pereira da Silva,10.0,57.0,20.0,9.0,,2.0,,,,,,,,,,,1.0,,,
53,71680,2,raul-caceres,VIT,0.0,4.54,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,R. Cáceres,3.25,0.0,Raúl Cáceres,6,15,287,32,Raúl Alejandro Cáceres Bogado,3.0,,,4.0,1.0,6.0,8.0,20.0,5.0,2.0,,2.0,3.0,,,,,,1.0,
54,71684,3,gustavo-gomez,PAL,7.0,9.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,True,G. Gómez,5.09,0.47,Gustavo Gómez,7,23,275,32,Gustavo Raúl Gómez Portillo,13.0,,,10.0,1.0,8.0,32.0,28.0,2.0,8.0,,2.0,9.0,,,,,,,
55,71701,2,santiago-arias,BAH,0.0,5.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,S. Arias,2.69,-0.37,Santiago Arias,7,16,265,32,Santiago Arias Naranjo,14.0,,,3.0,,3.0,15.0,8.0,3.0,3.0,,,1.0,,,,,,2.0,
56,71709,4,cuellar,GRE,0.0,5.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,False,Cuéllar,2.85,0.0,Cuéllar,6,11,284,32,Gustavo Leonardo Cuellar Gallego,12.0,,,,,1.0,20.0,12.0,,,,,,,,,,,,
57,72018,1,tiago-volpi,GRE,5.5,7.44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,T. Volpi,4.04,0.69,Tiago Volpi,7,25,284,32,Tiago Luis Volpi,8.0,80.0,32.0,4.0,,2.0,,,,,,1.0,,,,,,,1.0,
58,72279,1,thomazella,MIR,0.0,2.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,Thomazella,0.0,0.0,Thomazella,6,0,2305,32,Carlos Eduardo Lecciolle Thomazella,,,,,,,,,,,,,,,,,,,,
59,72294,1,everson,CAM,8.9,10.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Everson,4.9,-0.4,Everson,7,28,282,32,Everson Felipe Marques Pires,7.0,88.0,29.0,11.0,,7.0,,,,,,,,,,,,,,
