,atletas.clube_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.nome,atletas.slug,atletas.apelido_abreviado,atletas.foto,atletas.apelido,atletas.jogos_num,atletas.media_num,atletas.pontos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.status_id,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,V,FT,CV,DP,PC,PP,GC
196,287,VIT,3,José Marcos Alves Luis,ze-marcos,Z. Marcos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Zé Marcos,25,2.3,0.0,0.0,False,6,4.2,35,90943,6.0,12.0,24.0,,1.0,18.0,1.0,2.0,7.0,,,,,,,,,,,
197,265,BAH,1,Ronaldo de Oliveira Strada,ronaldo,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Ronaldo,23,4.69,6.3,0.89,True,7,7.33,35,91101,1.0,,,,,5.0,,,7.0,1.0,,65.0,31.0,,,,2.0,1.0,,
198,354,CEA,5,Fernando José Marques Maciel,fernandinho,Fernandinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernandinho,17,3.27,4.8,0.56,True,6,5.99,35,91130,2.0,22.0,15.0,5.0,7.0,20.0,,5.0,,1.0,,,,,1.0,,,,,
199,263,BOT,3,Kaio Fernando da Silva Pantaleão,kaio,Kaio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Kaio,9,4.88,0.0,0.0,False,5,8.62,35,91158,,10.0,8.0,2.0,5.0,10.0,,1.0,4.0,,,,,,,,,,,
200,354,CEA,3,Éder Ferreira Graminho,eder,Éder,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Éder,2,0.8,0.0,0.0,False,6,2.82,35,91203,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
201,262,FLA,4,Erick Antonio Pulgar Farfán,erick-pulgar,E. Pulgar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Erick Pulgar,14,2.0,0.0,0.0,False,3,5.89,35,91473,5.0,15.0,21.0,3.0,1.0,9.0,1.0,,,,,,,,,,,,,
202,286,JUV,3,Rodrigo Eduardo da Silva,rodrigo-sam,R. Sam,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Rodrigo Sam,13,2.99,4.3,0.62,True,7,4.88,35,91509,5.0,19.0,25.0,2.0,3.0,15.0,,4.0,2.0,,1.0,,,,,,,,,
203,276,SAO,3,Robert Abel Arboleda Escobar,arboleda,Arboleda,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Arboleda,22,5.41,0.0,0.0,False,5,8.74,35,91573,4.0,37.0,18.0,,8.0,13.0,3.0,3.0,7.0,,1.0,,,,,,,,,
204,282,CAM,5,Ronielson da Silva Barbosa,rony,Rony,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Rony,28,4.51,0.0,0.0,False,6,11.7,35,91607,4.0,21.0,39.0,18.0,15.0,49.0,5.0,17.0,,2.0,1.0,,,,1.0,,,,,
205,286,JUV,4,Carlos Eduardo de Souza Vieira,dudu-vieira,D. Vieira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Dudu Vieira,0,0.0,0.0,0.0,False,6,3.0,35,91627,,,,,,,,,,,,,,,,,,,,
206,292,SPT,2,Igor Aquino da Silva,igor-carius,I. Cariús,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Igor Cariús,22,4.51,0.0,0.0,False,3,7.67,35,91639,2.0,38.0,25.0,6.0,5.0,24.0,1.0,5.0,5.0,,,,,,,,,1.0,,1.0
207,284,GRE,2,Marlon Rodrigues Xavier,marlon,Marlon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Marlon,27,5.31,4.7,-0.38,True,7,8.22,35,91706,6.0,57.0,22.0,5.0,6.0,35.0,1.0,1.0,5.0,2.0,,,,,,,,1.0,,
208,265,BAH,3,David de Duarte Macedo,david-duarte,D. Duarte,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,David Duarte,25,3.31,0.0,0.0,False,6,5.39,35,91772,4.0,11.0,20.0,3.0,10.0,8.0,1.0,2.0,9.0,1.0,,,,,1.0,,,,,
209,292,SPT,1,Caíque França Godoy,caique-franca,C. França,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Caíque França,13,3.32,0.9,-0.9,True,7,5.63,35,91808,2.0,2.0,,,,1.0,,,2.0,,,42.0,23.0,,,,,,,
210,277,SAN,3,José Ivaldo Almeida Silva,ze-ivaldo,Z. Ivaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Zé Ivaldo,17,3.55,0.0,0.0,False,3,6.64,35,91866,6.0,23.0,16.0,1.0,11.0,16.0,1.0,3.0,3.0,,,,,,,1.0,,1.0,,
211,284,GRE,5,Cristian David Pavón,pavon,Pavón,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Pavón,23,2.88,13.0,1.4,True,6,6.53,35,91908,7.0,22.0,12.0,7.0,12.0,13.0,,2.0,,4.0,,,,,,,,,,
212,285,INT,6,Ramón Ángel Díaz,ramon-diaz,R. Díaz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ramón Díaz,15,5.12,5.19,-0.01,True,7,9.29,35,92075,,,,,,,,,,,,,,4.0,,,,,,
213,286,JUV,5,Giovanny Bariani Marques,giovanny,Giovanny,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Giovanny,17,1.97,0.4,-0.61,True,7,3.39,35,92085,2.0,5.0,7.0,3.0,8.0,15.0,,3.0,,2.0,,,,,1.0,,,,,
214,282,CAM,3,Lyanco Evangelista Silveira Neves Vojnovic,lyanco,Lyanco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Lyanco,15,5.08,0.0,0.0,False,5,8.87,35,92087,5.0,32.0,25.0,3.0,6.0,19.0,,2.0,6.0,,,,,,,2.0,,1.0,,
215,263,BOT,5,Arthur Mendonça Cabral,arthur-cabral,A. Cabral,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Arthur Cabral,17,4.11,2.8,-0.05,True,6,10.74,35,92171,,9.0,25.0,8.0,12.0,24.0,3.0,4.0,,1.0,1.0,,,,1.0,,,,,
216,287,VIT,6,Jair Ventura,jair-ventura,J. Ventura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Jair Ventura,10,5.41,6.83,0.41,True,7,10.13,35,92180,,,,,,,,,,,,,,5.0,,,,,,
217,285,INT,3,José Carlos Ferreira Júnior,juninho,Juninho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Juninho,18,2.85,0.0,0.0,False,6,4.45,35,92182,5.0,21.0,13.0,3.0,6.0,11.0,,,3.0,,,,,,,,,,,
