,atletas.posicao_id,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.slug,atletas.preco_num,atletas.entrou_em_campo,atletas.nome,atletas.apelido_abreviado,atletas.media_num,atletas.foto,atletas.pontos_num,atletas.clube.id.full.name,atletas.atleta_id,atletas.clube_id,atletas.apelido,atletas.status_id,CA,DS,FC,FF,FS,I,SG,DE,GS,A,FD,G,PS,FT,V,CV,DP,PP,PC,GC
26,1,3,0.0,37,neto,7.25,False,Norberto Murara Neto,Neto,2.03,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,BOT,68806,263,Neto,5,,,,,,,,7.0,3.0,,,,,,,,,,,
27,4,6,0.0,37,oscar,11.39,False,Oscar dos Santos Emboaba Júnior,Oscar,1.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,SAO,68811,276,Oscar,5,1.0,5.0,3.0,,4.0,,,,,,2.0,,,,,,,,,
28,1,1,0.0,37,marcelo-lomba,7.63,False,Marcelo Lomba do Nascimento,M. Lomba,3.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,PAL,68872,275,Marcelo Lomba,6,,,,,,,,4.0,2.0,,,,,,,,,,,
29,4,28,-0.9,37,philippe-coutinho,9.06,True,Philippe Coutinho Correia,P. Coutinho,4.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,1.4,VAS,68899,267,Philippe Coutinho,7,3.0,14.0,19.0,20.0,39.0,3.0,,,,3.0,18.0,4.0,1.0,2.0,,1.0,,,,
30,5,15,0.0,37,dudu,7.68,False,Eduardo Pereira Rodrigues,Dudu,2.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,CAM,68920,282,Dudu,6,,6.0,6.0,6.0,16.0,3.0,,,,1.0,1.0,1.0,,1.0,,,,,,
31,1,33,0.87,37,rafael,10.35,True,Rafael Pires Monteiro,Rafael,4.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,10.2,SAO,68928,276,Rafael,7,3.0,1.0,,,6.0,,11.0,109.0,37.0,,,,,,,,,,,
32,5,16,0.0,37,marinho,6.63,False,Mário Sérgio Santos Costa,Marinho,3.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,FOR,68952,356,Marinho,6,2.0,11.0,24.0,13.0,22.0,13.0,,,,2.0,5.0,1.0,,,,1.0,,,,
33,4,25,-0.02,37,lucas-sasha,7.94,True,Lucas Pacheco Affini,L. Sasha,5.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.9,FOR,68991,356,Lucas Sasha,7,2.0,79.0,45.0,4.0,19.0,1.0,,,,,6.0,1.0,,,,,,,1.0,
34,5,30,-1.12,37,willian-jose,7.6,True,Willian José da Silva,W. José,5.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,-0.8,BAH,68996,265,Willian José,7,3.0,5.0,11.0,14.0,17.0,2.0,,,,6.0,12.0,10.0,,3.0,,,,1.0,,
35,3,5,0.0,37,manoel,5.3,False,Manoel Messias Silva Carvalho,Manoel,2.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,FLU,69014,266,Manoel,6,,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,
