,atletas.foto,atletas.variacao_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.status_id,atletas.slug,atletas.media_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FF,FS,I,FD,G,SG,DE,GS,A,DP,V,PS,FT,PC,PP,CV,GC
27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,-0.6,True,63289,284,4,GRE,4,-0.3,5.18,Edenílson Andrade dos Santos,7,edenilson,1.78,4,Edenílson,Edenílson,,2.0,,4.0,1.0,3.0,,,1.0,,,,,,,,,,,,
28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,-0.78,True,68685,285,4,INT,4,5.5,14.64,Alan Patrick Lourenço,7,alan-patrick,5.23,3,A. Patrick,Alan Patrick,,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,
29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,-0.68,True,68708,283,4,CRU,4,0.0,4.4,Carlos Eduardo de Oliveira Alves,6,eduardo,-0.1,3,Eduardo,Eduardo,,,,1.0,,,,,,,,,,,,,,,,,
30,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,False,68811,276,4,SAO,4,0.0,20.0,Oscar dos Santos Emboaba Júnior,5,oscar,0.0,0,Oscar,Oscar,,,,,,,,,,,,,,,,,,,,,
31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,False,68872,275,1,PAL,4,0.0,7.0,Marcelo Lomba do Nascimento,6,marcelo-lomba,0.0,0,M. Lomba,Marcelo Lomba,,,,,,,,,,,,,,,,,,,,,
32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,False,68899,267,4,VAS,4,0.0,13.23,Philippe Coutinho Correia,7,philippe-coutinho,5.25,2,P. Coutinho,Philippe Coutinho,,,,1.0,3.0,2.0,,2.0,,,,,1.0,,,,,,,,
33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,-1.22,True,68920,283,5,CRU,4,0.0,9.98,Eduardo Pereira Rodrigues,6,dudu,4.03,4,Dudu,Dudu,,,4.0,3.0,,6.0,,,1.0,,,,,,,,,,,,
34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.78,True,68923,277,3,SAN,4,5.8,5.39,Carlos Gilberto do Nascimento Silva,7,gil,1.62,4,Gil,Gil,,1.0,2.0,6.0,1.0,1.0,,,,1.0,,,,,,,,,,,
35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.12,True,68928,276,1,SAO,4,5.8,11.95,Rafael Pires Monteiro,7,rafael,7.0,4,Rafael,Rafael,,,,,,3.0,,,,2.0,15.0,3.0,,,,,,,,,
36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,-0.93,True,68952,356,5,FOR,4,0.2,6.85,Mário Sérgio Santos Costa,7,marinho,2.27,3,Marinho,Marinho,,,,5.0,1.0,6.0,5.0,,,,,,1.0,,,,,,,,
