,atletas.nome,atletas.pontos_num,atletas.slug,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.status_id,atletas.rodada_id,atletas.variacao_num,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.clube.id.full.name
10,Gabriel Christoni Leite,0,gabriel-leite,50742,294,3,G. Leite,1,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,Gabriel Leite,CFC
11,Walter Leandro Capeloza Artune,0,walter,51413,2305,5,Walter,1,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,Walter,MIR
12,Giuliano Victor de Paula,0,giuliano,51548,293,6,Giuliano,4,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,Giuliano,CAP
13,Everton Augusto de Barros Ribeiro,0,everton-ribeiro,51772,265,10,E. Ribeiro,4,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,Everton Ribeiro,BAH
14,Alex Sandro Lobo Silva,0,alex-sandro,61987,262,12,A. Sandro,2,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,Alex Sandro,FLA
15,Paulo Henrique Chagas de Lima,0,ganso,62977,266,7,Ganso,4,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,Ganso,FLU
16,Neymar da Silva Santos Júnior,0,neymar,63007,277,19,Neymar,4,0,False,5,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,Neymar,SAN
17,Rafael Toloi,0,rafael-toloi,63008,276,5,R. Tolói,3,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,Rafael Tolói,SAO
18,Marcos Luis Rocha Aquino,0,marcos-rocha,63013,284,9,M. Rocha,2,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,Marcos Rocha,GRE
19,Edenílson Andrade dos Santos,0,edenilson,63289,284,7,Edenílson,4,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,Edenílson,GRE
20,Rodrigo Modesto da Silva Moledo,0,rodrigo-moledo,63354,294,3,R. Moledo,3,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,Rodrigo Moledo,CFC
21,Alan Patrick Lourenço,0,alan-patrick,68685,285,8,A. Patrick,4,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,Alan Patrick,INT
22,Carlos Eduardo de Oliveira Alves,0,eduardo,68708,2305,6,Eduardo,4,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,Eduardo,MIR
23,Norberto Murara Neto,0,neto,68806,263,8,Neto,1,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,0,Neto,BOT
24,Rafael de Carvalho Santos,0,rafael-santos,68822,315,3,R. Santos,1,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,Rafael Santos,CHA
25,Marcelo Lomba do Nascimento,0,marcelo-lomba,68872,275,4,M. Lomba,1,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,Marcelo Lomba,PAL
26,Philippe Coutinho Correia,0,philippe-coutinho,68899,267,12,P. Coutinho,4,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,0,Philippe Coutinho,VAS
27,Eduardo Pereira Rodrigues,0,dudu,68920,282,9,Dudu,5,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,Dudu,CAM
28,Rafael Pires Monteiro,0,rafael,68928,276,9,Rafael,1,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,Rafael,SAO
29,Giovanni Augusto Oliveira Cardoso,0,giovanni-augusto,68938,315,5,G. Augusto,4,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,Giovanni Augusto,CHA
30,Willian José da Silva,0,willian-jose,68996,265,12,W. José,5,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,Willian José,BAH
31,Aderbar Melo dos Santos Neto,0,santos,69012,293,8,Santos,1,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,Santos,CAP
32,Allan Marques Loureiro,0,allan,69140,263,6,Allan,4,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,0,Allan,BOT
