atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PS,SG,V
Giovanni Augusto,G. Augusto,68938,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,2,1.3,Giovanni Augusto Oliveira Cardoso,0.9,4,4.31,2,giovanni-augusto,7,-0.38,,,,,1.0,3.0,,,4.0,,,,,,,,,
Marinho,Marinho,68952,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,0.0,Mário Sérgio Santos Costa,0.0,5,6.0,2,marinho,6,0.0,,,,,,,,,,,,,,,,,,
Willian José,W. José,68996,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,2,5.15,Willian José da Silva,0.8,5,11.54,2,willian-jose,7,-1.61,,,,,1.0,,,1.0,,,1.0,,,,,,,
Santos,Santos,69012,CAP,293,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,1,11.5,Aderbar Melo dos Santos Neto,0.0,1,10.58,2,santos,7,0.0,,,,5.0,,,,,,,,,,,,,1.0,
Allan,Allan,69140,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,2,1.0,Allan Marques Loureiro,-0.8,4,4.88,2,allan,7,-1.01,,2.0,,,1.0,2.0,,2.0,3.0,,,,,,,,,
Gabriel Paulista,G. Paulista,69208,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,-0.3,Gabriel Armando de Abreu,0.0,3,8.08,2,gabriel-paulista,7,0.0,,,,,,1.0,,,,,,,,,,,,
Danilo,Danilo,69783,FLA,262,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,0.0,Danilo Luiz da Silva,0.0,3,8.0,2,danilo,6,0.0,,,,,,,,,,,,,,,,,,
Lucas Moura,L. Moura,70164,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,2,3.2,Lucas Rodrigues Moura da Silva,6.7,4,10.31,2,lucas-moura,6,0.6,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,
Eduardo Sasha,E. Sasha,70360,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,2,2.45,Eduardo Colcenti Antunes,1.0,5,6.4,2,eduardo-sasha,7,-0.69,,,,,1.0,,2.0,,2.0,,,,,,,,,
Gabriel,Gabriel,70449,VIT,287,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,2.2,Gabriel Vasconcelos Ferreira,-2.4,1,5.6,2,gabriel,6,-1.69,,,,3.0,,,,,1.0,,,,5.0,,,,1.0,
