atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Bruno Henrique,B. Henrique,70944,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,11,1.63,Bruno Henrique Corsini,4.9,4,4.48,14,bruno-henrique,7,0.27,,,,,,7.0,10.0,4.0,4.0,5.0,,,,,1.0,,,,,
Jean Carlos,J. Carlos,70958,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,13,3.1,Jean Carlos Vicente,0.8,4,7.03,14,jean-carlos,7,0.01,2.0,2.0,,,,3.0,5.0,4.0,7.0,6.0,,2.0,,,1.0,,,,,
Léo Vieira,L. Vieira,71043,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,13,5.67,Leonardo da Silva Vieira,7.1,1,7.72,14,leo-vieira,7,0.7,,1.0,,64.0,,,,,,3.0,,,,20.0,,,,,2.0,
Thiago Mendes,T. Mendes,71123,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,13,4.02,Thiago Henrique Mendes Ribeiro,3.0,4,7.48,14,thiago-mendes,7,0.44,1.0,5.0,,,,9.0,12.0,1.0,4.0,28.0,,3.0,,,1.0,,,,,
Maicon,Maicon,71227,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,13,2.08,Maicon Pereira Roque,0.7,3,4.14,14,maicon,7,0.07,,,1.0,,,7.0,5.0,,,4.0,,,,,,1.0,,,4.0,
Luiz Gustavo,L. Gustavo,71536,CAP,293,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,10,3.6,Luiz Gustavo Dias,0.0,4,7.35,14,luiz-gustavo,7,0.0,,2.0,,,,8.0,11.0,3.0,2.0,16.0,,2.0,,,,,,,,
Weverton,Weverton,71631,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,14,5.29,Weverton Pereira da Silva,10.7,1,9.13,14,weverton,7,0.34,1.0,1.0,,35.0,2.0,,,,,5.0,,,,16.0,,1.0,,,5.0,
Gustavo Gómez,G. Gómez,71684,PAL,275,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,13,5.2,Gustavo Raúl Gómez Portillo,0.7,3,10.52,14,gustavo-gomez,7,-0.65,1.0,,,,,8.0,14.0,,6.0,3.0,,3.0,,,4.0,,,,5.0,
Gabriel Pires,G. Pires,71898,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,6,3.63,Gabriel Appelt Pires,0.0,4,5.77,14,gabriel-pires,6,0.0,1.0,1.0,,,,4.0,5.0,3.0,4.0,7.0,1.0,,,,,,,,,
Tiago Volpi,T. Volpi,72018,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,7,4.19,Tiago Luis Volpi,1.6,1,8.86,14,tiago-volpi,7,-0.24,,,,21.0,,,,,,,,,,8.0,,,,,2.0,
Thomazella,Thomazella,72279,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Carlos Eduardo Lecciolle Thomazella,0.0,1,2.0,14,thomazella,6,0.0,,,,,,,,,,,,,,,,,,,,
Everson,Everson,72294,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,14,4.17,Everson Felipe Marques Pires,0.8,1,9.08,14,everson,7,-0.02,1.0,,,43.0,,,,,,5.0,,,,20.0,,,,,3.0,
Fernando Diniz,F. Diniz,72391,COR,264,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,7,4.67,Fernando Diniz Silva,3.16,6,8.34,14,fernando-diniz,7,-0.65,,,,,,,,,,,,,,,,,,,,1.0
Bernard,Bernard,72460,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,11,1.81,Bernard Anício Caldeira Duarte,3.7,4,4.37,14,bernard,7,0.3,,,,,,5.0,4.0,1.0,,9.0,,1.0,,,,,,,,
Alex Telles,A. Telles,72493,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,11,4.48,Alex Nicolao Telles,5.8,2,10.15,14,alex-telles,7,0.88,2.0,1.0,,,,13.0,11.0,,2.0,5.0,,2.0,,,,1.0,,,1.0,
Vitor Hugo,V. Hugo,72605,CAM,282,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,4,2.92,Vitor Hugo Franchescoli de Souza,0.0,3,6.83,14,vitor-hugo,7,0.0,,1.0,,,,4.0,2.0,,1.0,3.0,,,,,,,,,1.0,
Mercado,Mercado,72951,INT,285,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,8,5.21,Gabriel Iván Mercado,0.0,3,7.21,14,mercado,5,0.0,,3.0,,,,12.0,7.0,1.0,2.0,6.0,,1.0,,,,,,,3.0,
Daniel Borges,D. Borges,73318,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,1,1.3,Daniel Fortunato Borges,0.0,2,4.18,14,daniel-borges,6,0.0,,,,,,,,,1.0,1.0,,,,,,,,,,
Samuel Xavier,S. Xavier,73384,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,9,4.13,Samuel Xavier Brito,3.4,2,8.45,14,samuel-xavier,7,0.22,,1.0,,,,13.0,9.0,1.0,1.0,19.0,,,,,1.0,,,,2.0,
Rincón,Rincón,74187,SAN,277,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,2,-0.7,Tomás Eduardo Rincón Hernández,0.0,4,2.81,14,rincon,6,0.0,,1.0,,,,,3.0,,,1.0,,,,,,,,,,
Carrillo,Carrillo,77485,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,9,1.43,André Martín Carrillo Díaz,0.0,4,4.64,14,carrillo,7,0.0,,3.0,,,,12.0,19.0,,2.0,4.0,,,,,,,,,,
Cédric Soares,C. Soares,77656,SAO,276,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,6,1.05,Cédric Ricardo Alves Soares,1.5,2,4.16,14,cedric-soares,2,0.09,,1.0,,,,4.0,1.0,,2.0,,,,,,,,,,,
João Schmidt,J. Schmidt,77777,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,8,1.31,João Felipe Schmidt Urbano,2.4,4,4.43,14,joao-schmidt,7,0.17,,1.0,,,,8.0,12.0,,2.0,3.0,,,,,,,,,,
Everaldo,Everaldo,78117,BAH,265,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,11,4.13,Everaldo Stum,0.0,5,6.07,14,everaldo,6,-0.16,,1.0,,,,8.0,11.0,3.0,4.0,14.0,,3.0,,,1.0,,,,,
Gustavo Henrique,G. Henrique,78248,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,10,3.95,Gustavo Henrique Vernes,0.0,3,9.28,14,gustavo-henrique,7,0.0,,3.0,,,,10.0,13.0,4.0,5.0,7.0,,,,,,1.0,,,4.0,
Vitinho,Vitinho,78435,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,7,2.13,Victor Vinícius Coelho dos Santos,0.0,5,5.06,14,vitinho,6,0.0,,,,,,5.0,5.0,2.0,5.0,5.0,,,,,,,,,,
Renê,Renê,78445,FLU,266,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,8,6.22,Renê Rodrigues Martins,0.0,2,9.53,14,rene,6,0.0,2.0,,,,,16.0,5.0,3.0,2.0,4.0,,,,,,,,,2.0,
