atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Giovanni Augusto,G. Augusto,68938,CHA,315,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,12,1.85,Giovanni Augusto Oliveira Cardoso,5.8,4,4.26,20,giovanni-augusto,6,0.39,1.0,1.0,,,,7.0,7.0,2.0,,15.0,,,,,1.0,,,,,
Marinho,Marinho,68952,VIT,287,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,6,1.75,Mário Sérgio Santos Costa,0.0,5,4.73,20,marinho,6,0.0,,,,,,4.0,2.0,1.0,2.0,5.0,,,,,2.0,,,,,
Willian José,W. José,68996,BAH,265,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,18,2.69,Willian José da Silva,0.0,5,7.55,20,willian-jose,7,-0.47,2.0,,,,,3.0,12.0,5.0,7.0,4.0,1.0,3.0,,,,,1.0,1.0,,
Santos,Santos,69012,CAP,293,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,18,3.95,Aderbar Melo dos Santos Neto,10.2,1,9.18,20,santos,7,1.34,,1.0,,45.0,,,,,,1.0,,,,17.0,,,,,6.0,
Allan,Allan,69140,BOT,263,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,10,2.03,Allan Marques Loureiro,0.0,4,4.48,20,allan,5,0.0,,3.0,,,,15.0,11.0,,2.0,5.0,,,,,,,,,,
Gabriel Paulista,G. Paulista,69208,COR,264,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,15,4.54,Gabriel Armando de Abreu,1.0,3,8.97,20,gabriel-paulista,7,-0.63,,3.0,,,,16.0,13.0,1.0,9.0,9.0,,1.0,,,,,,,6.0,
Danilo,Danilo,69783,FLA,262,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,5,1.38,Danilo Luiz da Silva,0.0,3,5.86,20,danilo,6,0.0,,,1.0,,,3.0,3.0,,1.0,1.0,,,,,,,,,1.0,
Lucas Moura,L. Moura,70164,SAO,276,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,8,2.32,Lucas Rodrigues Moura da Silva,0.0,4,7.5,20,lucas-moura,5,0.0,1.0,,,,,,5.0,2.0,2.0,6.0,,1.0,,,,,,,,
Eduardo Sasha,E. Sasha,70360,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,15,1.04,Eduardo Colcenti Antunes,0.8,5,4.21,20,eduardo-sasha,6,0.07,,,,,,5.0,1.0,6.0,5.0,11.0,,,,,3.0,,2.0,,,
Gabriel,Gabriel,70449,VIT,287,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,3,0.9,Gabriel Vasconcelos Ferreira,0.0,1,5.02,20,gabriel,6,0.0,,,,4.0,,,,,,1.0,,,,8.0,,,,,1.0,
Felipe Anderson,F. Anderson,70592,PAL,275,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,14,3.26,Felipe Anderson Pereira Gomes,10.0,4,7.57,20,felipe-anderson,6,0.6,1.0,1.0,,,,14.0,8.0,1.0,4.0,5.0,,2.0,,,,,,,,
Marllon,Marllon,70666,REM,364,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,19,2.97,Marllon Gonçalves Jerônimo Borges,0.0,3,5.3,20,marllon,7,0.0,,3.0,,,,25.0,11.0,,2.0,11.0,,1.0,,,,,,,2.0,
Bruno Henrique,B. Henrique,70944,INT,285,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,17,1.9,Bruno Henrique Corsini,1.5,4,4.06,20,bruno-henrique,7,-0.1,1.0,,,,,12.0,18.0,4.0,9.0,6.0,,,,,1.0,,,,,
Léo Vieira,L. Vieira,71043,BAH,265,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,16,5.02,Leonardo da Silva Vieira,0.0,1,6.82,20,leo-vieira,5,0.0,,1.0,,71.0,,,,,,4.0,,,,23.0,,,,,2.0,
Thiago Mendes,T. Mendes,71123,VAS,267,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,16,4.39,Thiago Henrique Mendes Ribeiro,0.0,4,7.83,20,thiago-mendes,6,0.0,1.0,6.0,,,,11.0,13.0,3.0,5.0,38.0,,4.0,,,1.0,,,,,
Maicon,Maicon,71227,CFC,294,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,13,2.08,Maicon Pereira Roque,0.0,3,4.14,20,maicon,6,0.0,,,1.0,,,7.0,5.0,,,4.0,,,,,,1.0,,,4.0,
Luiz Gustavo,L. Gustavo,71536,CAP,293,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,13,3.55,Luiz Gustavo Dias,4.0,4,6.43,20,luiz-gustavo,7,0.45,,2.0,,,,10.0,13.0,5.0,3.0,19.0,1.0,2.0,,,,,,,,
Weverton,Weverton,71631,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,17,4.89,Weverton Pereira da Silva,0.0,1,7.67,20,weverton,6,0.0,1.0,1.0,,45.0,2.0,,,,,5.0,,,,20.0,,1.0,,,5.0,
Gustavo Gómez,G. Gómez,71684,PAL,275,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,18,4.61,Gustavo Raúl Gómez Portillo,3.1,3,10.18,20,gustavo-gomez,7,0.04,1.0,,,,,13.0,16.0,1.0,9.0,3.0,,3.0,,,6.0,,,,6.0,
Gabriel Pires,G. Pires,71898,MIR,2305,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,6,3.63,Gabriel Appelt Pires,0.0,4,5.77,20,gabriel-pires,6,0.0,1.0,1.0,,,,4.0,5.0,3.0,4.0,7.0,1.0,,,,,,,,,
Tiago Volpi,T. Volpi,72018,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,12,6.09,Tiago Luis Volpi,7.6,1,10.55,20,tiago-volpi,6,0.1,,,,33.0,,,,,,,,2.0,,11.0,,,,,5.0,
Thomazella,Thomazella,72279,MIR,2305,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Carlos Eduardo Lecciolle Thomazella,0.0,1,2.0,20,thomazella,7,0.0,,,,,,,,,,,,,,,,,,,,
Everson,Everson,72294,CAM,282,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,20,4.45,Everson Felipe Marques Pires,5.5,1,9.54,20,everson,6,0.4,1.0,,,66.0,,,,,,6.0,,,,25.0,,,,,4.0,
Fernando Diniz,F. Diniz,72391,COR,264,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,13,5.62,Fernando Diniz Silva,3.28,6,8.99,20,fernando-diniz,7,-0.9,,,,,,,,,,,,,,,,,,,,5.0
Bernard,Bernard,72460,CAM,282,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,17,3.04,Bernard Anício Caldeira Duarte,2.0,4,4.82,20,bernard,6,-0.95,3.0,,,,,14.0,10.0,1.0,3.0,15.0,,1.0,,,3.0,,,,,
Alex Telles,A. Telles,72493,BOT,263,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,15,4.11,Alex Nicolao Telles,9.5,2,10.07,20,alex-telles,6,0.99,3.0,4.0,,,,16.0,19.0,,6.0,5.0,,2.0,,,,1.0,,,2.0,
Vitor Hugo,V. Hugo,72605,CAM,282,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,7,3.86,Vitor Hugo Franchescoli de Souza,0.0,3,6.67,20,vitor-hugo,6,-2.0,,1.0,,,,5.0,2.0,,2.0,3.0,,1.0,,,,,,,2.0,
