atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Rodrigo Moledo,R. Moledo,63354,CFC,294,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,7.75,Rodrigo Modesto da Silva Moledo,0.0,3,7.4,18,rodrigo-moledo,6,0.0,,,,,,1.0,,,,2.0,,1.0,,,,,,,1.0,
Alan Patrick,A. Patrick,68685,INT,285,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,14,4.02,Alan Patrick Lourenço,2.0,4,7.43,18,alan-patrick,6,0.06,,1.0,,,,9.0,5.0,2.0,10.0,22.0,,3.0,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,11,2.78,Carlos Eduardo de Oliveira Alves,-1.0,4,5.57,18,eduardo,6,-0.5,,1.0,1.0,,,8.0,9.0,2.0,3.0,9.0,,2.0,,,,,,,,
Neto,Neto,68806,BOT,263,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,10,2.89,Norberto Murara Neto,-1.7,1,6.65,18,neto,6,-0.85,,,1.0,31.0,,,,,,1.0,,,,14.0,,,,,1.0,
Rafael Santos,R. Santos,68822,CHA,315,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4,3.75,Rafael de Carvalho Santos,0.0,1,4.94,18,rafael-santos,6,0.0,,,,20.0,,,,,,,,,,11.0,,,,,,
Marcelo Lomba,M. Lomba,68872,PAL,275,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,1,8.9,Marcelo Lomba do Nascimento,8.9,1,7.08,18,marcelo-lomba,6,3.08,,,,3.0,,,,,,,,,,,,,,,1.0,
Dudu,Dudu,68920,CAM,282,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,12,2.78,Eduardo Pereira Rodrigues,0.0,5,6.58,18,dudu,6,0.0,,,,,,2.0,2.0,6.0,4.0,9.0,,2.0,,,,,,,,
Rafael,Rafael,68928,SAO,276,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,18,3.55,Rafael Pires Monteiro,0.3,1,7.38,18,rafael,7,-0.77,,1.0,,49.0,,,,,,2.0,,,,20.0,,,,,4.0,
Giovanni Augusto,G. Augusto,68938,CHA,315,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,10,1.2,Giovanni Augusto Oliveira Cardoso,2.0,4,3.44,18,giovanni-augusto,6,-0.07,,1.0,,,,6.0,5.0,,,11.0,,,,,,,,,,
Marinho,Marinho,68952,VIT,287,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,6,1.75,Mário Sérgio Santos Costa,0.0,5,4.73,18,marinho,6,-0.64,,,,,,4.0,2.0,1.0,2.0,5.0,,,,,2.0,,,,,
Willian José,W. José,68996,BAH,265,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,16,2.84,Willian José da Silva,2.7,5,8.04,18,willian-jose,7,-0.65,2.0,,,,,3.0,12.0,5.0,7.0,4.0,,3.0,,,,,1.0,1.0,,
Santos,Santos,69012,CAP,293,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,16,3.7,Aderbar Melo dos Santos Neto,8.9,1,8.85,18,santos,7,1.13,,1.0,,39.0,,,,,,1.0,,,,16.0,,,,,5.0,
Allan,Allan,69140,BOT,263,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,10,2.03,Allan Marques Loureiro,0.0,4,4.48,18,allan,5,0.0,,3.0,,,,15.0,11.0,,2.0,5.0,,,,,,,,,,
Gabriel Paulista,G. Paulista,69208,COR,264,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,13,4.76,Gabriel Armando de Abreu,2.8,3,9.3,18,gabriel-paulista,7,-0.76,,2.0,,,,15.0,12.0,1.0,9.0,7.0,,1.0,,,,,,,5.0,
Danilo,Danilo,69783,FLA,262,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,4,0.48,Danilo Luiz da Silva,0.0,3,5.57,18,danilo,6,0.0,,,1.0,,,3.0,3.0,,1.0,1.0,,,,,,,,,,
Lucas Moura,L. Moura,70164,SAO,276,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,8,2.32,Lucas Rodrigues Moura da Silva,0.0,4,7.5,18,lucas-moura,5,0.0,1.0,,,,,,5.0,2.0,2.0,6.0,,1.0,,,,,,,,
Eduardo Sasha,E. Sasha,70360,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,14,1.06,Eduardo Colcenti Antunes,0.0,5,4.14,18,eduardo-sasha,6,-0.02,,,,,,5.0,1.0,6.0,4.0,11.0,,,,,3.0,,2.0,,,
Gabriel,Gabriel,70449,VIT,287,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,3,0.9,Gabriel Vasconcelos Ferreira,-1.7,1,5.02,18,gabriel,6,-0.58,,,,4.0,,,,,,1.0,,,,8.0,,,,,1.0,
Felipe Anderson,F. Anderson,70592,PAL,275,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,13,2.74,Felipe Anderson Pereira Gomes,7.8,4,6.97,18,felipe-anderson,2,0.9,1.0,1.0,,,,13.0,8.0,1.0,4.0,4.0,,1.0,,,,,,,,
Marllon,Marllon,70666,REM,364,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,18,3.08,Marllon Gonçalves Jerônimo Borges,7.3,3,6.15,18,marllon,7,0.64,,2.0,,,,24.0,11.0,,2.0,10.0,,1.0,,,,,,,2.0,
Bruno Henrique,B. Henrique,70944,INT,285,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,15,1.91,Bruno Henrique Corsini,5.2,4,4.52,18,bruno-henrique,7,0.46,1.0,,,,,10.0,18.0,4.0,8.0,6.0,,,,,1.0,,,,,
Jean Carlos,J. Carlos,70958,CHA,315,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,17,2.4,Jean Carlos Vicente,-0.3,4,6.19,18,jean-carlos,6,-0.35,2.0,2.0,,,,3.0,6.0,4.0,8.0,6.0,,2.0,,,2.0,,,,,
Léo Vieira,L. Vieira,71043,BAH,265,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,16,5.02,Leonardo da Silva Vieira,0.0,1,6.82,18,leo-vieira,5,0.0,,1.0,,71.0,,,,,,4.0,,,,23.0,,,,,2.0,
Thiago Mendes,T. Mendes,71123,VAS,267,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,16,4.39,Thiago Henrique Mendes Ribeiro,5.0,4,7.83,18,thiago-mendes,6,0.19,1.0,6.0,,,,11.0,13.0,3.0,5.0,38.0,,4.0,,,1.0,,,,,
Maicon,Maicon,71227,CFC,294,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,13,2.08,Maicon Pereira Roque,0.0,3,4.14,18,maicon,5,0.0,,,1.0,,,7.0,5.0,,,4.0,,,,,,1.0,,,4.0,
Luiz Gustavo,L. Gustavo,71536,CAP,293,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,11,3.75,Luiz Gustavo Dias,0.0,4,6.78,18,luiz-gustavo,5,0.0,,2.0,,,,8.0,11.0,4.0,2.0,18.0,1.0,2.0,,,,,,,,
Weverton,Weverton,71631,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,17,4.89,Weverton Pereira da Silva,0.0,1,7.67,18,weverton,6,0.0,1.0,1.0,,45.0,2.0,,,,,5.0,,,,20.0,,1.0,,,5.0,
Gustavo Gómez,G. Gómez,71684,PAL,275,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,16,4.82,Gustavo Raúl Gómez Portillo,0.0,3,10.86,18,gustavo-gomez,2,0.0,1.0,,,,,10.0,15.0,1.0,7.0,3.0,,3.0,,,6.0,,,,6.0,
Gabriel Pires,G. Pires,71898,MIR,2305,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,6,3.63,Gabriel Appelt Pires,0.0,4,5.77,18,gabriel-pires,6,0.0,1.0,1.0,,,,4.0,5.0,3.0,4.0,7.0,1.0,,,,,,,,,
Tiago Volpi,T. Volpi,72018,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,11,5.95,Tiago Luis Volpi,8.3,1,10.45,18,tiago-volpi,6,-0.53,,,,31.0,,,,,,,,2.0,,11.0,,,,,4.0,
Thomazella,Thomazella,72279,MIR,2305,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Carlos Eduardo Lecciolle Thomazella,0.0,1,2.0,18,thomazella,6,0.0,,,,,,,,,,,,,,,,,,,,
Everson,Everson,72294,CAM,282,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,18,4.47,Everson Felipe Marques Pires,14.6,1,10.67,18,everson,7,1.67,1.0,,,58.0,,,,,,6.0,,,,23.0,,,,,4.0,
Fernando Diniz,F. Diniz,72391,COR,264,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,11,5.39,Fernando Diniz Silva,7.58,6,9.26,18,fernando-diniz,7,0.09,,,,,,,,,,,,,,,,,,,,4.0
Bernard,Bernard,72460,CAM,282,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,15,2.66,Bernard Anício Caldeira Duarte,8.0,4,5.29,18,bernard,7,0.65,2.0,,,,,10.0,8.0,1.0,2.0,14.0,,1.0,,,3.0,,,,,
Alex Telles,A. Telles,72493,BOT,263,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,14,3.72,Alex Nicolao Telles,3.5,2,9.08,18,alex-telles,6,0.18,2.0,3.0,,,,16.0,18.0,,5.0,5.0,,2.0,,,,1.0,,,1.0,
Vitor Hugo,V. Hugo,72605,CAM,282,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,6,4.5,Vitor Hugo Franchescoli de Souza,14.5,3,8.67,18,vitor-hugo,6,2.57,,1.0,,,,5.0,2.0,,2.0,3.0,,1.0,,,,,,,2.0,
Mercado,Mercado,72951,INT,285,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,11,3.91,Gabriel Iván Mercado,-1.9,3,5.65,18,mercado,2,-0.72,,4.0,,,,15.0,14.0,1.0,2.0,6.0,,1.0,,,1.0,,,,3.0,
Daniel Borges,D. Borges,73318,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,5,4.04,Daniel Fortunato Borges,4.7,2,5.75,18,daniel-borges,6,-0.24,,,,,,6.0,3.0,1.0,3.0,7.0,,,,,,,,,1.0,
Samuel Xavier,S. Xavier,73384,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,3.33,Samuel Xavier Brito,-0.8,2,7.21,18,samuel-xavier,6,-0.95,,3.0,,,,16.0,14.0,1.0,2.0,21.0,,,,,1.0,,,,2.0,
Rincón,Rincón,74187,SAN,277,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,2,-0.7,Tomás Eduardo Rincón Hernández,0.0,4,2.81,18,rincon,6,0.0,,1.0,,,,,3.0,,,1.0,,,,,,,,,,
Carrillo,Carrillo,77485,COR,264,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,13,1.32,André Martín Carrillo Díaz,0.0,4,4.24,18,carrillo,6,-0.17,1.0,3.0,,,,12.0,23.0,,2.0,5.0,,,,,,,,,,
Cédric Soares,C. Soares,77656,SAO,276,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,8,0.94,Cédric Ricardo Alves Soares,0.0,2,3.73,18,cedric-soares,6,0.0,,1.0,,,,5.0,2.0,,2.0,,,,,,,,,,,
João Schmidt,J. Schmidt,77777,SAN,277,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,9,1.52,João Felipe Schmidt Urbano,0.0,4,4.61,18,joao-schmidt,5,0.0,,1.0,,,,10.0,13.0,,2.0,4.0,,,,,,,,,,
Everaldo,Everaldo,78117,BAH,265,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,15,4.04,Everaldo Stum,2.3,5,6.29,18,everaldo,6,-0.85,,2.0,,,,10.0,13.0,3.0,6.0,16.0,1.0,4.0,,,1.0,,,,,
Gustavo Henrique,G. Henrique,78248,COR,264,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,14,3.56,Gustavo Henrique Vernes,0.2,3,8.01,18,gustavo-henrique,7,-1.38,,3.0,,,,12.0,16.0,4.0,9.0,7.0,,,,,,1.0,,,5.0,
Vitinho,Vitinho,78435,COR,264,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,7,2.13,Victor Vinícius Coelho dos Santos,0.0,5,5.06,18,vitinho,5,0.0,,,,,,5.0,5.0,2.0,5.0,5.0,,,,,,,,,,
Renê,Renê,78445,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,11,5.9,Renê Rodrigues Martins,6.2,2,9.88,18,rene,6,-0.55,2.0,1.0,,,,26.0,8.0,3.0,2.0,8.0,,,,,,,,,2.0,
Willian Arão,W. Arão,78478,SAN,277,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,12,2.7,Willian Souza Arão da Silva,7.7,4,6.08,18,willian-arao,6,0.75,,1.0,,,,20.0,5.0,,,4.0,1.0,,,,,,,,,
Gabriel,Gabriel,78605,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,16,3.17,Gabriel Girotto Franco,0.9,4,5.17,18,gabriel,6,-0.6,,5.0,,,,22.0,13.0,5.0,2.0,8.0,,2.0,,,,1.0,,,,
Reinaldo,Reinaldo,78850,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,13,2.2,Reinaldo Manoel da Silva,0.0,2,7.76,18,reinaldo,6,-1.12,1.0,5.0,,,,8.0,10.0,2.0,9.0,10.0,,,,,,,,,1.0,
Thiago Santos,T. Santos,78855,CFC,294,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,11,3.2,Thiago dos Santos,3.2,3,4.35,18,thiago-santos,7,-0.28,,3.0,,,,10.0,8.0,1.0,,9.0,,,,,,,,,4.0,
Alex Muralha,A. Muralha,79066,MIR,2305,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,-1.0,Alex Roberto Santana Rafael,0.0,1,2.64,18,alex-muralha,6,0.0,,1.0,,,,,,,,,,,,,,,,,,
Cano,Cano,79631,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,4,0.7,Germán Ezequiel Cano,1.2,5,4.29,18,cano,6,-0.33,,,,,,,,1.0,2.0,,,,,,,,,,,
Lucas Silva,L. Silva,79701,CRU,283,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,13,0.3,Lucas Silva Borges,0.0,4,3.62,18,lucas-silva,6,0.0,,4.0,,,,5.0,7.0,,2.0,2.0,,,,,,,,,,
Saúl,Saúl,80061,FLA,262,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,6,2.43,Saúl Ñíguez Esclapez,0.0,4,6.28,18,saul,6,-0.65,1.0,,,,,7.0,3.0,,,,,,,,,,,,,
Jadson,Jadson,80129,CAP,293,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,11,2.92,Jadson Alves dos Santos,2.8,4,4.95,18,jadson,7,-1.68,1.0,4.0,,,,19.0,14.0,,1.0,12.0,,,,,,,,,,
