,atletas.variacao_num,atletas.rodada_id,atletas.apelido,atletas.status_id,atletas.entrou_em_campo,atletas.clube_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.atleta_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.pontos_num,atletas.posicao_id,atletas.foto,atletas.media_num,atletas.clube.id.full.name,DS,FS,G,FD,DE,GS,FC,FF,CA,A,I,PS,SG,PC,PP,CV,FT,V,DP,GC
50,0.0,3,Thomazella,6,False,2305,Carlos Eduardo Lecciolle Thomazella,thomazella,2.0,72279,0,Thomazella,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0.0,MIR,,,,,,,,,,,,,,,,,,,,
51,-1.22,3,Everson,7,True,282,Everson Felipe Marques Pires,everson,8.86,72294,3,Everson,0.9,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2.93,CAM,,1.0,,,11.0,6.0,,,,,,,,,,,,,,
52,-0.58,3,Fernando Diniz,7,True,267,Fernando Diniz Silva,fernando-diniz,7.85,72391,3,F. Diniz,2.86,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,4.19,VAS,,,,,,,,,,,,,,,,,,,,
53,-0.81,3,Bernard,7,True,282,Bernard Anício Caldeira Duarte,bernard,4.12,72460,3,Bernard,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0.8,CAM,2.0,,,,,,2.0,,,,,,,,,,,,,
54,-0.87,3,Alex Telles,6,True,263,Alex Nicolao Telles,alex-telles,9.99,72493,3,A. Telles,1.4,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,3.1,BOT,4.0,1.0,,,,,4.0,,,,,,1.0,1.0,,,,,,
55,0.0,3,Vitor Hugo,6,False,282,Vitor Hugo Franchescoli de Souza,vitor-hugo,7.0,72605,0,V. Hugo,0.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0.0,CAM,,,,,,,,,,,,,,,,,,,,
56,-0.06,3,Mercado,7,True,285,Gabriel Iván Mercado,mercado,4.9,72951,2,Mercado,2.3,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,2.15,INT,3.0,1.0,,1.0,,,3.0,,1.0,,,,,,,,,,,
57,0.0,3,Daniel Borges,5,False,2305,Daniel Fortunato Borges,daniel-borges,4.0,73318,0,D. Borges,0.0,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0.0,MIR,,,,,,,,,,,,,,,,,,,,
58,0.14,3,Samuel Xavier,7,True,266,Samuel Xavier Brito,samuel-xavier,8.59,73384,3,S. Xavier,5.4,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,4.2,FLU,5.0,4.0,,,,,3.0,,1.0,,,,1.0,,,,,,,
59,0.91,3,Gilmar Dal Pozzo,6,True,315,Gilmar Dal Pozzo,gilmar-dal-pozzo,6.35,73481,3,G. Pozzo,6.49,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,6.04,CHA,,,,,,,,,,,,,,,,,,1.0,,
60,0.61,3,Juan Carlos Osorio,7,True,364,Juan Carlos Osorio Arbeláez,juan-carlos-osorio,7.06,73717,3,J. Osorio,6.91,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,4.91,REM,,,,,,,,,,,,,,,,,,,,
61,0.0,3,Rincón,6,False,277,Tomás Eduardo Rincón Hernández,rincon,4.0,74187,0,Rincón,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0.0,SAN,,,,,,,,,,,,,,,,,,,,
62,0.08,3,Carrillo,7,True,264,André Martín Carrillo Díaz,carrillo,6.93,77485,2,Carrillo,3.4,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,3.3,COR,4.0,2.0,,,,,4.0,1.0,,,,,,,,,,,,
