"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","DD","GS","A","FD","FF","G","I","FT","CV","GC","PP","DP"
"11","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,5,287,"ata","Nulo",2.1,6.64,0.12,0.75,4,NA,3,4,7,1,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA
"12","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,5,316,"mei","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,5,293,"tec","Provável",3.1,4.69,0.29,1.61,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/c6897c70d68e2827f58c99a251df8b57_FORMATO.png",36940,5,292,"tec","Provável",6.03,7.31,1.28,2.52,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,5,316,"ata","Provável",6.2,13.68,0.57,6.96,5,1,9,6,13,NA,NA,NA,NA,NA,4,6,4,3,1,NA,NA,NA,NA
"16","Lauro Júnior Batista da Cruz","Lauro","https://s.glbimg.com/es/sde/f/2016/05/09/249e731821db5544fc0c4fb41a95db56_FORMATO.jpeg",37659,5,282,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/05/01/25183d41515e2ce759f2ba9f81973c85_FORMATO.jpeg",37701,5,344,"lat","Provável",-3.7,6,-1.83,2,4,2,4,1,9,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"18","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,5,283,"gol","Provável",4.7,11.31,0.34,1.92,5,1,1,NA,3,NA,1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,5,266,"lat","Provável",3.3,8.85,-0.11,2.94,5,1,4,5,10,5,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"20","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,5,266,"mei","Provável",1,8.13,-0.46,1.42,5,1,12,11,23,5,NA,NA,NA,1,1,5,NA,3,NA,NA,NA,NA,NA
"21","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,5,283,"mei","Provável",2,8.06,-0.7,3.42,5,1,5,10,16,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"22","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/30/1c83a2b2521974f5bd8599c7f316093a_FORMATO.png",37673,5,275,"ata","Dúvida",-1.1,7.42,-0.62,1.26,5,NA,8,2,8,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA
"23","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,5,275,"mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,5,284,"gol","Nulo",0,13.39,0,6.72,4,1,NA,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,5,275,"zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,5,327,"ata","Contundido",0,4.19,0,-0.3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,5,266,"ata","Nulo",0,4.83,-0.61,0.1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,5,303,"mei","Provável",1.3,4.98,0.01,1.17,4,1,4,2,3,2,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA
"29","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,5,276,"zag","Nulo",-1.4,12.05,-1.65,4.4,4,2,4,2,4,3,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"30","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,5,284,"ata","Nulo",0.5,3.78,-0.56,0.63,3,1,3,1,3,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"31","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,5,292,"zag","Provável",6,8.51,1.26,2,5,1,2,4,23,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"32","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,5,275,"gol","Provável",-8.6,13.53,-4.29,2.5,5,1,NA,NA,5,NA,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/04/29/051e0c1a969576b42a581ea11d406bfb_FORMATO.png",38162,5,266,"ata","Provável",-1.7,18.94,-2.44,3.74,5,1,12,15,12,1,NA,NA,NA,NA,1,8,2,3,NA,NA,NA,NA,NA
"34","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,5,263,"gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,5,277,"mei","Nulo",-1.8,6.45,-2.55,-1.8,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"36","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2016/04/30/27dcb564ab7d595bb92c4d5fe4904a62_FORMATO.png",38196,5,284,"mei","Provável",0.4,8.78,-0.48,3.3,5,2,6,8,23,12,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"37","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/04/30/2d47e1f5bef0b4aa0ab4264b268c858a_FORMATO.png",37792,5,284,"mei","Nulo",0,1.03,0,-1.25,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Alex Raphael Meschini","Alex","https://s.glbimg.com/es/sde/f/2016/04/30/d4e8412bf508df299340807940cfcb38_FORMATO.png",38219,5,285,"mei","Nulo",-1.3,3.42,-1.15,-0.63,3,2,2,3,1,NA,NA,NA,NA,1,1,2,NA,1,NA,1,NA,NA,NA
"39","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,5,264,"mei","Nulo",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,5,344,"ata","Provável",-2.8,23.92,-1.52,7.84,5,2,15,11,5,1,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA
"41","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,5,294,"mei","Provável",3.2,14.99,-0.35,6.13,3,NA,3,11,17,7,NA,NA,NA,1,1,3,NA,1,NA,NA,NA,NA,NA
"42","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,5,315,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/05/09/8ba64e76cef79e4543ffd32d93976a9e_FORMATO.jpeg",37790,5,294,"lat","Contundido",0,6.21,0,1.05,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,5,303,"ata","Nulo",0.8,6.54,-1.09,1.2,5,1,9,3,5,NA,NA,NA,NA,NA,2,5,1,2,NA,NA,NA,NA,NA
"45","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,5,315,"mei","Suspenso",-3.1,3.59,-1.08,0.86,5,3,12,4,12,5,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA
"46","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,5,282,"ata","Provável",-0.4,19.95,-6.05,-0.4,1,NA,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2016/04/20/a9fe945df23da97fd8ba3c0574058bbf_FORMATO.png",38311,5,262,"mei","Provável",5,10.17,0.19,6.78,4,NA,3,11,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/f9c95517b0a6cf130d7f84e6aab3bb68_FORMATO.png",38425,5,303,"zag","Nulo",2.1,5.19,-0.27,3.7,2,1,3,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/05/02/5f7bfa11c186ee13301ee12bd7f34f0f_FORMATO.jpeg",38287,5,303,"ata","Provável",-3,4.55,-1.64,0.9,3,1,2,2,7,NA,NA,NA,NA,NA,1,4,NA,1,1,NA,NA,NA,NA
"50","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,5,266,"gol","Provável",1,8.44,-0.67,2.28,5,NA,NA,NA,2,NA,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/5cb6787323010c1ede0ce214b83bd2c9_FORMATO.png",38530,5,275,"mei","Nulo",0,15.62,0,2.67,3,NA,4,2,13,1,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,NA,NA
"52","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,5,266,"mei","Contundido",0,9.9,0,4.1,3,NA,6,3,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Marcos Roberto da Silva Barbosa","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/29/b0d8a0ac72e4282897d8e69e4c670c2b_FORMATO.png",38515,5,316,"zag","Provável",4.6,5.14,0.14,4.6,1,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Fernando Leal Fonseca","Fernando Leal","https://s.glbimg.com/es/sde/f/2016/05/09/b4d5d9d8070f8826d346104d0f83e14a_FORMATO.png",38350,5,327,"gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2016/04/30/249fed612a2888df8575c1a9be60b53a_FORMATO.png",38573,5,285,"mei","Nulo",0,4.5,0,1.45,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"56","Matheus Ferraz Pereira","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",38632,5,292,"zag","Provável",2.9,4.18,0.77,0.75,2,NA,3,NA,10,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"57","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,5,292,"mei","Nulo",0.9,1.79,-0.21,0.9,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"58","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2016/04/30/769e4a5d5c29aacc6485e57746072683_FORMATO.png",38738,5,284,"mei","Provável",-1.5,5.73,-0.68,-1.37,4,1,5,4,18,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"59","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2016/05/01/208f53e7054acabd7a229fe523f020bf_FORMATO.png",42145,5,275,"lat","Nulo",0,19.73,0,5.73,3,NA,NA,5,16,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"60","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,5,293,"zag","Provável",6.3,7.62,0.83,2.54,5,1,3,5,14,4,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA
"61","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2016/05/20/eeb7e05e53591c540ca7736a40700ac0_FORMATO.jpeg",38523,5,284,"lat","Provável",12.4,12.37,2.59,8.57,4,NA,12,4,20,8,3,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA
"62","Leandro Luchese Guerreiro","Leandro Guerreiro","https://s.glbimg.com/es/sde/f/2016/05/09/9fcbb33c340908edfdb650fe7c281ed4_FORMATO.png",38822,5,327,"mei","Provável",-1.8,2.34,-0.92,0.28,5,1,6,NA,24,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Carlos Andrade Souza","Carlinhos","https://s.glbimg.com/es/sde/f/2016/05/01/d446f5335ee4582353eb54aec7443ad2_FORMATO.png",38451,5,276,"lat","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,5,277,"ata","Contundido",0,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/01/65ba6d104f9bf5f59b41bf5d109d9d3f_FORMATO.png",38957,5,275,"ata","Nulo",0,6.76,0,1.17,3,1,2,NA,4,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"66","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2016/05/09/12665443037abe696b9b0e8b793b4b9d_FORMATO.png",39152,5,327,"lat","Contundido",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2016/05/01/49909c7b610545598b92f0e07bdee08e_FORMATO.png",38908,5,277,"mei","Provável",0.7,11.83,-0.34,2.74,5,NA,3,5,15,5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"68","Leandro Domingues Barbosa","Leandro Domingues","https://s.glbimg.com/es/sde/f/2016/05/01/229b055bfda96bb451ff23fa36f34c4e_FORMATO.png",39144,5,287,"mei","Provável",-0.9,7.16,-0.73,2.56,5,NA,6,6,8,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA
"69","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2016/05/01/96e491504eed845c49686d39f3ce056b_FORMATO.png",39850,5,287,"tec","Provável",-0.44,3.97,-0.87,2.32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2016/04/29/ae267a00ae891c3954a903d5883dd354_FORMATO.png",40025,5,266,"tec","Provável",2.26,11.91,-0.67,3.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/05/31/d0af15bf90b7d6ddd70ea29214519277_FORMATO.png",38928,5,263,"mei","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2016/04/28/3d30ea7a106ec16adcd2d114cd81b8ef_FORMATO.png",40179,5,294,"ata","Provável",0,17.03,0,2.97,4,3,11,12,8,1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA
"73","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,5,292,"gol","Provável",6,8.94,0.83,3.88,5,NA,NA,2,2,NA,1,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2016/04/29/a8b9e1fa95ea371a1fe20b43399b8389_FORMATO.png",42222,5,266,"ata","Nulo",3.3,7.2,0.39,2.12,4,NA,2,2,9,5,NA,NA,NA,NA,3,1,NA,2,NA,NA,NA,NA,NA
"75","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2016/04/30/782b68bfa6a0e5f34271aa9a00e550be_FORMATO.png",38852,5,285,"mei","Contundido",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2016/04/29/ebeec9645240ab968fdbbb15f61f93e6_FORMATO.png",42116,5,283,"ata","Nulo",1.7,13.2,-0.88,2.92,5,NA,5,8,5,4,NA,NA,NA,NA,6,4,NA,2,NA,NA,NA,NA,NA
"77","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,5,275,"tec","Provável",3.98,13.1,0.38,3.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2016/04/30/2d7884d092837e8a2431feb597c5649c_FORMATO.png",42213,5,285,"mei","Provável",-3.4,11.06,-2.32,3.04,5,2,21,9,18,17,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"79","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2016/04/28/5d7d807595168812606d2dcce7462db9_FORMATO.png",42500,5,264,"lat","Provável",9.1,26.79,0.71,10.44,5,NA,5,9,30,14,4,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA
"80","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2016/04/28/8d0f1d77fad8f00513e096df10da46e2_FORMATO.png",42234,5,264,"gol","Nulo",0,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,5,276,"lat","Provável",4.6,8.82,-0.43,4.4,4,NA,5,6,16,7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Adenor Leonardo Bachi","Tite","https://s.glbimg.com/es/sde/f/2016/05/24/a668062aeb16e3694f688b0b293538af_FORMATO.png",45125,5,264,"tec","Provável",5.48,15.15,0.14,5.03,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Danny Bittencourt Morais","Danny Morais","https://s.glbimg.com/es/sde/f/2016/05/01/d58fc02548731386b20009a3a1d294ef_FORMATO.png",42247,5,344,"zag","Provável",0.5,0.77,0,-0.88,5,NA,5,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2016/05/11/171a6a7d4871817e99d7d69098a772dc_FORMATO.jpeg",49674,5,275,"lat","Nulo",-1.5,6.53,-2.47,-1.5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Ricardo Gomes Raymundo","Ricardo Gomes","https://s.glbimg.com/es/sde/f/2016/05/22/2aa55bb880d01167a216961ab65a3245_FORMATO.png",41273,5,263,"tec","Provável",2.41,7.75,0.15,3.51,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
