"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","RB","SG","FC","CA","DD","GS","FF","FD","I","G","A","CV","PP","FT","DP"
"26","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,1,284,"gol","Provável",0,8.09,0.09,3,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,1,283,"mei","Provável",0,6.69,2.69,5.1,1,4,4,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/05/09/8ba64e76cef79e4543ffd32d93976a9e_FORMATO.jpeg",37790,1,294,"lat","Contundido",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/04/30/2d47e1f5bef0b4aa0ab4264b268c858a_FORMATO.png",37792,1,284,"mei","Nulo",0,1.84,-3.16,-2.5,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,1,315,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,1,266,"mei","Provável",0,10.66,-4.34,-0.5,1,NA,4,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"32","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,1,303,"mei","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,1,327,"ata","Contundido",0,4.19,-1.81,-0.3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,1,292,"zag","Provável",0,9.71,-1.29,2.2,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/09/8f5736c815db151f6d5acaeb13711516_FORMATO.png",37623,1,294,"zag","Nulo",0,6.84,2.84,5.3,1,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
