"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes$atletas$scout"
"12","Antônio Josenildo Rodrigues de Oliveira","Tonhão","https://s.glbimg.com/es/sde/f/2016/08/04/d51cfac1a940fa3f376adf92adb770f5_FORMATO.png",91251,20,"CRU","zag","Nulo",0,1,0,0,0,NA
"13","Colin Kazim-Richards","Kazim","https://s.glbimg.com/es/sde/f/2016/07/08/97ad2046879f2e40e250fec419a00f95_FORMATO.png",91519,20,"COR","ata","Contundido",0,7.37,1.41,2.23,9,NA
"14","Celso Juarez Roth","Celso Roth","https://s.glbimg.com/es/sde/f/2010/11/18/8873abde4ad46200c20910f77ff5fb28_FORMATO.jpeg",36856,20,"INT","tec","Provável",0,7.9,-1.37,0.86,1,NA
"15","Wesley Craudio Campos","Wesley","https://s.glbimg.com/es/sde/f/2016/04/30/d68c8e98a54d687d2ecdd392d9fb6f62_FORMATO.png",92618,20,"GRE","lat","Nulo",0,3,0,0,0,NA
"16","Anderson Vieira de Oliveira","Sinho","https://s.glbimg.com/es/sde/f/2016/05/01/10b258e31e55c2556e5fba4d2ecd5ae5_FORMATO.png",91387,20,"SPO","lat","Nulo",0,2,0,0,0,NA
"17","Adryelson Shawann Lima Silva","Adryelson","https://s.glbimg.com/es/sde/f/2016/05/01/486323894355978b9458b0d2217d92bf_FORMATO.png",91664,20,"SPO","zag","Nulo",0,2,0,0,0,NA
"18","Ygor Nogueira de Paula","Ygor Nogueira","https://s.glbimg.com/es/sde/f/2016/05/30/7475a33329d212b5519734b354c01a71_FORMATO.png",91815,20,"FLU","zag","Nulo",0,3,0,0,0,NA
"19","Marciel Silva da Silva","Marciel","https://s.glbimg.com/es/sde/f/2016/04/29/fe41e6320c63045376a7254afe774d06_FORMATO.png",91714,20,"CRU","mei","Nulo",0,2.48,0,0.6,1,NA
"20","Diego Ferreira Matheus","Diego","https://s.glbimg.com/es/sde/f/2016/05/20/765fe7f46128eaa6c091ab1929141074_FORMATO.png",91783,20,"BOT","lat","Nulo",0,3.64,0,3.15,2,NA
"21"," João Pedro Heinen Silva","João Pedro","https://s.glbimg.com/es/sde/f/2016/04/26/2bd76d163ae9eb94cd86282749895a79_FORMATO.png",91687,20,"ATL","mei","Nulo",0,0.78,0,0,1,NA
"22","Caíque França Godoy","Caíque França","https://s.glbimg.com/es/sde/f/2016/04/28/4b89134138fb6ba402a44141ed432198_FORMATO.png",91808,20,"COR","gol","Nulo",0,0.78,0,0,1,NA
"23","Wesley Natã Wachholz","Wesley Natã","https://s.glbimg.com/es/sde/f/2016/05/13/8653785c7505502ef7563836f577017a_FORMATO.png",91743,20,"CHA","ata","Nulo",0,1,0,0,0,NA
"24","José Ivaldo Almeida Silva","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2015/05/04/5aad5afa2a9be00244f20ab7c493864d_FORMATO.png",91866,20,"ATL","zag","Nulo",0,2,0,0,0,NA
"25","Henrique de Souza Trevisan","Henrique Trevisan","https://s.glbimg.com/es/sde/f/2016/04/29/09ee3a91f794b4b7e9a81b639d7f1d88_FORMATO.png",91920,20,"FIG","zag","Nulo",0,1,0,0,0,NA
"26","Lyanco Evangelista Silveira Neves Vojnovic","Lyanco","https://s.glbimg.com/es/sde/f/2016/05/01/5ff95e8dd4eef153e5d1bce5bb2a1604_FORMATO.png",92087,20,"SAO","zag","Provável",0,6.09,-0.21,3.94,5,NA
"27","Giovanny Bariani Marques","Giovanny ","https://s.glbimg.com/es/sde/f/2016/05/13/9790ff844c24e1b895c9c8d06f9d55e4_FORMATO.png",92085,20,"ATL","mei","Nulo",0,2.55,0,0.92,8,NA
"28","Richarlison Andrade","Richarlison ","https://s.glbimg.com/es/sde/f/2016/04/29/f6f08e1efa5ce7033db704164ac007f7_FORMATO.png",92081,20,"FLU","ata","Nulo",0,6.6,0,1.59,15,NA
"29","Christian Sávio Machado","Christian Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/01f735a126510bb7577f5c20f3873cfe_FORMATO.png",91928,20,"AME","mei","Nulo",0,3,0,0,0,NA
"30","Diogo Vitor da Cruz","Diogo Vitor","https://s.glbimg.com/es/sde/f/2016/07/08/ad26552497b6124c3354034e9fa9b11c_FORMATO.png",92094,20,"SAN","lat","Nulo",0,3.43,0,2.7,2,NA
"31","Wallace Lucas Aires da Silva","Wallace","https://s.glbimg.com/es/sde/f/2016/05/01/ed088654406f3682c5c4ea8dbaae2b52_FORMATO.png",92078,20,"SPO","ata","Nulo",0,3,0,0,0,NA
"32","José Carlos Ferreira Junior","Juninho","https://s.glbimg.com/es/sde/f/2016/04/28/58bdc19e4d52c4fafcf8c5c4d1919ad2_FORMATO.png",92182,20,"COR","zag","Provável",0,14.12,-0.38,3.9,19,NA
"33","Ravanelli Ferreira dos Santos","Ravanelli","https://s.glbimg.com/es/sde/f/2016/05/01/7f36b1972a4a471d650cea3bce5c3544_FORMATO.png",92193,20,"PON","mei","Nulo",0,6.5,0,1.77,7,NA
"34","Hyago de Medeiros Engelmann","Hyago","https://s.glbimg.com/es/sde/f/2016/04/29/54702ccae5d017374d3ce636f1ae5add_FORMATO.png",92145,20,"FIG","mei","Nulo",0,1,0,0,0,NA
"35","Evandro da Silva","Evandro","https://s.glbimg.com/es/sde/f/2016/04/28/f4be3bbf0db58f8be3c1ad86131a5b98_FORMATO.png",92192,20,"COR","ata","Dúvida",0,1.72,0,0.9,5,NA
"36","Luis Henrique Farinhas Taffner","Luis Henrique","https://s.glbimg.com/es/sde/f/2016/05/20/4e05ecd1467a76bcc7f07366a16582ff_FORMATO.png",92128,20,"BOT","ata","Nulo",0,4.22,0,-0.58,4,NA
"37","Jair Ventura","Jair Ventura",NA,92180,20,"BOT","tec","Provável",0,9.75,0.76,5.15,1,NA
"38","Caíque Luiz Santos da Purificação","Caíque","https://s.glbimg.com/es/sde/f/2016/05/01/c7b717acd560b03be08e7af47aaa0cf9_FORMATO.png",92207,20,"VIT","gol","Nulo",0,2.93,0,3.57,6,NA
"39","Thiago Ferreira Lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2016/04/28/b117d90d6a1e0614fa67d04f3e306c0c_FORMATO.png",92225,20,"COR","mei","Nulo",0,3.48,0,0.97,6,NA
"40","Walter Leandro Capeloza Artume","Walter","https://s.glbimg.com/es/sde/f/2016/04/28/9520a016aaf4604a0c75d928046c8bd9_FORMATO.png",51413,20,"COR","gol","Nulo",0,12.43,0,6.11,8,NA
"41","Eriks de Souza Santos Pereira","Eriks","https://s.glbimg.com/es/sde/f/2015/05/29/5e6791e87bdd3d77ac02e6c9a2114272_FORMATO.jpeg",91946,20,"INT","zag","Nulo",0,1,0,0,0,NA
"42","Matheus Phillipe Coutinho Gomes","Matheus Phillipe","https://s.glbimg.com/es/sde/f/2016/04/29/92c915db9d214a7b498d2733568b14c2_FORMATO.png",92438,20,"FLU","gol","Nulo",0,1,0,0,0,NA
"43","Jacsson Antônio Wichnovski","Jacsson","https://s.glbimg.com/es/sde/f/2016/05/30/e2893da2338403ab9443530bd37a4a19_FORMATO.png",91710,20,"INT","gol","Nulo",0,1.76,0,-2.8,1,NA
"44","Douglas Augusto Soares Gomes","Douglas","https://s.glbimg.com/es/sde/f/2016/04/29/8612e800a41c6399f2e6910886f19110_FORMATO.png",92497,20,"FLU","mei","Provável",0,5.46,0.45,1.9,15,NA
"45","Silas Araújo da Silva","Silas","https://s.glbimg.com/es/sde/f/2016/06/20/f05426ba9e8c595fda626abfa6be730a_FORMATO.jpeg",91916,20,"INT","mei","Nulo",0,1,0,0,0,NA
"46","Matheus Antonio Souza dos Santos","Matheus Pato","https://s.glbimg.com/es/sde/f/2015/08/12/8892e98d71d0fc38c1aeb55c78a8c28c_FORMATO.jpeg",92290,20,"FLU","ata","Nulo",0,2,0,0,0,NA
"47","Rafael Dumas Ribeiro","Rafael Dumas","https://s.glbimg.com/es/sde/f/2016/04/20/331eaf8147e2a2a768cb57a9a9813023_FORMATO.png",92500,20,"FLA","zag","Nulo",0,0.8,0,0.1,1,NA
"48","Bruno Viana Willemen da Silva","Bruno Viana","https://s.glbimg.com/es/sde/f/2016/04/28/5e8c21e4fe26c6bb8c148b2ae722699d_FORMATO.png",92291,20,"CRU","zag","Nulo",0,1.57,0,0.55,13,NA
"49","Gabriel Pereira da Silva","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/0af286aa902954239098c9fb8e79b885_FORMATO.png",91950,20,"VIT","mei","Nulo",0,3.03,0,3.1,1,NA
"50","José Marcílio Martins da Silva ","Marcílio","https://s.glbimg.com/es/sde/f/2016/05/01/773e6d075f97446aaa6713cadcb1214a_FORMATO.png",92518,20,"STC","mei","Nulo",0,2.72,0,4.52,4,NA
"51","Matheus dos Santos Batista","Batista","https://s.glbimg.com/es/sde/f/2016/04/30/89e0d630df160e2b31dc716d1ffa3c2d_FORMATO.png",92504,20,"GRE","ata","Nulo",0,1.02,0,1,1,NA
"52","Rafaelson Bezerra Fernandes","Rafaelson","https://s.glbimg.com/es/sde/f/2016/05/01/76126c4ff37910430233fdce362777d0_FORMATO.png",92614,20,"VIT","ata","Nulo",0,0.78,0,-0.3,1,NA
"53","Kaio Silva Mendes","Kaio","https://s.glbimg.com/es/sde/f/2016/04/30/a83b6e7bb6661dbbb2b8c85d3afc4b48_FORMATO.png",92574,20,"GRE","mei","Nulo",0,2.87,-0.39,0.73,3,NA
"54","Matheus Trindade Gonçalves","Trindade","https://s.glbimg.com/es/sde/f/2016/04/20/96cce04406801b8a2fd453be35779c55_FORMATO.png",92631,20,"FLA","mei","Nulo",0,1,0,0,0,NA
"55","Matheus Oliveira de Souza","Matheus Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/419d98d3e2a1e376088fe003f6cd7124_FORMATO.png",92661,20,"INT","lat","Nulo",0,1,0,0,0,NA
"56","Kauê da Silva","Kauê","https://s.glbimg.com/es/sde/f/2016/05/01/df7c0360c8ab89632b37753d84417a45_FORMATO.jpeg",92623,20,"PAL","ata","Nulo",0,1,0,0,0,NA
"57","Denilson dos Santos de Souza","Denilson","https://s.glbimg.com/es/sde/f/2016/04/27/55f997db71077c856623d4b6b24af096_FORMATO.jpeg",92662,20,"GRE","zag","Nulo",0,1,0,0,0,NA
"58","Bruno Henrique Baio da Cunha","Bruno Baio","https://s.glbimg.com/es/sde/f/2016/04/30/275cee1c723b9cceb20ae481de7576d3_FORMATO.png",92764,20,"INT","ata","Nulo",0,1.47,0,0.7,2,NA
"59","Leonardo Costa Silva","Léo Tilica","https://s.glbimg.com/es/sde/f/2016/04/27/745d719537dc8e862154a91ac8599e3c_FORMATO.jpeg",92617,20,"GRE","ata","Nulo",0,0.79,0,-0.2,2,NA
"60","Murilo Henrique Oliveira Santos","Murilo","https://s.glbimg.com/es/sde/f/2016/05/01/98decdad61a70e6a6bafcdcc0d9de4e8_FORMATO.png",92663,20,"SAO","ata","Nulo",0,1,0,0,0,NA
"61","Ronaldo da Silva Souza","Ronaldo","https://s.glbimg.com/es/sde/f/2016/04/20/2a554728394f1684ee7952e88936bbc4_FORMATO.png",92981,20,"FLA","mei","Nulo",0,3,0,0,0,NA
"62","Fernando Medeiros","Fernando Medeiros","https://s.glbimg.com/es/sde/f/2016/05/01/834fe463de30d72d6e401c844feb7092_FORMATO.png",92841,20,"SAN","mei","Nulo",0,0.8,0,-0.6,1,NA
"63","Bruno Rafael Rodrigues do Nascimento","Bruno Rodrigues","https://s.glbimg.com/es/sde/f/2016/04/26/82136cdf105e3a392a1e3f8509d4e0d4_FORMATO.jpeg",92811,20,"ATL","ata","Nulo",0,1,0,0,0,NA
"64","Felipe Tontini da Silveira","Tontini","https://s.glbimg.com/es/sde/f/2016/04/30/a46c129afe79570472c320e05f2714b6_FORMATO.png",93152,20,"GRE","mei","Nulo",0,2,0,0,0,NA
"65","Thiago Nascimento dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2016/04/20/9dde03b8c7fb0afd5732393740be4306_FORMATO.png",93151,20,"FLA","ata","Nulo",0,0.82,0,0.07,3,NA
"66","Yan Matheus Santos Souza","Yan","https://s.glbimg.com/es/sde/f/2016/05/01/34831256992fc14506e63c0ef90d673a_FORMATO.png",93146,20,"VIT","mei","Nulo",0,1.77,0,1,1,NA
"67","Augusto de Souza Silva","Augusto","https://s.glbimg.com/es/sde/f/2016/05/01/956f8c7210c70087792d97d2e527d60c_FORMATO.png",93378,20,"PAL","zag","Nulo",0,1,0,0,0,NA
"68","Fábio Carvalho Matos","Fábio","https://s.glbimg.com/es/sde/f/2016/05/01/b3866c797355a02c74cb112a4fbaa9a5_FORMATO.png",93282,20,"SPO","mei","Nulo",0,3,0,0,0,NA
"69","Luiz Miller dos Santos Silva","Luiz Miller","https://s.glbimg.com/es/sde/f/2016/05/01/07a0c81156c35ffc3aa26adc06a9a5e2_FORMATO.png",94143,20,"STC","gol","Nulo",0,1,0,0,0,NA
"70","Wesley Pionteck Souza","Wesley Souza","https://s.glbimg.com/es/sde/f/2016/06/28/25f6b695b94a5b1163a135b74ddb3484_FORMATO.jpeg",93376,20,"SAN","mei","Nulo",0,2,0,0,0,NA
"71","Thallyson Gabriel Lobo Seabra","Thallyson",NA,94144,20,"SPO","ata","Nulo",0,2,0,0,0,NA
"72","Lucas Veríssimo da Silva","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2016/05/01/cc19b9e55d163ff47e693633d0443a0d_FORMATO.png",93368,20,"SAN","zag","Contundido",0,4,0,0,0,NA
"73","Mauro Joel Carli","Joel Carli","https://s.glbimg.com/es/sde/f/2016/05/20/6a298f9b1dd5a88146f9f926e4b91a1b_FORMATO.png",93414,20,"BOT","zag","Nulo",0,5.46,0,0.6,2,NA
"74","Gervasio Daniel Núñez","Gervasio Núñez","https://s.glbimg.com/es/sde/f/2016/05/20/f3f94ef0c4f0873bd1f6a82953360998_FORMATO.png",93697,20,"BOT","mei","Nulo",0,3.36,0,1.53,10,NA
"75","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,20,"SPO","gol","Nulo",0,1,0,0,0,NA
"76","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2016/07/14/4a1f731527e5990caa3c06300b4ee44b_FORMATO.png",94154,20,"PON","mei","Provável",0,3.87,-0.25,1.39,8,NA
"77","Matías Pisano","Pisano","https://s.glbimg.com/es/sde/f/2016/04/29/8007720f25e14fc4faca58ccdf8a89fa_FORMATO.png",93567,20,"STC","mei","Provável",0,4.06,1.1,2.98,5,NA
"78","Reinaldo Lenis Montes","Lenis","https://s.glbimg.com/es/sde/f/2016/05/01/9159bcd85db743f56cfb40ade72eba88_FORMATO.png",93746,20,"SPO","ata","Nulo",0,4.38,0,-0.27,11,NA
"79","Iago Sampaio Silva","Iago","https://s.glbimg.com/es/sde/f/2016/04/27/150290301c0430d874cbf7cea57b3cf8_FORMATO.jpeg",94228,20,"GRE","lat","Nulo",0,2.53,0,8.7,1,NA
"80","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2016/04/20/077473a4e168ab2b7fa9048b8d76a73a_FORMATO.png",94214,20,"FLA","zag","Nulo",0,8,0,2.28,7,NA
"81","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2016/06/28/7bfdbbebd2d56007229af4020f050265_FORMATO.jpeg",94207,20,"GRE","ata","Nulo",0,1.19,-0.05,-0.15,4,NA
"82","Marlon Rodrigues Freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2016/04/29/cfce25280f9e71de54a5d5d03d8db439_FORMATO.png",93790,20,"FLU","mei","Nulo",0,2,0,0,0,NA
"83","Lourency do Nascimento Rodrigues","Lourency","https://s.glbimg.com/es/sde/f/2016/04/27/3a84257ee84604c2cff291c1b066a26b_FORMATO.png",94249,20,"CHA","ata","Nulo",0,1.26,0,0.58,4,NA
"84","Márcio Almeida de Oliveira","Marcinho","https://s.glbimg.com/es/sde/f/2016/05/20/f750960ead90efa047c243b4b6b090cc_FORMATO.png",93797,20,"BOT","lat","Nulo",0,1,0,0,0,NA
"85","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2016/04/27/bdfa01266c1db8f51c4a40573c5ea27a_FORMATO.png",94286,20,"CHA","ata","Nulo",0,1,0,0,0,NA
"86","Maicon da Silva Moreira","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/73eb2f3c2116883ae2fab5c16f675916_FORMATO.png",93804,20,"SPO","lat","Nulo",0,3,0,0,0,NA
"87","Keiller da Silva Nunes","Keiller","https://s.glbimg.com/es/sde/f/2016/04/30/27a59f8c22b27ce18864677f39ede22a_FORMATO.png",93834,20,"INT","gol","Nulo",0,1,0,0,0,NA
"88","Guilherme Natan de Lima","Lima","https://s.glbimg.com/es/sde/f/2016/04/27/059a0e58f2adc09337048722ca4f5ae4_FORMATO.png",94288,20,"CHA","mei","Nulo",0,1,0,0,0,NA
"89","Filipe Rodrigues de Souza Santos","Filipinho","https://s.glbimg.com/es/sde/f/2016/05/13/8d5c16b7b121f5fd67db504d17862635_FORMATO.png",95651,20,"ATL","ata","Nulo",0,1,0,0,0,NA
"90","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2016/05/01/3702c1c16aa8563dfc0d7e4f3399cadd_FORMATO.png",94445,20,"SPO","mei","Nulo",0,1,0,0,0,NA
"91","Kaike Silva Mendes","Kaike","https://s.glbimg.com/es/sde/f/2016/04/30/eda437dba946f4c78406fdb01f3c70a5_FORMATO.png",93835,20,"INT","lat","Nulo",0,1,0,0,0,NA
"92","Rafael Augusto Leite Fachin","Rafael Fachin","https://s.glbimg.com/es/sde/f/2016/05/09/6a8b5fddd514fa4dbc67fcd2c301f4d3_FORMATO.jpeg",93846,20,"COR","gol","Nulo",0,1,0,0,0,NA
"93","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2016/07/08/c899d456ca3d2445e9270a005cb3cf6e_FORMATO.png",94509,20,"COR","mei","Provável",0,2.71,-0.34,2.1,5,NA
"94","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2016/02/15/9014d90f048acbd879798bc652108dd4_FORMATO.jpeg",94583,20,"FLU","ata","Nulo",0,1.05,0,1.2,1,NA
"95","Lucas Lovat","Lucas Lovat","https://s.glbimg.com/es/sde/f/2015/10/28/e97fac1629b8f139237262738c2e9dcd_FORMATO.jpeg",92501,20,"GRE","lat","Nulo",0,4,0,0,0,NA
"96","Cleiton Schwengber","Cleiton","https://s.glbimg.com/es/sde/f/2016/05/09/5478d297b25b3631c3664a8e03e2cd38_FORMATO.png",93882,20,"ATL","gol","Nulo",0,1,0,0,0,NA
"97","Yan Petter Pereira da Silva","Yan Petter","https://s.glbimg.com/es/sde/f/2016/04/30/714802b0dc9274bf50f058fe93821074_FORMATO.png",94722,20,"INT","mei","Contundido",0,1,0,0,0,NA
"98","Gustavo Marcelo Cardoso Soares","Índio","https://s.glbimg.com/es/sde/f/2016/05/09/2d3e08a6de57469515879fd2d364fa37_FORMATO.jpeg",95315,20,"COR","ata","Nulo",0,1,0,0,0,NA
"99","Victor Luiz Prestes Filho","Vitinho","https://s.glbimg.com/es/sde/f/2016/07/13/fec7b396e3ea32757d4728bef42864b5_FORMATO.png",95260,20,"CRU","lat","Nulo",0,1,0,0,0,NA
"100","Lucas Oliveira de França","Lucas França","https://s.glbimg.com/es/sde/f/2016/04/29/14aa30db9557f9ceff03aade842303eb_FORMATO.png",93869,20,"CRU","gol","Provável",0,1.63,-0.14,0.35,2,NA
"101","Leonardo Cereja","Léo Cereja","https://s.glbimg.com/es/sde/f/2016/05/01/8e2be41e6ff47c7f43ca6cfc5566242a_FORMATO.png",95337,20,"PON","mei","Nulo",0,1.6,0,0,1,NA
"102","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2016/05/01/861e63537ee390314861e3d9e8f3e2f6_FORMATO.png",95335,20,"PON","mei","Contundido",0,3.08,0,0.74,14,NA
"103","Maximiliano Brian Rolón","Maxi Rolón","https://s.glbimg.com/es/sde/f/2016/06/28/b62f57345c57b6539e94e642b8ccf827_FORMATO.jpeg",94649,20,"SAN","ata","Nulo",0,1.76,0,-0.05,2,NA
"104","Gregore Magalhães da Silva","Gregore","https://s.glbimg.com/es/sde/f/2016/06/28/e0edf8d3f4727e710d27e56e8a0989a5_FORMATO.jpeg",95464,20,"SAN","mei","Nulo",0,1,0,0,0,NA
"105","Igor Vinicius de Souza","Igor",NA,95466,20,"SAN","mei","Nulo",0,1,0,0,0,NA
"106","Joanderson de Jesus Assis","Joanderson",NA,95560,20,"CRU","ata","Nulo",0,2,0,0,0,NA
"107","Matheus Nolasco de Oliveira Silva","Matheus Nolasco","https://s.glbimg.com/es/sde/f/2016/06/28/2f84a485853ec14d4568e1e77e58e117_FORMATO.jpeg",95465,20,"SAN","ata","Nulo",0,3.25,0,0.82,4,NA
"108","José Vinícius do Santos Silva","Vinícius Bala",NA,95181,20,"SPO","ata","Nulo",0,1,0,0,0,NA
"109","Fabrício Silva Costa","Fabrício","https://s.glbimg.com/es/sde/f/2016/07/08/d195ae8ef89dd28d25450c8fe56f6246_FORMATO.png",95539,20,"SPO","mei","Nulo",0,1,0,0,0,NA
"110","Rafael Oller Pereira","Rafael Oller","https://s.glbimg.com/es/sde/f/2016/06/28/9cfa51f4c396ed8b06b5d6131fa29050_FORMATO.jpeg",95619,20,"SAN","mei","Nulo",0,1,0,0,0,NA
"111","danilo ribeiro cardoso","Danilo","https://s.glbimg.com/es/sde/f/2016/06/28/2b372296e8cf8369ba5f80ace96e510a_FORMATO.jpeg",95621,20,"SAN","mei","Nulo",0,1,0,0,0,NA
"112","Stoitchkov Ortega Silva de Melo","Ortega","https://s.glbimg.com/es/sde/f/2016/07/13/936a64318d4514dfe4d3040a24f4215d_FORMATO.png",95624,20,"STC","lat","Nulo",0,1,0,0,0,NA
"113","Roger Duarte de Oliveira","Roger","https://s.glbimg.com/es/sde/f/2016/05/09/fa348aaee3689338060f59ba8b89de3f_FORMATO.png",93883,20,"AME","zag","Nulo",0,1.34,0,1.23,6,NA
"114","Marcus Vinicius Aredes Duarte","Marcus Vinicius",NA,95622,20,"FIG","mei","Nulo",0,2,0,0,0,NA
"115","Cleber Henrique Pereira dos Santos","Cleber",NA,95625,20,"STC","mei","Nulo",0,1,0,0,0,NA
"116","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2016/05/01/02e50e98f3a67626dd1c651cdd042e54_FORMATO.png",51415,20,"PAL","zag","Nulo",0,4,0,0,0,NA
"117","Lucas Francisco de Lima Silva","Lucão",NA,95623,20,"STC","zag","Nulo",0,1,0,0,0,NA
"118","Matheus Silva de Carvalho","Matheus",NA,95626,20,"STC","mei","Nulo",0,1,0,0,0,NA
"119","Danylo Fernandes Soares","Danylo Fernandes","https://s.glbimg.com/es/sde/f/2016/05/09/d3a75a8602cb0b8280503d0135270b23_FORMATO.png",93884,20,"AME","lat","Nulo",0,1,0,0,0,NA
"120","Matheus de Jesus Cardoso","Banguelê","https://s.glbimg.com/es/sde/f/2016/07/07/b91677434b9eea89f5d977689ea849c7_FORMATO.png",95637,20,"SAO","mei","Nulo",0,0.74,0,-1.1,1,NA
"121","Marcelo da Conceição Benevenuto Malaquias","Marcelo","https://s.glbimg.com/es/sde/f/2016/06/28/dca1cc86e589d31cea6f34c1debc7fb7_FORMATO.jpeg",95638,20,"BOT","zag","Nulo",0,1,0,0,0,NA
"122","John Victor Maciel Furtado","John Victor","https://s.glbimg.com/es/sde/f/2016/05/01/c1b4a2668433c14055e715bd223d2ced_FORMATO.png",94044,20,"SAN","gol","Nulo",0,2,0,0,0,NA
"123","Diego Gomes dos Santos","Diego Gomes","https://s.glbimg.com/es/sde/f/2016/05/01/f392eee84b1739e345e9b45a514b398e_FORMATO.jpeg",94045,20,"SAN","mei","Nulo",0,1,0,0,0,NA
"124","José Artur de Lima Júnior","Artur","https://s.glbimg.com/es/sde/f/2016/06/28/9857d5ce7085f8e77dc7e133e26c9bce_FORMATO.jpeg",95659,20,"SAO","mei","Nulo",0,1.54,0,2.6,4,NA
"125","Guilherme Gianotti Morassi","Guilherme Morassi","https://s.glbimg.com/es/sde/f/2016/07/06/2b8ab58b9967522c8b927c30e53414e6_FORMATO.png",94013,20,"FIG","lat","Nulo",0,1.6,0,0,1,NA
"126","Lucas Ribamar Lopes dos Santos Bibiano","Ribamar","https://s.glbimg.com/es/sde/f/2016/05/20/c2b2ff7808695647ee0d6a0124a9df42_FORMATO.png",94068,20,"BOT","ata","Nulo",0,6.28,0,1.22,12,NA
