"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","DD","DP","FC","FS","GS","PE","SG","A","FD","FF","G","RB","I","FT","CV","PP","GC"
"359","Pedro Tonon Geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2016/04/30/18ff4912170bfa6b768c963fe382259d_FORMATO.png",80853,19,"GRE","zag","Provável",0,21.41,0,7.86,13,2,NA,NA,12,12,NA,39,9,NA,1,5,3,24,NA,1,NA,NA,NA
"360","Joeliton Lima Santos","Mansur","https://s.glbimg.com/es/sde/f/2016/07/05/885bc2c7afe242e7ce810bccdccd27cc_FORMATO.png",79553,19,"SPO","lat","Nulo",0,1.49,0,-0.6,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","Antonio Carlos Cunha Capocasali Júnior","Antonio Carlos ","https://s.glbimg.com/es/sde/f/2016/07/08/9fb2b82b684af027608cf59311615455_FORMATO.jpeg",79702,19,"PON","zag","Nulo",-1,2.07,-0.2,-0.75,2,1,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2016/05/20/5c565cea17e3c15bc1b3b52893f19c4f_FORMATO.png",79578,19,"BOT","ata","Contundido",0,7.98,0,5.56,11,1,NA,NA,9,9,NA,7,NA,NA,6,2,6,5,4,1,NA,NA,NA
"363","Bruno Alexandre Marques Pereirinha","Bruno Pereirinha","https://s.glbimg.com/es/sde/f/2016/04/26/ee91ba67f57ac8cd752447e02b432bb6_FORMATO.png",79646,19,"ATL","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Nixon Darlanio Reis Cardoso","Nixon","https://s.glbimg.com/es/sde/f/2016/07/20/e11f474d86eed11c4025cdebabfb2207_FORMATO.png",80913,19,"AME","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Johnath Marlone Azevedo da Silva","Marlone","https://s.glbimg.com/es/sde/f/2016/04/28/e9ebab6fd2406ef83d5358e1e50028db_FORMATO.png",80944,19,"COR","mei","Nulo",1,2.7,-0.18,0.85,6,NA,NA,NA,1,6,NA,5,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
"366","Douglas dos Santos Justino de Melo","Douglas Santos","https://s.glbimg.com/es/sde/f/2016/05/09/9f0bdd83abab57f4975c9902282e8a0a_FORMATO.png",79826,19,"ATL","lat","Nulo",0,11.52,0,3.24,9,1,NA,NA,13,8,NA,29,2,1,1,2,NA,15,1,NA,NA,NA,NA
"367","Fabiano Leissmann","Fabiano","https://s.glbimg.com/es/sde/f/2016/05/20/f4c81ee7ed80519ab5b636ea49368e6a_FORMATO.jpeg",79887,19,"PAL","lat","Nulo",0,5.49,0,5.4,2,NA,NA,NA,3,NA,NA,5,1,NA,2,NA,NA,4,NA,NA,NA,NA,NA
"368","Jair Rodrigues Júnior","Jair","https://s.glbimg.com/es/sde/f/2016/05/30/73bc4e0ece2cb92c6f184604d5960f46_FORMATO.png",81091,19,"INT","mei","Nulo",0,3.38,0,1.65,2,1,NA,NA,2,6,NA,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"369","Ronaldo César Mendes de Medeiros","Ronaldo Mendes","https://s.glbimg.com/es/sde/f/2016/05/01/f0fe5370b9ecbdf0197334e098a036c2_FORMATO.png",81148,19,"SAN","mei","Nulo",0,6,0,1.57,4,1,NA,NA,4,5,NA,7,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA
"370","Odair Souza ","Nenén","https://s.glbimg.com/es/sde/f/2016/04/27/67be98e46866be3009b7b0f33ec4222e_FORMATO.png",79892,19,"CHA","mei","Nulo",0,3.94,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Romário Correia de Souza","Romário","https://s.glbimg.com/es/sde/f/2016/04/19/d00d6026d2117a965f8cba4d7a298bfa_FORMATO.png",79954,19,"AME","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
