"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","I","PE","RB","SG","G","A","FT","DD","GS","CV","PP","DP","GC"
"200","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2016/03/30/da926e38870e22ac1b746e0114acf21f_FORMATO.png",68773,16,"GRE","ata","Nulo",0,3.38,-0.07,0.75,4,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"201","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2016/04/28/4ed68fb05e5166c5c9c1901f44d0917e_FORMATO.jpeg",68758,16,"FLA","ata","Provável",3.1,6.43,0.86,1.94,9,1,11,NA,6,10,NA,10,6,NA,NA,2,1,NA,NA,1,NA,NA,NA
"202","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2016/06/28/63b395a3843c141f9f8ddf86097db8fa_FORMATO.jpeg",68770,16,"COR","mei","Contundido",0,3.6,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Emiliano Gabriel Vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2016/06/28/b28314056abc5bb43d464ba66e1d0552_FORMATO.jpeg",68745,16,"SAN","mei","Nulo",0,6.55,0,0.5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Johnathan Aparecido da Silva","Johnathan Goiano","https://s.glbimg.com/es/sde/f/2016/05/01/ad77cb27868eb39560d27f1ae0a28e5c_FORMATO.png",68779,16,"SPO","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2016/07/22/327838e3387c2c22a80fe1122849edf6_FORMATO.png",68807,16,"COR","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Marcelo Lomba do Nascimento","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2016/07/15/225dc6004ff857ec3fe1910d0abd4f17_FORMATO.png",68872,16,"INT","gol","Provável",5.5,4.92,1.76,1.85,2,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"207","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2016/05/01/cbfc0d46083f35cde541d9aea35e3a5d_FORMATO.png",68808,16,"PON","lat","Provável",0.4,3.79,-0.47,2.05,7,NA,5,5,1,9,NA,23,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2016/05/01/c410c14470ebc6e02ab963212b89a17a_FORMATO.png",68834,16,"SPO","mei","Provável",0.1,9.34,-1.74,4.43,14,1,27,1,2,20,NA,40,36,NA,2,1,NA,NA,NA,1,NA,NA,NA
"209","Rafael Galhardo de Souza","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2016/07/21/ad0f8212d72e48f8e6581af98fdd10da_FORMATO.png",68821,16,"ATL","lat","Provável",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Geovane Diniz Silva","Geovane Maranhão","https://s.glbimg.com/es/sde/f/2016/05/20/d43004ff960f51fbbdc965920515b96e_FORMATO.png",68900,16,"BOT","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2016/05/13/b5a8462bf2d5aa77b26480fe3a466717_FORMATO.png",68893,16,"ATL","ata","Contundido",0,9.75,0,4.02,12,1,26,3,5,23,3,24,10,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"212","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2016/05/30/2f8c0b4d1c1f63e92bcc75405c0d7b8b_FORMATO.png",68910,16,"INT","mei","Provável",3.5,4.25,0.35,0.85,6,3,9,NA,1,3,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2016/05/01/4ca75c7b4c6ef9d48c9ffe43f89b8f78_FORMATO.png",68911,16,"SPO","mei","Provável",4.1,19.35,-2.18,6.14,16,2,22,10,13,27,4,56,10,NA,8,3,1,NA,NA,NA,NA,NA,NA
"214","Wellington da Silva Pinto","Wellington","https://s.glbimg.com/es/sde/f/2016/07/06/af8b2d4fdd49ae7d738b01889da24725_FORMATO.png",68907,16,"STC","zag","Provável",1.5,2.16,-0.44,3.25,2,NA,NA,NA,NA,2,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215"," Bruno Paulo Machado Barbosa","Bruno Paulo","https://s.glbimg.com/es/sde/f/2016/06/28/17665c5b4fb83374fcb951213312ee7a_FORMATO.jpeg",68918,16,"COR","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2016/06/28/ec4f6b8012d2a0c2aedf4fe7d965eae7_FORMATO.jpeg",68901,16,"BOT","ata","Contundido",0,4.16,0,-1.03,4,NA,7,NA,2,4,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2016/04/29/1ea275be2b3908677e2dc5d61a3c2995_FORMATO.png",68827,16,"FLU","zag","Nulo",0,4.13,0,4.7,1,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Wellington Alves da Silva","Wellington","https://s.glbimg.com/es/sde/f/2016/07/19/72cb5b25d21b0037091ba719bb18f063_FORMATO.jpeg",68895,16,"FLU","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2016/04/26/7344204cd574e7abe17afe45a20f8fa3_FORMATO.png",68925,16,"ATL","zag","Provável",7.9,18.54,1.4,3.08,10,2,15,1,4,20,1,27,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Vinicius Santos Silva","Vinicius","https://s.glbimg.com/es/sde/f/2016/07/08/9b55779f76950e1b35075c2e116c649e_FORMATO.png",68917,16,"COR","ata","Nulo",0,7.88,0,1.51,9,1,6,4,7,15,1,19,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"221","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2016/04/29/0e6b421a8c0214078fd1f5854cce3874_FORMATO.png",68887,16,"FLU","zag","Provável",-5.3,12.98,-2.48,3.34,15,2,14,2,9,5,3,45,16,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"222","Cícero Vítor dos Santos Júnior","Vítor","https://s.glbimg.com/es/sde/f/2016/05/01/bd08877b178e7710d61e0d39b377e6b8_FORMATO.png",68904,16,"STC","lat","Nulo",0,5.83,0,2.8,6,1,3,1,1,5,NA,14,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Eduardo Pereira Rodrigues","Dudu","https://s.glbimg.com/es/sde/f/2016/05/01/55ac49c2d9ae816cb60473b12ff0fa2c_FORMATO.png",68920,16,"PAL","ata","Provável",0.8,12.88,-0.13,4.85,13,1,12,6,6,35,6,54,5,NA,3,6,NA,NA,NA,NA,NA,NA,NA
"224","George Leandro Abreu de Lima","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/01/ed3bfa529f985a1a31005fc093a47854_FORMATO.png",68924,16,"STC","mei","Nulo",0,3.15,0,0.82,5,1,6,NA,2,4,NA,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,16,"SAO","gol","Nulo",0,11.54,0,10.7,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"226","Mário Sérgio Santos Costa","Marinho","https://s.glbimg.com/es/sde/f/2016/05/01/fd249ecee00ebf56d13d770212e144b4_FORMATO.png",68952,16,"VIT","ata","Provável",0,14.32,0,5.43,9,3,27,11,9,49,8,35,8,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"227","Josimar Rosado da Silva Tavares","Josimar","https://s.glbimg.com/es/sde/f/2016/04/27/8e02fb0168f097a88bcdc53ad79d10c9_FORMATO.png",68951,16,"CHA","mei","Provável",4.5,6.77,-0.05,2.2,14,3,29,2,5,15,NA,37,27,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"228","Welker Marçal de Almeida","Kieza","https://s.glbimg.com/es/sde/f/2016/05/01/5fc52cff976d5418e122423e959ab59c_FORMATO.png",68930,16,"VIT","ata","Provável",4.7,16.27,0.96,3.13,15,4,33,7,10,23,14,34,4,NA,6,1,1,NA,NA,NA,NA,NA,NA
"229","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2016/05/29/57d1ab852a861c71835040390c9d2e02_FORMATO.png",68954,16,"COR","mei","Provável",2.8,11.49,0.06,3.99,16,1,10,8,10,30,4,71,13,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"230","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,16,"CRU","gol","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2016/07/08/b5631b95dc105cd68b154bfaa21ecf74_FORMATO.png",68950,16,"SPO","zag","Provável",-0.5,4.61,-0.35,0,2,NA,2,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2016/04/28/9930f715c0d34977f60c416dc3311aca_FORMATO.png",68938,16,"COR","mei","Provável",1.7,6.35,-0.3,2.31,15,1,21,5,5,25,2,71,15,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"233","Wallace Reis da Silva","Wallace Reis ","https://s.glbimg.com/es/sde/f/2016/06/20/0149296339f53174c5b3c3616589cfaa_FORMATO.png",68958,16,"GRE","zag","Provável",8.4,7.34,0.76,4.92,5,NA,2,NA,NA,2,NA,2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Ernandes Dias Luz","Ernandes","https://s.glbimg.com/es/sde/f/2016/05/09/21cd5d2a5920245c57dae5927a5be47a_FORMATO.png",68956,16,"AME","mei","Nulo",0,4.21,0,2.77,8,1,7,NA,3,16,NA,21,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"235","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2016/07/12/b628db9e35da672e8eb955065c4756a7_FORMATO.png",68873,16,"FLA","gol","Nulo",0,13.19,0,6.23,3,NA,NA,NA,NA,1,NA,6,NA,1,NA,NA,NA,7,3,NA,NA,NA,NA
"236","Arthur Brasiliano Maia","Arthur Maia","https://s.glbimg.com/es/sde/f/2016/06/30/761dad942de8cbeeee8a316b4a5e5c9d_FORMATO.png",68962,16,"CHA","mei","Contundido",0,6.31,0,3.95,11,1,6,5,1,10,NA,22,5,NA,2,4,NA,NA,NA,NA,NA,NA,NA
"237","Jucemar de Oliveira Cordeiro Júnior","Júnior Oliveira","https://s.glbimg.com/es/sde/f/2016/05/25/1292ee827e916cf85996f638132cb5ed_FORMATO.png",88848,16,"FIG","gol","Nulo",0,8.09,0,8,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"238","Luan Polli Gomes","Luan Polli ","https://s.glbimg.com/es/sde/f/2016/04/29/310dae26f567a9157425550aee7144d7_FORMATO.png",88916,16,"FIG","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Auro Álvaro da Cruz Júnior","Auro","https://s.glbimg.com/es/sde/f/2016/06/28/e214bcda51965bbf7c5068c841a8604f_FORMATO.jpeg",88540,16,"SAO","lat","Nulo",0,7.39,0,4.17,6,NA,3,1,1,2,NA,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Judivan Flor da Silva","Judivan ","https://s.glbimg.com/es/sde/f/2016/04/29/84cf16c68adf0de130d3dd9fc83f017e_FORMATO.png",89190,16,"CRU","ata","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Vinicius Rodolfo de Souza Oliveira","Vinícius Tanque","https://s.glbimg.com/es/sde/f/2014/07/10/90204d7ecca027623a6dabdbf39ca8b9_FORMATO.jpeg",88651,16,"BOT","ata","Nulo",0,1.35,0,-0.5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Bruno Sávio da Silva","Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/7dd962f353ef61652ad5f8a79da0ca3c_FORMATO.png",89101,16,"AME","ata","Nulo",0,3.78,0,1.46,9,1,8,2,3,2,NA,8,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"243","Gabriel Fernando de Jesus","Gabriel Jesus","https://s.glbimg.com/es/sde/f/2016/05/04/f14c5868bfb9bd13406d556de657b9e8_FORMATO.png",89154,16,"PAL","ata","Nulo",0,29.77,0,8.3,14,4,39,13,13,50,14,39,9,NA,10,4,NA,NA,NA,NA,NA,NA,NA
"244","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,16,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Daniel Miller Tenenbaum","Daniel","https://s.glbimg.com/es/sde/f/2016/04/20/6b655cea1f7829b459eff3efa45034cf_FORMATO.png",89258,16,"FLA","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Iago Justen Maidana Martins","Iago Maidana","https://s.glbimg.com/es/sde/f/2016/05/01/b7a6ac34682337402608ab557eddce32_FORMATO.jpeg",89226,16,"SAO","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Willian de Asevedo Furtado","William","https://s.glbimg.com/es/sde/f/2016/04/30/75e4a80e8152cf2e721dea24b7b7b180_FORMATO.png",89275,16,"INT","lat","Suspenso",0,14.18,0,4.36,15,3,32,4,4,17,2,65,31,5,NA,3,NA,NA,NA,NA,NA,NA,NA
"248","Leandro Damião da Silva dos Santos","Leandro Damião","https://s.glbimg.com/es/sde/f/2016/07/14/d532ea9ded0a3ae3294ef61dab4d2630_FORMATO.png",68953,16,"FLA","ata","Nulo",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Wanderson de Jesus Martins","Caju","https://s.glbimg.com/es/sde/f/2016/05/01/54af0c3c3d1522543c64c18ca5a50a22_FORMATO.png",89342,16,"SAN","lat","Provável",11.5,6.67,1.48,8.97,3,NA,2,NA,NA,1,NA,4,8,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"250","Lucas de Figueiredo Crispim","Lucas Crispim","https://s.glbimg.com/es/sde/f/2016/05/01/f060208d1a949d93507611b7e4fbd24b_FORMATO.png",88597,16,"SAN","mei","Nulo",0,3.5,0,1.4,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","João Pedro dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2016/05/01/c96d48d7d4b10e94a0eb9aebcd00a649_FORMATO.png",89273,16,"PAL","lat","Nulo",0,3.93,0,3.8,1,NA,6,NA,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Matheus de Sales Cabral","Matheus Sales","https://s.glbimg.com/es/sde/f/2016/05/01/472f14cf9165dd0469cf6e9346dd669f_FORMATO.png",89285,16,"PAL","mei","Nulo",3.4,4.7,0.52,1.09,10,2,17,NA,5,11,NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Hugo Ragelli Oliveira Andrade","Hugo Ragelli","https://s.glbimg.com/es/sde/f/2014/10/14/b4ccb45b85f5ad13cada4d8f29cfabec_FORMATO.jpeg",89444,16,"CRU","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Saulo Ferreira Silva Nascimento","Saulo","https://s.glbimg.com/es/sde/f/2016/05/20/7a75a68437642ef0fde4ef9bc5a2f571_FORMATO.png",89492,16,"BOT","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Thiago Maia Alencar","Thiago Maia","https://s.glbimg.com/es/sde/f/2016/05/01/1b2976ce2cacc26f8141ace470b05928_FORMATO.png",89637,16,"SAN","mei","Nulo",0,4.32,0,1.16,15,2,26,NA,3,14,3,63,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"256","Dioclécio Horácio da Silva","Horácio","https://s.glbimg.com/es/sde/f/2016/07/12/a9421376264c02f66cfdfc8726e25b23_FORMATO.png",89466,16,"SPO","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Jonathan Calleri","Calleri","https://s.glbimg.com/es/sde/f/2016/05/04/765865175e180ab807fb3efa2cc5f005_FORMATO.png",89840,16,"SAO","ata","Nulo",0,16.66,0,2.64,5,3,12,2,3,7,2,7,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA
"258","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2016/05/30/581e9d6f1052ed1c3bc00c0fb1bab53a_FORMATO.png",89815,16,"INT","mei","Provável",-0.4,2.66,-0.57,0.68,14,2,20,5,7,12,2,28,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"259","Williams da Luz","Williams","https://s.glbimg.com/es/sde/f/2016/01/14/e7f0433ec3cfaf99844f48f07a15e886_FORMATO.jpeg",89640,16,"STC","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Nickson Gabriel Reis Silva","Nickson","https://s.glbimg.com/es/sde/f/2016/05/01/5dcd9e4c4a3b82146f0ae4159ac3f73c_FORMATO.png",89676,16,"VIT","ata","Nulo",0,2.5,0,4.47,3,1,4,1,NA,5,NA,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"261","Leandro Alves de Carvalho","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/20/5f4b91fa5fbbd56dc1f2fe3f094cbb22_FORMATO.png",89885,16,"BOT","mei","Contundido",0,3.5,0,2.41,9,2,13,NA,6,17,1,34,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"262","Bruno Edgar Silva Almeida","Bruno Ramires","https://s.glbimg.com/es/sde/f/2016/05/25/d404224a3a10f045f7b5ac26ba1630d7_FORMATO.png",89924,16,"CRU","mei","Suspenso",0,3.28,0,1.29,12,3,14,2,3,7,2,29,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,16,"BOT","zag","Nulo",0,2.2,0,0.82,10,2,8,1,2,8,NA,29,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Róger Krug Guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2016/05/01/50ba5f59e410f0d4a635357cb29bcdb8_FORMATO.jpeg",89898,16,"PAL","ata","Provável",3.7,11.14,0.61,3.81,15,3,16,9,12,25,2,46,13,NA,3,2,NA,NA,NA,NA,NA,NA,NA
"265","Andrigo Oliveira de Araujo","Andrigo","https://s.glbimg.com/es/sde/f/2016/05/03/3ebd9ed86862cc224d7f138b75e64119_FORMATO.png",89930,16,"INT","mei","Nulo",0,3.96,0,0.66,9,2,19,4,6,8,NA,21,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"266","Gerferson Cerqueira Teles","Geferson","https://s.glbimg.com/es/sde/f/2016/04/30/35ea819f3d48c22459067c2265b46039_FORMATO.png",89976,16,"INT","lat","Provável",-2.4,2.14,-0.37,0.7,5,2,4,NA,1,2,1,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Bruno Antonio dos Santos","Bruno Santos","https://s.glbimg.com/es/sde/f/2016/04/29/c90440a9112852ec2d98e4d2186485d3_FORMATO.png",89977,16,"FIG","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Tiago da Rocha Vieira","Tiaguinho","https://s.glbimg.com/es/sde/f/2016/06/15/e40d8343ec816a07f175770503c369fb_FORMATO.jpeg",90265,16,"CHA","ata","Nulo",0,1.38,0,-0.4,1,NA,3,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Pedro Rocha Neves","Pedro Rocha","https://s.glbimg.com/es/sde/f/2016/04/30/0d21af8fa9b92cb5a7bcbc1b174a8b2e_FORMATO.png",90302,16,"GRE","ata","Provável",3.6,5.34,0.51,2.6,6,NA,1,1,3,NA,NA,2,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"270","Jaílson Marques Siqueira","Jailson","https://s.glbimg.com/es/sde/f/2016/04/27/3e188c20efad841496876cbe0bf752bb_FORMATO.jpeg",90290,16,"GRE","mei","Provável",3.4,4.02,0.97,3.16,10,2,12,2,2,13,NA,23,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"271","Jeferson Carvalho dos Santos","Jeferson Negueba","https://s.glbimg.com/es/sde/f/2016/06/15/b3dfa367e6778d82e1587a4de440fd12_FORMATO.jpeg",90335,16,"GRE","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Lincoln Henrique Oliveira dos Santos","Lincoln","https://s.glbimg.com/es/sde/f/2016/04/30/896250a6a797bd9a6c4699f9bd5cba0c_FORMATO.png",90303,16,"GRE","mei","Nulo",0,5.03,0,-0.8,4,1,4,NA,1,2,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"273","Olávio Vieira dos Santos Júnior","Juninho","https://s.glbimg.com/es/sde/f/2015/01/27/c47682726055ef01d0306e13fcdb5b0b_FORMATO.png",90307,16,"ATL","ata","Provável",2.4,2.36,0.36,2.4,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","David Correa da Fonseca","David","https://s.glbimg.com/es/sde/f/2016/05/01/f0a005c33b60cc205cdc6bd87876db75_FORMATO.png",90309,16,"VIT","mei","Nulo",0,1.19,0,0.28,4,NA,1,2,1,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Teodoro Junio Barbosa de Araújo","Araújo","https://s.glbimg.com/es/sde/f/2016/04/30/8da3cdd181e04b0c114f91c721ad89b1_FORMATO.png",90334,16,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Igor da Silva Candiota","Igor","https://s.glbimg.com/es/sde/f/2016/07/12/42a9d76c711334654d1d1e5325792f16_FORMATO.png",90320,16,"FLA","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Jonathan da Silveira Fernandes Reis","Fernandes","https://s.glbimg.com/es/sde/f/2016/05/20/02861c5449623b3038673b374f31d53e_FORMATO.png",90399,16,"BOT","mei","Dúvida",1.3,10.27,0.4,4.03,14,2,17,5,5,12,3,37,25,NA,2,1,1,NA,NA,NA,NA,NA,NA
"278","Alex Sandro dos Santos Apolinario","Alex","https://s.glbimg.com/es/sde/f/2016/04/28/f00d8093b5e7456cf5ee94161c8b7bda_FORMATO.png",90535,16,"CRU","mei","Contundido",0,1.79,0,1.97,3,NA,1,2,1,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Rafael Vinicius Carvalho Longuine","Rafael Longuine","https://s.glbimg.com/es/sde/f/2016/05/01/1f935974fecf9ac7b30cbc7c4a5e4c7a_FORMATO.png",90566,16,"SAN","mei","Nulo",0,3.04,0,-0.9,2,1,3,NA,1,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Lucas da Silva Izidoro","Lucas Mineiro","https://s.glbimg.com/es/sde/f/2016/04/27/f1da8b58208c0cf5e99aa6d98bd681a7_FORMATO.png",90634,16,"CHA","mei","Nulo",0,0.88,0,0.35,2,1,5,NA,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Arthur Henrique Ramos de Oliveira Melo","Arthur","https://s.glbimg.com/es/sde/f/2016/04/30/c66920f75ffae5c4ae70d98ce74fc92e_FORMATO.png",90532,16,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Raul José Cardoso","Raul","https://s.glbimg.com/es/sde/f/2016/04/30/20baeb0768cee2ef5e7e760abad4ddfa_FORMATO.png",90531,16,"GRE","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Renato Bruno Vieira Gomes","Renato Bruno","https://s.glbimg.com/es/sde/f/2016/05/09/0e935a35d387a89b9fb03da1981a4faf_FORMATO.png",90637,16,"AME","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Guilherme Xavier de Oliveira","Guilherme Xavier","https://s.glbimg.com/es/sde/f/2016/05/09/8107ae25a5591cc30dac164e0330ce30_FORMATO.png",90635,16,"AME","mei","Nulo",0,2.56,0,1.78,4,NA,4,1,2,8,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
