"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes$atletas$scout"
"236","Wellington Alves da Silva","Wellington","https://s.glbimg.com/es/sde/f/2016/07/19/72cb5b25d21b0037091ba719bb18f063_FORMATO.jpeg",68895,18,"FLU","ata","Provável",0,7.47,0,11.3,1,NA
"237","Caíque França Godoy","Caíque França","https://s.glbimg.com/es/sde/f/2016/04/28/4b89134138fb6ba402a44141ed432198_FORMATO.png",91808,18,"COR","gol","Nulo",0,0.78,0,0,1,NA
"238","Caíque Luiz Santos da Purificação","Caíque","https://s.glbimg.com/es/sde/f/2016/05/01/c7b717acd560b03be08e7af47aaa0cf9_FORMATO.png",92207,18,"VIT","gol","Nulo",0,2.93,0,3.57,6,NA
"239","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2016/06/28/ec4f6b8012d2a0c2aedf4fe7d965eae7_FORMATO.jpeg",68901,18,"BOT","ata","Nulo",0,4.16,0,-1.03,4,NA
"240","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2016/04/28/babefb476c0292044ff5aec58dbf4331_FORMATO.png",70944,18,"COR","mei","Provável",0,16.24,-0.9,6.2,18,NA
"241","Cícero Vítor dos Santos Júnior","Vítor","https://s.glbimg.com/es/sde/f/2016/05/01/bd08877b178e7710d61e0d39b377e6b8_FORMATO.png",68904,18,"STC","lat","Nulo",0,5.83,0,2.8,6,NA
"242","Thiago Ferreira Lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2016/04/28/b117d90d6a1e0614fa67d04f3e306c0c_FORMATO.png",92225,18,"COR","mei","Nulo",0,3.48,0,0.97,6,NA
"243","Ygor Nogueira de Paula","Ygor Nogueira","https://s.glbimg.com/es/sde/f/2016/05/30/7475a33329d212b5519734b354c01a71_FORMATO.png",91815,18,"FLU","zag","Nulo",0,3,0,0,0,NA
"244","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2016/05/01/7e06957c4b368ad203c4ec6b29e6f8e7_FORMATO.png",70986,18,"SAN","mei","Provável",0,5.48,-0.08,4.57,8,NA
"245","Matheus Antonio Souza dos Santos","Matheus Pato","https://s.glbimg.com/es/sde/f/2015/08/12/8892e98d71d0fc38c1aeb55c78a8c28c_FORMATO.jpeg",92290,18,"FLU","ata","Nulo",0,2,0,0,0,NA
"246","Wellington da Silva Pinto","Wellington","https://s.glbimg.com/es/sde/f/2016/07/06/af8b2d4fdd49ae7d738b01889da24725_FORMATO.png",68907,18,"STC","zag","Nulo",0,2.16,0,3.25,2,NA
"247","Lucas de Lacerda Lima Gonçalves","Lucas Zen","https://s.glbimg.com/es/sde/f/2016/05/20/14f0a0139f67b5fa5d93fdf50daac1cc_FORMATO.png",71032,18,"BOT","mei","Nulo",0,2,0,0,0,NA
"248","José Ivaldo Almeida Silva","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2015/05/04/5aad5afa2a9be00244f20ab7c493864d_FORMATO.png",91866,18,"ATL","zag","Nulo",0,2,0,0,0,NA
"249","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2016/04/20/5aa14228427583453758e5c79b1bc40d_FORMATO.png",73992,18,"FLA","lat","Nulo",0,13.21,0,4.41,12,NA
"250","Anselmo de Moraes","Anselmo","https://s.glbimg.com/es/sde/f/2016/05/30/2f8c0b4d1c1f63e92bcc75405c0d7b8b_FORMATO.png",68910,18,"INT","mei","Contundido",0,3.88,0,0.86,7,NA
"251","Silas Araújo da Silva","Silas","https://s.glbimg.com/es/sde/f/2016/06/20/f05426ba9e8c595fda626abfa6be730a_FORMATO.jpeg",91916,18,"INT","mei","Nulo",0,1,0,0,0,NA
"252","Matheus Phillipe Coutinho Gomes","Matheus Phillipe","https://s.glbimg.com/es/sde/f/2016/04/29/92c915db9d214a7b498d2733568b14c2_FORMATO.png",92438,18,"FLU","gol","Nulo",0,1,0,0,0,NA
"253","Diego Souza de Andrade","Diego Souza","https://s.glbimg.com/es/sde/f/2016/05/01/4ca75c7b4c6ef9d48c9ffe43f89b8f78_FORMATO.png",68911,18,"SPO","mei","Suspenso",0,18.18,-2.33,5.85,18,NA
"254","Henrique de Souza Trevisan","Henrique Trevisan","https://s.glbimg.com/es/sde/f/2016/04/29/09ee3a91f794b4b7e9a81b639d7f1d88_FORMATO.png",91920,18,"FIG","zag","Nulo",0,1,0,0,0,NA
"255","Felipe da Silva Amorim","Felipe Amorim","https://s.glbimg.com/es/sde/f/2016/07/08/07fbd91aba6f96e38615759a0d94bfdb_FORMATO.png",71040,18,"COR","mei","Nulo",0,3.66,0,0.69,9,NA
"256","Eriks de Souza Santos Pereira","Eriks","https://s.glbimg.com/es/sde/f/2015/05/29/5e6791e87bdd3d77ac02e6c9a2114272_FORMATO.jpeg",91946,18,"INT","zag","Nulo",0,1,0,0,0,NA
"257","Bruno Viana Willemen da Silva","Bruno Viana","https://s.glbimg.com/es/sde/f/2016/04/28/5e8c21e4fe26c6bb8c148b2ae722699d_FORMATO.png",92291,18,"CRU","zag","Nulo",0,1.57,0,0.55,13,NA
"258","Christian Sávio Machado","Christian Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/01f735a126510bb7577f5c20f3873cfe_FORMATO.png",91928,18,"AME","mei","Nulo",0,3,0,0,0,NA
"259","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,18,"PON","ata","Nulo",0,4.92,0,0.37,12,NA
"260","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2016/03/30/da926e38870e22ac1b746e0114acf21f_FORMATO.png",68773,18,"GRE","ata","Nulo",0,3.81,0.34,1.02,6,NA
"261","Alex Sandro dos Santos Apolinario","Alex","https://s.glbimg.com/es/sde/f/2016/04/28/f00d8093b5e7456cf5ee94161c8b7bda_FORMATO.png",90535,18,"CRU","mei","Contundido",0,1.79,0,1.97,3,NA
