"game","round","date","home_team","score","away_team","arena","X"
"183","19","07/08/2016 - 11:00","América - MG","x","Santos - SP","Independência - Belo Horizonte - MG",""
"184","19","07/08/2016 - 11:00","Figueirense - SC","x","Sport - PE","Orlando Scarpelli - Florianopolis - SC",""
"185","19","07/08/2016 - 16:00","Palmeiras - SP","x","Vitória - BA","Allianz Parque - Sao Paulo - SP",""
"186","19","07/08/2016 - 16:00","Coritiba - PR","x","Ponte Preta - SP","Couto Pereira - Curitiba - PR",""
"187","19","07/08/2016 - 16:15","Internacional - RS","x","Fluminense - RJ","Beira Rio - Porto Alegre - RS",""
"188","19","07/08/2016 - 16:15","Santa Cruz - PE","x","São Paulo - SP","Arruda - Recife - PE",""
"189","19","07/08/2016 - 18:30","Botafogo - RJ","x","Grêmio - RS","A definir",""
"190","19","08/08/2016 - 20:00","Atlético - MG","x","Chapecoense - SC","Independência - Belo Horizonte - MG",""
"191","20","13/08/2016 - 16:00","Vitória - BA","x","Santa Cruz - PE","Manoel Barradas - Salvador - BA",""
"192","20","13/08/2016 - 18:30","Ponte Preta - SP","x","Figueirense - SC","Moisés Lucarelli - Campinas - SP",""
"193","20","13/08/2016 - 21:00","Sport - PE","x","Flamengo - RJ","Ilha do Retiro - Recife - PE",""
"194","20","14/08/2016 - 11:00","Fluminense - RJ","x","América - MG","A definir",""
"195","20","14/08/2016 - 11:00","Grêmio - RS","x","Corinthians - SP","Arena do Grêmio - Porto Alegre - RS",""
"196","20","14/08/2016 - 16:00","Santos - SP","x","Atlético - MG","Vila Belmiro - Santos - SP",""
"197","20","14/08/2016 - 16:00","Cruzeiro - MG","x","Coritiba - PR","A definir",""
"198","20","14/08/2016 - 16:15","São Paulo - SP","x","Botafogo - RJ","Morumbi - Sao Paulo - SP",""
"199","20","14/08/2016 - 18:30","Atlético - PR","x","Palmeiras - SP","Arena da Baixada - Curitiba - PR",""
"200","20","15/08/2016 - 20:00","Chapecoense - SC","x","Internacional - RS","Arena Condá - Chapeco - SC",""
"201","21","20/08/2016 - 16:00","Corinthians - SP","x","Vitória - BA","A definir",""
"202","21","20/08/2016 - 18:30","América - MG","x","Chapecoense - SC","Independência - Belo Horizonte - MG",""
"203","21","20/08/2016 - 21:00","Botafogo - RJ","x","Sport - PE","A definir",""
"204","21","21/08/2016 - 11:00","Flamengo - RJ","x","Grêmio - RS","A definir",""
"205","21","21/08/2016 - 11:00","Atlético - MG","x","Atlético - PR","Independência - Belo Horizonte - MG",""
"206","21","21/08/2016 - 16:00","Palmeiras - SP","x","Ponte Preta - SP","Allianz Parque - Sao Paulo - SP",""
"207","21","21/08/2016 - 16:00","Internacional - RS","x","São Paulo - SP","Beira Rio - Porto Alegre - RS",""
"208","21","21/08/2016 - 16:00","Santa Cruz - PE","x","Fluminense - RJ","Arruda - Recife - PE",""
"209","21","21/08/2016 - 18:30","Figueirense - SC","x","Cruzeiro - MG","Orlando Scarpelli - Florianopolis - SC",""
"210","21","22/08/2016 - 20:00","Coritiba - PR","x","Santos - SP","Couto Pereira - Curitiba - PR",""
