"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","PE","RB","A","SG","DD","GS","I","FT","CV","GC","PP","DP"
"86","Christian Sávio Machado","Christian Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/01f735a126510bb7577f5c20f3873cfe_FORMATO.png",91928,7,"AME","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/06/12/0ad2875fe99b20344b2369cb712c57d2_FORMATO.jpeg",38162,7,"ATL","ata","Provável",8,20.22,1.32,4.19,7,2,16,3,9,19,3,17,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"88","Everton Leandro dos Santos Pinto","Everton Santos","https://s.glbimg.com/es/sde/f/2016/04/29/1aaa0e9e35c2a6eb01c03b59b13b0d1c_FORMATO.png",50326,7,"FIG","ata","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,7,"SPO","gol","Provável",-0.6,6.96,0.42,1.97,7,NA,NA,NA,NA,2,NA,4,NA,NA,1,11,12,NA,NA,NA,NA,NA,NA
"90","Rafael Ramos de Lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2016/04/27/6e9382dfa32bee612bc70217b093b2b6_FORMATO.png",50361,7,"CHA","zag","Nulo",0,6.5,0,2.35,2,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"91","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,7,"SAN","ata","Contundido",0,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Gabriel Pereira da Silva","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/0af286aa902954239098c9fb8e79b885_FORMATO.png",91950,7,"VIT","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Eriks de Souza Santos Pereira","Eriks","https://s.glbimg.com/es/sde/f/2015/05/29/5e6791e87bdd3d77ac02e6c9a2114272_FORMATO.jpeg",91946,7,"INT","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Ricardo Gomes Raymundo","Ricardo Gomes","https://s.glbimg.com/es/sde/f/2016/05/22/2aa55bb880d01167a216961ab65a3245_FORMATO.png",41273,7,"BOT","tec","Provável",2.09,7.66,0.29,2.95,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2016/04/29/ebeec9645240ab968fdbbb15f61f93e6_FORMATO.png",42116,7,"CRU","ata","Provável",0,12.98,0,2.83,6,NA,6,6,5,10,NA,5,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"96","Leandro Domingues Barbosa","Leandro Domingues","https://s.glbimg.com/es/sde/f/2016/05/01/229b055bfda96bb451ff23fa36f34c4e_FORMATO.png",39144,7,"VIT","mei","Nulo",0,6.75,0,2,6,NA,9,2,NA,6,1,9,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"97","Richarlison Andrade","Richarlison ","https://s.glbimg.com/es/sde/f/2016/04/29/f6f08e1efa5ce7033db704164ac007f7_FORMATO.png",92081,7,"FLU","ata","Provável",1.3,6.79,0.17,1.8,7,1,5,3,2,14,NA,13,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"98","Wallace Lucas Aires da Silva","Wallace","https://s.glbimg.com/es/sde/f/2016/05/01/ed088654406f3682c5c4ea8dbaae2b52_FORMATO.png",92078,7,"SPO","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Giovanny Bariani Marques","Giovanny ","https://s.glbimg.com/es/sde/f/2016/05/13/9790ff844c24e1b895c9c8d06f9d55e4_FORMATO.png",92085,7,"ATL","mei","Nulo",0,3.21,0,3.1,2,NA,1,NA,2,5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Diogo Vitor da Cruz","Diogo Vitor","https://s.glbimg.com/es/sde/f/2015/07/22/1b18748d90222e69dae756312fdfe217_FORMATO.jpeg",92094,7,"SAN","lat","Nulo",0,4.02,0,5.4,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"101","Lyanco Evangelista Silveira Neves Vojnovic","Lyanco","https://s.glbimg.com/es/sde/f/2016/05/01/5ff95e8dd4eef153e5d1bce5bb2a1604_FORMATO.png",92087,7,"SAO","zag","Contundido",0,6.54,0,5.9,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"102","Denilson dos Santos de Souza","Denilson","https://s.glbimg.com/es/sde/f/2016/04/27/55f997db71077c856623d4b6b24af096_FORMATO.jpeg",92662,7,"GRE","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Alan Kardec de Sousa Pereira Júnior","Alan Kardec","https://s.glbimg.com/es/sde/f/2016/05/01/077836a3746cb3cabb53890059f12ac9_FORMATO.png",50347,7,"SAO","ata","Nulo",0.9,3.15,-0.11,0,7,1,9,NA,6,11,NA,12,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"104","Murilo Henrique Oliveira Santos","Murilo","https://s.glbimg.com/es/sde/f/2016/05/01/98decdad61a70e6a6bafcdcc0d9de4e8_FORMATO.png",92663,7,"SAO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2016/04/28/84ef11bf1e3dd175d1638cfb032e579c_FORMATO.png",50439,7,"COR","zag","Contundido",0,5.64,0,4.03,3,1,3,2,1,NA,NA,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"106","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,7,"GRE","lat","Contundido",0,15.55,0,7.67,3,1,7,NA,NA,NA,1,10,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"107","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2016/05/09/0116bb68ed6ce1217105ff5c37cb6488_FORMATO.jpeg",50369,7,"ATL","mei","Nulo",-0.5,6.22,-0.13,0.4,4,1,3,2,1,5,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Luis Henrique Farinhas Taffner","Luis Henrique","https://s.glbimg.com/es/sde/f/2016/05/20/4e05ecd1467a76bcc7f07366a16582ff_FORMATO.png",92128,7,"BOT","ata","Contundido",0,6.24,0,-1.5,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Lucas Oliveira de França","Lucas França","https://s.glbimg.com/es/sde/f/2016/04/29/14aa30db9557f9ceff03aade842303eb_FORMATO.png",93869,7,"CRU","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Sergio Agostinho de Oliveira Vieira","Sergio Vieira",NA,92837,7,"AME","tec","Provável",1.35,5.89,-0.82,1.35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Bruno Henrique Baio da Cunha","Bruno Baio","https://s.glbimg.com/es/sde/f/2016/04/30/275cee1c723b9cceb20ae481de7576d3_FORMATO.png",92764,7,"INT","ata","Nulo",0,1.31,0,-0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"112","José Carlos Ferreira Junior","Juninho","https://s.glbimg.com/es/sde/f/2016/04/28/58bdc19e4d52c4fafcf8c5c4d1919ad2_FORMATO.png",92182,7,"COR","zag","Provável",10.3,15.86,2.57,5.47,7,1,7,1,2,6,1,17,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"113","Hyago de Medeiros Engelmann","Hyago","https://s.glbimg.com/es/sde/f/2016/04/29/54702ccae5d017374d3ce636f1ae5add_FORMATO.png",92145,7,"FIG","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2016/05/11/c42be00e62cf171cd7509aeab8ba6d9b_FORMATO.png",50362,7,"CRU","lat","Suspenso",-4.7,0.78,0.01,-1.56,5,1,15,NA,3,4,NA,14,4,NA,1,NA,NA,NA,NA,2,NA,NA,NA
"115","Bruno Rafael Rodrigues do Nascimento","Bruno Rodrigues","https://s.glbimg.com/es/sde/f/2016/04/26/82136cdf105e3a392a1e3f8509d4e0d4_FORMATO.jpeg",92811,7,"ATL","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Sérgio Antônio Borges Júnior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/e717b60b7c1428ab394b5a7000b297c8_FORMATO.png",50454,7,"SPO","mei","Suspenso",2.5,10.12,0.5,4.15,7,3,12,2,5,25,NA,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Ravanelli Ferreira dos Santos","Ravanelli","https://s.glbimg.com/es/sde/f/2016/05/01/7f36b1972a4a471d650cea3bce5c3544_FORMATO.png",92193,7,"PON","mei","Nulo",0,7.88,0,3.1,4,1,4,1,3,6,NA,9,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"118","Fernando Medeiros","Fernando Medeiros","https://s.glbimg.com/es/sde/f/2016/05/01/834fe463de30d72d6e401c844feb7092_FORMATO.png",92841,7,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Willian Thiego de Jesus","Thiego","https://s.glbimg.com/es/sde/f/2016/04/27/106a8b39bab2f5fc4f76145e87e57147_FORMATO.png",50393,7,"CHA","zag","Provável",-0.7,2.47,-0.75,1.27,6,1,8,NA,1,6,NA,12,5,NA,2,NA,NA,NA,NA,1,NA,NA,NA
"120","Alex Leonardo Bolaño Reascos","Alex Bolaño","https://s.glbimg.com/es/sde/f/2016/05/27/6d67008a2568b9817d2674870a6fb061_FORMATO.jpeg",92850,7,"STC","mei","Nulo",1.1,3.37,-0.27,2.17,3,NA,3,NA,1,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Ronaldo da Silva Souza","Ronaldo","https://s.glbimg.com/es/sde/f/2016/04/20/2a554728394f1684ee7952e88936bbc4_FORMATO.png",92981,7,"FLA","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,7,"CRU","zag","Provável",0,1.99,0,0.9,2,1,2,NA,3,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Caíque Luiz Santos da Purificação","Caíque","https://s.glbimg.com/es/sde/f/2016/05/01/c7b717acd560b03be08e7af47aaa0cf9_FORMATO.png",92207,7,"VIT","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Evandro da Silva","Evandro","https://s.glbimg.com/es/sde/f/2016/04/28/f4be3bbf0db58f8be3c1ad86131a5b98_FORMATO.png",92192,7,"COR","ata","Nulo",0,1.72,-0.3,0.85,2,NA,3,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2016/05/01/b7de8b8e99aca9df7de4c3f0097a939a_FORMATO.png",50408,7,"SAO","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Yan Matheus Santos Souza","Yan","https://s.glbimg.com/es/sde/f/2016/05/01/34831256992fc14506e63c0ef90d673a_FORMATO.png",93146,7,"VIT","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Anderson Angus Aquino","Anderson Aquino","https://s.glbimg.com/es/sde/f/2016/05/20/b0b4962c891176354de801debd50dcad_FORMATO.png",50413,7,"BOT","ata","Dúvida",-1.2,3.96,-0.28,1.5,5,2,2,2,1,8,NA,7,2,NA,NA,NA,NA,5,2,NA,NA,NA,NA
"128","Leandro Almeida da Silva","Leandro Almeida","https://s.glbimg.com/es/sde/f/2016/06/08/e468bcae2b1f23f0abb888de456bf452_FORMATO.png",50462,7,"INT","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Thiago Ferreira Lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2016/04/28/b117d90d6a1e0614fa67d04f3e306c0c_FORMATO.png",92225,7,"COR","mei","Nulo",0,3.48,0,0.97,6,NA,1,NA,2,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Edwin Armando Valencia Rodríguez","Valencia","https://s.glbimg.com/es/sde/f/2016/05/01/19b876352b7c66c50a6b3d872e85257c_FORMATO.png",50417,7,"SAN","mei","Nulo",0,2.43,0,0.5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Matheus Phillipe Coutinho Gomes","Matheus Phillipe","https://s.glbimg.com/es/sde/f/2016/04/29/92c915db9d214a7b498d2733568b14c2_FORMATO.png",92438,7,"FLU","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/a9d9178f59821bfca73d485e636ad040_FORMATO.png",50856,7,"FLU","zag","Provável",2.2,9.98,-0.29,2.95,7,1,3,NA,3,5,NA,13,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"133","Thiago Nascimento dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2016/04/20/9dde03b8c7fb0afd5732393740be4306_FORMATO.png",93151,7,"FLA","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Matheus Antonio Souza dos Santos","Matheus Pato","https://s.glbimg.com/es/sde/f/2015/08/12/8892e98d71d0fc38c1aeb55c78a8c28c_FORMATO.jpeg",92290,7,"FLU","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2015/10/26/0e028d72923de801deda4e00f4dcec3d_FORMATO.png",50645,7,"ATL","lat","Nulo",0,4.64,0,2.67,4,3,5,NA,1,7,NA,16,9,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"136","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,7,"SAO","gol","Provável",-1,6.55,-0.98,3.62,6,NA,NA,NA,NA,NA,NA,1,NA,NA,2,8,6,NA,NA,NA,NA,NA,NA
"137","Eriélton Carlos Pacheco","Pachequinho",NA,93153,7,"COR","tec","Provável",6.05,8.38,1.48,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Douglas Augusto Soares Gomes","Douglas","https://s.glbimg.com/es/sde/f/2016/04/29/8612e800a41c6399f2e6910886f19110_FORMATO.png",92497,7,"FLU","mei","Provável",0.5,5.51,-0.86,4.47,4,1,11,NA,2,2,NA,8,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Bruno Viana Willemen da Silva","Bruno Viana","https://s.glbimg.com/es/sde/f/2016/04/28/5e8c21e4fe26c6bb8c148b2ae722699d_FORMATO.png",92291,7,"CRU","zag","Suspenso",-2.5,1.29,-0.56,0.47,6,3,3,NA,1,NA,NA,13,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"140","Lourency do Nascimento Rodrigues","Lourency","https://s.glbimg.com/es/sde/f/2016/04/27/3a84257ee84604c2cff291c1b066a26b_FORMATO.png",94249,7,"CHA","ata","Nulo",0,1.07,0,0.07,3,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"141","Felipe Tontini da Silveira","Tontini","https://s.glbimg.com/es/sde/f/2016/04/30/a46c129afe79570472c320e05f2714b6_FORMATO.png",93152,7,"GRE","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2016/04/26/765a5089ecb5053c65f7168963c61b74_FORMATO.png",51318,7,"ATL","mei","Provável",0.8,6.87,0.05,1.32,5,1,5,NA,NA,8,NA,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,7,"SAO","mei","Contundido",0,2.03,0,-0.6,4,1,8,1,1,3,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,7,"BOT","zag","Provável",1.8,3.53,0.28,1.05,7,NA,8,NA,NA,5,NA,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Lucas Veríssimo da Silva","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2016/05/01/cc19b9e55d163ff47e693633d0443a0d_FORMATO.png",93368,7,"SAN","zag","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Fábio Carvalho Matos","Fábio","https://s.glbimg.com/es/sde/f/2016/05/01/b3866c797355a02c74cb112a4fbaa9a5_FORMATO.png",93282,7,"SPO","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Matheus dos Santos Batista","Batista","https://s.glbimg.com/es/sde/f/2016/04/30/89e0d630df160e2b31dc716d1ffa3c2d_FORMATO.png",92504,7,"GRE","ata","Nulo",0,1.02,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Lucas Lovat","Lucas Lovat","https://s.glbimg.com/es/sde/f/2015/10/28/e97fac1629b8f139237262738c2e9dcd_FORMATO.jpeg",92501,7,"GRE","lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Wesley Pionteck Souza","Wesley Souza","https://s.glbimg.com/es/sde/f/2016/04/28/6343f9411df1ae28d796304142d3e73a_FORMATO.jpeg",93376,7,"SAN","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Ricardo Martins de Araújo","Kadu","https://s.glbimg.com/es/sde/f/2016/05/01/5ece8fb5b4713b05482aa2b88891e5cf_FORMATO.png",50427,7,"PON","zag","Provável",-1.1,4.47,-0.88,1.1,7,1,9,2,1,5,NA,12,8,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"151","José Marcílio Martins da Silva ","Marcílio","https://s.glbimg.com/es/sde/f/2016/05/01/773e6d075f97446aaa6713cadcb1214a_FORMATO.png",92518,7,"STC","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Augusto de Souza Silva","Augusto","https://s.glbimg.com/es/sde/f/2016/05/01/956f8c7210c70087792d97d2e527d60c_FORMATO.png",93378,7,"PAL","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Rafael Dumas Ribeiro","Rafael Dumas","https://s.glbimg.com/es/sde/f/2016/04/20/331eaf8147e2a2a768cb57a9a9813023_FORMATO.png",92500,7,"FLA","zag","Nulo",0,0.8,0,0.1,1,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Mauro Joel Carli","Joel Carli","https://s.glbimg.com/es/sde/f/2016/05/20/6a298f9b1dd5a88146f9f926e4b91a1b_FORMATO.png",93414,7,"BOT","zag","Contundido",0,6.67,0,1.1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Kaio Silva Mendes","Kaio","https://s.glbimg.com/es/sde/f/2016/04/30/a83b6e7bb6661dbbb2b8c85d3afc4b48_FORMATO.png",92574,7,"GRE","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Walter Leandro Capeloza Artume","Walter","https://s.glbimg.com/es/sde/f/2016/04/28/9520a016aaf4604a0c75d928046c8bd9_FORMATO.png",51413,7,"COR","gol","Provável",7,13.74,0.99,6.98,7,NA,NA,NA,NA,1,NA,2,NA,NA,4,13,5,NA,NA,NA,NA,NA,NA
"157","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2016/05/01/02e50e98f3a67626dd1c651cdd042e54_FORMATO.png",51415,7,"PAL","zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Diego Martín Alaníz Ávila","Martín Alaníz","https://s.glbimg.com/es/sde/f/2016/04/27/042d0503340a798e9066221b1fe16acb_FORMATO.png",93566,7,"CHA","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Rafael Bastos","Rafael Bastos","https://s.glbimg.com/es/sde/f/2016/05/09/f9313737a5d1b6a09f6ea9cc9502cbae_FORMATO.png",51476,7,"AME","mei","Nulo",0,10.92,0,3.94,5,1,8,4,3,6,1,6,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"160","Reinaldo Lenis Montes","Lenis","https://s.glbimg.com/es/sde/f/2016/05/01/9159bcd85db743f56cfb40ade72eba88_FORMATO.png",93746,7,"SPO","ata","Nulo",0,5.29,-0.04,-0.33,6,NA,4,NA,1,3,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"161","Gervasio Daniel Núñez","Gervasio Núñez","https://s.glbimg.com/es/sde/f/2016/05/20/f3f94ef0c4f0873bd1f6a82953360998_FORMATO.png",93697,7,"BOT","mei","Nulo",0,3.05,0,0.63,3,NA,1,1,1,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Wesley Craudio Campos","Wesley","https://s.glbimg.com/es/sde/f/2016/04/30/d68c8e98a54d687d2ecdd392d9fb6f62_FORMATO.png",92618,7,"GRE","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Matías Pisano","Pisano","https://s.glbimg.com/es/sde/f/2016/04/29/8007720f25e14fc4faca58ccdf8a89fa_FORMATO.png",93567,7,"CRU","mei","Nulo",0,2.27,0,0.23,3,NA,4,2,NA,2,NA,9,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"164","Francisco Ítalo Mascena Borges","Ítalo Borges","https://s.glbimg.com/es/sde/f/2016/05/01/8f6a85035f55a16f5af640a40b458af9_FORMATO.png",93733,7,"STC","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Matheus Trindade Gonçalves","Trindade","https://s.glbimg.com/es/sde/f/2016/04/20/96cce04406801b8a2fd453be35779c55_FORMATO.png",92631,7,"FLA","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Marlon Rodrigues Freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2016/04/29/cfce25280f9e71de54a5d5d03d8db439_FORMATO.png",93790,7,"FLU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Daniel Sampaio Simões","Danielzinho","https://s.glbimg.com/es/sde/f/2016/04/29/8b1e3dc9185048c52bee9ac7faa1d27f_FORMATO.png",93791,7,"FLU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Cleiton Schwengber","Cleiton","https://s.glbimg.com/es/sde/f/2016/05/09/5478d297b25b3631c3664a8e03e2cd38_FORMATO.png",93882,7,"ATL","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Matheus Oliveira de Souza","Matheus Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/419d98d3e2a1e376088fe003f6cd7124_FORMATO.png",92661,7,"INT","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Matheus Fernandes de Brito Cabral","Matheus Cabral","https://s.glbimg.com/es/sde/f/2016/04/27/ba9ba2b24a93b55ce1dcd5fe204c4b60_FORMATO.png",93795,7,"BOT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Rafaelson Bezerra Fernandes","Rafaelson","https://s.glbimg.com/es/sde/f/2016/05/01/76126c4ff37910430233fdce362777d0_FORMATO.png",92614,7,"VIT","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
