"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","PE","RB","A","SG","DD","GS","I","FT","CV","GC","PP","DP"
"736","Andrigo Oliveira de Araujo","Andrigo","https://s.glbimg.com/es/sde/f/2016/05/03/3ebd9ed86862cc224d7f138b75e64119_FORMATO.png",89930,7,"INT","mei","Nulo",0,4.31,0,0.02,6,2,16,3,4,8,NA,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","Bruno Edgar Silva Almeida","Bruno Ramires","https://s.glbimg.com/es/sde/f/2016/05/25/d404224a3a10f045f7b5ac26ba1630d7_FORMATO.png",89924,7,"CRU","mei","Provável",1.1,3.31,-0.25,1.48,5,1,4,NA,1,3,NA,13,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"738","Róger Krug Guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2016/05/01/50ba5f59e410f0d4a635357cb29bcdb8_FORMATO.jpeg",89898,7,"PAL","ata","Dúvida",-0.1,10.01,-0.92,4.2,7,NA,5,3,5,11,2,12,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"739","Carlos Andrade Souza","Carlinhos","https://s.glbimg.com/es/sde/f/2016/05/01/d446f5335ee4582353eb54aec7443ad2_FORMATO.png",38451,7,"SAO","lat","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","Tiago da Rocha Vieira","Tiaguinho","https://s.glbimg.com/es/sde/f/2016/06/11/54f624056c8e0fcb771683b7f06ca5a3_FORMATO.png",90265,7,"CHA","ata","Nulo",-0.4,1.38,-0.62,-0.4,1,NA,3,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2016/06/06/fff1e2f2c5b5ab7d1955d4863ec54bf3_FORMATO.png",38523,7,"GRE","lat","Provável",-0.5,10.03,-0.16,5.53,6,2,16,2,1,6,1,35,10,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"742","Jaílson Marques Siqueira","Jailson","https://s.glbimg.com/es/sde/f/2016/04/27/3e188c20efad841496876cbe0bf752bb_FORMATO.jpeg",90290,7,"GRE","mei","Provável",0,1.56,-0.44,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/5cb6787323010c1ede0ce214b83bd2c9_FORMATO.png",38530,7,"PAL","mei","Dúvida",8.2,15,2.27,2.5,5,1,5,1,1,2,1,22,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"744","Pedro Rocha Neves","Pedro Rocha","https://s.glbimg.com/es/sde/f/2016/04/30/0d21af8fa9b92cb5a7bcbc1b174a8b2e_FORMATO.png",90302,7,"GRE","ata","Contundido",0,5.07,0,2.3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"745","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2016/04/30/249fed612a2888df8575c1a9be60b53a_FORMATO.png",38573,7,"INT","mei","Nulo",0,4.5,0,1.45,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","Lincoln Henrique Oliveira dos Santos","Lincoln","https://s.glbimg.com/es/sde/f/2016/04/30/896250a6a797bd9a6c4699f9bd5cba0c_FORMATO.png",90303,7,"GRE","mei","Nulo",0,5.32,0,-0.87,3,1,3,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"747","David Correa da Fonseca","David","https://s.glbimg.com/es/sde/f/2016/05/01/f0a005c33b60cc205cdc6bd87876db75_FORMATO.png",90309,7,"VIT","mei","Nulo",0,1.42,0,0.47,3,NA,1,2,1,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","Bryan Olivera Calvo","Bryan Olivera","https://s.glbimg.com/es/sde/f/2015/01/15/36ca70d6a800ae5a7b33483691bae83a_FORMATO.jpeg",90311,7,"FLU","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","Igor da Silva Candiota","Igor","https://s.glbimg.com/es/sde/f/2015/01/14/32a187dc06535c3c4dde77de918fa558_FORMATO.jpeg",90320,7,"FLA","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750","Jean Victor Barros","Jean","https://s.glbimg.com/es/sde/f/2016/05/20/3b155c0be6cba1a2c1ae295d73bd0c72_FORMATO.png",90336,7,"BOT","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","Teodoro Junio Barbosa de Araújo","Araújo","https://s.glbimg.com/es/sde/f/2016/04/30/8da3cdd181e04b0c114f91c721ad89b1_FORMATO.png",90334,7,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","Jonathan da Silveira Fernandes Reis","Fernandes","https://s.glbimg.com/es/sde/f/2016/05/20/02861c5449623b3038673b374f31d53e_FORMATO.png",90399,7,"BOT","mei","Dúvida",-1.3,8.9,-0.88,4.1,6,NA,8,2,2,3,1,18,13,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"753","Neilton Meira Mestzk","Neilton","https://s.glbimg.com/es/sde/f/2016/05/20/f7254d3464752fd4562b0633482ac07d_FORMATO.png",83772,7,"BOT","ata","Dúvida",0,7.4,0,3.25,6,NA,2,1,4,12,1,10,6,NA,NA,NA,NA,2,NA,NA,NA,1,NA
"754","Matheus Pereira da Silva","Matheus Pereira","https://s.glbimg.com/es/sde/f/2016/04/28/6b192d337619fb242109367ebca60db7_FORMATO.png",90370,7,"COR","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","Raul José Cardoso","Raul","https://s.glbimg.com/es/sde/f/2016/04/30/20baeb0768cee2ef5e7e760abad4ddfa_FORMATO.png",90531,7,"GRE","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","Alisson Alves Farias","Alisson Farias","https://s.glbimg.com/es/sde/f/2016/04/30/d4033d2d070ff7793784fbb3ce12f678_FORMATO.png",90481,7,"INT","mei","Nulo",0,3.68,0,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","Arthur Henrique Ramos de Oliveira Melo","Arthur","https://s.glbimg.com/es/sde/f/2016/04/30/c66920f75ffae5c4ae70d98ce74fc92e_FORMATO.png",90532,7,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","Clayson Henrique da Silva Vieira","Clayson","https://s.glbimg.com/es/sde/f/2016/05/01/66db511d5e1f4776c5d9ed74ddbf545b_FORMATO.png",83817,7,"PON","mei","Provável",0,1.59,0,1.78,5,1,6,1,NA,6,1,9,3,1,NA,NA,NA,1,NA,1,NA,NA,NA
"759","Alex Sandro dos Santos Apolinario","Alex","https://s.glbimg.com/es/sde/f/2016/04/28/f00d8093b5e7456cf5ee94161c8b7bda_FORMATO.png",90535,7,"CRU","mei","Nulo",0,1.12,0,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","Rivaldo Vitor Borba Ferreira Junior","Rivaldinho","https://s.glbimg.com/es/sde/f/2016/02/19/6e03babfe88c0a96df77c694fa554c01_FORMATO.png",86620,7,"INT","ata","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","Rafael Vinicius Carvalho Longuine","Rafael Longuine","https://s.glbimg.com/es/sde/f/2016/05/01/1f935974fecf9ac7b30cbc7c4a5e4c7a_FORMATO.png",90566,7,"SAN","mei","Nulo",0,3.04,0,-0.9,2,1,3,NA,1,6,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"762","Arthur Henrique Peixoto Santos","Arthur Henrique","https://s.glbimg.com/es/sde/f/2016/04/20/3f46a527ea61558b1ac7d2bc9ce37b13_FORMATO.png",86629,7,"FLA","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","Nery Bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2016/05/09/626dd23e9d5d7bad2b97174f912d48ba_FORMATO.jpeg",79276,7,"COR","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2016/05/20/5c565cea17e3c15bc1b3b52893f19c4f_FORMATO.png",79578,7,"BOT","ata","Dúvida",6.8,5.43,1.65,2.36,5,1,8,2,2,3,1,5,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"765","Antonio Carlos Cunha Capocasali Júnior","Antonio Carlos ","https://s.glbimg.com/es/sde/f/2016/05/13/0ecf2108bd8ddd8c2893b22ed1866b09_FORMATO.png",79702,7,"PON","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","Bruno Alexandre Marques Pereirinha","Bruno Pereirinha","https://s.glbimg.com/es/sde/f/2016/04/26/ee91ba67f57ac8cd752447e02b432bb6_FORMATO.png",79646,7,"ATL","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","Odair Souza ","Nenén","https://s.glbimg.com/es/sde/f/2016/04/27/67be98e46866be3009b7b0f33ec4222e_FORMATO.png",79892,7,"CHA","mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","Douglas dos Santos Justino de Melo","Douglas Santos","https://s.glbimg.com/es/sde/f/2016/05/09/9f0bdd83abab57f4975c9902282e8a0a_FORMATO.png",79826,7,"ATL","lat","Provável",0,13.11,0,1.7,1,NA,NA,1,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","Fabiano Leissmann","Fabiano","https://s.glbimg.com/es/sde/f/2016/05/20/f4c81ee7ed80519ab5b636ea49368e6a_FORMATO.jpeg",79887,7,"PAL","lat","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","Helton Brant Aleixo Leite","Helton Leite","https://s.glbimg.com/es/sde/f/2016/05/20/5fd57defcef29c5cd30495ee3eb4e67f_FORMATO.png",79973,7,"BOT","gol","Nulo",0,6.22,0,2.33,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,NA,NA,NA,NA,NA,NA
