"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","I","PE","RB","A","GC","SG","FT","DD","GS","CV","PP","DP"
"36","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2016/04/28/8d01a11770a124d6d1f9432e0d2cc9eb_FORMATO.png",61033,10,"COR","mei","Provável",5.5,7.07,0.39,2.92,5,NA,2,NA,3,11,NA,NA,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Willians Domingos Fernandes","Willians","https://s.glbimg.com/es/sde/f/2016/04/28/ddbf7a8cf8492557895f2514f35971d3_FORMATO.png",54424,10,"COR","mei","Nulo",0,4.51,0,-0.8,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Uendel Pereira Gonçalves","Uendel","https://s.glbimg.com/es/sde/f/2016/04/28/32ce15929c8ce3e8a780390968bf42cc_FORMATO.png",60852,10,"COR","lat","Provável",0.7,12.69,0.06,4.84,10,NA,11,2,1,7,2,1,33,10,1,NA,4,NA,NA,NA,NA,NA,NA
"39","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2016/04/28/5a5487a09ab32e96768a9feb9587e58c_FORMATO.png",54395,10,"COR","mei","Contundido",0,11.44,0,0.67,3,1,2,NA,5,2,NA,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Wanderley de Jesus Sousa","Derley","https://s.glbimg.com/es/sde/f/2016/06/21/1e6549f757c18d4cea88c4aa1175c7a8_FORMATO.png",60791,10,"STC","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,10,"BOT","mei","Provável",-1.7,4.92,-0.96,0.17,3,1,3,NA,NA,5,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Cristóvão Borges dos Santos","Cristóvão Borges","https://s.glbimg.com/es/sde/f/2016/06/23/27eb6c77134b3b002a464c8eb1685761_FORMATO.jpeg",60752,10,"COR","tec","Provável",3.28,12.37,-1.41,3.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Everton Kempes dos Santos Gonçalves","Kempes","https://s.glbimg.com/es/sde/f/2016/04/27/bad8378ed9eb0504e46152d7d251bf29_FORMATO.png",62056,10,"CHA","ata","Nulo",0,4.12,0,1.13,3,NA,3,1,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Fernando Camilo Farias","Camilo","https://s.glbimg.com/es/sde/f/2016/06/21/6dac0cdca95fe1395ebec4ecea6a76cd_FORMATO.png",62009,10,"BOT","mei","Dúvida",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,10,"CRU","mei","Contundido",0,6.65,0,4.13,3,NA,1,1,NA,3,NA,NA,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA
