"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","FF","DD","GS","FD","G","A","FT","I","PP","CV","GC","DP"
"401","Wallace Oliveira dos Santos","Wallace Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/0a4ef48eb54897fc19994043260ef55f_FORMATO.png",74075,11,"GRE","lat","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2016/04/20/b32111b86cb0b507eb672fbe6392e61a_FORMATO.png",75295,11,"FLA","ata","Provável",7.3,6.9,0.16,-0.07,3,2,11,6,11,1,NA,2,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA
"403","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,11,"CRU","mei","Nulo",0,14.64,0,5.49,7,NA,1,12,23,11,NA,3,NA,NA,2,2,NA,1,5,NA,NA,NA,NA
"404","Hernani Azevedo Junior","Hernani ","https://s.glbimg.com/es/sde/f/2016/04/26/78e49316a8b765001fd3cbed43fb8b5a_FORMATO.png",74078,11,"ATL","mei","Suspenso",15.7,4.83,3.23,3.29,7,3,14,3,21,13,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"405","William de Oliveira Pottker","William Pottker","https://s.glbimg.com/es/sde/f/2016/06/11/04d3dfb7b74a32eed54620376df65639_FORMATO.jpeg",77809,11,"PON","ata","Provável",11.1,7.62,2.02,3.38,6,2,6,3,6,2,NA,6,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"406","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2016/04/28/53f6ff2a12e40b6f8dd49aef0978f58e_FORMATO.png",77500,11,"COR","zag","Contundido",0,10.18,0,-2,2,NA,2,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"407","Antonio Carlos Cunha Capocasali Júnior","Antonio Carlos ","https://s.glbimg.com/es/sde/f/2016/05/13/0ecf2108bd8ddd8c2893b22ed1866b09_FORMATO.png",79702,11,"PON","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2016/04/29/30350579107b2bf5c3e11cbaaa65ec0f_FORMATO.png",77529,11,"FIG","lat","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","César Eduardo González Amaiz","César González","https://s.glbimg.com/es/sde/f/2016/05/11/f0e9f024533b110586909cdd36af69b9_FORMATO.jpeg",74210,11,"COR","mei","Contundido",0,2.33,0,1.23,6,NA,4,10,23,3,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
"410","Gustavo Javier Canales","Canales","https://s.glbimg.com/es/sde/f/2016/05/31/3ec90fd10b0b59e46e4ed1b8e713a947_FORMATO.png",77772,11,"BOT","ata","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2016/02/19/f053ce859937795fb08a04bc73f4f3e5_FORMATO.png",77556,11,"COR","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Filipe José Machado","Filipe Machado","https://s.glbimg.com/es/sde/f/2014/11/03/a5e74c9b1aea28dc2661dbd1db969a7d_FORMATO.jpeg",77868,11,"CHA","zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","João Felipe Schimdt Urbano","João Schmidt ","https://s.glbimg.com/es/sde/f/2016/05/01/5214f931543621b3d23666a103f23d6e_FORMATO.png",77777,11,"SAO","mei","Provável",-0.3,4.55,-0.41,2.59,8,NA,10,12,24,15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Emerson da Conceição","Emerson Conceição","https://s.glbimg.com/es/sde/f/2015/10/28/1dd9174335f24dfb15b6a586227ecb44_FORMATO.png",77895,11,"COR","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Vagner Antônio Brandalise","Vagner","https://s.glbimg.com/es/sde/f/2016/05/01/070befdf695ba9061ea52576d98e9ec2_FORMATO.png",78151,11,"PAL","gol","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Edgardo Bauza","Edgardo Bauza","https://s.glbimg.com/es/sde/f/2016/05/01/f7cbafa3bccb36c5e875f5cb0480305b_FORMATO.png",78361,11,"SAO","tec","Provável",-0.55,11.8,-0.99,3.6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2016/05/01/b89def887a8c88677a346b6ef350770e_FORMATO.png",78248,11,"SAN","zag","Provável",3.8,4.69,0.38,2.29,9,3,8,2,15,10,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"418","Victor Vinícius Coelho dos Santos","Vitinho","https://s.glbimg.com/es/sde/f/2016/04/30/3d3d6c56c09cbb3c5faabff10e811d39_FORMATO.png",78435,11,"INT","ata","Provável",0,11.72,0,5.27,10,3,18,23,39,9,NA,8,NA,NA,4,4,2,1,5,NA,NA,NA,NA
"419","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2016/05/01/b6636f216cfaa7ececec16111456dc19_FORMATO.png",77967,11,"SAO","lat","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2016/05/01/a93f99205ac1160291913798df1695dc_FORMATO.png",78086,11,"PON","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2016/05/01/85751bb6bf154f66767689168ed965aa_FORMATO.png",78407,11,"PON","zag","Nulo",0,8.8,0,2.13,3,1,3,4,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Oswaldo Alfredo de Lima Gonçalves","Oswaldo","https://s.glbimg.com/es/sde/f/2016/02/19/512c95f47595131a758ccac1a3831907_FORMATO.png",78422,11,"SPO","zag","Nulo",0,0.96,0,-1.55,2,1,2,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2016/05/01/1eac9f5c4053080a4a2e6359bd545014_FORMATO.png",78445,11,"SPO","lat","Nulo",0,12.02,0,2.93,9,3,6,11,43,22,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"424","Sérgio Manoel Barbosa Santos","Sérgio Manoel","https://s.glbimg.com/es/sde/f/2015/05/05/00606c73204e895b38534f4f3ec6bd30_FORMATO.jpeg",78500,11,"CHA","mei","Provável",0,2.3,0,1.32,4,3,7,3,13,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"425","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2016/04/20/03bb5324d5512b7697e1020d78d05d2f_FORMATO.png",78478,11,"FLA","mei","Provável",-2.8,14.96,-2.22,5.26,11,1,13,12,47,27,NA,8,NA,NA,3,2,2,NA,NA,NA,NA,1,NA
"426","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2016/06/28/314666b22831271d8ff5b2aab8e93ec2_FORMATO.jpeg",78548,11,"SAN","mei","Nulo",-0.3,2.28,-0.72,-0.3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Fábio Braga","Fábio Braga","https://s.glbimg.com/es/sde/f/2016/05/09/5eddcad1eddd78c80b25f9598bec3509_FORMATO.jpeg",78464,11,"COR","mei","Nulo",0,1.86,0,0.6,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Gabriel Girotto Franco","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/77d478fc6384356d3c3869a3d5688c99_FORMATO.png",78605,11,"PAL","mei","Nulo",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Paulo Luiz Beraldo Santos","Paulinho","https://s.glbimg.com/es/sde/f/2016/05/01/f0e73e5e5dedab47653f0d447756e4f4_FORMATO.png",78578,11,"SAN","ata","Nulo",0,3.3,0,1.64,9,2,5,9,27,8,NA,4,NA,NA,2,1,NA,NA,3,NA,NA,NA,NA
"430","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2016/04/28/577df852683a65bd049469a520254155_FORMATO.png",80363,11,"CRU","mei","Nulo",0,6.13,0,0.1,5,1,7,3,10,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Gabriel Bordinhão Gasparotto","Gabriel Gasparotto","https://s.glbimg.com/es/sde/f/2016/06/28/e51699e690f5560939a50fdbb0077328_FORMATO.jpeg",78839,11,"SAN","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Bryan Silva Garcia","Bryan","https://s.glbimg.com/es/sde/f/2016/05/25/5b9b24c19e03fc40d70c6a4523ef44ae_FORMATO.png",78632,11,"CRU","lat","Provável",1.1,7.18,-0.38,2.8,6,NA,4,4,31,11,2,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"433","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2016/04/01/1485ccf7bc8648ce9459935173d1d942_FORMATO.png",78584,11,"GRE","gol","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Reinaldo Manoel da Silva","Reinaldo","https://s.glbimg.com/es/sde/f/2016/05/01/9fcbafd898a27f7ee27ac9c658b79f4e_FORMATO.png",78850,11,"PON","lat","Provável",3,14.44,0.43,4.28,11,2,11,9,44,20,1,4,NA,NA,1,1,3,NA,1,NA,NA,NA,NA
"435","Ramiro Moschen Benetti","Ramiro","https://s.glbimg.com/es/sde/f/2016/04/30/77a813684c8bec870853e82a9e5d8c78_FORMATO.png",78715,11,"GRE","mei","Suspenso",-3.6,6.06,-0.67,0.27,6,1,11,9,16,10,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA
"436","Thiago dos Santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2016/05/01/a0829f0801ed8f6ec3f080d37c905d4f_FORMATO.png",78855,11,"PAL","mei","Dúvida",0.4,4.92,-0.36,2.95,6,2,11,6,5,10,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"437","Alan Cassio da Cruz","Alan Mineiro","https://s.glbimg.com/es/sde/f/2016/05/25/817bcc737122260ee5e51ef26227036d_FORMATO.jpeg",78765,11,"AME","mei","Provável",2.4,6.33,0.44,0.22,6,NA,4,4,15,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"438","Wanderson de Jesus Martins","Caju","https://s.glbimg.com/es/sde/f/2016/05/01/54af0c3c3d1522543c64c18ca5a50a22_FORMATO.png",89342,11,"SAN","lat","Nulo",5,5.19,-0.37,7.7,2,NA,1,NA,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Rodrigo Dourado Cunha","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2016/04/30/125a07d72be4705ac75309652609a92e_FORMATO.png",78865,11,"INT","mei","Provável",0.5,8.79,-0.41,2.52,4,1,7,2,7,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Raphael David Thomaz","Raphinha","https://s.glbimg.com/es/sde/f/2016/05/30/d1ded0ddc810e7ee6c8579efdbaa1e42_FORMATO.png",78868,11,"INT","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2016/05/01/eb94bb8c5d05bfa2c6196961a8686f0f_FORMATO.png",88225,11,"SAN","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Marcelo Augusto Mathias da Silva","Marcelo","https://s.glbimg.com/es/sde/f/2016/04/27/2ff3f8fd47b927f6e7aaefc9020fd98c_FORMATO.png",78895,11,"CHA","zag","Provável",7.2,8.56,0.49,2.75,11,2,11,10,10,9,3,3,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
"443","Adrián Ricardo Centurión","Centurión","https://s.glbimg.com/es/sde/f/2016/05/01/4beae587728cc6f31ddd73ed7df97170_FORMATO.png",88269,11,"SAO","ata","Provável",0,8.55,0,1.93,9,NA,6,20,31,6,NA,10,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA
"444","Luiz Eduardo dos Santos Gonzaga","Dudu","https://s.glbimg.com/es/sde/f/2016/04/29/b704675962ac6d5e0b924179fd6b076c_FORMATO.png",78967,11,"FIG","ata","Provável",-2.1,4.28,-0.87,0.81,10,4,13,24,17,5,NA,3,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA
"445","Moisés Ribeiro Santos","Moisés","https://s.glbimg.com/es/sde/f/2016/04/27/23000de814513259c7b14080e5957a10_FORMATO.png",78991,11,"CHA","mei","Contundido",0,3.41,0,0.9,4,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Leandro Marcos Pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2015/07/22/3eb98a31a7a37b5944e10c1042eab5c9_FORMATO.jpeg",78968,11,"PAL","ata","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Sueliton Florêncio Nogueira","Sueliton","https://s.glbimg.com/es/sde/f/2016/05/09/1d06851858c7a18e9c2bfcebb9f7a438_FORMATO.png",88387,11,"AME","zag","Nulo",2.1,7.73,-0.52,2.73,7,1,11,12,16,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"448","Ayrton Lucas Dantas de Medeiros","Ayrton ","https://s.glbimg.com/es/sde/f/2016/05/30/d9de5b01c0675ed4e4ab3da40f2a1cca_FORMATO.png",88393,11,"FLU","lat","Nulo",0,3.7,0,4.7,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Edson Kölln","Edson Kölln","https://s.glbimg.com/es/sde/f/2016/05/01/c36af0e7ee65907c7419352b5fbc6679_FORMATO.png",78979,11,"STC","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Iago Ângelo Dias","Iago","https://s.glbimg.com/es/sde/f/2016/06/24/9f714e368771d2d54cd27c0c9b0fc896_FORMATO.jpeg",88417,11,"COR","ata","Nulo",1.4,1.96,0.34,0.75,2,NA,1,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Eduardo Henrique da Silva","Eduardo","https://s.glbimg.com/es/sde/f/2016/05/09/87e35bd6199717635fc3e63b529f9977_FORMATO.png",78994,11,"ATL","mei","Dúvida",0,6.03,-1.23,2.2,3,1,3,7,4,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"452","Ángel Rodrigo Romero Villamayor","Ángel Romero","https://s.glbimg.com/es/sde/f/2016/06/23/7903fe7f2298b69880a189fc96ca0f0c_FORMATO.png",88323,11,"COR","ata","Provável",8.5,9.59,0.47,5.56,5,1,4,14,11,4,NA,4,NA,NA,2,1,2,NA,3,NA,NA,NA,NA
"453","Luiz Felipe do Nascimento dos Santos","Luiz Felipe","https://s.glbimg.com/es/sde/f/2016/05/01/219ecaef93bd80a39957849e5c00a8ca_FORMATO.png",79035,11,"SAN","zag","Provável",2.6,5.34,-0.63,3.33,7,2,7,2,17,7,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"454","Luiz Carlos Oliveira Bitencourt","Luiz Carlos ","https://s.glbimg.com/es/sde/f/2016/05/01/094cd9a92291d9b827dcfe88c0efccb6_FORMATO.png",88430,11,"SPO","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Walace Souza Silva","Walace","https://s.glbimg.com/es/sde/f/2016/04/30/14966dfd439d086334be00397217a6a2_FORMATO.png",88479,11,"GRE","mei","Provável",-0.8,11.24,-0.36,1.87,9,1,10,8,43,16,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"456","Elisson Aparecido Rosa","Elisson","https://s.glbimg.com/es/sde/f/2016/05/25/3554792f7d6370422f0d6500155cbe09_FORMATO.jpeg",79048,11,"COR","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Lucas de Figueiredo Crispim","Lucas Crispim","https://s.glbimg.com/es/sde/f/2016/05/01/f060208d1a949d93507611b7e4fbd24b_FORMATO.png",88597,11,"SAN","mei","Nulo",0,3.5,0,1.4,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Alex Roberto Santana Rafael ","Alex Muralha","https://s.glbimg.com/es/sde/f/2016/05/30/c3a1a9103a8737f15fd42e4bd9b7599b_FORMATO.png",79066,11,"FLA","gol","Provável",-4.3,6.06,-3.63,4.48,8,NA,NA,4,4,NA,3,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Luan Polli Gomes","Luan Polli ","https://s.glbimg.com/es/sde/f/2016/04/29/310dae26f567a9157425550aee7144d7_FORMATO.png",88916,11,"FIG","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Tiago Pagnussat","Tiago ","https://s.glbimg.com/es/sde/f/2016/04/26/334b3b9b8036a87dfc2b71286be6e15e_FORMATO.png",79042,11,"ATL","zag","Nulo",0,10.03,0,4.42,5,NA,4,3,18,8,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"461","Jucemar de Oliveira Cordeiro Júnior","Júnior Oliveira","https://s.glbimg.com/es/sde/f/2016/05/25/1292ee827e916cf85996f638132cb5ed_FORMATO.png",88848,11,"FIG","gol","Nulo",0,8.09,0,8,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Maikel Daniel Costa ","Daniel Costa","https://s.glbimg.com/es/sde/f/2016/05/01/2852685afd52f5ee15e93523ef2b5a6f_FORMATO.png",79077,11,"STC","mei","Nulo",0.1,2.19,0.27,-0.03,4,NA,3,NA,9,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"463","Auro Álvaro da Cruz Júnior","Auro","https://s.glbimg.com/es/sde/f/2016/06/28/e214bcda51965bbf7c5068c841a8604f_FORMATO.jpeg",88540,11,"SPO","lat","Nulo",0,7.16,0,3.66,5,NA,2,1,10,3,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"464","Roger Machado Marques","Roger Machado ","https://s.glbimg.com/es/sde/f/2016/04/30/fc8bf97ea73c1e25340aab3eea55ab35_FORMATO.png",79437,11,"GRE","tec","Provável",0.21,13.64,-0.34,4.17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Nery Bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2016/05/09/626dd23e9d5d7bad2b97174f912d48ba_FORMATO.jpeg",79276,11,"COR","zag","Nulo",0,2.99,0,2.9,1,NA,2,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"466","Bruno Sávio da Silva","Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/7dd962f353ef61652ad5f8a79da0ca3c_FORMATO.png",89101,11,"AME","ata","Nulo",0,3.99,0,1.62,8,1,7,2,8,5,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"467","Gabriel Fernando de Jesus","Gabriel Jesus","https://s.glbimg.com/es/sde/f/2016/05/04/f14c5868bfb9bd13406d556de657b9e8_FORMATO.png",89154,11,"PAL","ata","Provável",9.1,29.89,-0.79,7.66,11,2,27,39,32,9,NA,8,NA,NA,11,7,2,NA,12,NA,NA,NA,NA
"468","Judivan Flor da Silva","Judivan ","https://s.glbimg.com/es/sde/f/2016/04/29/84cf16c68adf0de130d3dd9fc83f017e_FORMATO.png",89190,11,"CRU","ata","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2016/05/20/5c565cea17e3c15bc1b3b52893f19c4f_FORMATO.png",79578,11,"BOT","ata","Nulo",0,6.97,0,5.77,7,1,9,6,6,4,NA,2,NA,NA,4,4,NA,1,4,NA,NA,NA,NA
"470","Joeliton Lima Santos","Mansur","https://s.glbimg.com/es/sde/f/2016/04/26/a1736bf3043f5d519fac6ef52552b618_FORMATO.png",79553,11,"SPO","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Daniel Miller Tenenbaum","Daniel","https://s.glbimg.com/es/sde/f/2016/04/20/6b655cea1f7829b459eff3efa45034cf_FORMATO.png",89258,11,"FLA","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Iago Justen Maidana Martins","Iago Maidana","https://s.glbimg.com/es/sde/f/2016/05/01/b7a6ac34682337402608ab557eddce32_FORMATO.jpeg",89226,11,"SAO","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Gerson Santos da Silva","Gerson","https://s.glbimg.com/es/sde/f/2016/04/29/088b79b7619def72d9874f35da2ca1da_FORMATO.png",89256,11,"FLU","mei","Nulo",0,10.52,0,2.05,2,NA,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Odair Souza ","Nenén","https://s.glbimg.com/es/sde/f/2016/04/27/67be98e46866be3009b7b0f33ec4222e_FORMATO.png",79892,11,"CHA","mei","Nulo",0,3.94,-1.06,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","João Pedro dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2016/05/01/c96d48d7d4b10e94a0eb9aebcd00a649_FORMATO.png",89273,11,"PAL","lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Douglas dos Santos Justino de Melo","Douglas Santos","https://s.glbimg.com/es/sde/f/2016/05/09/9f0bdd83abab57f4975c9902282e8a0a_FORMATO.png",79826,11,"ATL","lat","Provável",9.3,12.78,1.58,4.02,5,1,8,5,12,9,2,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"477","Marion Silva Fernandes","Marion","https://s.glbimg.com/es/sde/f/2016/06/28/3d4140b1fbb536f00a8563db1dc349d9_FORMATO.png",79947,11,"STC","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Bruno Alexandre Marques Pereirinha","Bruno Pereirinha","https://s.glbimg.com/es/sde/f/2016/04/26/ee91ba67f57ac8cd752447e02b432bb6_FORMATO.png",79646,11,"ATL","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,11,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Fabiano Leissmann","Fabiano","https://s.glbimg.com/es/sde/f/2016/05/20/f4c81ee7ed80519ab5b636ea49368e6a_FORMATO.jpeg",79887,11,"PAL","lat","Nulo",5.9,5.49,0.49,5.4,2,NA,3,NA,5,4,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"481","Willian de Asevedo Furtado","William","https://s.glbimg.com/es/sde/f/2016/04/30/75e4a80e8152cf2e721dea24b7b7b180_FORMATO.png",89275,11,"INT","lat","Provável",0.1,14.26,-0.36,5.31,11,2,24,11,45,22,5,3,NA,NA,4,NA,3,NA,2,NA,NA,NA,NA
"482","Romário Correia de Souza","Romário","https://s.glbimg.com/es/sde/f/2016/04/19/d00d6026d2117a965f8cba4d7a298bfa_FORMATO.png",79954,11,"AME","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Matheus de Sales Cabral","Matheus Sales","https://s.glbimg.com/es/sde/f/2016/05/01/472f14cf9165dd0469cf6e9346dd669f_FORMATO.png",89285,11,"PAL","mei","Nulo",0,4.57,0,1.12,6,2,12,7,6,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Jadson Alves dos Santos","Jadson","https://s.glbimg.com/es/sde/f/2016/04/26/cf623dc4bea35280a581ad5c0125ba83_FORMATO.png",80129,11,"ATL","mei","Nulo",0,2.94,0,0,1,NA,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Hugo Ragelli Oliveira Andrade","Hugo Ragelli","https://s.glbimg.com/es/sde/f/2014/10/14/b4ccb45b85f5ad13cada4d8f29cfabec_FORMATO.jpeg",89444,11,"CRU","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
