"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","FF","DD","GS","FD","G","A","FT","I","PP","CV","GC","DP"
"151","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,11,"CRU","zag","Nulo",0,1.99,0,0.9,2,1,2,1,4,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Willian Thiego de Jesus","Thiego","https://s.glbimg.com/es/sde/f/2016/04/27/106a8b39bab2f5fc4f76145e87e57147_FORMATO.png",50393,11,"CHA","zag","Provável",1,5.4,-0.93,4.2,10,1,12,8,25,10,3,2,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA
"153","Leandro Almeida da Silva","Leandro Almeida","https://s.glbimg.com/es/sde/f/2016/06/20/c1c5199c8b8b470dd795f1f68800b8f0_FORMATO.png",50462,11,"INT","zag","Dúvida",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Sérgio Antônio Borges Júnior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/e717b60b7c1428ab394b5a7000b297c8_FORMATO.png",50454,11,"SPO","mei","Nulo",0,9.84,0,4.06,9,3,16,26,18,22,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"155","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/a9d9178f59821bfca73d485e636ad040_FORMATO.png",50856,11,"FLU","zag","Provável",0.3,10.04,-0.58,3.1,11,1,5,7,18,10,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,11,"SAN","gol","Provável",17.5,15.3,2.39,5.6,11,NA,NA,7,3,NA,4,NA,19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Emerson Raymundo Santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2016/05/20/7743ec4420461e770a65425100024972_FORMATO.png",86972,11,"BOT","zag","Nulo",0,4.75,0,2.08,5,NA,3,1,11,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2015/10/26/0e028d72923de801deda4e00f4dcec3d_FORMATO.png",50645,11,"ATL","lat","Nulo",0,4.64,0,2.67,4,3,5,7,16,9,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"159","Leonardo Cesar Jardim","Léo","https://s.glbimg.com/es/sde/f/2016/04/30/e393c92239428f76920973cf24b82073_FORMATO.png",87008,11,"GRE","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","José Carlos Cracco Neto","Zeca","https://s.glbimg.com/es/sde/f/2016/05/01/b75497cbd7fdf4e7cc56e0a77979a9f7_FORMATO.png",87192,11,"SAN","lat","Provável",6.3,10.48,0.71,3.64,10,3,14,9,38,18,3,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
