"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","A","CA","FC","FF","FS","I","PE","RB","FD","FT","G","DD","GS","SG","CV","GC","PP","DP"
"399","Antonio Carlos Cunha Capocasali Júnior","Antonio Carlos ","https://s.glbimg.com/es/sde/f/2016/07/08/9fb2b82b684af027608cf59311615455_FORMATO.jpeg",79702,14,"PON","zag","Nulo",-0.5,2.27,-0.73,-0.5,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Ronaldo César Mendes de Medeiros","Ronaldo Mendes","https://s.glbimg.com/es/sde/f/2016/05/01/f0fe5370b9ecbdf0197334e098a036c2_FORMATO.png",81148,14,"SAN","mei","Nulo",0,6,0,1.57,4,NA,1,4,2,5,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Cleberson Martins de Souza","Cleberson","https://s.glbimg.com/es/sde/f/2015/10/23/e756619fc21577a6e24f6b2599e9c8e7_FORMATO.png",80281,14,"ATL","zag","Contundido",0,0.92,0,-0.77,4,NA,NA,1,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Ravanelli Ferreira dos Santos","Ravanelli","https://s.glbimg.com/es/sde/f/2016/05/01/7f36b1972a4a471d650cea3bce5c3544_FORMATO.png",92193,14,"PON","mei","Provável",0,6.5,0,1.77,7,1,1,6,4,8,1,17,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Caíque Luiz Santos da Purificação","Caíque","https://s.glbimg.com/es/sde/f/2016/05/01/c7b717acd560b03be08e7af47aaa0cf9_FORMATO.png",92207,14,"VIT","gol","Provável",7.7,4.23,0.81,3.6,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,4,1,NA,NA,NA,NA
"404","Wesley Natã Wachholz","Wesley Natã","https://s.glbimg.com/es/sde/f/2016/05/13/8653785c7505502ef7563836f577017a_FORMATO.png",91743,14,"CHA","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2016/04/29/c5a87a4a3a57683de818658384dace69_FORMATO.png",81150,14,"CRU","lat","Contundido",0,10.22,0,3.82,4,1,2,5,NA,1,NA,2,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"406","Glauco Tadeu Chaves","Glauco","https://s.glbimg.com/es/sde/f/2016/05/09/2cac99f5583c416743d60a51fb0d18f2_FORMATO.png",84555,14,"AME","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Diego Ferreira Matheus","Diego","https://s.glbimg.com/es/sde/f/2016/05/20/765fe7f46128eaa6c091ab1929141074_FORMATO.png",91783,14,"BOT","lat","Nulo",0,3.64,0,3.15,2,NA,NA,2,NA,3,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Caíque França Godoy","Caíque França","https://s.glbimg.com/es/sde/f/2016/04/28/4b89134138fb6ba402a44141ed432198_FORMATO.png",91808,14,"COR","gol","Nulo",0,0.78,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Thiago Ferreira Lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2016/04/28/b117d90d6a1e0614fa67d04f3e306c0c_FORMATO.png",92225,14,"COR","mei","Contundido",0,3.48,0,0.97,6,NA,NA,1,2,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Marciel Silva da Silva","Marciel","https://s.glbimg.com/es/sde/f/2016/04/29/fe41e6320c63045376a7254afe774d06_FORMATO.png",91714,14,"CRU","mei","Contundido",0,2.48,0,0.6,1,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Ruy Franco de Almeida Junior","Ruy","https://s.glbimg.com/es/sde/f/2016/04/28/d46da2e3d940bad03f67a1bbc17e4718_FORMATO.png",82939,14,"COR","mei","Contundido",0,6.69,0,3.26,10,3,2,10,3,14,3,39,11,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"412","Marcos Danilo Padilha","Danilo","https://s.glbimg.com/es/sde/f/2016/04/27/6f07190dc03d02b2df374830099da945_FORMATO.png",82768,14,"CHA","gol","Nulo",0,13.61,0,2.21,11,NA,2,NA,NA,3,NA,4,NA,NA,NA,NA,14,18,3,NA,NA,NA,1
"413","Rafael Thyere Albuquerque Marques","Rafael Thyere","https://s.glbimg.com/es/sde/f/2016/04/30/95ffa84036badf598890bde1fdacd802_FORMATO.png",83048,14,"GRE","zag","Nulo",0,2.83,-0.81,2.42,4,NA,1,3,1,1,NA,5,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"414","Gustavo Ermel","Ermel","https://s.glbimg.com/es/sde/f/2016/07/07/9ff0d08167e56872e00164237ea138bc_FORMATO.png",82952,14,"FIG","ata","Nulo",1.3,9.67,-0.85,3.5,14,1,NA,12,6,36,1,28,8,7,NA,2,NA,NA,NA,NA,NA,NA,NA
"415","Tagueu Tadjo Diederrick Joel","Joel","https://s.glbimg.com/es/sde/f/2016/05/01/cb0f6faa775937eb5f0d68afc0ba2252_FORMATO.png",82787,14,"SAN","ata","Nulo",0,5.96,-0.01,2.28,11,1,NA,9,2,7,5,9,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"416","Vinícius Vasconcelos Araújo","Vinícius Araújo","https://s.glbimg.com/es/sde/f/2016/05/01/ad2cb78ecf2e8ddb976e491438cc78f8_FORMATO.png",82767,14,"SPO","ata","Nulo",0,2.22,0,-0.28,4,NA,2,3,NA,5,1,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Matheus Antonio Souza dos Santos","Matheus Pato","https://s.glbimg.com/es/sde/f/2015/08/12/8892e98d71d0fc38c1aeb55c78a8c28c_FORMATO.jpeg",92290,14,"FLU","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Ygor Nogueira de Paula","Ygor Nogueira","https://s.glbimg.com/es/sde/f/2016/05/30/7475a33329d212b5519734b354c01a71_FORMATO.png",91815,14,"FLU","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Bruno Viana Willemen da Silva","Bruno Viana","https://s.glbimg.com/es/sde/f/2016/04/28/5e8c21e4fe26c6bb8c148b2ae722699d_FORMATO.png",92291,14,"CRU","zag","Provável",-0.1,1.73,-0.01,0.67,12,NA,5,7,2,4,NA,33,10,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"420","Frickson Rafael  Erazo Vivero","Erazo","https://s.glbimg.com/es/sde/f/2016/05/09/8d1e5357a150ae34a3e7f1235bf81f8a_FORMATO.png",81223,14,"ATL","zag","Suspenso",-2.8,4.62,-0.33,1.04,7,NA,3,9,1,5,NA,13,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"421","Matheus Phillipe Coutinho Gomes","Matheus Phillipe","https://s.glbimg.com/es/sde/f/2016/04/29/92c915db9d214a7b498d2733568b14c2_FORMATO.png",92438,14,"FLU","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Henrique de Souza Trevisan","Henrique Trevisan","https://s.glbimg.com/es/sde/f/2016/04/29/09ee3a91f794b4b7e9a81b639d7f1d88_FORMATO.png",91920,14,"FIG","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Silas Araújo da Silva","Silas","https://s.glbimg.com/es/sde/f/2016/06/20/f05426ba9e8c595fda626abfa6be730a_FORMATO.jpeg",91916,14,"INT","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Duvier Riacos Barahona","Riascos","https://s.glbimg.com/es/sde/f/2016/05/24/3375caefc2da2a8fd5f0c15e9a3e534b_FORMATO.png",83189,14,"CRU","ata","Nulo",-0.8,5.74,-1.33,1.4,10,1,2,19,6,9,2,11,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"425","Givanildo Pulgas da Silva","Giva","https://s.glbimg.com/es/sde/f/2016/07/08/b4547c845654e491158ea0d1ce1bf389_FORMATO.jpeg",83255,14,"PON","ata","Dúvida",-0.8,2.98,-1.02,-0.8,1,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Carlos Alberto Carvalho da Silva Júnior","Carlos","https://s.glbimg.com/es/sde/f/2016/05/09/92049d1586174aecc702f4584b544b81_FORMATO.png",85027,14,"ATL","ata","Provável",-4.2,7.91,-1.32,1.85,12,NA,2,14,7,9,3,14,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"427","Rafael Dumas Ribeiro","Rafael Dumas","https://s.glbimg.com/es/sde/f/2016/04/20/331eaf8147e2a2a768cb57a9a9813023_FORMATO.png",92500,14,"FLA","zag","Nulo",0,0.8,0,0.1,1,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Douglas Augusto Soares Gomes","Douglas","https://s.glbimg.com/es/sde/f/2016/04/29/8612e800a41c6399f2e6910886f19110_FORMATO.png",92497,14,"FLU","mei","Provável",-1,5.6,-0.44,3.06,10,1,3,33,6,9,NA,25,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Christian Sávio Machado","Christian Sávio","https://s.glbimg.com/es/sde/f/2016/05/09/01f735a126510bb7577f5c20f3873cfe_FORMATO.png",91928,14,"AME","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
