"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","A","CA","FC","FF","FS","I","PE","RB","FD","FT","G","DD","GS","SG","CV","GC","PP","DP"
"195","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2016/04/20/70be612c84779f7f9acb60fe5519ec8c_FORMATO.png",71709,14,"FLA","mei","Nulo",2.7,12.55,-0.33,2.43,8,NA,NA,4,NA,6,1,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Michael Javier Ortega Dieppa","Michael Ortega","https://s.glbimg.com/es/sde/f/2016/04/29/40e196e024c00c42e663bdeadb83f3cb_FORMATO.png",71707,14,"FIG","mei","Contundido",0,2.5,0,0.28,5,NA,NA,4,1,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Guilherme de Queiroz Gonçalves","Guilherme Queiroz","https://s.glbimg.com/es/sde/f/2016/04/29/ef32a6ac85a5c69013abfcf413d1edd1_FORMATO.png",71769,14,"FIG","ata","Nulo",0,1.41,0,-0.03,10,NA,1,4,1,5,NA,16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2016/07/12/b3b2f4d5febfcebd9c61128f21c52535_FORMATO.png",71724,14,"SPO","gol","Dúvida",1.7,3.02,1.12,-1.1,3,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA
"199","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2016/05/01/c368a9b94aee7c5cb8cfbf17493fb20a_FORMATO.png",71719,14,"PON","mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Wellington do Nascimento Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2016/04/29/e5440de7bae253c68911195524c51b6a_FORMATO.png",71892,14,"FLU","lat","Suspenso",6.5,11.71,-1.31,4.89,11,NA,3,17,3,19,1,30,26,2,NA,NA,NA,NA,4,NA,NA,NA,NA
"201","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2016/04/30/e11b5f17e91f0b101c1a042a938318d6_FORMATO.png",71818,14,"GRE","gol","Nulo",0,4.69,0,3.67,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,NA,NA,NA,NA
"202","Tiago da Costa Silva","Tiago Costa","https://s.glbimg.com/es/sde/f/2016/05/01/528278a57134fbffc414225c38342b02_FORMATO.png",71885,14,"STC","lat","Provável",4.5,6.11,-0.22,2.13,10,1,4,21,2,10,NA,33,19,2,NA,NA,NA,NA,2,NA,1,NA,NA
"203","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2016/05/01/10d10d398f850bd63c86f958c7f28a2e_FORMATO.jpeg",72007,14,"STC","mei","Provável",10,10.11,1.95,1.8,12,1,3,31,1,12,NA,27,25,2,NA,NA,NA,NA,NA,1,NA,NA,NA
"204","Renato Escobar Baruffi","Bady","https://s.glbimg.com/es/sde/f/2016/04/29/86021128208f5dddbdf8cfee7d06b136_FORMATO.png",71778,14,"FIG","mei","Provável",-2.2,7.7,-1.19,2.09,14,1,2,16,13,11,NA,44,10,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"205","Thiago Galhardo do Nascimento Rocha","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2016/07/08/3674a60c6ccab36420ae666f4e139fde_FORMATO.jpeg",71844,14,"PON","mei","Contundido",7.8,5.4,1.1,1.72,9,1,2,14,6,10,NA,20,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Bruno Eduardo de Moraes","Bruno Moraes","https://s.glbimg.com/es/sde/f/2016/05/01/f4731774096a0926ebfb7194d29f9ae8_FORMATO.png",71915,14,"STC","ata","Nulo",0,2.36,-0.33,0.34,7,NA,NA,1,NA,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2016/04/30/ded85791904973e78a63259219ccdc59_FORMATO.png",72490,14,"GRE","zag","Provável",2.7,12.52,-0.62,3.64,8,NA,1,8,1,3,1,16,6,NA,NA,1,NA,NA,4,NA,NA,NA,NA
"208","Mike dos Santos Nenatarvicius","Mike","https://s.glbimg.com/es/sde/f/2016/07/12/a33842c75ada33b39286b16f8025f0d7_FORMATO.jpeg",72389,14,"INT","ata","Contundido",0,2.79,0,1.7,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2015/10/28/edbd026bc7f3e8c24d3a4375ed7a3753_FORMATO.jpeg",71572,14,"GRE","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2016/05/01/eefe06604642d12c5a4a811575872536_FORMATO.png",72290,14,"PAL","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,14,"BOT","zag","Provável",4.8,2.91,0.93,0.91,9,NA,2,7,2,8,NA,25,4,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"212","Maurício Azevedo Alves","Amaral","https://s.glbimg.com/es/sde/f/2016/05/01/240c600fd391768b337710d0c00f742c_FORMATO.png",72071,14,"VIT","mei","Nulo",1.4,6.43,0.02,2.01,14,NA,2,22,10,17,NA,38,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Jakson Ragnar Follmann ","Follmann ","https://s.glbimg.com/es/sde/f/2016/06/30/c3eee6d0b0f223215c2ac42be641647b_FORMATO.png",72488,14,"CHA","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Ayrton Luis Ganino","Ayrton","https://s.glbimg.com/es/sde/f/2016/07/07/72bdc4c31f264929d3f8863d16df6d62_FORMATO.png",72334,14,"FIG","lat","Provável",14,11.57,2.82,5.29,11,1,1,9,5,15,NA,35,16,4,NA,1,NA,NA,4,NA,NA,NA,NA
"215","Ocimar de Almeida Júnior ","Júnior Urso ","https://s.glbimg.com/es/sde/f/2016/04/26/b4f69a6fdc9b16887143827898490777_FORMATO.png",71829,14,"ATL","mei","Contundido",2.6,13.2,-0.39,5.23,11,NA,2,9,8,14,NA,24,28,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"216","Matheus Simonete Bressanelli","Bressan","https://s.glbimg.com/es/sde/f/2016/04/30/64171a15302ae76f8b924c5e7bbad3b5_FORMATO.png",72491,14,"GRE","zag","Nulo",0,5.85,0,3.48,6,1,NA,5,NA,2,NA,15,7,NA,NA,NA,NA,NA,3,1,NA,NA,NA
"217","Giovanni Palmieri dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2016/04/29/d954165fc5e9964dc562fb2abafc176f_FORMATO.png",72097,14,"FLU","lat","Nulo",0,6.38,0,2.26,8,NA,3,6,3,4,1,26,9,1,NA,NA,NA,NA,3,NA,NA,NA,NA
"218","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2016/05/01/8113dcced21a9f08cfe758943519c15a_FORMATO.png",72168,14,"STC","mei","Provável",1.8,7.38,-0.92,3.4,12,1,2,22,3,24,NA,62,23,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"219","Vitor Hugo Franchescoli de Souza","Vitor Hugo","https://s.glbimg.com/es/sde/f/2016/05/01/e68421691461665280e5183ea53281dd_FORMATO.png",72605,14,"PAL","zag","Provável",0.2,8.23,0.26,2.65,13,1,3,20,2,4,1,25,7,2,NA,2,NA,NA,4,NA,NA,NA,NA
"220","Clayton da Rosa Peixoto","Clayton","https://s.glbimg.com/es/sde/f/2016/07/13/a0dfbbf1e8da427bd425673b31c34b69_FORMATO.png",72717,14,"SPO","mei","Nulo",0,1.38,0,-0.22,4,NA,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Weverson Leandro Oliveira Moura","Leandro","https://s.glbimg.com/es/sde/f/2016/07/08/3180115ee9f22a23cd52049946bf4972_FORMATO.png",73085,14,"COR","ata","Dúvida",-0.1,6.62,-0.04,1.15,11,1,2,15,1,3,6,15,2,6,2,1,NA,NA,NA,NA,NA,NA,NA
"222","Cesar Iván Benitez","César Benítez","https://s.glbimg.com/es/sde/f/2016/07/07/ad2c349e6d6fb30277a07d8a145d3839_FORMATO.png",72932,14,"COR","lat","Nulo",0,2.9,0,-0.1,2,NA,1,3,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Paulo Cezar Magalhães Lobos","Paulo Cezar","https://s.glbimg.com/es/sde/f/2016/04/30/c1672b9c587a6a33d10e5bf33db00999_FORMATO.png",72896,14,"INT","lat","Nulo",0,4.41,0,5.5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"224","Eduardo Antônio Machado Teixeira","Eduardo","https://s.glbimg.com/es/sde/f/2016/05/25/236f1266c4a0e2e115c7043e40e98639_FORMATO.jpeg",73353,14,"FLU","mei","Nulo",0,2.57,0,0.78,6,NA,NA,4,2,3,NA,11,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Renato Gonçalves de Lima","Renatinho","https://s.glbimg.com/es/sde/f/2016/05/01/18fc6fba34015748124139867c57db94_FORMATO.png",73344,14,"STC","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2016/07/08/f9dccfcf64eba1da00b352341a1ac60f_FORMATO.png",73281,14,"PON","mei","Contundido",0.4,3.85,-0.12,0.91,11,NA,2,19,4,13,NA,25,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","César Eduardo González Amaiz","César González","https://s.glbimg.com/es/sde/f/2016/07/07/b9443e09e4265f4f7fe878ff81ac4122_FORMATO.png",74210,14,"COR","mei","Contundido",0,2.33,0,1.23,6,1,NA,4,1,10,1,23,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","José Paolo Guerrero Gonzales","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2016/04/20/b32111b86cb0b507eb672fbe6392e61a_FORMATO.png",75295,14,"FLA","ata","Provável",0,5.76,0,1.46,5,1,3,16,4,14,4,14,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"229","Argélico Fucks","Argel Fucks","https://s.glbimg.com/es/sde/f/2016/07/13/0c678ec28cd7442fd6c177184426105f_FORMATO.png",73317,14,"FIG","tec","Provável",2.49,10.88,-0.1,3.65,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Luís Enrique Cáceres Centurión","Luís Cáceres","https://s.glbimg.com/es/sde/f/2016/07/08/44d1986a56eedcedfa62e675422a6d91_FORMATO.png",72943,14,"COR","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Thiago Rodrigues de Oliveira Nogueira","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2016/07/12/a02dbc02afeb9bb25479fca2d6884989_FORMATO.png",73414,14,"FIG","gol","Provável",2,3.81,-0.04,5.33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA
"232","Yago Fernando da Silva","Yago","https://s.glbimg.com/es/sde/f/2016/04/28/53f6ff2a12e40b6f8dd49aef0978f58e_FORMATO.png",77500,14,"COR","zag","Provável",6.1,11.01,0.83,0.7,3,NA,NA,2,1,1,NA,5,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"233","Bruno Brígido de Oliveira","Bruno Brígido","https://s.glbimg.com/es/sde/f/2016/02/19/f053ce859937795fb08a04bc73f4f3e5_FORMATO.png",77556,14,"COR","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Leandro da Silva","Leandro Silva","https://s.glbimg.com/es/sde/f/2016/04/29/30350579107b2bf5c3e11cbaaa65ec0f_FORMATO.png",77529,14,"FIG","lat","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Samuel Xavier Brito","Samuel Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/02f546c1013f3369de8475d0bf247287_FORMATO.png",73384,14,"SPO","lat","Provável",0,5.31,0,1.82,12,1,6,16,3,21,1,31,13,2,NA,NA,NA,NA,2,NA,NA,NA,NA
"236","Rafael Vaz dos Santos","Rafael Vaz","https://s.glbimg.com/es/sde/f/2016/06/29/837c33157c2a34e3051e9233b916362e_FORMATO.png",73421,14,"FLA","zag","Provável",4.2,10.88,0.28,4.78,8,NA,NA,2,5,4,NA,38,13,3,NA,NA,NA,NA,4,NA,NA,NA,NA
"237","Luiz Eduardo Figueiredo ","Dudu","https://s.glbimg.com/es/sde/f/2016/06/28/f246ddc73a9a5668b47e24852a3e9014_FORMATO.jpeg",73511,14,"FLU","mei","Nulo",0.4,8.75,-0.16,0.25,4,NA,NA,3,3,2,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","João Felipe Schimdt Urbano","João Schmidt ","https://s.glbimg.com/es/sde/f/2016/05/01/5214f931543621b3d23666a103f23d6e_FORMATO.png",77777,14,"SAO","mei","Contundido",0,5.61,0,2.9,9,NA,NA,14,2,12,NA,26,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"239","Gustavo Javier Canales","Canales","https://s.glbimg.com/es/sde/f/2016/05/31/3ec90fd10b0b59e46e4ed1b8e713a947_FORMATO.png",77772,14,"BOT","ata","Nulo",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","William de Oliveira Pottker","William Pottker","https://s.glbimg.com/es/sde/f/2016/07/08/b4c04abadeaeaac80fa7e9d660178aa8_FORMATO.png",77809,14,"PON","ata","Provável",8.2,9.02,1.35,6.1,9,1,2,8,8,6,2,14,5,6,NA,5,NA,NA,NA,NA,NA,NA,NA
"241","Luccas Claro dos Santos","Luccas Claro","https://s.glbimg.com/es/sde/f/2016/04/28/212653f2dde798fcc736ead5c59f61db_FORMATO.png",73465,14,"COR","zag","Provável",7.1,14.2,1.07,3.84,8,1,5,6,4,5,1,20,7,NA,NA,1,NA,NA,4,NA,NA,NA,NA
"242","Francinilson Santos Meireles","Maranhão","https://s.glbimg.com/es/sde/f/2016/06/28/5b421dbcedd89d35ab19a538e6c4ab1f_FORMATO.jpeg",73513,14,"FLU","mei","Provável",-1.4,1.79,-0.53,-0.17,7,NA,2,5,1,4,3,10,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2016/04/28/5ba6bd006602bef7f0c43836645b49c3_FORMATO.png",80286,14,"COR","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Jorge Fellipe de Oliveira Figueiro","Jorge Fellipe","https://s.glbimg.com/es/sde/f/2016/06/06/f32873f8fe00f7196bcbb14d8028b9d7_FORMATO.png",73544,14,"ATL","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2016/07/05/51accf3c8cee0e903942afbe9b7990a7_FORMATO.png",77959,14,"SAN","ata","Nulo",0.4,13.97,-2.01,9.83,3,3,1,4,NA,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"246","Filipe José Machado","Filipe Machado","https://s.glbimg.com/es/sde/f/2016/06/30/78960995e1a2da787ff88afa326350bc_FORMATO.png",77868,14,"CHA","zag","Provável",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/06/23/d272a6afb889b325b761ee2ad2276506_FORMATO.png",73540,14,"SPO","ata","Provável",9.6,8.97,1.34,3.54,9,1,NA,2,6,11,1,6,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"248","Emerson da Conceição","Emerson Conceição","https://s.glbimg.com/es/sde/f/2016/07/07/f4a73e51545146594f085e9fa1249d93_FORMATO.png",77895,14,"COR","lat","Nulo",9.8,4.55,1.55,9.8,1,NA,NA,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"249","Paulo Roberto Falcão","Falcão","https://s.glbimg.com/es/sde/f/2016/04/07/63e9f957d0da2386dc66f1e38c39b957_FORMATO.png",73580,14,"INT","tec","Provável",0,10.98,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Bruno Fabiano Alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/49e9429e3f444ef44bc9a03295902d5f_FORMATO.png",73620,14,"FIG","zag","Provável",8.8,13.26,1.41,4.18,14,NA,NA,12,1,8,2,30,21,1,NA,1,NA,NA,5,NA,NA,NA,NA
"251","Lucas David Pratto","Lucas Pratto","https://s.glbimg.com/es/sde/f/2016/04/26/56245b924208def6d8688f6d5c9181be_FORMATO.png",73649,14,"ATL","ata","Nulo",0,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Marcos Vinícius de Jesus Araújo","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2016/04/29/ab99a143750d322ad2aad71c76d7031c_FORMATO.png",73721,14,"CRU","mei","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Eugenio Esteban Mena Reveco","Mena","https://s.glbimg.com/es/sde/f/2016/05/01/b6636f216cfaa7ececec16111456dc19_FORMATO.png",77967,14,"SAO","lat","Provável",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2016/04/20/43f762e9398936d399d42746fc9cfdd4_FORMATO.png",73515,14,"FLA","mei","Nulo",0.5,3.92,-0.12,1.05,6,NA,NA,NA,NA,4,NA,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Vagner Antônio Brandalise","Vagner","https://s.glbimg.com/es/sde/f/2016/05/01/070befdf695ba9061ea52576d98e9ec2_FORMATO.png",78151,14,"PAL","gol","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2016/05/01/a93f99205ac1160291913798df1695dc_FORMATO.png",78086,14,"PON","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Leandro Cordeiro de Lima Silva","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/01/d96d5abb87f737dbad1aa76ded5f4549_FORMATO.png",78235,14,"SAN","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2016/04/28/955d786aa05db6ee13365e3b0b54e2ed_FORMATO.png",73635,14,"COR","ata","Nulo",0,5.68,0,8.5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"259","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,14,"SAO","zag","Provável",5,12.13,0.44,2.3,4,NA,NA,4,1,2,NA,2,3,1,NA,NA,NA,NA,2,NA,1,NA,NA
"260","Claudinei Junio De Souza","Claudinei","https://s.glbimg.com/es/sde/f/2016/05/09/5009508d2616d24ba400e2e4ddd8cc43_FORMATO.png",73863,14,"AME","mei","Nulo",0,9.03,0,3.42,9,NA,NA,5,2,9,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Walisson Moreira Farias Maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2016/04/28/918d1d4bb2f6863c25280a205740a148_FORMATO.png",73991,14,"COR","zag","Nulo",0,4.26,0,1.5,1,NA,NA,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Samuel Rosa Gonçalves ","Samuel ","https://s.glbimg.com/es/sde/f/2016/05/30/6c55dee9bbd50504cdedf8b7a7dfe5e4_FORMATO.png",73806,14,"FLU","ata","Provável",-0.5,3.05,-0.24,0.1,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Héctor Canteros","Canteros","https://s.glbimg.com/es/sde/f/2016/04/20/99c13653a46dab64b8cde0f0192fdc61_FORMATO.png",73918,14,"FLA","mei","Nulo",-0.3,3.11,-0.89,-0.3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Gabriel Barbosa Almeida","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/1483ff1b3cb82fa23bc8625656564b18_FORMATO.png",83257,14,"SAN","ata","Provável",9.2,11.45,2.16,5,9,1,2,14,6,21,10,29,5,6,1,4,NA,NA,NA,NA,NA,NA,NA
"265","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2016/05/01/b89def887a8c88677a346b6ef350770e_FORMATO.png",78248,14,"SAN","zag","Provável",1.5,5.09,-0.65,2.98,12,1,3,11,3,4,NA,22,14,1,NA,NA,NA,NA,5,1,NA,NA,NA
"266","Rafael Vinicius Carvalho Longuine","Rafael Longuine","https://s.glbimg.com/es/sde/f/2016/05/01/1f935974fecf9ac7b30cbc7c4a5e4c7a_FORMATO.png",90566,14,"SAN","mei","Nulo",0,3.04,0,-0.9,2,NA,1,3,1,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Alison Lopes Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png",73974,14,"SAN","mei","Contundido",0,3.22,0,0.4,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2016/04/29/9fb2711aff734db5e097a8c785f181cf_FORMATO.png",74061,14,"FIG","gol","Nulo",0,7.73,0,4,11,NA,1,NA,NA,3,NA,5,NA,NA,NA,NA,19,13,4,1,NA,NA,NA
"269","Rodinei Marcelo de Almeida","Rodinei","https://s.glbimg.com/es/sde/f/2016/04/20/5aa14228427583453758e5c79b1bc40d_FORMATO.png",73992,14,"FLA","lat","Contundido",0,13.21,0,4.41,12,NA,1,7,6,17,1,38,18,2,NA,NA,NA,NA,5,NA,NA,NA,NA
"270","Claudio Winck Neto","Claudio Winck","https://s.glbimg.com/es/sde/f/2016/05/09/44f7ab6c76f4634e4e996560532dad16_FORMATO.png",74074,14,"CHA","lat","Nulo",0,5.53,0,3.4,5,NA,NA,6,NA,4,NA,13,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"271","Hernani Azevedo Junior","Hernani ","https://s.glbimg.com/es/sde/f/2016/04/26/78e49316a8b765001fd3cbed43fb8b5a_FORMATO.png",74078,14,"ATL","mei","Provável",-2.4,2.1,-0.49,2.28,9,NA,3,17,2,5,NA,30,13,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"272","Edgardo Bauza","Edgardo Bauza","https://s.glbimg.com/es/sde/f/2016/05/01/f7cbafa3bccb36c5e875f5cb0480305b_FORMATO.png",78361,14,"SAO","tec","Provável",8.01,13.23,1.32,3.69,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Luciano da Rocha Neves","Luciano","https://s.glbimg.com/es/sde/f/2016/04/28/6489e4e072ac09e37fbab5b164be5115_FORMATO.png",80287,14,"COR","ata","Nulo",-1.9,4.93,-0.38,2.03,13,1,2,23,10,17,3,18,9,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"274","José Élber Pimentel da Silva","Élber","https://s.glbimg.com/es/sde/f/2016/04/29/26c6c8beefa35a5684da137e0e90f6dc_FORMATO.png",74140,14,"CRU","mei","Nulo",0,13.68,0,4.75,9,NA,NA,1,3,15,5,25,13,2,1,2,NA,NA,NA,NA,NA,NA,NA
"275","Wallace Oliveira dos Santos","Wallace Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/0a4ef48eb54897fc19994043260ef55f_FORMATO.png",74075,14,"GRE","lat","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Norberto Pereira Marinho Neto","Norberto ","https://s.glbimg.com/es/sde/f/2016/05/01/7020b210f29e4f813f0c395cc674d5bf_FORMATO.png",80374,14,"VIT","lat","Contundido",0,5.23,0,3.38,6,NA,1,8,NA,6,NA,13,16,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"277","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2016/04/29/cbfa26086ef241df58aab4b320638112_FORMATO.png",80370,14,"FLU","mei","Nulo",0,7.24,0,3.1,11,NA,1,11,8,9,2,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Jocinei Schad ","Jocinei","https://s.glbimg.com/es/sde/f/2016/04/29/a024082765790c877c2ea92b8e918c43_FORMATO.png",80330,14,"FIG","mei","Provável",6.7,8.51,0.84,3.23,8,1,1,10,8,10,NA,24,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2016/04/28/577df852683a65bd049469a520254155_FORMATO.png",80363,14,"CRU","mei","Provável",3,6.18,0.05,0.58,6,NA,1,8,2,3,NA,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Arthur Caíke do Nascimento Cruz","Arthur ","https://s.glbimg.com/es/sde/f/2016/05/01/650ed6dcbbc7fac8feb6fdca3525c659_FORMATO.png",80337,14,"STC","ata","Provável",2,8.16,0.15,2.97,14,1,1,17,10,27,4,41,11,6,NA,2,NA,NA,NA,NA,NA,NA,NA
