"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","PE","RB","FS","A","FD","FF","I","SG","G","FT","DD","GS","PP","CV","DP","GC"
"532","Gabriel Costa França","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/09/08d7db2748121ab1683da235cfa4a04f_FORMATO.png",87393,9,"ATL","zag","Nulo",0,9.53,0,3.08,5,2,7,13,7,7,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"533","Allano Brendon de Souza Lima","Allano","https://s.glbimg.com/es/sde/f/2016/04/28/3085654af6c3a83e8e6538ac7bc78942_FORMATO.png",87391,9,"CRU","ata","Nulo",-0.8,2.81,-0.43,1.28,5,NA,5,7,4,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","Guilherme Gimenez de Souza","Gimenez","https://s.glbimg.com/es/sde/f/2016/04/27/4fdb59e5497a1dda24a3556643f0b8f6_FORMATO.png",87482,9,"CHA","lat","Provável",2.4,4.56,0.72,1.25,8,2,8,18,7,15,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"535","Marlon Santos da Silva Barbosa","Marlon Santos","https://s.glbimg.com/es/sde/f/2016/04/29/cc3b324e19a695a99c4e135c6ea837fe_FORMATO.png",80538,9,"FLU","zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","Maicon da Silva Macedo","Maicon Silva","https://s.glbimg.com/es/sde/f/2016/05/01/7ba6e1abd795a473cd928b489b23352a_FORMATO.png",80431,9,"VIT","lat","Contundido",-0.6,2.03,-0.97,1.3,4,1,3,8,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"537","Marcos Garbellotto Pedroso","Marquinhos Pedroso","https://s.glbimg.com/es/sde/f/2016/04/29/37de3a15f91ef726f1204ad48c4d31c4_FORMATO.png",80552,9,"FIG","lat","Provável",2.6,7.23,0.96,2.11,9,2,28,35,10,11,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"538","Vitor Frezarin Bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2016/05/01/6a51ac71a5e8a928c9cf1b71c2db243b_FORMATO.png",87552,9,"SAN","mei","Provável",2,10.84,-1.24,5.26,9,2,10,41,10,12,NA,6,6,NA,NA,4,1,NA,NA,NA,NA,NA,NA
"539","Antônio Francisco Moura Neto","Neto Moura","https://s.glbimg.com/es/sde/f/2016/05/01/60b2f9caebf7a6d399c1ba73dff47b84_FORMATO.png",87742,9,"SPO","mei","Nulo",0,2.35,0,-0.8,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","Matheus Reis de Lima","Matheus Reis","https://s.glbimg.com/es/sde/f/2016/05/18/387b0b86e4e4ab501930b6671e496c8f_FORMATO.jpeg",87486,9,"SAO","lat","Provável",1.1,6.26,-1.16,2.88,9,1,22,23,9,7,1,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"541","Douglas Alan Schuck Friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2016/04/01/1485ccf7bc8648ce9459935173d1d942_FORMATO.png",78584,9,"GRE","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
