"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","DD","GS","SG","FC","FD","FF","FT","G","I","CA","RB","A","CV","GC","PP","DP"
"27","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,4,282,"ata","Provável",0,26,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,4,316,"mei","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2016/05/02/8b88360e89cd66c3cfb3466ac323d860_FORMATO.png",37306,4,294,"tec","Provável",0.84,7.83,-0.6,2.98,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/09/8f5736c815db151f6d5acaeb13711516_FORMATO.png",37623,4,294,"zag","Provável",-2.7,5.5,-1.48,1.1,4,1,8,NA,NA,1,7,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA
"31","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,4,293,"zag","Nulo",0,0.74,0,-4.3,1,2,6,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"32","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,4,287,"ata","Provável",1.1,6.52,-0.19,0.3,3,2,5,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,4,283,"gol","Provável",3.7,10.97,1.5,1.23,4,NA,2,8,8,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"34","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,4,284,"gol","Nulo",8.5,13.39,1.23,6.72,4,1,2,3,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"35","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,4,275,"zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,4,266,"lat","Provável",5.5,8.96,0.85,2.85,4,3,8,NA,NA,2,3,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA
