,atletas.entrou_em_campo,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.clube_id,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,CA,DS,FC,FF,FS,SG,DE,GS,A,I,G,FD,FT,PS,PP,PC,V,CV,DP,GC
43,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,,69012,8.0,santos,0,Santos,356,4,0.0,0.0,Santos,6,1,Aderbar Melo dos Santos Neto,Fortaleza,0.0,,,,,,,,,,,,,,,,,,,,
44,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,,69014,4.54,manoel,2,Manoel,266,4,-0.43,0.9,Manoel,7,3,Manoel Messias Silva Carvalho,Fluminense,0.65,,,3.0,,2.0,,,,,,,1.0,,,,,,,,
45,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_s4LBKU4.png,,69034,3.13,paulinho,4,Paulinho,264,4,-0.52,0.0,Paulinho,6,4,José Paulo Bezerra Maciel Júnior,Corinthians,0.75,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
46,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,,69041,4.0,muriel,0,Muriel,287,4,0.0,0.0,Muriel,6,1,Muriel Gustavo Becker,Vitória,0.0,,,,,,,,,,,,,,,,,,,,
47,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,,69051,4.0,danilo-fernandes,0,Danilo Fernandes,265,4,0.0,0.0,D. Fernandes,6,1,Danilo Fernandes Batista,Bahia,0.0,,,,,,,,,,,,,,,,,,,,
48,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,,69063,4.84,james-rodriguez,2,James Rodríguez,276,4,-0.92,-0.1,J. Rodríguez,6,4,James David Rodríguez Rubio,São Paulo,-0.05,,,,,,,,,,1.0,,,,,,,,,,
49,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,,69102,5.59,vargas,4,Vargas,282,4,3.0,15.2,Vargas,6,5,Eduardo Jesús Vargas Rojas,Atlético-MG,4.05,,2.0,1.0,3.0,3.0,,,,,,1.0,1.0,,1.0,,,,,,
50,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,,69138,7.62,pablo,3,Pablo,293,4,-1.3,-0.3,Pablo,7,5,Pablo Felipe Teixeira,Athlético-PR,4.17,,2.0,3.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,
51,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,,69165,3.22,pablo,1,Pablo,263,4,0.0,0.0,Pablo,6,3,Pablo Nascimento Castro,Botafogo,0.0,,,,,,,,,,,,,,,,,,,,
52,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,,69325,7.0,aranguiz,0,Aránguiz,285,4,0.0,0.0,Aránguiz,5,4,Charles Mariano Aránguiz Sandoval,Internacional,0.0,,,,,,,,,,,,,,,,,,,,
53,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_6uzylAN.png,,69355,3.96,medel,2,Medel,267,4,-0.87,-0.3,Medel,7,3,Gary Alexis Medel Soto,Vasco,-0.3,,,2.0,,,,,,,,,,,,,,,,,
54,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,,69686,3.56,joao-pedro-galvao,4,João Pedro Galvão,284,4,-0.5,0.0,J. Galvão,6,5,João Pedro Geraldino dos Santos Galvão,Grêmio,1.2,1.0,2.0,6.0,1.0,4.0,,,,,,,2.0,,,,,,,,
55,True,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,,69705,8.66,nikao,1,Nikão,293,4,2.66,10.6,Nikão,6,4,Maycon Vinícius Ferreira da Cruz,Athlético-PR,10.6,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,
56,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,,70164,16.0,lucas-moura,0,Lucas Moura,276,4,0.0,0.0,L. Moura,5,4,Lucas Rodrigues Moura da Silva,São Paulo,0.0,,,,,,,,,,,,,,,,,,,,
57,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,,70171,3.0,rafael,0,Rafael,263,4,0.0,0.0,Rafael,5,2,Rafael Pereira da Silva,Botafogo,0.0,,,,,,,,,,,,,,,,,,,,
58,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,,70172,6.61,fabio,3,Fábio,284,4,-0.56,1.7,Fábio,6,2,Fábio Pereira da Silva,Grêmio,4.8,,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,
59,True,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,,70216,7.74,gustavo,1,Gustavo,288,4,4.74,15.0,Gustavo,6,1,Luiz Gustavo de Almeida Pinto,Criciúma,15.0,,,,,,1.0,3.0,,,,,,,,,,,,1.0,
60,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,,70221,3.28,bruno-uvini,2,Bruno Uvini,287,4,0.06,2.0,B. Uvini,7,3,Bruno Uvini Bortolança,Vitória,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
61,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,,70316,6.25,diego-costa,2,Diego Costa,284,4,-0.68,1.0,D. Costa,3,5,Diego da Silva Costa,Grêmio,1.0,,2.0,,,3.0,,,,,1.0,,1.0,,,,,,1.0,,
62,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,,70332,6.66,marchesin,3,Marchesín,284,4,0.0,0.0,Marchesín,6,1,Agustín Federico Marchesín,Grêmio,4.0,,,,,,2.0,4.0,2.0,,,,,,,,,,,,
63,True,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,,70360,10.16,eduardo-sasha,4,Eduardo Sasha,280,4,0.93,8.9,E. Sasha,2,5,Eduardo Colcenti Antunes,Bragantino,6.15,1.0,2.0,3.0,1.0,5.0,,,,,,2.0,4.0,,,,,,,,
64,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,,70449,3.81,gabriel,4,Gabriel,286,4,0.99,5.0,Gabriel,6,1,Gabriel Vasconcelos Ferreira,Juventude,1.75,2.0,,,,2.0,1.0,10.0,7.0,,,,,,,,,,,,
65,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,,70666,3.24,marllon,3,Marllon,1371,4,-0.76,-1.1,Marllon,7,3,Marllon Gonçalves Jerônimo Borges,Cuiabá,1.17,1.0,3.0,1.0,,2.0,,,,,,,1.0,,,,1.0,,,,
66,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,,70788,17.0,enner-valencia,0,Enner Valencia,285,4,0.0,0.0,E. Valencia,6,5,Enner Remberto Valencia Lastra,Internacional,0.0,,,,,,,,,,,,,,,,,,,,
67,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,,70916,4.0,diogo-barbosa,1,Diogo Barbosa,266,4,-1.0,-0.3,D. Barbosa,6,2,Diogo Barbosa Mendanha,Fluminense,-0.3,,,1.0,,,,,,,,,,,,,,,,,
68,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,,70944,6.48,bruno-henrique,4,Bruno Henrique,285,4,-0.62,1.6,B. Henrique,6,4,Bruno Henrique Corsini,Internacional,3.57,,8.0,7.0,1.0,2.0,,,,1.0,,,,,,,,,,,
69,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,,70958,9.85,jean-carlos,3,Jean Carlos,286,4,0.0,0.0,J. Carlos,5,4,Jean Carlos Vicente,Juventude,8.5,1.0,3.0,2.0,1.0,1.0,,,,1.0,,2.0,1.0,,,,,,,,
70,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,,70984,5.58,payet,1,Payet,267,4,0.58,4.2,Payet,7,4,Florent Dimitri Payet,Vasco,4.2,,1.0,,,,,,,,,,,1.0,,,,,,,
71,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,,71038,3.13,pedro-henrique,2,Pedro Henrique,373,4,0.0,0.0,P. Henrique,6,3,Pedro Henrique Pereira da Silva,Atlético-GO,1.85,1.0,3.0,2.0,,1.0,,,,,,,1.0,,,,,,,,
72,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,,71227,3.45,maicon,3,Maicon,267,4,-0.39,0.5,Maicon,6,3,Maicon Pereira Roque,Vasco,0.8,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,
73,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,,71536,6.0,luiz-gustavo,0,Luiz Gustavo,276,4,0.0,0.0,L. Gustavo,6,4,Luiz Gustavo Dias,São Paulo,0.0,,,,,,,,,,,,,,,,,,,,
74,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,,71631,12.35,weverton,4,Weverton,275,4,-0.2,7.0,Weverton,7,1,Weverton Pereira da Silva,Palmeiras,6.0,1.0,,,,,3.0,11.0,1.0,,,,,,,,,,,,
75,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,,71680,3.0,raul-caceres,0,Raúl Cáceres,287,4,0.0,0.0,R. Cáceres,6,2,Raúl Alejandro Cáceres Bogado,Vitória,0.0,,,,,,,,,,,,,,,,,,,,
76,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,,71684,9.8,gustavo-gomez,3,Gustavo Gómez,275,4,-0.21,4.7,G. Gómez,7,3,Gustavo Raúl Gómez Portillo,Palmeiras,3.27,2.0,2.0,9.0,2.0,1.0,2.0,,,,2.0,,1.0,,,,1.0,,,,
77,True,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,,71701,5.88,santiago-arias,3,Santiago Arias,265,4,0.9,6.9,S. Arias,7,2,Santiago Arias Naranjo,Bahia,2.87,1.0,2.0,4.0,,7.0,1.0,,,,1.0,,,,,,,,,,
78,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,,71898,4.0,gabriel-pires,0,Gabriel Pires,266,4,0.0,0.0,G. Pires,5,4,Gabriel Appelt Pires,Fluminense,0.0,,,,,,,,,,,,,,,,,,,,
79,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,,72294,11.13,everson,4,Everson,282,4,-0.32,6.0,Everson,7,1,Everson Felipe Marques Pires,Atlético-MG,5.0,1.0,,,,2.0,3.0,6.0,1.0,,,,,,,,,,,,
