,atletas.nome,atletas.rodada_id,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.variacao_num,atletas.atleta_id,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.apelido,atletas.minimo_para_valorizar,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,V,GC
173,Mateus Pasinato,11,-1.0,mateus-pasinato,1,0.0,87603,False,Cuiabá,0.0,2.59,6,0,M. Pasinato,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_5YNRqaD.png,Mateus Pasinato,,1.0,,,,,,,,,,,,,,,,,,,
174,Pablo Ignacio Galdames Millán,11,2.17,galdames,4,0.0,87660,False,Vasco,0.0,4.41,6,10,Galdames,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8l71w1x.png,Galdames,,3.0,,,,,,16.0,25.0,1.0,3.0,9.0,,,1.0,1.0,,,,,
175,Yago Felipe da Costa Rocha,11,-0.25,yago-felipe,4,0.0,87747,False,Bahia,0.0,3.0,6,2,Y. Felipe,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_wf2lvdn.png,Yago Felipe,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
176,Paolo Mauricio Lemos Merladett,11,2.65,mauricio-lemos,3,-0.55,87853,True,Atlético-MG,0.0,9.41,6,6,M. Lemos,282,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,Mauricio Lemos,,3.0,,,,,3.0,4.0,10.0,,2.0,1.0,,,,,,,,,
177,Giorgian Daniel de Arrascaeta Benedetti,11,6.55,arrascaeta,4,0.0,87863,False,Flamengo,0.0,15.9,6,4,Arrascaeta,262,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_ehYT9k1.png,Arrascaeta,,1.0,,,,,,,3.0,2.0,4.0,9.0,,1.0,,2.0,,,,,
178,Gustavo Henrique Furtado Scarpa,11,6.27,gustavo-scarpa,4,-0.59,87999,True,Atlético-MG,8.3,12.19,7,10,G. Scarpa,282,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_UXqyPlk.png,Gustavo Scarpa,,2.0,,,,,,8.0,5.0,7.0,4.0,16.0,1.0,3.0,1.0,2.0,,,,,
179,Alan Pereira Empereur,11,2.2,alan-empereur,3,0.06,88033,True,Cuiabá,5.0,3.58,7,8,A. Empereur,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_yJZY7yN.png,Alan Empereur,,2.0,,,,,3.0,2.0,2.0,,1.0,4.0,,,,,,,,,
180,Ivan Quaresma da Silva,11,0.0,ivan,1,0.0,88136,False,Internacional,0.0,3.0,5,0,Ivan,285,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TR1I7LU.png,Ivan,,,,,,,,,,,,,,,,,,,,,
181,Ángel Rodrigo Romero Villamayor,11,2.28,angel-romero,5,0.0,88323,False,Corinthians,0.0,5.38,6,7,Ã. Romero,264,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1ruJswV.png,Ángel Romero,,2.0,,,,,,4.0,3.0,2.0,8.0,11.0,,,2.0,,,,,,
182,Ayrton Lucas Dantas de Medeiros,11,5.39,ayrton-lucas,2,1.11,88393,True,Flamengo,8.6,8.72,7,8,A. Lucas,262,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_vtzXktM.png,Ayrton Lucas,,,,,,,3.0,12.0,6.0,,5.0,11.0,2.0,,,,,,,,
183,Armando Gonçalves Teixeira,11,5.48,petit,6,-0.17,89141,True,Cuiabá,4.82,6.54,7,5,Petit,1371,https://s.sde.globo.com/media/person_role/2024/05/06/photo_FORMATO_dWuxEhT.png,Petit,,,,,,,,,,,,,,,,,,,,2.0,
184,Gustavo Bonatto Barreto,11,4.06,barreto,4,1.99,89224,True,Criciúma,11.5,6.13,7,8,Barreto,288,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ppF3oM9.png,Barreto,,1.0,,,,,,8.0,16.0,,1.0,8.0,1.0,2.0,1.0,1.0,,,,,
185,Gerson Santos da Silva,11,3.99,gerson,4,-1.47,89256,True,Flamengo,3.4,6.27,7,11,Gerson,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_mBAg0JY.png,Gerson,,,,,,,,12.0,9.0,2.0,5.0,16.0,,1.0,1.0,2.0,,,,,
186,João Pedro Maturano dos Santos,11,1.65,joao-pedro,2,-0.39,89273,True,Grêmio,0.9,4.4,7,6,J. Pedro,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,João Pedro,,1.0,,,,,1.0,1.0,3.0,1.0,3.0,4.0,,,,,,,,,
187,Willian de Asevedo Furtado,11,8.49,william,2,-2.41,89275,True,Cruzeiro,7.1,11.82,7,10,William,283,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,William,,2.0,,,,,3.0,30.0,9.0,2.0,4.0,4.0,,2.0,,3.0,,,,,
188,Erick Samuel Correa Farias,11,3.56,erick,5,2.66,89467,True,Juventude,15.3,6.23,6,9,Erick,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,Erick,,,,,,,,7.0,1.0,3.0,4.0,3.0,,2.0,4.0,,,,,,
189,Igor Rabello da Costa,11,3.12,igor-rabello,3,0.62,89493,True,Atlético-MG,3.7,6.38,7,7,I. Rabello,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,Igor Rabello,,1.0,,,,,3.0,5.0,4.0,1.0,1.0,2.0,,,,,,,,,
190,Thiago Maia Alencar,11,1.78,thiago-maia,4,0.4,89637,True,Internacional,3.0,4.39,7,8,T. Maia,285,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,Thiago Maia,,,,,,,,10.0,9.0,1.0,4.0,1.0,,,,,,,,,
191,José Rodrigo Andrade Ramos,11,2.14,rodrigo-andrade,4,0.29,89646,True,Vitória,3.1,3.65,6,5,R. Andrade,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_j4J1Kog.png,Rodrigo Andrade,,,,,,,,7.0,6.0,,2.0,5.0,,,,,,,,,
192,Iury Lirio Freitas de Castilho,11,3.23,iury-castilho,5,0.0,89695,False,Vitória,0.0,4.39,6,4,I. Castilho,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_5wPuqrz.png,Iury Castilho,,1.0,,,,,,,6.0,,1.0,8.0,1.0,1.0,1.0,,,,,,
193,Jonathan Calleri,11,4.52,calleri,5,-0.17,89840,True,São Paulo,3.2,10.54,7,10,Calleri,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,Calleri,,2.0,,,,,,5.0,12.0,5.0,5.0,24.0,1.0,2.0,12.0,1.0,,,,,
194,Franco Cristaldo,11,3.97,cristaldo,4,0.48,89846,True,Grêmio,5.8,9.16,7,9,Cristaldo,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,Cristaldo,,,,,,,,9.0,1.0,1.0,4.0,10.0,,2.0,2.0,,,,,,
195,Douglas Moreira Fagundes,11,1.16,dodi,4,0.36,89883,True,Grêmio,3.0,3.31,7,8,Dodi,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,Dodi,,2.0,,,,,,7.0,12.0,1.0,1.0,9.0,,,,,,,,,
196,Everton Galdino Moreira,11,0.25,everton-galdino,5,0.0,89918,True,Grêmio,0.4,2.21,6,6,E. Galdino,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ywqLzxA.png,Everton Galdino,,3.0,,,,,,1.0,5.0,,3.0,5.0,,,1.0,,,,,,
197,Bruno de Jesus Pacheco,11,2.55,bruno-pacheco,2,0.07,90061,True,Fortaleza,2.1,6.87,6,7,B. Pacheco,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,Bruno Pacheco,,1.0,,,,,2.0,6.0,5.0,,2.0,3.0,,,,,,,,,
198,Bruno Henrique Pinto,11,4.88,bruno-henrique,5,0.76,90285,True,Flamengo,7.9,8.96,7,10,B. Henrique,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,Bruno Henrique,,1.0,,,,,,13.0,13.0,5.0,6.0,19.0,,2.0,2.0,,,,2.0,,
199,Pedro Rocha Neves,11,0.25,pedro-rocha,5,-0.4,90302,True,Fortaleza,0.5,4.11,7,2,P. Rocha,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Mch7ZGz.png,Pedro Rocha,,,,,,,,,,,,1.0,,,,,,,,,
200,Lincoln Henrique Oliveira dos Santos,11,0.8,lincoln,4,0.0,90303,False,Bragantino,0.0,4.83,6,4,Lincoln,280,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,Lincoln,,,,,,,,1.0,1.0,,1.0,3.0,,,,,,,,,
201,David Correa da Fonseca,11,4.79,david,5,2.1,90309,True,Vasco,13.5,9.49,7,10,David,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,David,,2.0,,,,,,11.0,8.0,1.0,10.0,8.0,,2.0,1.0,2.0,,,,,
202,Júlio César de Rezende Miranda,11,1.04,rezende,4,0.0,90449,False,Bahia,0.0,3.38,6,9,Rezende,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,Rezende,,1.0,,,,,,8.0,5.0,,1.0,3.0,,,,,,,,,
203,Caique de Jesus Gonçalves,11,2.58,caique,4,0.07,90588,True,Juventude,3.3,4.16,7,8,Caíque,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,Caíque,,4.0,,,,,,18.0,9.0,,1.0,10.0,,,,,,,,,
204,Mateus Eduardo Claus,11,0.0,mateus-claus,1,0.0,90590,False,Juventude,0.0,3.0,2,0,M. Claus,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,Mateus Claus,,,,,,,,,,,,,,,,,,,,,
205,Lucas da Silva Izidoro,11,1.73,lucas-mineiro,4,-0.24,90634,True,Cuiabá,1.2,2.86,7,7,L. Mineiro,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,Lucas Mineiro,,1.0,,,,,,10.0,9.0,,1.0,6.0,,,,,,,,,
206,Matheus Martins Fogaça de Paulo,11,6.44,matheuzinho,4,-2.37,90703,True,Vitória,0.0,8.26,7,10,Matheuzinho,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,Matheuzinho,,1.0,,,,,,12.0,7.0,5.0,9.0,18.0,,2.0,1.0,3.0,,,,,
207,Luiz Fernando Moraes dos Santos,11,4.78,luiz-fernando,5,0.27,90715,True,Atlético-GO,4.1,8.12,7,9,L. Fernando,373,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,Luiz Fernando,,2.0,,,1.0,,,9.0,12.0,7.0,8.0,17.0,,2.0,5.0,,,,,,
208,Fabrício Bruno Soares de Faria,11,2.81,fabricio-bruno,3,1.0,90768,True,Flamengo,6.7,5.69,7,9,F. Bruno,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,Fabrício Bruno,,3.0,,,,,3.0,8.0,3.0,1.0,1.0,5.0,,,,,,,,,
209,José Marcos Alves Luis,11,2.75,ze-marcos,3,-0.96,90943,True,Juventude,1.0,3.22,3,6,Z. Marcos,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,Zé Marcos,,3.0,,,,,2.0,4.0,3.0,,2.0,8.0,,,,,,,,,
210,Tomás Cardona,11,4.87,cardona,3,0.0,90947,False,Fortaleza,0.0,5.5,6,3,Cardona,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,Cardona,,,,,,,2.0,3.0,,,,2.0,,,,,,,,,
211,Ronaldo de Oliveira Strada,11,2.41,ronaldo,1,0.0,91101,False,Atlético-GO,0.0,3.53,7,9,Ronaldo,373,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,Ronaldo,,1.0,27.0,,12.0,,1.0,,1.0,,,2.0,,,,1.0,1.0,,,,
212,Everaldo Silva do Nascimento,11,0.0,everaldo,5,0.0,91151,False,Vitória,0.0,5.0,6,0,Everaldo,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,Everaldo,,,,,,,,,,,,,,,,,,,,,
213,Ítaro Patric Cardoso Calmon,11,1.12,pk,2,0.0,91190,False,Vitória,0.0,2.65,7,4,PK,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,PK,,,,,,,,4.0,2.0,1.0,2.0,1.0,,,,,1.0,,,,
214,Felipe Ignacio Carballo Ares,11,0.24,carballo,4,-0.04,91254,True,Grêmio,1.4,2.48,6,5,Carballo,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_w5Qzw1m.png,Carballo,,2.0,,,,,,4.0,7.0,,,1.0,,,,,,,,,
215,Erick Antonio Pulgar Farfán,11,0.88,erick-pulgar,4,0.0,91473,False,Flamengo,0.0,3.69,6,5,E. Pulgar,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,Erick Pulgar,,1.0,,,,,,4.0,7.0,1.0,,3.0,,,,,,,,,
216,Rodrigo Eduardo da Silva,11,3.88,rodrigo-sam,3,0.0,91509,False,Juventude,0.0,4.68,7,5,R. Sam,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,Rodrigo Sam,,2.0,,,,,1.0,6.0,7.0,,1.0,5.0,,1.0,,,,,,,
217,Eder Citadin Martins,11,0.5,eder,5,-0.02,91521,True,Criciúma,0.5,2.92,7,6,Eder,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_8rXUJzI.png,Eder,,2.0,,,,,,,2.0,1.0,3.0,4.0,,,,,,,,,
218,Robert Abel Arboleda Escobar,11,4.65,arboleda,3,0.0,91573,False,São Paulo,0.0,7.99,7,9,Arboleda,276,https://s.sde.globo.com/media/person_role/2024/05/07/photo_FORMATO_4juynn8.png,Arboleda,,,,,,,3.0,14.0,6.0,2.0,,3.0,,1.0,1.0,,,,,,
219,Ronielson da Silva Barbosa,11,3.95,rony,5,-1.71,91607,True,Palmeiras,0.8,6.97,7,11,Rony,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,Rony,,2.0,,,,,,8.0,9.0,8.0,8.0,14.0,,2.0,5.0,,,,,,
220,Marlon Rodrigues Xavier,11,3.22,marlon,2,-1.01,91706,True,Cruzeiro,1.5,8.4,3,9,Marlon,283,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,Marlon,,,,,,,3.0,16.0,14.0,1.0,1.0,6.0,,,,,2.0,,,,
221,David de Duarte Macedo,11,0.0,david-duarte,3,0.0,91772,False,Bahia,0.0,4.0,6,0,D. Duarte,265,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,David Duarte,,,,,,,,,,,,,,,,,,,,,
222,José Ivaldo Almeida Silva,11,3.55,ze-ivaldo,3,-0.81,91866,True,Cruzeiro,1.7,4.92,7,9,Z. Ivaldo,283,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,Zé Ivaldo,,2.0,,,,1.0,3.0,7.0,9.0,4.0,7.0,8.0,,,2.0,,,,,,
223,Cristian David Pavón,11,3.05,pavon,5,-0.37,91908,True,Grêmio,1.0,6.7,7,6,Pavón,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,Pavón,,,,,,,,5.0,2.0,4.0,2.0,3.0,,,,1.0,,,,,
224,Andre Luis da Costa Alfredo,11,0.8,andre-luis,5,0.0,92146,False,Cuiabá,0.0,2.71,6,6,A. Luís,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,André Luís,,,,,,,,2.0,3.0,,1.0,5.0,,,,,,,,,
225,Lucas Nicolás Alario,11,-0.4,alario,5,-0.44,92149,True,Internacional,0.5,2.92,7,5,Alario,285,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,Alario,,2.0,,,,1.0,,,5.0,,2.0,3.0,,,6.0,,,,,,
226,Caíque Luiz Santos da Purificação,11,1.0,caique,1,0.0,92207,False,Grêmio,0.0,3.99,6,1,Caíque,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,Caíque,,,3.0,,2.0,,,,,,,,,,,,,,,,
227,Rodrigo Ely,11,2.38,rodrigo-ely,3,-0.94,92237,True,Grêmio,0.0,4.06,6,6,R. Ely,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,Rodrigo Ely,,2.0,,,,1.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,,,,,,,,
228,Raul Lô Gonçalves,11,-0.02,raul,4,0.12,92496,True,Bragantino,0.9,1.3,6,6,Raul,280,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,Raul,,,,,,,,,7.0,1.0,1.0,,,,,,,,,,
229,Renato Kayzer de Souza,11,2.96,renato-kayzer,5,1.35,92696,True,Fortaleza,7.6,6.24,6,9,R. Kayzer,356,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,Renato Kayzer,,1.0,,,,,,7.0,13.0,4.0,8.0,9.0,1.0,1.0,6.0,,1.0,,,,
230,Deyverson Brum Silva Acosta,11,4.3,deyverson,5,0.0,92708,False,Cuiabá,0.0,8.09,6,1,Deyverson,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_K9KAkJa.png,Deyverson,,,,,,,,1.0,,1.0,,4.0,,,1.0,,,,,,
231,Bruno Rafael Rodrigues do Nascimento,11,0.0,bruno-rodrigues,5,0.0,92811,False,Palmeiras,0.0,5.0,5,0,B. Rodrigues,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,Bruno Rodrigues,,,,,,,,,,,,,,,,,,,,,
232,Rafael Santos Borré Maury,11,5.14,borre,5,0.0,92854,False,Internacional,0.0,10.44,6,5,Borré,285,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,Borré,,2.0,,,,,,4.0,12.0,6.0,7.0,4.0,1.0,1.0,3.0,1.0,,1.0,,,
233,Helibelton Palacios Zapata,11,0.0,palacios,2,0.0,92855,False,Cruzeiro,0.0,3.0,6,0,Palacios,283,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_r6zWOHc.png,Palacios,,,,,,,,,,,,,,,,,,,,,
234,Mateus da Silva Vital Assumpção,11,3.25,mateus-vital,4,0.0,93108,False,Cruzeiro,0.0,4.8,6,4,M. Vital,283,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,Mateus Vital,,,,,,,,1.0,,1.0,2.0,2.0,,1.0,,,,,,,
235,Wanderson Maciel Sousa Campos,11,1.45,wanderson,5,-0.34,93478,True,Internacional,1.3,5.21,7,7,Wanderson,285,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,Wanderson,,,,,,,,6.0,8.0,1.0,2.0,5.0,,,,,,,,,
236,Bruno Nunes de Barros,11,1.38,bruno-tubarao,2,0.0,93637,False,Atlético-GO,0.0,3.3,6,5,B. Tubarão,373,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_3mh3bUg.png,Bruno Tubarão,,1.0,,,,,,5.0,4.0,,2.0,3.0,,,,,,,,,
237,Gabriel de Souza Inocêncio,11,3.7,gabriel-inocencio,2,0.0,93702,False,Juventude,0.0,4.95,6,5,G. Inocêncio,286,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,Gabriel Inocêncio,,1.0,,,,,2.0,7.0,9.0,,1.0,6.0,,,,,,,,,
238,Paulo Henrique de Oliveira Alves,11,2.61,paulo-henrique,2,-0.31,93716,True,Vasco,0.2,4.66,7,11,P. Henrique,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,Paulo Henrique,,,,,,,1.0,18.0,15.0,1.0,3.0,6.0,,,,,,,,,
239,Marlon Rodrigues Freitas,11,2.79,marlon-freitas,4,0.0,93790,False,Botafogo,0.0,4.23,7,9,M. Freitas,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_IWdTjkg.png,Marlon Freitas,,2.0,,,,,,11.0,5.0,1.0,4.0,2.0,,,,2.0,,,,,
240,Daniel Sampaio Simões,11,0.53,danielzinho,4,0.0,93791,False,Atlético-GO,0.0,3.12,6,3,Danielzinho,373,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_DHkocIw.png,Danielzinho,,,,,,,,1.0,3.0,,1.0,1.0,,,,,,,,,
241,Keiller da Silva Nunes,11,0.0,keiller,1,0.0,93834,False,Vasco,0.0,4.0,6,0,Keiller,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,Keiller,,,,,,,,,,,,,,,,,,,,,
242,Cleiton Schwengber,11,3.55,cleiton,1,0.09,93882,True,Bragantino,4.0,6.65,7,10,Cleiton,280,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,Cleiton,,1.0,36.0,,10.0,,2.0,,,,,1.0,,,,,,,,,
243,Matheus Leonardo Sales Cardoso,11,3.75,matheusinho,4,0.5,93886,True,Criciúma,4.5,5.78,6,7,Matheusinho,288,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,Matheusinho,,1.0,,,,,,6.0,6.0,,5.0,4.0,,2.0,1.0,,,,,,
244,Breno Henrique Vasconcelos Lopes,11,4.93,breno-lopes,5,2.01,93988,True,Fortaleza,12.5,8.6,6,8,B. Lopes,356,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_XhXbbVU.png,Breno Lopes,,2.0,,,,,,3.0,5.0,4.0,6.0,24.0,,1.0,3.0,2.0,,,,,
245,John Victor Maciel Furtado,11,3.4,john-victor,1,-0.83,94044,True,Botafogo,0.0,6.38,7,8,J. Victor,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_5TQNQjS.png,John Victor,,1.0,20.0,,7.0,,3.0,,1.0,,,1.0,,,,,,,,,
246,Matheus Fernandes Siqueira,11,7.88,matheus-fernandes,4,0.0,94067,False,Bragantino,0.0,10.8,7,5,M. Fernandes,280,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_sgQrNPa.png,Matheus Fernandes,,,,,,,,17.0,5.0,2.0,2.0,7.0,,1.0,,1.0,,,,,
247,Felipe dos Reis Pereira Vizeu do Carmo,11,0.65,felipe-vizeu,5,0.0,94138,False,Criciúma,0.0,3.45,5,2,F. Vizeu,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_CKkxA4v.png,Felipe Vizeu,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,
248,Maycon de Andrade Barberan,11,0.2,maycon,4,0.0,94154,False,Corinthians,0.0,4.65,5,2,Maycon,264,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fb3TwT8.png,Maycon,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,
249,Raphael Cavalcante Veiga,11,4.63,raphael-veiga,4,-0.45,94509,True,Palmeiras,9.9,12.56,7,10,R. Veiga,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XOXiO3C.png,Raphael Veiga,,1.0,,,,,,9.0,7.0,9.0,17.0,11.0,,1.0,3.0,1.0,,1.0,,,
250,Pedro Guilherme Abreu dos Santos,11,7.49,pedro,5,0.7,94583,True,Flamengo,12.5,14.26,7,11,Pedro,262,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_xrhSS2w.png,Pedro,,1.0,,,,,,9.0,9.0,9.0,7.0,14.0,,4.0,,4.0,,,,,
251,Rodrigo Andrés Battaglia,11,0.31,battaglia,4,0.77,94845,True,Atlético-MG,5.0,2.66,7,7,Battaglia,282,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_XVs5pqz.png,Battaglia,,1.0,,,,,,7.0,13.0,2.0,1.0,3.0,,,,,2.0,,,,
252,Eduardo Germán Coudet,11,5.43,eduardo-coudet,6,-0.14,94853,True,Internacional,6.73,9.78,7,9,E. Coudet,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_apsV9qH.png,Eduardo Coudet,,,,,,,,,,,,,,,,,,,,5.0,
253,Lucas Fernandes da Silva,11,1.2,lucas-fernandes,4,0.0,94931,False,Cuiabá,0.0,4.39,6,4,L. Fernandes,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Bzva6ru.png,Lucas Fernandes,,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,
254,Luis Antônio da Rocha Júnior,11,5.63,juninho-capixaba,2,-0.68,94968,True,Bragantino,3.8,10.98,7,9,J. Capixaba,280,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_U4Lwrth.png,Juninho Capixaba,,3.0,,,,,2.0,29.0,13.0,1.0,2.0,20.0,,,,,,,,,
255,Gabriel Pereira Taliari,11,1.97,gabriel-taliari,5,1.02,95131,True,Juventude,5.4,3.57,6,3,G. Taliari,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vGTDrZr.png,Gabriel Taliari,,,,,,,,,2.0,,,3.0,,,,1.0,,,,,
256,Gregore de Magalhães da Silva,11,1.64,gregore,4,0.15,95464,True,Botafogo,3.9,4.04,3,10,Gregore,263,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_OoYMXid.png,Gregore,,3.0,,,,,,20.0,26.0,1.0,,4.0,,,,,,,,,
257,Igor Vinícius de Souza,11,4.53,igor-vinicius,2,0.45,95466,True,São Paulo,4.5,6.14,7,10,I. Vinícius,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_DKQOGT2.png,Igor Vinícius,,3.0,,,,,3.0,16.0,8.0,1.0,1.0,19.0,1.0,,,1.0,,,,,1.0
258,Raniele Almeida Melo,11,3.71,raniele,4,0.38,95556,True,Corinthians,4.1,6.84,7,10,Raniele,264,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wftQgQv.png,Raniele,,3.0,,,,,,21.0,10.0,4.0,2.0,17.0,1.0,,,,,,,,
259,Lucas Kal Schenfeld Progioli,11,1.01,lucas-kal,4,-0.23,95662,True,Atlético-GO,0.5,3.08,7,7,L. Kal,373,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_Ho8rTXl.png,Lucas Kal,,,,,,,,5.0,5.0,,2.0,2.0,,,,,,,,,
260,Miguel Ángel Trauco Saavedra,11,3.07,trauco,2,-0.87,95738,True,Criciúma,2.4,4.94,2,4,Trauco,288,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_38OPKZz.png,Trauco,,1.0,,,,,,4.0,,,,1.0,,1.0,,,,,,,
