,atletas.nome,atletas.rodada_id,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.variacao_num,atletas.atleta_id,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.apelido,atletas.minimo_para_valorizar,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,V,GC
49,Charles Mariano Aránguiz Sandoval,11,0.86,aranguiz,4,0.17,69325,True,Internacional,3.0,4.64,6,5,Aránguiz,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,Aránguiz,,2.0,,,,,,2.0,10.0,2.0,,3.0,1.0,,,,,,,,
50,João Pedro Geraldino dos Santos Galvão,11,0.98,joao-pedro-galvao,5,-0.08,69686,True,Grêmio,0.0,3.02,7,9,J. Galvão,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,João Pedro Galvão,,1.0,,,,,,2.0,11.0,3.0,2.0,11.0,,,,,,,,,
51,Maycon Vinícius Ferreira da Cruz,11,5.76,nikao,4,0.07,69705,True,Athlético-PR,5.7,9.53,7,8,Nikão,293,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,Nikão,,,,,,,,13.0,1.0,6.0,9.0,17.0,,1.0,1.0,,,,,,
52,Lucas Rodrigues Moura da Silva,11,6.12,lucas-moura,4,-1.43,70164,True,São Paulo,2.2,14.84,7,5,L. Moura,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,Lucas Moura,,1.0,,,,,,6.0,6.0,3.0,2.0,10.0,,2.0,,,,,,,
53,Rafael Pereira da Silva,11,0.0,rafael,2,0.0,70171,False,Botafogo,0.0,3.0,5,0,Rafael,263,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,Rafael,,,,,,,,,,,,,,,,,,,,,
54,Fábio Pereira da Silva,11,3.13,fabio,2,-0.61,70172,True,Grêmio,-0.3,5.49,6,7,Fábio,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,Fábio,,1.0,,,,1.0,2.0,5.0,4.0,,2.0,9.0,1.0,,,,,,,,
55,Luiz Gustavo de Almeida Pinto,11,2.54,gustavo,1,-0.65,70216,True,Criciúma,-1.0,4.99,7,5,Gustavo,288,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,Gustavo,,2.0,13.0,1.0,7.0,,1.0,,1.0,,,,,,,,1.0,,,,
56,Bruno Uvini Bortolança,11,0.67,bruno-uvini,3,0.0,70221,False,Vitória,0.0,2.87,6,4,B. Uvini,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,Bruno Uvini,,1.0,,,,,,2.0,1.0,,2.0,,,,,,,,,,
57,Diego da Silva Costa,11,1.0,diego-costa,5,0.0,70316,False,Grêmio,0.0,6.25,5,2,D. Costa,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,Diego Costa,,,,,,,,2.0,,1.0,,3.0,,,1.0,,1.0,,,,
58,Agustín Federico Marchesín,11,2.6,marchesin,1,-0.72,70332,True,Grêmio,0.0,5.26,7,5,Marchesín,284,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,Marchesín,,1.0,8.0,,4.0,,2.0,,,,,,,,,,,,,,
59,Eduardo Colcenti Antunes,11,4.2,eduardo-sasha,5,-0.55,70360,True,Bragantino,3.3,8.49,7,8,E. Sasha,280,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,Eduardo Sasha,,1.0,,,,,,4.0,6.0,6.0,3.0,8.0,,2.0,,1.0,1.0,,,,
60,Gabriel Vasconcelos Ferreira,11,2.23,gabriel,1,-0.46,70449,True,Juventude,3.0,3.91,3,9,Gabriel,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,Gabriel,,3.0,26.0,,14.0,,2.0,,,,,2.0,,,,,,,,,
61,Marllon Gonçalves Jerônimo Borges,11,2.38,marllon,3,0.29,70666,True,Cuiabá,5.6,4.24,7,8,Marllon,1371,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,Marllon,,2.0,,,,1.0,2.0,8.0,6.0,2.0,1.0,2.0,,,,,,,,,
62,Enner Remberto Valencia Lastra,11,0.5,enner-valencia,5,0.0,70788,False,Internacional,0.0,15.47,6,1,E. Valencia,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,Enner Valencia,,,,,,,,,,,,1.0,,,,,,,,,
63,Diogo Barbosa Mendanha,11,0.63,diogo-barbosa,2,-0.12,70916,True,Fluminense,1.2,2.89,6,6,D. Barbosa,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,Diogo Barbosa,,2.0,,,,,,5.0,4.0,,,2.0,,,,,,,,,
64,Bruno Henrique Corsini,11,2.23,bruno-henrique,4,-0.89,70944,True,Internacional,-0.3,5.15,7,9,B. Henrique,285,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,Bruno Henrique,,1.0,,,,,,13.0,21.0,2.0,3.0,4.0,,,,1.0,,,,,
65,Jean Carlos Vicente,11,6.94,jean-carlos,4,-1.81,70958,True,Juventude,0.0,9.29,7,5,J. Carlos,286,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,Jean Carlos,,1.0,,,,,,4.0,2.0,1.0,1.0,1.0,,3.0,,1.0,,,,,
66,Florent Dimitri Payet,11,5.77,payet,4,0.0,70984,False,Vasco,0.0,7.23,6,3,Payet,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,Payet,,,,,,,,2.0,1.0,1.0,,2.0,1.0,,,2.0,,,,,
67,Pedro Henrique Pereira da Silva,11,2.8,pedro-henrique,3,1.22,71038,True,Atlético-GO,6.2,4.4,6,6,P. Henrique,373,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,Pedro Henrique,,2.0,,,,,2.0,7.0,6.0,1.0,,2.0,,,,,,,,,
68,Maicon Pereira Roque,11,2.36,maicon,3,-0.8,71227,True,Vasco,-1.0,3.78,7,10,Maicon,267,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,Maicon,,2.0,,,,,1.0,8.0,3.0,1.0,1.0,4.0,,1.0,1.0,,,,,,
69,Luiz Gustavo Dias,11,1.42,luiz-gustavo,4,-0.35,71536,True,São Paulo,1.3,4.29,6,5,L. Gustavo,276,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,Luiz Gustavo,,1.0,,,,,,5.0,4.0,1.0,2.0,1.0,,,,,,,,,
70,Weverton Pereira da Silva,11,5.68,weverton,1,-0.04,71631,True,Palmeiras,6.5,11.59,7,11,Weverton,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,Weverton,,1.0,34.0,,6.0,,6.0,,,,,1.0,,,,1.0,,,,,
71,Raúl Alejandro Cáceres Bogado,11,4.15,raul-caceres,2,-0.99,71680,True,Vitória,-0.3,5.07,6,2,R. Cáceres,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,Raúl Cáceres,,,,,,,,3.0,1.0,,,,,,,1.0,,,,,
72,Gustavo Raúl Gómez Portillo,11,5.02,gustavo-gomez,3,0.0,71684,False,Palmeiras,0.0,10.8,6,6,G. Gómez,275,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,Gustavo Gómez,,3.0,,,,1.0,3.0,6.0,11.0,1.0,4.0,2.0,,1.0,2.0,1.0,,,,,1.0
73,Santiago Arias Naranjo,11,3.32,santiago-arias,2,0.0,71701,False,Bahia,0.0,5.58,6,6,S. Arias,265,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,Santiago Arias,,1.0,,,,,2.0,5.0,6.0,,1.0,12.0,,,1.0,,,,,,
74,Gabriel Appelt Pires,11,3.15,gabriel-pires,4,0.84,71898,True,Fluminense,4.8,5.05,7,2,G. Pires,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,Gabriel Pires,,,,,,,,5.0,4.0,,,3.0,,,,,,,,,
75,Everson Felipe Marques Pires,11,2.27,everson,1,0.14,72294,True,Atlético-MG,1.0,8.14,7,9,Everson,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,Everson,,3.0,17.0,,10.0,,3.0,,,,,3.0,,,,,,,,,
76,Felipe Alves Raymundo,11,0.0,felipe-alves,1,0.0,72372,False,Fluminense,0.0,5.0,6,0,F. Alves,266,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,Felipe Alves,,,,,,,,,,,,,,,,,,,,,
77,Gustavo Campanharo,11,0.0,gustavo-campanharo,4,0.0,72497,False,Atlético-GO,0.0,5.0,5,0,G. Campanharo,373,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,Gustavo Campanharo,,,,,,,,,,,,,,,,,,,,,
78,Magno José da Silva,11,3.85,maguinho,2,0.61,72532,True,Atlético-GO,6.8,5.9,7,8,Maguinho,373,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,Maguinho,,,,,,1.0,2.0,13.0,7.0,1.0,2.0,7.0,,,,1.0,1.0,,,,
79,Pedro Henrique Konzen Medina da Silva,11,1.4,pedro-henrique,5,0.0,72583,False,Corinthians,0.0,5.32,6,2,P. Henrique,264,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,Pedro Henrique,,1.0,,,,,,2.0,1.0,,1.0,2.0,,,1.0,,,,,,
80,Maurício Kozlinski,11,0.0,mauricio-kozlinski,1,0.0,72595,False,Fortaleza,0.0,3.0,6,0,M. Kozlinski,356,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,Maurício Kozlinski,,,,,,,,,,,,,,,,,,,,,
81,Vitor Hugo Franchescoli de Souza,11,0.0,vitor-hugo,3,0.0,72605,False,Bahia,0.0,4.0,6,0,V. Hugo,265,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,Vitor Hugo,,,,,,,,,,,,,,,,,,,,,
82,Luiz Adriano de Souza da Silva,11,1.31,luiz-adriano,5,1.32,72772,True,Vitória,7.2,3.81,6,7,L. Adriano,287,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_NutbSGS.png,Luiz Adriano,,,,,,,,1.0,2.0,1.0,,5.0,,,1.0,1.0,,,,,
83,Fernando Luiz Rosa,11,3.57,fernandinho,4,-0.8,72775,True,Athlético-PR,0.0,6.73,7,10,Fernandinho,293,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,Fernandinho,,4.0,,,,,,9.0,18.0,7.0,2.0,13.0,,1.0,1.0,2.0,,,,,
84,Wílker José Ángel Romero,11,2.33,wilker-angel,3,0.0,72801,False,Criciúma,0.0,3.37,6,3,W. Ángel,288,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,Wilker Ángel,,,,,,,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,
