,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.variacao_num,atletas.jogos_num,atletas.clube_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido,atletas.media_num,atletas.foto,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PS,DE,GS,SG,PP,PC,DP,V,GC
45,0.0,2.96,6,24,False,0.0,6,266,69014,Manoel,manoel,Manoel Messias Silva Carvalho,Fluminense,3,Manoel,0.25,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,,,1.0,2.0,7.0,1.0,,2.0,,,,,,,,,,,,,
46,0.0,3.52,6,24,False,0.0,0,287,69041,Muriel,muriel,Muriel Gustavo Becker,Vitória,1,Muriel,-1.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,,,2.0,,,,,,,,,,,,,,,,,,
47,0.0,3.54,6,24,False,0.0,0,265,69051,D. Fernandes,danilo-fernandes,Danilo Fernandes Batista,Bahia,1,Danilo Fernandes,-1.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,,,1.0,,,,,,,,,,,,,,,,,,
48,2.9,5.64,6,24,True,-0.15,14,282,69102,Vargas,vargas,Eduardo Jesús Vargas Rojas,Atlético-MG,5,Vargas,3.93,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,,,,5.0,3.0,4.0,7.0,12.0,,4.0,5.0,,2.0,,,,,,,,
49,0.0,5.47,5,24,False,0.0,17,293,69138,Pablo,pablo,Pablo Felipe Teixeira,Athlético-PR,5,Pablo,2.0,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,,1.0,5.0,6.0,18.0,3.0,8.0,6.0,1.0,2.0,,,,,,,,,,,
50,0.0,6.58,6,24,False,0.0,5,263,69140,Allan,allan,Allan Marques Loureiro,Botafogo,4,Allan,2.56,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,,1.0,2.0,7.0,7.0,,,7.0,,,,,,,,,,,,,
51,0.0,3.22,6,24,False,0.0,1,263,69165,Pablo,pablo,Pablo Nascimento Castro,Botafogo,3,Pablo,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,,,,,,,,,,,,,,,,,,,,,
52,8.3,9.31,6,24,True,-0.2,14,293,69705,Nikão,nikao,Maycon Vinícius Ferreira da Cruz,Athlético-PR,4,Nikão,5.1,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,,1.0,,14.0,5.0,9.0,13.0,22.0,1.0,2.0,2.0,,,,,,,,,,
53,6.0,14.0,7,24,True,0.62,16,276,70164,L. Moura,lucas-moura,Lucas Rodrigues Moura da Silva,São Paulo,4,Lucas Moura,6.67,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,,3.0,3.0,25.0,15.0,7.0,6.0,32.0,,5.0,,,,,,,,,,,
54,0.0,3.0,5,24,False,0.0,0,263,70171,Rafael,rafael,Rafael Pereira da Silva,Botafogo,2,Rafael,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,,,,,,,,,,,,,,,,,,,,,
55,0.0,5.38,6,24,False,0.0,12,284,70172,Fábio,fabio,Fábio Pereira da Silva,Grêmio,2,Fábio,3.04,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,,,1.0,7.0,5.0,,2.0,14.0,1.0,,,,,,,4.0,,1.0,,,
56,2.0,5.49,7,24,True,0.09,17,288,70216,Gustavo,gustavo,Luiz Gustavo de Almeida Pinto,Criciúma,1,Gustavo,3.12,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,,,2.0,,1.0,,,1.0,,,,1.0,,57.0,23.0,2.0,,,2.0,,
57,0.0,2.22,6,24,False,0.0,6,287,70221,B. Uvini,bruno-uvini,Bruno Uvini Bortolança,Vitória,3,Bruno Uvini,0.48,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,
58,0.0,5.62,6,24,False,0.0,3,284,70316,D. Costa,diego-costa,Diego da Silva Costa,Grêmio,5,Diego Costa,0.7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,,,1.0,3.0,2.0,1.0,,4.0,,,1.0,1.0,,,,,,,,,
59,9.0,7.05,7,24,True,0.52,14,284,70332,Marchesín,marchesin,Agustín Federico Marchesín,Grêmio,1,Marchesín,4.12,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,,,1.0,1.0,,,,1.0,,,,,,39.0,12.0,6.0,,,,,
60,4.4,8.35,7,24,True,0.63,12,280,70360,E. Sasha,eduardo-sasha,Eduardo Colcenti Antunes,Bragantino,5,Eduardo Sasha,4.12,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,,3.0,3.0,5.0,9.0,8.0,7.0,12.0,,2.0,,1.0,,,,,,,,,
61,0.0,4.83,7,24,False,0.0,17,286,70449,Gabriel,gabriel,Gabriel Vasconcelos Ferreira,Juventude,1,Gabriel,3.14,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,,,3.0,,1.0,,,3.0,,,,1.0,,61.0,23.0,4.0,,,,,
