,atletas.clube.id.full.name,atletas.nome,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.clube_id,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.apelido,atletas.slug,atletas.variacao_num,DS,FC,FF,FS,SG,FT,G,I,A,CA,FD,DE,CV,GS,PP,PS,PC,V,DP,GC
29,Fluminense,Douglas Costa de Souza,1.7,D. Costa,6,,1.9,266,62020,5,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,5,4,5.33,Douglas Costa,douglas-costa,-0.29,4.0,2.0,,2.0,,,,,,,2.0,,,,,,,,,
30,Fluminense,Paulo Henrique Chagas de Lima,1.6,Ganso,3,,4.97,266,62977,4,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,5,4,8.73,Ganso,ganso,-0.54,2.0,5.0,,6.0,,,1.0,,2.0,2.0,,,,,,,,,,
31,Palmeiras,Marcos Luis Rocha Aquino,6.2,M. Rocha,7,,3.95,275,63013,2,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,5,4,7.31,Marcos Rocha,marcos-rocha,0.46,1.0,3.0,,1.0,3.0,,,,,,,,,,,,,,,
32,Juventude,Alan Luciano Ruschel,0.0,A. Ruschel,7,,0.7,286,63110,2,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,5,1,3.53,Alan Ruschel,alan-ruschel,0.0,,1.0,,2.0,,,,,,,,,,,,,,,,
33,Grêmio,Edenílson Andrade dos Santos,0.0,Edenílson,6,,0.0,284,63289,4,False,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,5,1,5.75,Edenílson,edenilson,0.0,,,,,,,,,,,,,,,,,,,,
34,Internacional,Alan Patrick Lourenço,0.0,A. Patrick,6,,0.0,285,68685,4,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,5,0,16.0,Alan Patrick,alan-patrick,0.0,,,,,,,,,,,,,,,,,,,,
35,Botafogo,Carlos Eduardo de Oliveira Alves,0.0,Eduardo,7,,-0.1,263,68708,4,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,5,2,7.46,Eduardo,eduardo,0.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,
36,Palmeiras,Marcelo Lomba do Nascimento,0.0,M. Lomba,6,,0.0,275,68872,1,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,5,0,6.0,Marcelo Lomba,marcelo-lomba,0.0,,,,,,,,,,,,,,,,,,,,
37,Palmeiras,Eduardo Pereira Rodrigues,0.0,Dudu,5,,0.0,275,68920,5,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,5,0,10.0,Dudu,dudu,0.0,,,,,,,,,,,,,,,,,,,,
38,São Paulo,Rafael Pires Monteiro,0.0,Rafael,7,,2.4,276,68928,1,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,5,5,6.4,Rafael,rafael,-1.25,,,,,2.0,,,,,,,7.0,,5.0,,,,,,
39,Grêmio,Rafael Cabral Barbosa,0.0,R. Cabral,7,,2.0,284,68940,1,False,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,5,1,7.27,Rafael Cabral,rafael-cabral,0.0,,,,,,,,,,,,3.0,,1.0,,,,,,
40,Fortaleza,Mário Sérgio Santos Costa,1.5,Marinho,6,,1.7,356,68952,5,True,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,5,4,4.5,Marinho,marinho,-0.33,2.0,4.0,5.0,3.0,,,,1.0,,1.0,1.0,,,,,,,,,
41,Criciúma,Marcos Gabriel do Nascimento,0.0,M. Gabriel,6,,1.5,288,68954,4,False,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,5,3,4.17,Marquinhos Gabriel,marquinhos-gabriel,0.0,3.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,
42,Fortaleza,Lucas Pacheco Affini,0.0,L. Sasha,5,,2.1,356,68991,4,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,5,3,5.12,Lucas Sasha,lucas-sasha,0.0,6.0,3.0,,,,,,,,,,,,,,,,,,
43,Fortaleza,Aderbar Melo dos Santos Neto,0.0,Santos,6,,0.0,356,69012,1,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,5,0,8.0,Santos,santos,0.0,,,,,,,,,,,,,,,,,,,,
44,Fluminense,Manoel Messias Silva Carvalho,2.1,Manoel,7,,1.13,266,69014,3,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,5,3,4.47,Manoel,manoel,-0.07,2.0,4.0,,2.0,,,,,,,1.0,,,,,,,,,
45,Corinthians,José Paulo Bezerra Maciel Júnior,0.8,Paulinho,6,,0.76,264,69034,4,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_s4LBKU4.png,5,5,2.93,Paulinho,paulinho,-0.2,1.0,,2.0,2.0,,,,,,,,,,,,,,,,
