,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.media_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.status_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.apelido,atletas.clube_id,A,DS,FC,FD,FS,FT,V,CA,CV,FF,G,I,SG,DE,GS,PP,PS,PC,GC,DP
30,1,fabricio,61228,5.96,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,,Internacional,4.13,False,Fabrício,6,0.0,Fabrício Barros Santana,0.0,17,8,Fabrício,285,,,,,,,,,,,,,3.0,26.0,8.0,,,,,
31,5,douglas-costa,62020,4.06,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,,Fluminense,1.16,False,D. Costa,6,0.0,Douglas Costa de Souza,0.0,17,9,Douglas Costa,266,,5.0,4.0,3.0,3.0,,,1.0,,2.0,,,,,,,,,,
32,4,ganso,62977,7.43,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,,Fluminense,3.68,False,Ganso,7,0.0,Paulo Henrique Chagas de Lima,0.0,17,13,Ganso,266,2.0,9.0,8.0,3.0,14.0,,,6.0,,1.0,3.0,,,,,,,,,
33,2,marcos-rocha,63013,7.05,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,,Palmeiras,4.13,True,M. Rocha,6,3.6,Marcos Luis Rocha Aquino,-0.36,17,13,Marcos Rocha,275,,15.0,10.0,,4.0,,,,,2.0,,,7.0,,,,,,,
34,2,alan-ruschel,63110,4.22,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,,Juventude,2.82,True,A. Ruschel,7,1.9,Alan Luciano Ruschel,-0.56,17,9,Alan Ruschel,286,,16.0,12.0,,10.0,,,1.0,,1.0,,,1.0,,,,,,,
35,4,edenilson,63289,4.41,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,,Grêmio,1.43,False,Edenílson,7,0.0,Edenílson Andrade dos Santos,0.0,17,11,Edenílson,284,,5.0,6.0,1.0,9.0,,,2.0,,,1.0,1.0,,,,,,,,
36,4,alan-patrick,68685,9.81,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,,Internacional,2.83,False,A. Patrick,3,0.0,Alan Patrick Lourenço,0.0,17,7,Alan Patrick,285,,6.0,8.0,5.0,8.0,,,3.0,,5.0,1.0,,,,,1.0,,,,
37,4,eduardo,68708,6.26,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,,Botafogo,3.2,False,Eduardo,5,0.0,Carlos Eduardo de Oliveira Alves,0.0,17,10,Eduardo,263,1.0,6.0,8.0,3.0,9.0,,,1.0,,4.0,2.0,1.0,,,,1.0,,,,
38,1,marcelo-lomba,68872,6.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,,Palmeiras,0.0,False,M. Lomba,6,0.0,Marcelo Lomba do Nascimento,0.0,17,0,Marcelo Lomba,275,,,,,,,,,,,,,,,,,,,,
39,4,philippe-coutinho,68899,8.0,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,,Vasco,0.0,False,P. Coutinho,6,0.0,Philippe Coutinho Correia,0.0,17,0,Philippe Coutinho,267,,,,,,,,,,,,,,,,,,,,
