,atletas.posicao_id,atletas.status_id,atletas.nome,atletas.foto,atletas.media_num,atletas.entrou_em_campo,atletas.jogos_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.rodada_id,atletas.preco_num,atletas.clube_id,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,GC,V
29,4,7,Paulo Henrique Chagas de Lima,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,3.04,True,10,ganso,1.2,Ganso,,-0.12,62977,Ganso,Fluminense,13,6.96,266,6.0,,,,,,5.0,8.0,1.0,,11.0,,2.0,,2.0,,,,,
30,2,2,Marcos Luis Rocha Aquino,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,4.26,True,10,marcos-rocha,10.1,Marcos Rocha,,1.44,63013,M. Rocha,Palmeiras,13,7.97,275,,,,,,6.0,10.0,10.0,,2.0,4.0,,,,,,,,,
31,2,7,Alan Luciano Ruschel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,2.6,False,6,alan-ruschel,0.0,Alan Ruschel,,0.0,63110,A. Ruschel,Juventude,13,4.23,286,1.0,,,,,,13.0,10.0,,,8.0,,,,,,,,,
32,4,7,Edenílson Andrade dos Santos,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,1.23,True,8,edenilson,2.6,Edenílson,,0.47,63289,Edenílson,Grêmio,13,4.54,284,2.0,,,,,,1.0,6.0,,,9.0,,1.0,,,,,,,
33,4,7,Alan Patrick Lourenço,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,3.48,True,5,alan-patrick,4.1,Alan Patrick,,-1.27,68685,A. Patrick,Internacional,13,10.89,285,1.0,,,,,,5.0,3.0,3.0,4.0,5.0,,1.0,,,,1.0,,,
34,4,7,Carlos Eduardo de Oliveira Alves,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,3.61,True,7,eduardo,3.1,Eduardo,,-1.67,68708,Eduardo,Botafogo,13,7.41,263,,,,,,,3.0,4.0,2.0,2.0,6.0,,2.0,1.0,,,,,,
35,1,6,Marcelo Lomba do Nascimento,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,0.0,False,0,marcelo-lomba,0.0,Marcelo Lomba,,0.0,68872,M. Lomba,Palmeiras,13,6.0,275,,,,,,,,,,,,,,,,,,,,
36,5,6,Eduardo Pereira Rodrigues,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,2.05,False,2,dudu,0.0,Dudu,,0.0,68920,Dudu,Palmeiras,13,9.17,275,,,,,,,1.0,,2.0,,1.0,,,,,,,,,
37,1,6,Rafael Pires Monteiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,3.0,False,7,rafael,0.0,Rafael,,0.0,68928,Rafael,São Paulo,13,7.52,276,,12.0,,6.0,,3.0,,,,,,,,,,,,,,
38,1,6,Rafael Cabral Barbosa,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,1.33,False,3,rafael-cabral,0.0,Rafael Cabral,,0.0,68940,R. Cabral,Grêmio,13,6.43,284,,9.0,,5.0,,,,,,,,,,,,,,,,
39,5,7,Mário Sérgio Santos Costa,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,1.84,False,5,marinho,0.0,Marinho,,0.0,68952,Marinho,Fortaleza,13,4.49,356,1.0,,,,,,3.0,5.0,1.0,6.0,5.0,,,4.0,,,,,,
40,4,2,Marcos Gabriel do Nascimento,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,1.14,False,9,marquinhos-gabriel,0.0,Marquinhos Gabriel,,0.0,68954,M. Gabriel,Criciúma,13,3.23,288,2.0,,,,,,4.0,5.0,3.0,3.0,6.0,,,,,,,,,
41,4,6,Lucas Pacheco Affini,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,2.07,True,7,lucas-sasha,5.3,Lucas Sasha,,0.92,68991,L. Sasha,Fortaleza,13,5.11,356,1.0,,,,,,14.0,16.0,1.0,1.0,3.0,,,,,,,,,
42,1,6,Aderbar Melo dos Santos Neto,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,0.0,False,0,santos,0.0,Santos,,0.0,69012,Santos,Fortaleza,13,8.0,356,,,,,,,,,,,,,,,,,,,,
43,3,6,Manoel Messias Silva Carvalho,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,0.25,False,6,manoel,0.0,Manoel,,0.0,69014,Manoel,Fluminense,13,2.96,266,1.0,,,,,,2.0,7.0,1.0,,2.0,,,,,,,,,
44,1,6,Muriel Gustavo Becker,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,0.0,False,0,muriel,0.0,Muriel,,0.0,69041,Muriel,Vitória,13,4.0,287,,,,,,,,,,,,,,,,,,,,
45,1,6,Danilo Fernandes Batista,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,0.0,False,0,danilo-fernandes,0.0,Danilo Fernandes,,0.0,69051,D. Fernandes,Bahia,13,4.0,265,,,,,,,,,,,,,,,,,,,,
46,4,6,James David Rodríguez Rubio,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,-0.05,False,2,james-rodriguez,0.0,James Rodríguez,,0.0,69063,J. Rodríguez,São Paulo,13,4.84,276,,,,,,,,,,,,,,1.0,,,,,,
47,5,6,Eduardo Jesús Vargas Rojas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5.42,False,6,vargas,0.0,Vargas,,0.0,69102,Vargas,Atlético-MG,13,5.65,282,,,,,,,2.0,2.0,1.0,4.0,3.0,,3.0,2.0,,,,1.0,,
48,5,7,Pablo Felipe Teixeira,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,2.02,True,11,pablo,-0.2,Pablo,,-0.28,69138,Pablo,Athlético-PR,13,5.62,293,4.0,,,,,,3.0,9.0,1.0,5.0,2.0,1.0,2.0,,,,,,,
49,3,6,Pablo Nascimento Castro,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,0.0,False,1,pablo,0.0,Pablo,,0.0,69165,Pablo,Botafogo,13,3.22,263,,,,,,,,,,,,,,,,,,,,
50,4,6,Charles Mariano Aránguiz Sandoval,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,0.53,True,7,aranguiz,-0.3,Aránguiz,,-0.2,69325,Aránguiz,Internacional,13,3.76,285,2.0,,,,,,2.0,12.0,2.0,,3.0,1.0,,,,,,,,
51,5,6,João Pedro Geraldino dos Santos Galvão,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,1.0,False,10,joao-pedro-galvao,0.0,João Pedro Galvão,,0.0,69686,J. Galvão,Grêmio,13,3.12,284,1.0,,,,,,2.0,13.0,3.0,3.0,13.0,,,,,,,,,
52,4,5,Maycon Vinícius Ferreira da Cruz,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,5.32,False,9,nikao,0.0,Nikão,,0.0,69705,Nikão,Athlético-PR,13,8.81,293,,,,,,,13.0,1.0,6.0,10.0,19.0,,1.0,1.0,,,,,,
53,4,7,Lucas Rodrigues Moura da Silva,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,6.37,True,7,lucas-moura,5.8,Lucas Moura,,-0.4,70164,L. Moura,São Paulo,13,15.03,276,1.0,,,,,,10.0,8.0,3.0,3.0,18.0,,2.0,,1.0,,,,,
54,2,5,Rafael Pereira da Silva,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,0.0,False,0,rafael,0.0,Rafael,,0.0,70171,Rafael,Botafogo,13,3.0,263,,,,,,,,,,,,,,,,,,,,
55,2,6,Fábio Pereira da Silva,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,3.13,False,7,fabio,0.0,Fábio,,0.0,70172,Fábio,Grêmio,13,5.49,284,1.0,,,,1.0,2.0,5.0,4.0,,2.0,9.0,1.0,,,,,,,,
56,1,7,Luiz Gustavo de Almeida Pinto,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,2.39,True,7,gustavo,2.0,Gustavo,,-0.04,70216,Gustavo,Criciúma,13,5.17,288,2.0,20.0,1.0,10.0,,1.0,,1.0,,,,,,,,1.0,,,,
57,3,6,Bruno Uvini Bortolança,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,0.67,False,4,bruno-uvini,0.0,Bruno Uvini,,0.0,70221,B. Uvini,Vitória,13,2.87,287,1.0,,,,,,2.0,1.0,,2.0,,,,,,,,,,
58,5,5,Diego da Silva Costa,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,1.0,False,2,diego-costa,0.0,Diego Costa,,0.0,70316,D. Costa,Grêmio,13,6.25,284,,,,,,,2.0,,1.0,,3.0,,,1.0,,1.0,,,,
59,1,7,Agustín Federico Marchesín,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,3.29,True,7,marchesin,7.0,Marchesín,,0.85,70332,Marchesín,Grêmio,13,6.42,284,1.0,14.0,,5.0,,3.0,,,,,,,,,,,,,,
60,5,7,Eduardo Colcenti Antunes,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,4.2,False,8,eduardo-sasha,0.0,Eduardo Sasha,,0.0,70360,E. Sasha,Bragantino,13,8.49,280,1.0,,,,,,4.0,6.0,6.0,3.0,8.0,,2.0,,1.0,1.0,,,,
61,1,7,Gabriel Vasconcelos Ferreira,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,2.11,True,10,gabriel,1.0,Gabriel,,-0.28,70449,Gabriel,Juventude,13,3.63,286,3.0,29.0,,16.0,,2.0,,,,,2.0,,,,,,,,,
62,3,7,Marllon Gonçalves Jerônimo Borges,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3.23,True,10,marllon,5.8,Marllon,,0.06,70666,Marllon,Cuiabá,13,4.85,1371,2.0,,,,1.0,2.0,12.0,8.0,2.0,1.0,4.0,,1.0,,,,,,,
63,5,6,Enner Remberto Valencia Lastra,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,0.5,False,1,enner-valencia,0.0,Enner Valencia,,0.0,70788,E. Valencia,Internacional,13,15.47,285,,,,,,,,,,,1.0,,,,,,,,,
64,2,7,Diogo Barbosa Mendanha,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,0.54,True,8,diogo-barbosa,0.5,Diogo Barbosa,,0.0,70916,D. Barbosa,Fluminense,13,2.6,266,2.0,,,,,,5.0,4.0,,,3.0,,,,,,,,,
65,4,7,Bruno Henrique Corsini,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,3.03,True,11,bruno-henrique,11.9,Bruno Henrique,,1.81,70944,B. Henrique,Internacional,13,7.03,285,2.0,,,,,,15.0,24.0,4.0,4.0,7.0,,1.0,,1.0,,,,,
66,4,6,Jean Carlos Vicente,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,5.5,True,7,jean-carlos,3.0,Jean Carlos,,0.13,70958,J. Carlos,Juventude,13,9.01,286,1.0,,,,,,4.0,3.0,2.0,4.0,2.0,,3.0,,1.0,,,,,
67,4,2,Florent Dimitri Payet,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,4.33,True,4,payet,0.0,Payet,,-0.55,70984,Payet,Vasco,13,6.68,267,,,,,,,2.0,1.0,1.0,,2.0,1.0,,,2.0,,,,,
