,atletas.rodada_id,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.media_num,atletas.jogos_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.variacao_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.foto,atletas.preco_num,atletas.nome,atletas.atleta_id,atletas.clube_id,A,CA,CV,DS,FC,FD,FF,FS,G,I,SG,FT,PC,DE,GS,PS,V,PP,GC,DP
41,15,True,,1.08,10,Marquinhos Gabriel,Criciúma,0.5,0.01,marquinhos-gabriel,M. Gabriel,4,6,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,3.24,Marcos Gabriel do Nascimento,68954,288,,2.0,,4.0,5.0,3.0,3.0,7.0,,,,,,,,,,,,
42,15,True,,3.18,9,Lucas Sasha,Fortaleza,6.7,0.17,lucas-sasha,L. Sasha,4,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,5.85,Lucas Pacheco Affini,68991,356,,1.0,,25.0,18.0,1.0,1.0,6.0,,,,,,,,,,,,
43,15,False,,0.0,0,Santos,Fortaleza,0.0,0.0,santos,Santos,1,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,8.0,Aderbar Melo dos Santos Neto,69012,356,,,,,,,,,,,,,,,,,,,,
44,15,False,,0.25,6,Manoel,Fluminense,0.0,0.0,manoel,Manoel,3,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,2.96,Manoel Messias Silva Carvalho,69014,266,,1.0,,2.0,7.0,1.0,,2.0,,,,,,,,,,,,
45,15,False,,0.0,0,Muriel,Vitória,0.0,0.0,muriel,Muriel,1,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,4.0,Muriel Gustavo Becker,69041,287,,,,,,,,,,,,,,,,,,,,
46,15,False,,0.0,0,Danilo Fernandes,Bahia,0.0,0.0,danilo-fernandes,D. Fernandes,1,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,4.0,Danilo Fernandes Batista,69051,265,,,,,,,,,,,,,,,,,,,,
47,15,False,,-0.05,2,James Rodríguez,São Paulo,0.0,0.0,james-rodriguez,J. Rodríguez,4,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,4.84,James David Rodríguez Rubio,69063,276,,,,,,,,,,1.0,,,,,,,,,,
48,15,True,,4.4,8,Vargas,Atlético-MG,0.5,-0.41,vargas,Vargas,5,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5.34,Eduardo Jesús Vargas Rojas,69102,282,,,,2.0,2.0,2.0,4.0,4.0,3.0,2.0,,,,,,2.0,,,,
49,15,True,,2.3,13,Pablo,Athlético-PR,7.9,1.21,pablo,Pablo,5,7,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,6.6,Pablo Felipe Teixeira,69138,293,1.0,4.0,,5.0,14.0,2.0,5.0,3.0,2.0,,,1.0,,,,,,,,
50,15,False,,0.0,1,Pablo,Botafogo,0.0,0.0,pablo,Pablo,3,6,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,3.22,Pablo Nascimento Castro,69165,263,,,,,,,,,,,,,,,,,,,,
51,15,False,,0.53,7,Aránguiz,Internacional,0.0,0.0,aranguiz,Aránguiz,4,5,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,3.76,Charles Mariano Aránguiz Sandoval,69325,285,,2.0,,2.0,12.0,2.0,,3.0,,,,1.0,,,,,,,,
52,15,False,,1.0,11,João Pedro Galvão,Grêmio,0.0,0.0,joao-pedro-galvao,J. Galvão,5,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,3.06,João Pedro Geraldino dos Santos Galvão,69686,284,,1.0,,2.0,13.0,3.0,3.0,15.0,,,,,,,,,,,,
53,15,False,,5.32,9,Nikão,Athlético-PR,0.0,0.0,nikao,Nikão,4,5,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,8.81,Maycon Vinícius Ferreira da Cruz,69705,293,,,,13.0,1.0,6.0,10.0,19.0,1.0,1.0,,,,,,,,,,
54,15,True,,5.21,9,Lucas Moura,São Paulo,0.6,-0.64,lucas-moura,L. Moura,4,7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,13.29,Lucas Rodrigues Moura da Silva,70164,276,1.0,1.0,,12.0,10.0,3.0,3.0,19.0,2.0,,,,,,,,,,,
55,15,False,,0.0,0,Rafael,Botafogo,0.0,0.0,rafael,Rafael,2,5,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,3.0,Rafael Pereira da Silva,70171,263,,,,,,,,,,,,,,,,,,,,
56,15,False,,3.13,7,Fábio,Grêmio,0.0,0.0,fabio,Fábio,2,5,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,5.49,Fábio Pereira da Silva,70172,284,,1.0,,5.0,4.0,,2.0,9.0,,,2.0,1.0,1.0,,,,,,,
57,15,True,,2.97,9,Gustavo,Criciúma,-1.0,-1.71,gustavo,Gustavo,1,7,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,5.09,Luiz Gustavo de Almeida Pinto,70216,288,,2.0,1.0,,1.0,,,,,,2.0,,,27.0,12.0,,,,,1.0
58,15,True,,0.54,5,Bruno Uvini,Vitória,0.0,-0.55,bruno-uvini,B. Uvini,3,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,2.32,Bruno Uvini Bortolança,70221,287,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,
59,15,False,,1.0,2,Diego Costa,Grêmio,0.0,0.0,diego-costa,D. Costa,5,5,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,6.25,Diego da Silva Costa,70316,284,,,1.0,2.0,,1.0,,3.0,,1.0,,,,,,,,,,
60,15,False,,3.19,8,Marchesín,Grêmio,0.0,0.0,marchesin,Marchesín,1,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,5.78,Agustín Federico Marchesín,70332,284,,1.0,,,,,,1.0,,,3.0,,,18.0,7.0,,,,,
61,15,True,,4.64,10,Eduardo Sasha,Bragantino,0.4,-1.72,eduardo-sasha,E. Sasha,5,7,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,8.33,Eduardo Colcenti Antunes,70360,280,3.0,2.0,1.0,5.0,8.0,8.0,4.0,8.0,2.0,,,,,,,,,,,
62,15,True,,3.01,12,Gabriel,Juventude,10.0,0.99,gabriel,Gabriel,1,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,5.23,Gabriel Vasconcelos Ferreira,70449,286,,3.0,,,,,,2.0,,,3.0,,,41.0,18.0,,,,,
63,15,True,,2.84,12,Marllon,Cuiabá,0.9,-0.08,marllon,Marllon,3,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,4.06,Marllon Gonçalves Jerônimo Borges,70666,1371,,2.0,,14.0,10.0,2.0,1.0,4.0,1.0,,2.0,,1.0,,,,,,,
64,15,False,,0.5,1,Enner Valencia,Internacional,0.0,0.0,enner-valencia,E. Valencia,5,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,15.47,Enner Remberto Valencia Lastra,70788,285,,,,,,,,1.0,,,,,,,,,,,,
65,15,False,,0.56,9,Diogo Barbosa,Fluminense,0.0,0.0,diogo-barbosa,D. Barbosa,2,3,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,2.56,Diogo Barbosa Mendanha,70916,266,,3.0,,5.0,5.0,,,7.0,,,,,,,,,,,,
66,15,True,,2.97,13,Bruno Henrique,Internacional,-0.3,-0.89,bruno-henrique,B. Henrique,4,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,5.45,Bruno Henrique Corsini,70944,285,1.0,2.0,,16.0,26.0,5.0,4.0,8.0,1.0,,,1.0,,,,,,,,
67,15,True,,4.6,9,Jean Carlos,Juventude,1.1,-0.34,jean-carlos,J. Carlos,4,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,8.22,Jean Carlos Vicente,70958,286,1.0,1.0,,5.0,6.0,2.0,6.0,4.0,3.0,,,,,,,,,,,
68,15,False,,3.46,5,Payet,Vasco,0.0,0.0,payet,Payet,4,6,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,6.04,Florent Dimitri Payet,70984,267,2.0,,,2.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,
69,15,False,,2.8,6,Pedro Henrique,Atlético-GO,0.0,0.0,pedro-henrique,P. Henrique,3,5,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,4.4,Pedro Henrique Pereira da Silva,71038,373,,2.0,,7.0,6.0,1.0,,2.0,,,2.0,,,,,,,,,
