,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.jogos_num,atletas.entrou_em_campo,atletas.foto,atletas.status_id,atletas.nome,atletas.preco_num,DS,FC,FD,FF,FS,G,I,CA,FT,A,SG,PP,CV,PC,PS,GC,V,DE,GS,DP
28,,2,275,marcos-rocha,Marcos Rocha,63013,0.0,0.0,37,4.77,Palmeiras,M. Rocha,25,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,7,Marcos Luis Rocha Aquino,8.33,40.0,25.0,1.0,2.0,12.0,,2.0,5.0,,2.0,13.0,,,,,,,,,
29,,2,286,alan-ruschel,Alan Ruschel,63110,0.0,0.0,37,3.59,Juventude,A. Ruschel,23,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,6,Alan Luciano Ruschel,5.55,45.0,22.0,,4.0,30.0,1.0,,3.0,,1.0,2.0,,1.0,,,,,,,
30,,4,284,edenilson,Edenílson,63289,0.0,-0.2,37,1.7,Grêmio,Edenílson,26,True,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,6,Edenílson Andrade dos Santos,3.88,15.0,19.0,5.0,3.0,23.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,
31,,4,285,alan-patrick,Alan Patrick,68685,0.0,0.0,37,5.57,Internacional,A. Patrick,19,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,6,Alan Patrick Lourenço,10.51,16.0,18.0,10.0,9.0,28.0,7.0,,3.0,,2.0,,1.0,,,,,,,,
32,,4,263,eduardo,Eduardo,68708,0.0,-0.34,37,2.19,Botafogo,Eduardo,16,True,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,6,Carlos Eduardo de Oliveira Alves,5.76,8.0,12.0,3.0,6.0,10.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,
33,,1,275,marcelo-lomba,Marcelo Lomba,68872,0.0,0.0,37,-1.0,Palmeiras,M. Lomba,1,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,6,Marcelo Lomba do Nascimento,4.99,,,,,,,,,,,,,,,,,,1.0,2.0,
34,,4,267,philippe-coutinho,Philippe Coutinho,68899,15.4,2.16,37,3.08,Vasco,P. Coutinho,13,True,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,7,Philippe Coutinho Correia,7.64,6.0,8.0,4.0,5.0,11.0,2.0,,,,1.0,,,,,,,,,,
35,,5,275,dudu,Dudu,68920,0.0,0.0,37,1.54,Palmeiras,Dudu,15,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,6,Eduardo Pereira Rodrigues,5.36,5.0,4.0,5.0,3.0,18.0,,1.0,,,,,,,,1.0,,,,,
36,,1,276,rafael,Rafael,68928,3.0,-0.2,37,3.2,São Paulo,Rafael,25,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,7,Rafael Pires Monteiro,6.52,,,,,2.0,,,1.0,,,8.0,,,,,,,67.0,27.0,
37,,1,284,rafael-cabral,Rafael Cabral,68940,0.0,0.0,37,2.08,Grêmio,R. Cabral,6,False,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,6,Rafael Cabral Barbosa,5.34,,,,,1.0,,,,,,1.0,,,,,,,15.0,8.0,
38,,5,356,marinho,Marinho,68952,8.7,1.05,37,5.05,Fortaleza,Marinho,20,True,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,7,Mário Sérgio Santos Costa,7.28,25.0,29.0,10.0,18.0,54.0,3.0,8.0,4.0,,2.0,,,1.0,,,,,,,
39,,4,288,marquinhos-gabriel,Marquinhos Gabriel,68954,1.7,0.04,37,1.02,Criciúma,M. Gabriel,23,True,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,6,Marcos Gabriel do Nascimento,2.95,11.0,7.0,4.0,6.0,12.0,,3.0,3.0,,,,,,,,,,,,
40,,4,356,lucas-sasha,Lucas Sasha,68991,0.0,0.0,37,3.57,Fortaleza,L. Sasha,18,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,6,Lucas Pacheco Affini,6.5,53.0,33.0,2.0,1.0,19.0,,,2.0,,,,,,,,,,,,
41,,1,356,santos,Santos,69012,0.0,0.0,37,0.0,Fortaleza,Santos,0,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,6,Aderbar Melo dos Santos Neto,8.0,,,,,,,,,,,,,,,,,,,,
42,,3,266,manoel,Manoel,69014,0.0,0.0,37,1.55,Fluminense,Manoel,10,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,6,Manoel Messias Silva Carvalho,3.51,6.0,8.0,1.0,,3.0,,,2.0,,,2.0,,,,,,,,,
43,,1,287,muriel,Muriel,69041,0.0,0.0,37,6.5,Vitória,Muriel,1,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,6,Muriel Gustavo Becker,5.94,,,,,1.0,,,2.0,,,1.0,,,,,,,1.0,,
44,,1,265,danilo-fernandes,Danilo Fernandes,69051,0.0,0.0,37,-1.0,Bahia,D. Fernandes,0,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,6,Danilo Fernandes Batista,3.54,,,,,,,,1.0,,,,,,,,,,,,
45,,5,282,vargas,Vargas,69102,0.7,-0.03,37,4.39,Atlético-MG,Vargas,21,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,6,Eduardo Jesús Vargas Rojas,5.91,8.0,7.0,5.0,8.0,20.0,7.0,7.0,1.0,,1.0,,,,,3.0,,,,,
46,,5,293,pablo,Pablo,69138,1.7,0.14,37,2.24,Athlético-PR,Pablo,26,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,2,Pablo Felipe Teixeira,5.37,10.0,24.0,4.0,16.0,9.0,3.0,8.0,5.0,1.0,2.0,,,,,,,,,,
