,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.foto,atletas.posicao_id,atletas.variacao_num,atletas.entrou_em_campo,atletas.nome,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.pontos_num,atletas.clube_id,atletas.apelido,atletas.apelido_abreviado,atletas.media_num,atletas.slug,CA,DS,FC,FS,FD,FF,SG,G,I,A,CV,FT,V,PS,DE,GS,PC,PP,DP,GC
48,1,69165,,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,3,0.0,False,Pablo Nascimento Castro,33,6,3.22,0.0,263,Pablo,Pablo,0.0,pablo,,,,,,,,,,,,,,,,,,,,
49,19,69705,,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO.png,4,0.0,False,Maycon Vinícius Ferreira da Cruz,33,6,8.99,0.0,293,Nikão,Nikão,5.64,nikao,,20.0,6.0,32.0,10.0,15.0,,4.0,2.0,2.0,,1.0,,,,,,,,
50,24,70164,,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,4,0.01,True,Lucas Rodrigues Moura da Silva,33,7,14.44,9.6,276,Lucas Moura,L. Moura,7.21,lucas-moura,4.0,33.0,24.0,57.0,10.0,9.0,,9.0,,5.0,,,,,,,,,,
51,0,70171,,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,2,0.0,False,Rafael Pereira da Silva,33,5,3.0,0.0,263,Rafael,Rafael,0.0,rafael,,,,,,,,,,,,,,,,,,,,
52,12,70172,,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,2,0.0,False,Fábio Pereira da Silva,33,6,5.0,0.0,284,Fábio,Fábio,2.79,fabio,1.0,7.0,5.0,14.0,,2.0,4.0,,,,1.0,1.0,,,,,1.0,,,
53,25,70216,,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,1,0.0,False,Luiz Gustavo de Almeida Pinto,33,7,5.88,0.0,288,Gustavo,Gustavo,3.34,gustavo,2.0,,1.0,2.0,,,4.0,,,,1.0,,,,88.0,34.0,,,2.0,
54,6,70221,,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,3,0.0,False,Bruno Uvini Bortolança,33,6,2.22,0.0,287,Bruno Uvini,B. Uvini,0.48,bruno-uvini,1.0,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,
55,7,70316,,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,5,0.0,False,Diego da Silva Costa,33,6,5.1,0.0,284,Diego Costa,D. Costa,1.78,diego-costa,2.0,4.0,4.0,5.0,3.0,,,1.0,2.0,,1.0,,,,,,,,,
56,20,70332,,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,1,0.0,False,Agustín Federico Marchesín,33,7,7.52,0.0,284,Marchesín,Marchesín,4.51,marchesin,3.0,1.0,,4.0,,,7.0,,,,,,,,69.0,21.0,,,1.0,
57,20,70360,,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,5,-0.09,True,Eduardo Colcenti Antunes,33,7,8.33,5.7,280,Eduardo Sasha,E. Sasha,4.12,eduardo-sasha,6.0,8.0,15.0,26.0,17.0,14.0,,3.0,3.0,3.0,1.0,1.0,,,,,,,,
