,atletas.slug,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.entrou_em_campo,atletas.media_num,atletas.preco_num,atletas.atleta_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.status_id,atletas.foto,atletas.rodada_id,atletas.clube_id,atletas.apelido_abreviado,V,CA,DE,FS,GS,SG,A,DS,FC,FD,FF,G,I,CV,FT,PC,PS,PP,DP,GC
22,david-luiz,David Luiz Moreira Marinho,2.2,0.19,,David Luiz,True,2.37,5.63,52827,3,Flamengo,17,6,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,27,262,D. Luiz,,3.0,,6.0,,2.0,,7.0,15.0,3.0,6.0,2.0,,,1.0,1.0,,,,
23,alex-teixeira,Alex Teixeira Santos,0.0,0.0,,Alex Teixeira,False,0.5,4.69,60793,4,Vasco,1,6,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,27,267,A. Teixeira,,,,1.0,,,,,,,,,,,,,,,,
24,souza,Josef de Souza Dias,0.0,0.0,,Souza,False,0.43,5.08,60803,4,Vasco,3,6,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,27,267,Souza,,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,,
25,cicinho,Neuciano de Jesus Gusmão,0.0,0.0,,Cicinho,False,1.57,4.17,61106,2,Bahia,4,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,27,265,Cicinho,,,,2.0,,1.0,,1.0,3.0,,,,,,,,,,,
26,gilberto,Gilberto Oliveira Souza Júnior,1.5,-0.51,,Gilberto,True,1.97,3.73,61188,5,Juventude,15,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,27,286,Gilberto,,2.0,,9.0,,,,5.0,9.0,5.0,9.0,1.0,4.0,,1.0,,,,,
27,fabricio,Fabrício Barros Santana,0.0,0.0,,Fabrício,False,4.13,5.96,61228,1,Internacional,8,6,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,27,285,Fabrício,,,26.0,,8.0,3.0,,,,,,,,,,,,,,
28,alex-sandro,Alex Sandro Lobo Silva,0.0,0.0,,Alex Sandro,False,2.2,7.98,61987,2,Flamengo,1,7,https://s.sde.globo.com/media/person_role/2024/08/26/photo_220x220_fiP7yWy.png,27,262,A. Sandro,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,
29,ganso,Paulo Henrique Chagas de Lima,2.2,-0.16,,Ganso,True,3.45,6.83,62977,4,Fluminense,22,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,27,266,Ganso,,9.0,,26.0,,,4.0,20.0,14.0,5.0,3.0,3.0,1.0,,,,,,,
30,marcos-rocha,Marcos Luis Rocha Aquino,0.0,0.0,,Marcos Rocha,False,4.73,8.21,63013,2,Palmeiras,20,7,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,27,275,M. Rocha,,2.0,,8.0,,11.0,2.0,26.0,17.0,,2.0,,1.0,,,,,,,
31,alan-ruschel,Alan Luciano Ruschel,1.2,-1.14,,Alan Ruschel,True,3.73,4.78,63110,2,Juventude,16,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,27,286,A. Ruschel,,2.0,,22.0,,2.0,1.0,29.0,19.0,,2.0,1.0,,1.0,,,,,,
