,atletas.slug,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.entrou_em_campo,atletas.media_num,atletas.preco_num,atletas.atleta_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.status_id,atletas.foto,atletas.rodada_id,atletas.clube_id,atletas.apelido_abreviado,V,CA,DE,FS,GS,SG,A,DS,FC,FD,FF,G,I,CV,FT,PC,PS,PP,DP,GC
84,mauricio-kozlinski,Maurício Kozlinski,0.0,0.0,,Maurício Kozlinski,False,0.0,3.0,72595,1,Fortaleza,0,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,27,356,M. Kozlinski,,,,,,,,,,,,,,,,,,,,
85,vitor-hugo,Vitor Hugo Franchescoli de Souza,0.0,0.0,,Vitor Hugo,False,0.0,3.58,72605,3,Bahia,1,6,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,27,265,V. Hugo,,,,,,,,,,,,,,,,,,,,
86,fernandinho,Fernando Luiz Rosa,0.0,0.0,,Fernandinho,False,3.38,6.77,72775,4,Athlético-PR,18,5,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,27,293,Fernandinho,,6.0,,20.0,,,3.0,18.0,28.0,8.0,4.0,2.0,1.0,,,,,,,
87,wilker-angel,Wílker José Ángel Romero,0.0,0.0,,Wilker Ángel,False,1.86,2.78,72801,3,Criciúma,10,5,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,27,288,W. Ángel,,2.0,,4.0,,1.0,,7.0,17.0,2.0,,1.0,1.0,,,,,,,
88,mercado,Gabriel Iván Mercado,-0.3,-2.0,,Mercado,True,3.15,4.98,72951,3,Internacional,14,5,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,27,285,Mercado,,5.0,,3.0,,6.0,,9.0,7.0,,1.0,1.0,,,,,,,,
89,samuel-xavier,Samuel Xavier Brito,3.5,-0.2,,Samuel Xavier,True,4.38,6.22,73384,2,Fluminense,19,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_yDwEEkd.png,27,266,S. Xavier,,3.0,,34.0,,6.0,2.0,23.0,23.0,4.0,5.0,,1.0,,,,,,,
90,bruno-alves,Bruno Fabiano Alves,8.6,1.23,,Bruno Alves,True,2.49,4.9,73620,3,Cuiabá,16,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_k3QDtbn.png,27,1371,B. Alves,,1.0,,11.0,,3.0,,15.0,10.0,3.0,2.0,,,,,,,,,
91,rodrigo-caio,Rodrigo Caio Coquette Russo,0.0,0.0,,Rodrigo Caio,False,2.2,5.98,73800,3,Grêmio,2,6,https://s.sde.globo.com/media/person_role/2024/06/03/photo_FORMATO_F2HtPRp.png,27,284,R. Caio,,,,2.0,,,,3.0,,,1.0,,,,,1.0,,,,
92,walisson-maia,Walisson Moreira Farias Maia,0.0,0.0,,Walisson Maia,False,1.63,3.19,73991,3,Criciúma,11,2,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_o2efsws.png,27,288,W. Maia,,2.0,,2.0,,2.0,1.0,5.0,9.0,,2.0,,,,,1.0,,,,
93,gatito-fernandez,Roberto Junior Fernández Torres,0.0,0.0,,Gatito Fernández,False,2.0,6.82,74061,1,Botafogo,3,6,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_XgarVDI.png,27,263,G. Fernández,,1.0,6.0,,4.0,1.0,,,,,,,,,,,,,,
94,campbell,Joel Nathaniel Campbell Samuels,1.1,-0.58,,Campbell,True,4.52,8.01,74157,5,Atlético-GO,6,3,https://s.sde.globo.com/media/person_role/2024/07/17/photo_220x220_WdH8RPs.png,27,373,Campbell,,3.0,,7.0,,,,5.0,2.0,1.0,5.0,2.0,,,,,,,,
95,carrillo,André Martín Carrillo Díaz,0.9,-0.69,,Carrillo,True,1.05,6.02,77485,4,Corinthians,2,6,https://s.sde.globo.com/media/person_role/2024/09/10/photo_FORMATO.png,27,264,Carrillo,,,,,,,,2.0,1.0,,,,,,,,,,,
96,jorginho,Jorge de Moura Xavier,0.0,0.0,,Jorginho,False,3.95,5.5,77544,4,Atlético-GO,2,5,https://s.sde.globo.com/media/person_role/2023/05/14/photo_FORMATO_BSixVEC.png,27,373,Jorginho,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,
97,madson,Madson Ferreira dos Santos,4.7,0.34,,Madson,True,2.21,4.54,78077,2,Athlético-PR,15,2,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_QT62TtG.png,27,293,Madson,,2.0,,9.0,,4.0,1.0,5.0,6.0,,2.0,,1.0,,,,,,,
98,everaldo,Everaldo Stum,11.4,-0.02,,Everaldo,True,5.14,8.46,78117,5,Bahia,25,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_ZTjMF4T.png,27,265,Everaldo,,3.0,,25.0,,,2.0,14.0,25.0,16.0,10.0,8.0,4.0,,3.0,,,,,
99,gustavo-henrique,Gustavo Henrique Vernes,7.4,1.0,,Gustavo Henrique,True,1.12,5.89,78248,3,Corinthians,10,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_eaP6jN7.png,27,264,G. Henrique,,4.0,,3.0,,2.0,,4.0,11.0,1.0,5.0,,,1.0,,,,,,
100,rene,Renê Rodrigues Martins,0.0,0.0,,Renê,False,5.21,8.77,78445,2,Internacional,13,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PNCSDK4.png,27,285,Renê,,2.0,,15.0,,5.0,1.0,24.0,11.0,3.0,4.0,,,,,,,,,
101,claudio-tencati,Cláudio Tencati,6.14,0.44,,Cláudio Tencati,True,4.24,6.54,78450,6,Criciúma,23,7,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_54lwaii.png,27,288,C. Tencati,6.0,,,,,,,,,,,,,,,,,,,
102,jean-mota,Jean Mota Oliveira de Sousa,0.0,0.0,,Jean Mota,False,1.28,3.13,78548,4,Vitória,14,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_hp4AXuX.png,27,287,J. Mota,,,,5.0,,,,2.0,6.0,2.0,2.0,1.0,1.0,,1.0,,,,,
103,jonathan-cafu,Jonathan Renato Barbosa,-0.3,-0.18,,Jonathan Cafu,True,1.8,3.16,78580,5,Cuiabá,17,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_EstVL0K.png,27,1371,J. Cafu,,,,18.0,,,,8.0,13.0,4.0,4.0,1.0,1.0,,,,,,,
104,gabriel,Gabriel Girotto Franco,1.6,-0.51,,Gabriel,True,3.59,5.1,78605,4,Athlético-PR,12,3,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_SpOJ3BZ.png,27,293,Gabriel,,3.0,,10.0,,,,27.0,15.0,1.0,5.0,1.0,,,,,,,,
105,ramiro,Ramiro Moschen Benetti,3.0,0.15,,Ramiro,True,1.7,3.61,78715,4,Cruzeiro,19,6,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_MK4CCfT.png,27,283,Ramiro,,2.0,,8.0,,,,20.0,19.0,1.0,4.0,1.0,1.0,,,,,,,
106,reinaldo,Reinaldo Manoel da Silva,2.9,-0.2,,Reinaldo,True,4.9,7.74,78850,2,Grêmio,17,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_v8J7R5r.png,27,284,Reinaldo,,2.0,,14.0,,5.0,,15.0,10.0,14.0,7.0,2.0,1.0,,,,,,,
107,thiago-santos,Thiago dos Santos,0.0,0.0,,Thiago Santos,False,3.13,3.5,78855,3,Fluminense,16,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_L3ovhxb.png,27,266,T. Santos,,6.0,,13.0,,6.0,,16.0,19.0,4.0,3.0,,,,,1.0,,,,
108,luiz-felipe,Luiz Felipe do Nascimento dos Santos,0.0,0.0,,Luiz Felipe,False,2.44,3.59,79035,3,Atlético-GO,12,6,https://s.sde.globo.com/media/person_role/2023/08/16/photo_FORMATO_vnMYw4d.png,27,373,L. Felipe,,3.0,,1.0,,2.0,,13.0,11.0,1.0,4.0,1.0,,1.0,,1.0,1.0,,,
109,victor-cuesta,Víctor Leandro Cuesta,2.4,0.26,,Víctor Cuesta,True,1.08,3.48,79113,3,Bahia,6,6,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO.png,27,265,V. Cuesta,,3.0,,5.0,,,,7.0,7.0,,1.0,,1.0,,,,,,,
110,filipe-augusto,Filipe Augusto Carvalho Souza,0.0,0.0,,Filipe Augusto,False,0.07,1.18,79268,4,Cuiabá,10,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_AseAsft.png,27,1371,F. Augusto,,4.0,,3.0,,,,4.0,12.0,1.0,1.0,,,,,,,,,
111,roger-machado,Roger Machado Marques,7.74,-0.26,,Roger Machado,True,5.14,7.72,79437,6,Internacional,23,7,https://s.sde.globo.com/media/person_role/2021/04/27/ec1e7e490c3a05088fd967b9e2468216_FORMATO.png,27,285,R. Machado,8.0,,,,,,,,,,,,,,,,,,,
112,cano,Germán Ezequiel Cano,3.6,0.16,,Cano,True,2.41,7.34,79631,5,Fluminense,15,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_uSA2481.png,27,266,Cano,,3.0,,4.0,,,,4.0,5.0,13.0,9.0,1.0,1.0,,1.0,,,,,
113,lucas-silva,Lucas Silva Borges,0.5,-0.18,,Lucas Silva,True,1.08,3.57,79701,4,Cruzeiro,22,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_KnivRCo.png,27,283,L. Silva,,3.0,,15.0,,,,8.0,15.0,4.0,7.0,1.0,,,,1.0,,,,1.0
114,antonio-carlos,Antônio Carlos Cunha Capocasali Júnior,-0.4,-1.0,,Antônio Carlos,True,1.63,2.36,79702,3,Fluminense,12,2,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Cwpf6R7.png,27,266,A. Carlos,,1.0,,10.0,,2.0,,4.0,8.0,,4.0,,1.0,,,,,,,
115,jadson,Jadson Alves dos Santos,1.4,-0.23,,Jadson,True,4.87,8.21,80129,4,Juventude,20,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_1INRw87.png,27,286,Jadson,,9.0,,38.0,,,5.0,45.0,26.0,4.0,8.0,1.0,2.0,1.0,,,,,,
116,yago-pikachu,Glaybson Yago Souza Lisboa,0.0,-0.21,,Yago Pikachu,True,3.3,4.62,80196,4,Fortaleza,21,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QAL0UhA.png,27,356,Y. Pikachu,,5.0,,30.0,,,3.0,16.0,10.0,3.0,11.0,2.0,3.0,,,,,,,
117,rafa-silva,Rafael da Silva,0.0,0.0,,Rafa Silva,False,4.04,5.88,80225,5,Cruzeiro,8,5,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_UXvdhXA.png,27,283,R. Silva,,2.0,,4.0,,,,4.0,6.0,4.0,1.0,3.0,3.0,,,,,,,
118,luciano,Luciano da Rocha Neves,8.8,0.92,,Luciano,True,5.79,10.67,80287,5,São Paulo,21,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hqCxZF4.png,27,276,Luciano,,9.0,,30.0,,,1.0,17.0,23.0,12.0,16.0,8.0,4.0,1.0,4.0,,1.0,1.0,,
119,gilberto,Gilberto Moraes Júnior,0.0,0.0,,Gilberto,False,3.97,6.95,80313,2,Bahia,12,5,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_iy1T2ej.png,27,265,Gilberto,,1.0,,14.0,,2.0,,17.0,10.0,2.0,5.0,1.0,1.0,,,,,,,
120,arthur-caike,Arthur Caíke do Nascimento Cruz,0.0,-0.22,,Arthur Caíke,True,2.96,3.98,80337,5,Criciúma,21,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_220x220.png,27,288,A. Caíke,,2.0,,22.0,,,,4.0,18.0,6.0,16.0,4.0,12.0,,1.0,,,,,
121,pedro-geromel,Pedro Tonon Geromel,0.0,0.0,,Pedro Geromel,False,2.6,5.36,80853,3,Grêmio,8,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_6dWdAJP.png,27,284,P. Geromel,,3.0,,2.0,,3.0,,4.0,2.0,1.0,3.0,,,,,,,,,
122,jair,Jair Rodrigues Júnior,0.0,0.0,,Jair,False,0.0,4.0,81091,4,Vasco,0,5,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,27,267,Jair,,,,,,,,,,,,,,,,,,,,
123,mayke,Mayke Rocha de Oliveira,0.0,0.0,,Mayke,False,4.66,8.37,81150,2,Palmeiras,17,5,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pz3GebS.png,27,275,Mayke,,3.0,,7.0,,9.0,,24.0,12.0,,1.0,1.0,2.0,,,,,,,
124,rossi,Rosicley Pereira da Silva,0.0,0.0,,Rossi,False,1.66,4.06,81798,5,Vasco,11,6,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8UqKNri.png,27,267,Rossi,,3.0,,8.0,,,1.0,12.0,9.0,,1.0,,2.0,,,,,,,
125,alisson,Alisson Euler de Freitas Castro,0.0,0.0,,Alisson,False,3.59,6.88,81845,4,São Paulo,16,5,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_fS2GyF1.png,27,276,Alisson,,4.0,,27.0,,,2.0,25.0,21.0,4.0,2.0,1.0,,,,,,,,
126,joao-ricardo,João Ricardo Riedi,2.0,-0.65,,João Ricardo,True,4.98,7.86,81881,1,Fortaleza,25,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_yXqoxi8.png,27,356,J. Ricardo,,2.0,107.0,2.0,23.0,8.0,,1.0,,,,,,,,,,,,
127,willian-oliveira,Willian Osmar de Oliveira Silva,0.6,0.03,,Willian Oliveira,True,4.76,7.17,81952,4,Vitória,24,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_AuUF822.png,27,287,W. Oliveira,,5.0,,32.0,,,1.0,39.0,30.0,6.0,14.0,5.0,,,,,2.0,,,
128,cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro,0.0,0.0,,Cavaleiro,False,0.0,4.0,81965,5,Bragantino,0,6,https://s.sde.globo.com/media/person_role/2015/08/18/87400d05b54fad3fbdebe823f0d1160b_220x220.png,27,280,Cavaleiro,,,,,,,,,,,,,,,,,,,,
129,ze-rafael,José Rafael Vivian,0.4,0.09,,Zé Rafael,True,1.81,4.65,82455,4,Palmeiras,14,3,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_BAUllGq.png,27,275,Z. Rafael,,6.0,,17.0,,,2.0,15.0,27.0,2.0,3.0,,,1.0,,,1.0,,,
130,otavio,Otávio Henrique Passos Santos,0.0,0.0,,Otávio,False,2.94,5.16,82463,4,Atlético-MG,15,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,27,282,Otávio,,1.0,,12.0,,,,32.0,19.0,2.0,5.0,,,,,,,,,
131,luiz-araujo,Luiz de Araújo Guimarães Neto,0.0,0.0,,Luiz Araújo,False,5.54,8.3,82627,5,Flamengo,23,5,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_HkAAcVs.png,27,262,L. Araújo,,3.0,,30.0,,,5.0,35.0,23.0,13.0,17.0,3.0,2.0,,1.0,,,,,
132,tinga,Guilherme de Jesus da Silva,0.0,-0.57,,Tinga,True,3.47,4.79,82628,2,Fortaleza,21,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_vAKLb1d.png,27,356,Tinga,,1.0,,7.0,,6.0,,26.0,13.0,,4.0,1.0,,,1.0,1.0,,,,
133,marcelo-hermes,Marcelo Gazella Hermes,6.9,0.45,,Marcelo Hermes,True,3.29,5.78,82639,2,Criciúma,21,7,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_g9yt731.png,27,288,M. Hermes,,4.0,,11.0,,3.0,2.0,23.0,20.0,5.0,9.0,1.0,,,,,,,,
134,wellington-rato,Wellington Soares da Silva,0.0,0.0,,Wellington Rato,False,1.68,5.52,82766,4,São Paulo,17,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_NhIGhAv.png,27,276,W. Rato,,1.0,,16.0,,,2.0,5.0,7.0,4.0,4.0,,3.0,,,,,,,
135,gabriel,Gabriel Barbosa Almeida,0.0,0.0,,Gabriel,False,2.42,6.05,83257,5,Flamengo,12,6,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_EM6z7aN.png,27,262,Gabriel,,1.0,,5.0,,,1.0,1.0,1.0,3.0,3.0,2.0,4.0,,,,,,,
136,leo-pereira,Leonardo Pereira,0.0,0.0,,Léo Pereira,False,1.68,5.4,83528,3,Flamengo,20,7,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_rrGsWJ1.png,27,262,L. Pereira,,4.0,,11.0,,3.0,,17.0,13.0,,2.0,,1.0,,,1.0,,,,
137,neris,Hueglo dos Santos Neris,6.7,0.1,,Neris,True,2.59,4.84,83786,3,Vitória,13,7,https://s.sde.globo.com/media/person_role/2024/08/23/photo_FORMATO_NM0hbTO.png,27,287,Neris,,1.0,,3.0,,5.0,,12.0,17.0,1.0,1.0,,1.0,1.0,,,,,,
138,clayson,Clayson Henrique da Silva Vieira,3.2,0.4,,Clayson,True,2.24,4.17,83817,5,Cuiabá,19,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_eqdux0f.png,27,1371,Clayson,,5.0,,18.0,,,,9.0,8.0,6.0,8.0,2.0,3.0,,,,1.0,,,
139,tiquinho-soares,Francisco das Chagas Soares dos Santos Meireles,2.4,0.05,,Tiquinho Soares,True,3.76,9.31,84042,5,Botafogo,19,6,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_pjwDNV1.png,27,263,T. Soares,,3.0,,31.0,,,3.0,10.0,29.0,2.0,8.0,4.0,2.0,,,,,,,
140,jemerson,Jemerson de Jesus Nascimento,0.0,0.0,,Jemerson,False,4.04,6.84,84263,3,Grêmio,7,7,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO_PHlhzVS.png,27,284,Jemerson,,3.0,,4.0,,4.0,,3.0,10.0,,1.0,1.0,1.0,,,,,,,
141,alisson,Alisson Machado dos Santos,0.0,0.0,,Alisson,False,0.87,2.29,84266,1,Criciúma,4,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Ea5KMU8.png,27,288,Alisson,,2.0,9.0,1.0,4.0,,,,,,,,,,,,,,,
142,fernando-sobral,Fernando Pereira do Nascimento,4.2,-0.11,,Fernando Sobral,True,2.98,5.34,84428,4,Cuiabá,20,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_dW9VacB.png,27,1371,F. Sobral,,2.0,,18.0,,,1.0,27.0,11.0,3.0,9.0,1.0,1.0,,,,,,,
143,lucas-romero,Lucas Daniel Romero,0.0,0.0,,Lucas Romero,False,2.8,4.61,84558,4,Cruzeiro,22,7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pUYQrUf.png,27,283,L. Romero,,4.0,,18.0,,,2.0,42.0,31.0,3.0,6.0,,,1.0,,,,,,
144,fellipe-mateus,Fellipe Mateus de Sena Araújo,5.9,0.44,,Fellipe Mateus,True,3.86,7.12,84587,4,Criciúma,18,6,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_3jr11fx.png,27,288,F. Mateus,,2.0,,36.0,,,,18.0,11.0,9.0,8.0,2.0,,,1.0,1.0,,,,
145,lucas-evangelista,Lucas Evangelista Santana de Oliveira,4.5,0.35,,Lucas Evangelista,True,3.57,7.63,84674,4,Bragantino,18,7,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_gMVR2lN.png,27,280,L. Evangelista,,3.0,,31.0,,,1.0,15.0,16.0,4.0,9.0,2.0,4.0,,2.0,,,,,
146,varela,Guillermo Varela Olivera,0.0,0.0,,Varela,False,3.75,5.46,84816,2,Flamengo,11,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RMaWUM3.png,27,262,Varela,,,,16.0,,3.0,,15.0,7.0,2.0,,,1.0,,,,,,,
147,rafael-ratao,Rafael Rogério da Silva,-0.3,-1.26,,Rafael Ratão,True,2.45,4.28,84918,5,Bahia,12,6,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,27,265,R. Ratão,,,,3.0,,,2.0,4.0,6.0,2.0,2.0,1.0,1.0,,1.0,,,,,
148,marcos-felipe,Marcos Felipe de Freitas Monteiro,5.0,-0.37,,Marcos Felipe,True,4.16,7.29,85004,1,Bahia,25,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JDJmU6R.png,27,265,M. Felipe,,2.0,84.0,4.0,28.0,8.0,,1.0,1.0,,,,,,,,,,1.0,
149,oscar-romero,Óscar David Romero Villamayor,0.0,0.0,,Óscar Romero,False,3.44,6.25,85034,4,Botafogo,17,6,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oSZD8nT.png,27,263,Ã. Romero,,5.0,,14.0,,,3.0,21.0,12.0,8.0,3.0,1.0,,,,,,,,
150,memphis-depay,Memphis Depay,1.7,-0.98,,Memphis Depay,True,1.7,12.02,85048,5,Corinthians,1,6,https://s.sde.globo.com/media/person_role/2024/09/17/photo_FORMATO_bZqek6n.png,27,264,M. Depay,,,,1.0,,,,,,1.0,,,,,,,,,,
151,alex-santana,Alex Paulo Menezes Santana,0.0,0.0,,Alex Santana,False,1.57,3.69,85465,4,Corinthians,8,5,https://s.sde.globo.com/media/person_role/2024/07/15/photo_FORMATO_QlEJyTM.png,27,264,A. Santana,,4.0,,5.0,,,,9.0,9.0,1.0,6.0,,,,,,,,,
152,leo,Leonardo Pinheiro da Conceição,0.5,-0.22,,Léo,True,2.68,3.88,85626,3,Vasco,21,7,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_EPoR3bv.png,27,267,Léo,,1.0,,10.0,,5.0,,23.0,14.0,2.0,2.0,,1.0,,,,,,,
153,ricardo-ryller,Ricardo Ryller Ribeiro Lino Silva,1.3,-0.07,,Ricardo Ryller,True,2.14,4.11,85856,4,Vitória,9,6,https://s.sde.globo.com/media/person_role/2024/07/02/photo_220x220.png,27,287,R. Ryller,,,,11.0,,,,11.0,6.0,,3.0,,,,,,,,,
154,hyoran,Hyoran Kaue Dalmoro,0.0,0.0,,Hyoran,False,1.38,3.83,85931,4,Internacional,10,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7KxaYiF.png,27,285,Hyoran,,,,9.0,,,,5.0,6.0,1.0,5.0,,1.0,,,,,,,
155,gustavo-sauer,Gustavo Affonso Sauerbeck,1.3,-0.4,,Gustavo Sauer,True,1.07,4.06,85993,4,Cuiabá,3,6,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_zFut1NF.png,27,1371,G. Sauer,,,,3.0,,,,1.0,2.0,1.0,,,1.0,,,,,,,
156,bolasie,Yannick Bolasie,3.6,-0.09,,Bolasie,True,5.75,7.87,86292,5,Criciúma,20,7,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_r97hBeS.png,27,288,Bolasie,,3.0,,16.0,,,3.0,12.0,23.0,17.0,21.0,6.0,8.0,,1.0,,,,,
157,caio-dantas,Caio Henrique da Silva Dantas,0.0,0.0,,Caio Dantas,False,0.0,3.0,86362,5,Vitória,0,6,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_YkGHL6O.png,27,287,C. Dantas,,,,,,,,,,,,,,,,,,,,
158,victor-luis,Victor Luis Chuab Zamblauskas,0.0,0.0,,Victor Luis,False,4.67,6.57,86410,2,Vasco,9,6,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_C2XW4GI.png,27,267,V. Luis,,3.0,,10.0,,3.0,1.0,14.0,10.0,1.0,,1.0,,1.0,,,,,,
159,keno,Marcos da Silva França,1.5,-0.26,,Keno,True,2.22,5.01,86485,5,Fluminense,17,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_EdYl0O3.png,27,266,Keno,,1.0,,15.0,,,,12.0,9.0,4.0,9.0,1.0,3.0,,,,,,,
160,jandrei,Jandrei Chitolina Carniel,0.5,-1.11,,Jandrei,True,3.75,5.73,86508,1,São Paulo,12,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_FD4URNn.png,27,276,Jandrei,,,35.0,8.0,14.0,4.0,,,,,,,,,,,,,,
161,rodrigo,Rodrigo Fagundes de Freitas,6.7,0.74,,Rodrigo,True,3.45,5.51,86684,3,Criciúma,19,2,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_fIUc997.png,27,288,Rodrigo,,6.0,,9.0,,3.0,1.0,33.0,17.0,2.0,2.0,1.0,2.0,,1.0,2.0,,,,
162,tche-tche,Danilo das Neves Pinheiro,-1.9,-0.39,,Tchê Tchê,True,1.0,2.79,86686,4,Botafogo,23,6,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_DbXXPxM.png,27,263,T. Tchê,,2.0,,14.0,,,,12.0,14.0,5.0,6.0,,,1.0,,,,,,
163,jonathan,Jonathan Francisco Lemos,0.0,0.0,,Jonathan,False,1.74,3.0,86713,2,Criciúma,10,6,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9loGKby.png,27,288,Jonathan,,,,2.0,,,,13.0,4.0,1.0,1.0,,,,,,,,,
164,everton,Everton Sousa Soares,0.0,0.0,,Everton,False,4.72,6.98,86757,5,Flamengo,10,5,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_JoKRQsF.png,27,262,Everton,,1.0,,6.0,,,2.0,11.0,6.0,8.0,8.0,1.0,2.0,,,,,,,
165,matheus-rossetto,Matheus Rossetto,1.6,-0.15,,Matheus Rossetto,True,1.65,2.96,86766,4,Fortaleza,11,6,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_zgLfj3l.png,27,356,M. Rossetto,,2.0,,5.0,,,,17.0,9.0,,,,,,,,,,,
166,danilo-barbosa,Danilo Barbosa da Silva,0.0,0.0,,Danilo Barbosa,False,3.45,7.29,86777,4,Botafogo,22,6,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,27,263,D. Barbosa,,3.0,,15.0,,,2.0,31.0,17.0,1.0,4.0,3.0,,,,,1.0,,,
167,jose-welison,José Welison da Silva,6.5,0.48,,José Welison,True,2.02,4.67,86859,4,Fortaleza,14,3,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,27,356,J. Welison,,1.0,,4.0,,,1.0,22.0,9.0,,2.0,,,1.0,,,,,,
168,leo-jardim,Leonardo César Jardim,0.0,-0.32,,Léo Jardim,True,3.62,6.07,87008,1,Vasco,26,7,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,27,267,L. Jardim,,,99.0,1.0,36.0,6.0,,,,,,,,,,,,,,
169,nathan,Nathan Allan de Souza,0.0,0.0,,Nathan,False,1.3,3.42,87009,4,Grêmio,8,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,27,284,Nathan,,1.0,,5.0,,,,5.0,3.0,2.0,2.0,,2.0,,,,,,,
