,atletas.entrou_em_campo,atletas.slug,atletas.foto,atletas.apelido,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.atleta_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.variacao_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,SG,DE,GS,PS,V,PP,PC,GC,DP
10,False,hulk,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,Hulk,282,5,Givanildo Vieira de Souza,39148,Atlético-MG,14,16.63,5,,0.0,0.0,Hulk,21,8.2,3.0,2.0,1.0,4.0,17.0,6.0,22.0,38.0,2.0,7.0,6.0,,,,,,,,,
11,True,alan-franco,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,Alan Franco,282,4,Alan Steven Franco Palma,39656,Atlético-MG,12,3.3,7,,-0.1,-0.79,A. Franco,21,1.65,,3.0,,15.0,17.0,,3.0,9.0,1.0,,,,,,,,,,,
12,True,vagner-mancini,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,Vagner Mancini,373,6,Vagner Carmo Mancini,39850,Atlético-GO,7,6.22,7,,1.87,-0.27,V. Mancini,21,2.86,,,,,,,,,,,,,,,,,,,,
13,True,renato-gaucho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,Renato Gaúcho,284,6,Renato Portaluppi,41929,Grêmio,19,8.76,7,,7.49,0.04,R. Gaúcho,21,4.34,,,,,,,,,,,,,,,,6.0,,,,
14,True,osvaldo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,Osvaldo,287,5,Osvaldo Lourenço Filho,42222,Vitória,14,4.26,7,,0.0,-1.14,Osvaldo,21,2.07,,1.0,,7.0,8.0,5.0,4.0,16.0,,1.0,1.0,,,,,,,1.0,,
15,True,cassio,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,Cássio,283,1,Cássio Roberto Ramos,42234,Cruzeiro,7,10.31,7,,0.0,-2.11,Cássio,21,4.93,,1.0,,,,,,1.0,,,,3.0,27.0,7.0,,,,,,
16,True,fagner,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,Fagner,264,2,Fagner Conserva Lemos,42500,Corinthians,9,7.51,7,,8.2,1.28,Fagner,21,4.05,1.0,1.0,,5.0,1.0,1.0,,5.0,1.0,,,4.0,,,,,,,,
17,True,tite,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,Tite,262,6,Adenor Leonardo Bachi,45125,Flamengo,20,10.23,7,,2.07,-1.11,Tite,21,5.83,,,,,,,,,,,,,,,,12.0,,,,
18,False,alan-kardec,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,Alan Kardec,282,5,Alan Kardec de Sousa Pereira Júnior,50347,Atlético-MG,6,2.57,6,,0.0,0.0,A. Kardec,21,0.33,,,,,2.0,,2.0,2.0,,,,,,,,,,,,
19,False,titi,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,Titi,356,3,Christian Chagas Tarouco,50353,Fortaleza,11,3.86,6,,0.0,0.0,Titi,21,2.37,,3.0,,15.0,18.0,,2.0,10.0,,,1.0,2.0,,,,,,,,
20,True,walter,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,Walter,1371,1,Walter Leandro Capeloza Artune,51413,Cuiabá,16,5.0,7,,1.0,0.06,Walter,21,3.47,,,,,,,,1.0,,,,3.0,62.0,22.0,,,,,,
21,True,everton-ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,Everton Ribeiro,265,4,Everton Augusto de Barros Ribeiro,51772,Bahia,19,8.62,7,,4.3,0.34,E. Ribeiro,21,4.03,4.0,1.0,,29.0,15.0,4.0,7.0,34.0,,,1.0,,,,,,,,,
22,False,fernando,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Fernando,285,4,Fernando Francisco Reges,52271,Internacional,9,5.03,5,,0.0,0.0,Fernando,21,1.76,,3.0,,10.0,8.0,,,3.0,,1.0,2.0,,,,,,,,,
