,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
46,D. Fernandes,0.0,265,22,Danilo Fernandes Batista,danilo-fernandes,Danilo Fernandes,1,,0.0,6,0,3.54,-1.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,False,69051,Bahia,,1.0,,,,,,,,,,,,,,,,,,
47,J. Rodríguez,0.0,276,22,James David Rodríguez Rubio,james-rodriguez,James Rodríguez,4,,0.0,6,2,4.84,-0.05,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,False,69063,São Paulo,,,,,,,,,,,1.0,,,,,,,,,
48,Vargas,0.0,282,22,Eduardo Jesús Vargas Rojas,vargas,Vargas,5,,0.0,6,13,5.79,4.01,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,False,69102,Atlético-MG,,,4.0,3.0,4.0,6.0,10.0,4.0,,,4.0,2.0,,,,,,,,
49,Pablo,0.0,293,22,Pablo Felipe Teixeira,pablo,Pablo,5,,0.0,6,17,5.47,2.0,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,False,69138,Athlético-PR,1.0,5.0,6.0,18.0,3.0,8.0,6.0,2.0,,,,,,1.0,,,,,,
50,Allan,2.9,263,22,Allan Marques Loureiro,allan,Allan,4,,-0.02,6,4,6.2,1.6,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,True,69140,Botafogo,,2.0,6.0,6.0,,,6.0,,,,,,,,,,,,,
51,Pablo,0.0,263,22,Pablo Nascimento Castro,pablo,Pablo,3,,0.0,6,1,3.22,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,False,69165,Botafogo,,,,,,,,,,,,,,,,,,,,
52,Nikão,0.0,293,22,Maycon Vinícius Ferreira da Cruz,nikao,Nikão,4,,0.0,6,12,8.13,4.31,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,False,69705,Athlético-PR,,,13.0,2.0,9.0,10.0,20.0,1.0,,,1.0,,,,,,,,,
53,L. Moura,0.0,276,22,Lucas Rodrigues Moura da Silva,lucas-moura,Lucas Moura,4,,0.0,7,14,14.66,7.16,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,False,70164,São Paulo,2.0,3.0,25.0,15.0,7.0,6.0,29.0,5.0,,,,,,,,,,,,
54,Rafael,0.0,263,22,Rafael Pereira da Silva,rafael,Rafael,2,,0.0,5,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,False,70171,Botafogo,,,,,,,,,,,,,,,,,,,,
55,Fábio,2.4,284,22,Fábio Pereira da Silva,fabio,Fábio,2,,-0.54,6,11,5.78,3.27,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,True,70172,Grêmio,,1.0,7.0,5.0,,2.0,13.0,,4.0,,,,,1.0,,,1.0,,,
