,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
162,D. Barbosa,1.0,263,22,Danilo Barbosa da Silva,danilo-barbosa,Danilo Barbosa,4,,-0.34,6,19,6.73,3.56,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_p79ATUg.png,True,86777,Botafogo,2.0,3.0,25.0,14.0,,3.0,15.0,3.0,,,,1.0,,,,,,,,
163,J. Welison,0.0,356,22,José Welison da Silva,jose-welison,José Welison,4,,0.0,6,11,4.02,1.66,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_QbOqp5G.png,False,86859,Fortaleza,,1.0,15.0,6.0,,2.0,3.0,,,,,,,,,,,,,
164,L. Jardim,8.0,267,22,Leonardo César Jardim,leo-jardim,Léo Jardim,1,,1.18,7,21,7.18,3.64,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_goyzWhz.png,True,87008,Vasco,,,,,,,,,5.0,,,,,,82.0,31.0,,,,
165,Nathan,0.0,284,22,Nathan Allan de Souza,nathan,Nathan,4,,0.0,6,7,3.62,1.24,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_UqG87oy.png,False,87009,Grêmio,,,3.0,,1.0,2.0,5.0,,,,2.0,,,,,,,,,
166,P. Henrique,3.8,280,22,Pedro Henrique Ribeiro Gonçalves,pedro-henrique,Pedro Henrique,3,,-0.04,7,13,5.8,2.87,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_oxcf1Uy.png,True,87225,Bragantino,,3.0,19.0,13.0,,,9.0,1.0,2.0,,1.0,,,,,,1.0,,,
167,G. Arana,8.4,282,22,Guilherme Antonio Arana Lopes,guilherme-arana,Guilherme Arana,2,,0.55,7,11,11.72,5.82,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_7gOybCT.png,True,87228,Atlético-MG,1.0,3.0,19.0,9.0,4.0,6.0,9.0,1.0,4.0,,2.0,,,,,,,,,
168,C. Pena,-0.3,265,22,Carlos María de Pena Bonino,carlos-de-pena,Carlos de Pena,4,,-0.06,6,19,2.35,0.96,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_fnqPxDu.png,True,87242,Bahia,2.0,4.0,5.0,7.0,2.0,4.0,6.0,,,,,,,,,,,,,
169,Soteldo,0.0,284,22,Yeferson Julio Soteldo Martínez,soteldo,Soteldo,5,,0.0,7,9,11.08,6.07,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_tv5qGBE.png,False,87258,Grêmio,2.0,,6.0,2.0,4.0,3.0,14.0,3.0,,,1.0,,,,,,,,,
170,Kannemann,0.0,284,22,Walter Kannemann,kannemann,Kannemann,3,,0.0,7,9,3.76,1.66,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_f52uCmN.png,False,87342,Grêmio,1.0,5.0,9.0,17.0,,1.0,5.0,,2.0,1.0,,,,,,,1.0,,,
171,Allano,5.4,288,22,Allano Brendon de Souza Lima,allano,Allano,5,,0.61,7,12,3.31,1.32,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_4fbfMIP.png,True,87391,Criciúma,,2.0,9.0,19.0,3.0,3.0,20.0,,,2.0,2.0,,,1.0,,,,,,
172,Thaciano,6.2,265,22,Thaciano Mickael da Silva,thaciano,Thaciano,4,,0.83,7,19,6.68,3.47,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_wgwd4Ze.png,True,87470,Bahia,1.0,3.0,9.0,8.0,5.0,15.0,8.0,4.0,,,14.0,,,1.0,,,,,,
173,M. Pasinato,0.0,1371,22,Mateus Pasinato,mateus-pasinato,Mateus Pasinato,1,,0.0,6,0,2.59,-1.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_5YNRqaD.png,False,87603,Cuiabá,,1.0,,,,,,,,,,,,,,,,,,
174,Galdames,0.0,267,22,Pablo Ignacio Galdames Millán,galdames,Galdames,4,,0.0,6,11,4.82,2.19,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8l71w1x.png,False,87660,Vasco,1.0,3.0,17.0,25.0,2.0,3.0,9.0,,,,1.0,,,,,,,,,
175,Y. Felipe,-1.3,265,22,Yago Felipe da Costa Rocha,yago-felipe,Yago Felipe,4,,-0.66,6,4,1.82,-0.53,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_wf2lvdn.png,True,87747,Bahia,,2.0,,3.0,,1.0,,,,,,,,,,,,,,
176,M. Lemos,0.0,282,22,Paolo Mauricio Lemos Merladett,mauricio-lemos,Mauricio Lemos,3,,0.0,6,6,9.41,2.65,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,False,87853,Atlético-MG,,3.0,4.0,10.0,,2.0,1.0,,3.0,,,,,,,,,,,
177,Arrascaeta,11.5,262,22,Giorgian Daniel de Arrascaeta Benedetti,arrascaeta,Arrascaeta,4,,1.33,7,9,15.12,8.52,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_ehYT9k1.png,True,87863,Flamengo,4.0,1.0,8.0,10.0,4.0,6.0,17.0,4.0,,,,1.0,,,,,,,,
178,G. Scarpa,6.1,282,22,Gustavo Henrique Furtado Scarpa,gustavo-scarpa,Gustavo Scarpa,4,,-0.4,7,19,11.64,6.25,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_UXqyPlk.png,True,87999,Atlético-MG,5.0,3.0,20.0,8.0,14.0,19.0,27.0,3.0,,,4.0,,,2.0,,,,,,
179,A. Empereur,2.4,1371,22,Alan Pereira Empereur,alan-empereur,Alan Empereur,3,,-0.11,7,15,3.4,2.25,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_yJZY7yN.png,True,88033,Cuiabá,1.0,4.0,9.0,5.0,1.0,4.0,8.0,,3.0,,,,,,,,,,,
180,Ivan,0.0,285,22,Ivan Quaresma da Silva,ivan,Ivan,1,,0.0,5,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TR1I7LU.png,False,88136,Internacional,,,,,,,,,,,,,,,,,,,,
181,J. Alonso,10.3,282,22,Júnior Osmar Ignacio Alonso Mujica,junior-alonso,Junior Alonso,3,,1.7,7,5,8.8,4.96,https://s.sde.globo.com/media/person_role/2022/07/15/18f148a4c0e6304c4e127291f1935424_FORMATO.png,True,88312,Atlético-MG,,2.0,8.0,8.0,,2.0,,1.0,2.0,,,,,,,,,,,
182,Ã. Romero,1.5,264,22,Ángel Rodrigo Romero Villamayor,angel-romero,Ángel Romero,5,,0.05,2,15,5.82,3.29,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1ruJswV.png,True,88323,Corinthians,,4.0,11.0,10.0,3.0,11.0,28.0,2.0,,,2.0,1.0,,,,,,,,
183,A. Lucas,1.7,262,22,Ayrton Lucas Dantas de Medeiros,ayrton-lucas,Ayrton Lucas,2,,-0.17,7,18,7.58,4.65,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_vtzXktM.png,True,88393,Flamengo,2.0,1.0,20.0,11.0,2.0,8.0,22.0,1.0,4.0,,,,,2.0,,,,,,
184,Walace,1.2,283,22,Walace Souza Silva,walace,Walace,4,,-0.43,6,3,5.72,1.0,https://s.sde.globo.com/media/person_role/2024/07/02/photo_FORMATO_WwpovZU.png,True,88479,Cruzeiro,,,2.0,2.0,1.0,,,,,,,,,,,,,,,
185,Petit,2.76,1371,22,Armando Gonçalves Teixeira,petit,Petit,6,,0.0,7,13,6.07,4.07,https://s.sde.globo.com/media/person_role/2024/05/06/photo_FORMATO_dWuxEhT.png,True,89141,Cuiabá,,,,,,,,,,,,,2.0,,,,,,,
186,Barreto,0.0,288,22,Gustavo Bonatto Barreto,barreto,Barreto,4,,0.0,6,16,4.99,3.63,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ppF3oM9.png,False,89224,Criciúma,1.0,3.0,28.0,33.0,3.0,3.0,17.0,2.0,,,1.0,,,1.0,,,1.0,,,
187,Gerson,6.0,262,22,Gerson Santos da Silva,gerson,Gerson,4,,0.75,7,21,6.87,4.27,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_mBAg0JY.png,True,89256,Flamengo,5.0,1.0,27.0,22.0,7.0,9.0,33.0,1.0,,,1.0,,,,,,,,,
188,J. Pedro,2.4,284,22,João Pedro Maturano dos Santos,joao-pedro,João Pedro,2,,-1.08,7,16,5.58,3.62,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,True,89273,Grêmio,1.0,1.0,16.0,3.0,3.0,7.0,7.0,,4.0,,,,,1.0,,,,,,
189,William,7.9,283,22,Willian de Asevedo Furtado,william,William,2,,0.83,7,19,12.24,8.2,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,True,89275,Cruzeiro,3.0,5.0,49.0,25.0,5.0,9.0,9.0,4.0,9.0,,,,,,,,,,,
190,Braithwaite,18.6,284,22,Martin Christensen Braithwaite,braithwaite,Braithwaite,5,,6.09,7,1,15.09,18.6,https://s.sde.globo.com/media/person_role/2024/07/31/photo_FORMATO_bydXPc3.png,True,89368,Grêmio,,,1.0,1.0,1.0,,1.0,2.0,,,,,,1.0,,,,,1.0,
191,Erick,2.5,286,22,Erick Samuel Correa Farias,erick,Erick,5,,0.15,7,19,4.95,3.39,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,True,89467,Juventude,,1.0,21.0,8.0,9.0,6.0,7.0,3.0,,,4.0,,,,,,,,,
192,I. Rabello,0.0,282,22,Igor Rabello da Costa,igor-rabello,Igor Rabello,3,,0.0,6,10,4.69,1.92,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,False,89493,Atlético-MG,,2.0,8.0,8.0,1.0,1.0,2.0,,3.0,1.0,,,,,,,1.0,,,
193,T. Maia,-0.3,285,22,Thiago Maia Alencar,thiago-maia,Thiago Maia,4,,-0.58,7,11,4.1,2.15,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,True,89637,Internacional,,,18.0,13.0,1.0,4.0,3.0,,,,,,,,,,,,,
194,I. Castilho,0.0,287,22,Iury Lirio Freitas de Castilho,iury-castilho,Iury Castilho,5,,0.0,5,5,4.02,2.62,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_5wPuqrz.png,False,89695,Vitória,,1.0,,7.0,,1.0,9.0,1.0,,,1.0,,,1.0,,,,,,
195,Calleri,0.0,276,22,Jonathan Calleri,calleri,Calleri,5,,0.0,7,18,10.93,4.73,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,False,89840,São Paulo,2.0,3.0,6.0,23.0,7.0,10.0,34.0,5.0,,,16.0,,,2.0,,,,,,
196,Cristaldo,2.5,284,22,Franco Cristaldo,cristaldo,Cristaldo,4,,-0.39,6,17,8.73,4.45,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,True,89846,Grêmio,1.0,,16.0,6.0,7.0,11.0,22.0,3.0,,,2.0,1.0,,,,,,,,
197,Dodi,4.1,284,22,Douglas Moreira Fagundes,dodi,Dodi,4,,0.26,6,17,3.39,1.47,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,True,89883,Grêmio,,4.0,18.0,19.0,2.0,3.0,17.0,,,,,,,,,,,,,
198,E. Galdino,0.0,284,22,Everton Galdino Moreira,everton-galdino,Everton Galdino,5,,0.0,6,12,2.13,0.65,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ywqLzxA.png,False,89918,Grêmio,,4.0,5.0,8.0,1.0,4.0,8.0,,,,1.0,,,,,,,,,
199,B. Pacheco,5.0,356,22,Bruno de Jesus Pacheco,bruno-pacheco,Bruno Pacheco,2,,0.01,6,15,7.66,3.92,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,True,90061,Fortaleza,,2.0,18.0,8.0,1.0,3.0,10.0,1.0,5.0,,,,,,,,,,,
200,B. Henrique,0.0,262,22,Bruno Henrique Pinto,bruno-henrique,Bruno Henrique,5,,0.0,6,14,8.21,5.31,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,False,90285,Flamengo,,3.0,19.0,18.0,6.0,7.0,27.0,4.0,,,3.0,2.0,,,,,,,,
201,P. Rocha,0.0,356,22,Pedro Rocha Neves,pedro-rocha,Pedro Rocha,5,,0.0,6,4,4.68,2.32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Mch7ZGz.png,False,90302,Fortaleza,1.0,,3.0,1.0,,,2.0,,,,,,,,,,,,,
202,Lincoln,1.0,280,22,Lincoln Henrique Oliveira dos Santos,lincoln,Lincoln,4,,-0.8,7,12,5.87,3.76,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,True,90303,Bragantino,1.0,2.0,12.0,7.0,,6.0,18.0,2.0,,,,,,,,,,,,
203,David,3.7,267,22,David Correa da Fonseca,david,David,5,,0.3,6,18,7.64,3.91,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,True,90309,Vasco,3.0,5.0,20.0,20.0,2.0,15.0,15.0,3.0,,1.0,6.0,,,,,,,,,
204,Rezende,0.0,265,22,Júlio César de Rezende Miranda,rezende,Rezende,4,,0.0,6,14,3.81,1.44,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,False,90449,Bahia,,3.0,13.0,10.0,,2.0,12.0,,,,,,,1.0,,,,,,
205,D. Gonçalves,1.1,286,22,Diego Gonçalves,diego-goncalves,Diego Gonçalves,5,,-0.14,6,3,3.31,0.67,https://s.sde.globo.com/media/person_role/2024/07/13/photo_220x220_schK1aa.png,True,90540,Juventude,,,2.0,1.0,,,,,,,1.0,,,,,,,,,
206,Caíque,0.0,286,22,Caique de Jesus Gonçalves,caique,Caíque,4,,0.0,5,16,4.32,2.84,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,False,90588,Juventude,,5.0,35.0,17.0,,2.0,26.0,,,,,,,,,,1.0,,,
207,M. Claus,4.0,286,22,Mateus Eduardo Claus,mateus-claus,Mateus Claus,1,,0.05,6,4,4.74,3.62,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,True,90590,Juventude,,3.0,,,,,1.0,,,,,,,,22.0,5.0,,,,
208,L. Mineiro,3.6,1371,22,Lucas da Silva Izidoro,lucas-mineiro,Lucas Mineiro,4,,0.58,7,14,3.09,1.6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,True,90634,Cuiabá,,2.0,22.0,32.0,,4.0,9.0,,,,1.0,,,,,,,,,
209,Matheuzinho,0.0,287,22,Matheus Martins Fogaça de Paulo,matheuzinho,Matheuzinho,4,,0.0,7,19,8.63,5.77,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,False,90703,Vitória,4.0,3.0,22.0,14.0,11.0,14.0,44.0,3.0,,,1.0,,,,,,,,,
210,L. Fernando,5.0,373,22,Luiz Fernando Moraes dos Santos,luiz-fernando,Luiz Fernando,5,,0.09,7,19,8.79,5.5,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,True,90715,Atlético-GO,,3.0,19.0,19.0,9.0,19.0,36.0,6.0,,,5.0,,,,,1.0,,,,
211,F. Bruno,2.6,262,22,Fabrício Bruno Soares de Faria,fabricio-bruno,Fabrício Bruno,3,,0.12,7,17,4.99,2.59,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,True,90768,Flamengo,,3.0,14.0,4.0,2.0,3.0,7.0,1.0,3.0,,,,,,,,,,,
212,C. Eduardo,2.0,287,22,Carlos Eduardo Ferreira de Souza,carlos-eduardo,Carlos Eduardo,5,,0.03,6,2,4.08,1.6,https://s.sde.globo.com/media/person_role/2024/07/23/photo_220x220.png,True,90917,Vitória,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
213,Z. Marcos,4.1,286,22,José Marcos Alves Luis,ze-marcos,Zé Marcos,3,,0.53,7,11,3.43,2.17,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,True,90943,Juventude,,4.0,10.0,6.0,1.0,3.0,14.0,,2.0,1.0,,,,,,,,,,
214,Cardona,0.0,356,22,Tomás Cardona,cardona,Cardona,3,,0.0,6,9,5.24,3.74,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,False,90947,Fortaleza,,1.0,9.0,11.0,,1.0,3.0,,5.0,,1.0,,,,,,,,,
215,Ronaldo,0.0,373,22,Ronaldo de Oliveira Strada,ronaldo,Ronaldo,1,,0.0,6,17,3.54,2.29,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,False,91101,Atlético-GO,1.0,2.0,,2.0,,,3.0,,1.0,1.0,,,,,53.0,27.0,,,,1.0
216,Everaldo,0.0,287,22,Everaldo Silva do Nascimento,everaldo,Everaldo,5,,0.0,6,4,4.91,2.72,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,False,91151,Vitória,,1.0,2.0,5.0,,,6.0,1.0,,,,,,,,,,,,
217,PK,0.0,287,22,Ítaro Patric Cardoso Calmon,pk,PK,2,,0.0,6,10,4.6,2.68,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,False,91190,Vitória,1.0,,10.0,7.0,1.0,3.0,3.0,,2.0,1.0,2.0,,,,,,,,,
218,Carballo,0.0,284,22,Felipe Ignacio Carballo Ares,carballo,Carballo,4,,0.0,6,9,2.74,0.86,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_w5Qzw1m.png,False,91254,Grêmio,,3.0,9.0,10.0,1.0,1.0,2.0,,,,,,,,,,,,,
219,E. Pulgar,3.0,262,22,Erick Antonio Pulgar Farfán,erick-pulgar,Erick Pulgar,4,,0.2,3,11,4.21,2.21,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,True,91473,Flamengo,,3.0,19.0,15.0,1.0,1.0,8.0,,,,,,,1.0,,,,,,
220,R. Sam,0.0,286,22,Rodrigo Eduardo da Silva,rodrigo-sam,Rodrigo Sam,3,,0.0,7,10,4.41,3.73,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,False,91509,Juventude,,4.0,14.0,11.0,,1.0,8.0,1.0,3.0,,,,,,,,,,,
221,Arboleda,5.0,276,22,Robert Abel Arboleda Escobar,arboleda,Arboleda,3,,-0.52,7,19,7.82,4.46,https://s.sde.globo.com/media/person_role/2024/05/07/photo_FORMATO_4juynn8.png,True,91573,São Paulo,,2.0,27.0,13.0,2.0,1.0,8.0,1.0,8.0,,1.0,,,1.0,,,,,,
222,Rony,2.2,275,22,Ronielson da Silva Barbosa,rony,Rony,5,,-0.96,6,21,6.85,3.74,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,True,91607,Palmeiras,,4.0,14.0,19.0,15.0,13.0,24.0,4.0,,,12.0,,,,,,,,,
223,Marlon,5.0,283,22,Marlon Rodrigues Xavier,marlon,Marlon,2,,-0.03,7,13,8.84,3.92,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,True,91706,Cruzeiro,,1.0,22.0,19.0,1.0,2.0,9.0,,6.0,2.0,,,,,,,,,,
224,D. Duarte,0.0,265,22,David de Duarte Macedo,david-duarte,David Duarte,3,,0.0,6,1,6.84,8.5,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,False,91772,Bahia,,,,,,,1.0,1.0,,,,,,,,,,,,
225,Z. Ivaldo,8.3,283,22,José Ivaldo Almeida Silva,ze-ivaldo,Zé Ivaldo,3,,0.93,7,17,6.27,4.06,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,True,91866,Cruzeiro,,7.0,14.0,17.0,8.0,11.0,14.0,,8.0,,2.0,,,,,,1.0,,,
226,Pavón,0.0,284,22,Cristian David Pavón,pavon,Pavón,5,,0.0,7,14,7.11,3.25,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,False,91908,Grêmio,2.0,3.0,10.0,8.0,9.0,9.0,6.0,1.0,,,1.0,,,,,,,,,
227,R. Díaz,4.07,264,22,Ramón Ángel Díaz,ramon-diaz,Ramón Díaz,6,,-0.33,7,10,8.1,5.05,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,True,92075,Corinthians,,,,,,,,,,,,,3.0,,,,,,,
228,Lyanco,0.0,282,22,Lyanco Evangelista Silveira Neves Vojnovic,lyanco,Lyanco,3,,0.0,6,2,7.26,2.65,https://s.sde.globo.com/media/person_role/2024/07/05/photo_FORMATO_3LfkT8x.png,False,92087,Atlético-MG,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,
229,A. Luís,2.0,1371,22,Andre Luis da Costa Alfredo,andre-luis,André Luís,5,,0.15,6,12,2.38,0.68,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,True,92146,Cuiabá,,2.0,4.0,6.0,1.0,1.0,11.0,,,,2.0,,,,,,,,,
230,Alario,1.7,285,22,Lucas Nicolás Alario,alario,Alario,5,,0.19,6,10,2.55,0.01,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,True,92149,Internacional,,4.0,1.0,12.0,2.0,5.0,4.0,,,,9.0,,,,,,1.0,,,
231,J. Ventura,8.21,286,22,Jair Ventura,jair-ventura,Jair Ventura,6,,0.89,7,14,5.98,3.6,https://s.sde.globo.com/media/person_role/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png,True,92180,Juventude,,,,,,,,,,,,,3.0,,,,,,,
232,Caíque,1.0,284,22,Caíque Luiz Santos da Purificação,caique,Caíque,1,,-0.25,6,2,3.74,1.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,True,92207,Grêmio,,1.0,,,,,,,,,,,,,6.0,3.0,,,,
233,R. Ely,0.0,284,22,Rodrigo Ely,rodrigo-ely,Rodrigo Ely,3,,0.0,6,13,5.78,3.92,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,False,92237,Grêmio,,4.0,11.0,8.0,4.0,7.0,8.0,1.0,4.0,,1.0,,,1.0,,,1.0,,,
234,A. Ramalho,3.8,264,22,André Ramalho Silva,andre-ramalho,André Ramalho,3,,0.13,7,5,6.41,2.76,https://s.sde.globo.com/media/person_role/2024/07/16/photo_FORMATO_XTr7yqw.png,True,92440,Corinthians,,1.0,8.0,6.0,1.0,1.0,2.0,,1.0,,,,,,,,1.0,,,
235,Raul,6.7,280,22,Raul Lô Gonçalves,raul,Raul,4,,0.2,7,13,3.17,2.24,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,True,92496,Bragantino,1.0,1.0,15.0,13.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
236,R. Kayzer,0.8,356,22,Renato Kayzer de Souza,renato-kayzer,Renato Kayzer,5,,-1.13,7,18,5.39,3.27,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,True,92696,Fortaleza,,1.0,10.0,22.0,5.0,10.0,18.0,4.0,,1.0,7.0,,,1.0,,,,,,
237,Deyverson,-0.1,282,22,Deyverson Brum Silva Acosta,deyverson,Deyverson,5,,-1.83,2,4,7.4,3.7,https://s.sde.globo.com/media/person_role/2024/08/07/photo_FORMATO_UNGMfhs.png,True,92708,Atlético-MG,,,1.0,2.0,2.0,1.0,7.0,1.0,,,5.0,,,,,,,,,
238,B. Rodrigues,0.0,275,22,Bruno Rafael Rodrigues do Nascimento,bruno-rodrigues,Bruno Rodrigues,5,,0.0,5,0,5.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,False,92811,Palmeiras,,,,,,,,,,,,,,,,,,,,
239,Borré,0.0,285,22,Rafael Santos Borré Maury,borre,Borré,5,,0.0,6,8,10.02,4.67,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,False,92854,Internacional,1.0,3.0,8.0,16.0,6.0,7.0,7.0,2.0,,,7.0,,,1.0,,,,1.0,,
240,M. Vital,0.0,283,22,Mateus da Silva Vital Assumpção,mateus-vital,Mateus Vital,4,,0.0,6,7,4.16,2.26,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,False,93108,Cruzeiro,,,1.0,,1.0,3.0,6.0,1.0,,,,,,,,,,,,
241,Wanderson,8.0,285,22,Wanderson Maciel Sousa Campos,wanderson,Wanderson,5,,1.18,6,12,5.84,1.99,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,True,93478,Internacional,,2.0,8.0,12.0,3.0,4.0,10.0,1.0,,,1.0,,,,,,,,,
242,B. Tubarão,0.0,373,22,Bruno Nunes de Barros,bruno-tubarao,Bruno Tubarão,2,,0.0,5,10,3.12,1.2,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_3mh3bUg.png,False,93637,Atlético-GO,,2.0,8.0,6.0,1.0,3.0,5.0,,,,,,,,,,,,,
243,G. Inocêncio,2.5,286,22,Gabriel de Souza Inocêncio,gabriel-inocencio,Gabriel Inocêncio,2,,-0.31,6,12,4.87,3.62,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,True,93702,Juventude,,2.0,19.0,19.0,,3.0,14.0,,4.0,,2.0,,,,,,1.0,,,
244,P. Henrique,6.6,267,22,Paulo Henrique de Oliveira Alves,paulo-henrique,Paulo Henrique,2,,0.25,7,20,6.64,4.47,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,True,93716,Vasco,,3.0,44.0,31.0,3.0,6.0,15.0,1.0,5.0,,,,,,,,,,,
245,M. Freitas,-0.4,263,22,Marlon Rodrigues Freitas,marlon-freitas,Marlon Freitas,4,,-0.31,7,19,3.65,1.98,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_IWdTjkg.png,True,93790,Botafogo,2.0,4.0,22.0,11.0,2.0,5.0,4.0,,,,,,,,,,,,,
246,Keiller,0.0,267,22,Keiller da Silva Nunes,keiller,Keiller,1,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,False,93834,Vasco,,,,,,,,,,,,,,,,,,,,
247,Cleiton,0.0,280,22,Cleiton Schwengber,cleiton,Cleiton,1,,0.0,7,14,6.44,3.52,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,False,93882,Bragantino,,1.0,,1.0,,,1.0,,3.0,1.0,,,,,45.0,14.0,,,,1.0
