,atletas.media_num,atletas.pontos_num,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.status_id,atletas.atleta_id,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.clube_id,atletas.entrou_em_campo,atletas.nome,DS,FC,FF,FS,G,I,A,CA,FD,FT,SG,CV,V,DE,GS,PC,PP,PS,DP,GC
76,2.76,5.1,4,,Luiz Gustavo,7,71536,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,L. Gustavo,5.38,São Paulo,luiz-gustavo,0.43,19,12,276,True,Luiz Gustavo Dias,19.0,17.0,7.0,9.0,,,,3.0,7.0,,,,,,,,,,,
77,5.0,0.5,1,,Weverton,7,71631,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,Weverton,10.23,Palmeiras,weverton,-1.04,19,19,275,True,Weverton Pereira da Silva,1.0,,,4.0,,,1.0,1.0,,,9.0,,,57.0,14.0,,,,,
78,3.0,0.0,2,,Raúl Cáceres,7,71680,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,R. Cáceres,5.24,Vitória,raul-caceres,0.0,19,8,287,False,Raúl Alejandro Cáceres Bogado,12.0,6.0,,3.0,,1.0,1.0,,,,1.0,,,,,,,,,
79,4.61,0.2,3,,Gustavo Gómez,7,71684,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,G. Gómez,9.02,Palmeiras,gustavo-gomez,-0.85,19,11,275,True,Gustavo Raúl Gómez Portillo,9.0,20.0,7.0,9.0,1.0,4.0,2.0,4.0,1.0,,5.0,,,,,1.0,,,,1.0
80,2.63,0.5,2,,Santiago Arias,7,71701,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,S. Arias,5.14,Bahia,santiago-arias,-0.18,19,8,265,True,Santiago Arias Naranjo,6.0,10.0,1.0,12.0,,2.0,,1.0,1.0,,2.0,,,,,,,,,
81,3.48,0.0,4,,Gabriel Pires,6,71898,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,G. Pires,5.14,Fluminense,gabriel-pires,0.0,19,5,266,False,Gabriel Appelt Pires,13.0,8.0,2.0,5.0,,1.0,,1.0,1.0,,,,,,,,,,,
82,2.27,0.0,1,,Everson,5,72294,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,Everson,8.14,Atlético-MG,everson,0.0,19,9,282,False,Everson Felipe Marques Pires,,,,3.0,,,,3.0,,,3.0,,,17.0,10.0,,,,,
83,0.0,0.0,1,,Felipe Alves,6,72372,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,F. Alves,5.0,Fluminense,felipe-alves,0.0,19,0,266,False,Felipe Alves Raymundo,,,,,,,,,,,,,,,,,,,,
84,1.1,0.0,4,,Bernard,7,72460,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_hLeY8f6.png,Bernard,10.23,Atlético-MG,bernard,0.0,19,2,282,False,Bernard Anício Caldeira Duarte,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,
85,0.0,0.0,4,,Gustavo Campanharo,6,72497,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,G. Campanharo,4.5,Atlético-GO,gustavo-campanharo,0.0,19,1,373,False,Gustavo Campanharo,,,,,,,,,,,,,,,,,,,,
