,atletas.atleta_id,atletas.rodada_id,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.apelido_abreviado,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.slug,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.clube_id,atletas.nome,atletas.apelido,atletas.clube.id.full.name,CA,DS,FC,FD,FF,FS,SG,A,CV,FT,G,I,DE,GS,V,PC,PP,DP,PS,GC
14,42234,25,5.05,True,10.09,Cássio,-1.1,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,1.0,cassio,11,,7,1,283,Cássio Roberto Ramos,Cássio,Cruzeiro,2.0,,,,,3.0,4.0,,,,,,47.0,11.0,,,,,,
15,42500,25,3.75,True,6.71,Fagner,0.26,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,3.6,fagner,11,,6,2,264,Fagner Conserva Lemos,Fagner,Corinthians,1.0,9.0,1.0,1.0,,5.0,4.0,1.0,,1.0,,,,,,,,,,
16,45125,25,5.53,True,9.95,Tite,-0.33,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,2.45,tite,24,,7,6,262,Adenor Leonardo Bachi,Tite,Flamengo,,,,,,,,,,,,,,,13.0,,,,,
17,50347,25,0.28,True,2.45,A. Kardec,-0.12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,0.0,alan-kardec,7,,6,5,282,Alan Kardec de Sousa Pereira Júnior,Alan Kardec,Atlético-MG,,,2.0,,2.0,2.0,,,,,,,,,,,,,,
18,50353,25,2.42,False,4.21,Titi,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,0.0,titi,13,,6,3,356,Christian Chagas Tarouco,Titi,Fortaleza,5.0,18.0,22.0,,2.0,10.0,3.0,,,,,1.0,,,,,,,,
19,51413,25,2.88,True,4.64,Walter,0.2,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,1.0,walter,20,,7,1,1371,Walter Leandro Capeloza Artune,Walter,Cuiabá,1.0,,,,,1.0,3.0,,,,,,75.0,32.0,,,,,,
20,51772,25,3.99,True,8.19,E. Ribeiro,-0.13,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,2.6,everton-ribeiro,23,,7,4,265,Everton Augusto de Barros Ribeiro,Everton Ribeiro,Bahia,1.0,34.0,19.0,4.0,7.0,39.0,,4.0,,,1.0,1.0,,,,,,,,
21,52271,25,2.25,False,6.07,Fernando,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,0.0,fernando,11,,7,4,285,Fernando Francisco Reges,Fernando,Internacional,3.0,18.0,10.0,,,3.0,,,,,1.0,2.0,,,,,,,,
22,52827,25,2.38,True,5.44,D. Luiz,-0.44,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,-0.3,david-luiz,16,,6,3,262,David Luiz Moreira Marinho,David Luiz,Flamengo,3.0,6.0,14.0,3.0,5.0,5.0,2.0,,,1.0,2.0,,,,,1.0,,,,
23,60793,25,0.5,False,4.69,A. Teixeira,0.0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,0.0,alex-teixeira,1,,6,4,267,Alex Teixeira Santos,Alex Teixeira,Vasco,,,,,,1.0,,,,,,,,,,,,,,
24,60803,25,0.43,False,5.08,Souza,0.0,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,0.0,souza,3,,6,4,267,Josef de Souza Dias,Souza,Vasco,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,
25,61106,25,1.57,False,4.17,Cicinho,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,0.0,cicinho,4,,6,2,265,Neuciano de Jesus Gusmão,Cicinho,Bahia,,1.0,3.0,,,2.0,1.0,,,,,,,,,,,,,
26,61188,25,1.78,False,3.61,Gilberto,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,0.0,gilberto,13,,5,5,286,Gilberto Oliveira Souza Júnior,Gilberto,Juventude,1.0,4.0,8.0,4.0,8.0,6.0,,,,,1.0,4.0,,,,,,,,
27,61228,25,4.13,False,5.96,Fabrício,0.0,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,0.0,fabricio,8,,6,1,285,Fabrício Barros Santana,Fabrício,Internacional,,,,,,,3.0,,,,,,26.0,8.0,,,,,,
28,61987,25,0.0,False,8.0,A. Sandro,0.0,https://s.sde.globo.com/media/person_role/2024/08/26/photo_220x220_fiP7yWy.png,0.0,alex-sandro,0,,2,2,262,Alex Sandro Lobo Silva,Alex Sandro,Flamengo,,,,,,,,,,,,,,,,,,,,
29,62977,25,3.59,True,7.49,Ganso,0.47,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,5.9,ganso,20,,7,4,266,Paulo Henrique Chagas de Lima,Ganso,Fluminense,9.0,17.0,12.0,5.0,2.0,25.0,,4.0,,,3.0,,,,,,,,,
30,63013,25,4.47,True,7.94,M. Rocha,0.76,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,9.2,marcos-rocha,19,,7,2,275,Marcos Luis Rocha Aquino,Marcos Rocha,Palmeiras,2.0,26.0,16.0,,2.0,8.0,10.0,1.0,,,,1.0,,,,,,,,
31,63110,25,3.51,True,5.17,A. Ruschel,0.3,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,5.5,alan-ruschel,14,,7,2,286,Alan Luciano Ruschel,Alan Ruschel,Juventude,2.0,25.0,18.0,,2.0,20.0,2.0,,1.0,,1.0,,,,,,,,,
32,63289,25,1.74,True,4.09,Edenílson,0.04,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,0.5,edenilson,17,,6,4,284,Edenílson Andrade dos Santos,Edenílson,Grêmio,3.0,9.0,13.0,4.0,1.0,19.0,,,,1.0,1.0,2.0,,,,,,,,
33,68685,25,2.38,True,8.84,A. Patrick,-0.05,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,1.6,alan-patrick,9,,2,4,285,Alan Patrick Lourenço,Alan Patrick,Internacional,3.0,6.0,8.0,5.0,7.0,8.0,,,,,1.0,,,,,,1.0,,,
