,atletas.variacao_num,atletas.jogos_num,atletas.status_id,atletas.nome,atletas.apelido,atletas.rodada_id,atletas.foto,atletas.preco_num,atletas.clube_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.media_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.slug,atletas.atleta_id,CA,DS,FC,FF,FS,G,I,SG,A,CV,FD,DE,GS,FT,DP,PC,PP,PS,V,GC
40,0.0,5,5,Mário Sérgio Santos Costa,Marinho,9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,4.49,356,Fortaleza,Marinho,0.0,1.84,False,5,,marinho,68952,1.0,3.0,5.0,6.0,5.0,,4.0,,,,1.0,,,,,,,,,
41,0.03,6,6,Marcos Gabriel do Nascimento,Marquinhos Gabriel,9,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,3.87,288,Criciúma,M. Gabriel,1.2,1.65,True,4,,marquinhos-gabriel,68954,1.0,4.0,2.0,2.0,3.0,,,,,,3.0,,,,,,,,,
42,0.5,4,5,Lucas Pacheco Affini,Lucas Sasha,9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,5.62,356,Fortaleza,L. Sasha,4.1,2.6,True,4,,lucas-sasha,68991,,9.0,3.0,,1.0,,,,,,,,,,,,,,,
43,0.0,0,6,Aderbar Melo dos Santos Neto,Santos,9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,8.0,356,Fortaleza,Santos,0.0,0.0,False,1,,santos,69012,,,,,,,,,,,,,,,,,,,,
44,-0.22,6,7,Manoel Messias Silva Carvalho,Manoel,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,2.96,266,Fluminense,Manoel,-0.3,0.25,True,3,,manoel,69014,1.0,2.0,7.0,,2.0,,,,,,1.0,,,,,,,,,
45,0.0,0,6,Muriel Gustavo Becker,Muriel,9,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,4.0,287,Vitória,Muriel,0.0,0.0,False,1,,muriel,69041,,,,,,,,,,,,,,,,,,,,
46,0.0,0,6,Danilo Fernandes Batista,Danilo Fernandes,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,4.0,265,Bahia,D. Fernandes,0.0,0.0,False,1,,danilo-fernandes,69051,,,,,,,,,,,,,,,,,,,,
47,0.0,2,6,James David Rodríguez Rubio,James Rodríguez,9,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,4.84,276,São Paulo,J. Rodríguez,0.0,-0.05,False,4,,james-rodriguez,69063,,,,,,,1.0,,,,,,,,,,,,,
48,0.0,6,6,Eduardo Jesús Vargas Rojas,Vargas,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5.65,282,Atlético-MG,Vargas,0.0,5.42,False,5,,vargas,69102,,2.0,2.0,4.0,3.0,3.0,2.0,,,,1.0,,,,,,,1.0,,
49,-0.55,8,6,Pablo Felipe Teixeira,Pablo,9,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,6.18,293,Athlético-PR,Pablo,-1.3,2.86,True,5,,pablo,69138,2.0,3.0,8.0,3.0,2.0,2.0,,,,,1.0,,,1.0,,,,,,
