,atletas.foto,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.pontos_num,atletas.slug,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.rodada_id,atletas.preco_num,atletas.clube_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,FT,CV,PS,PC,PP,DP,V,GC
31,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,13,2,Alan Luciano Ruschel,4.1,alan-ruschel,-0.13,A. Ruschel,Alan Ruschel,,True,Juventude,6,63110,3.36,23,4.87,286,,2.0,21.0,17.0,,2.0,18.0,1.0,,2.0,,,,1.0,,,,,,
32,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,15,4,Edenílson Andrade dos Santos,0.0,edenilson,0.0,Edenílson,Edenílson,,False,Grêmio,6,63289,1.96,23,4.73,284,,3.0,9.0,12.0,4.0,1.0,18.0,1.0,2.0,,,,1.0,,,,,,,
33,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,7,4,Alan Patrick Lourenço,0.0,alan-patrick,0.0,A. Patrick,Alan Patrick,,False,Internacional,6,68685,2.83,23,9.81,285,,3.0,6.0,8.0,5.0,5.0,8.0,1.0,,,,,,,,,1.0,,,
34,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,10,4,Carlos Eduardo de Oliveira Alves,0.0,eduardo,0.0,Eduardo,Eduardo,,False,Botafogo,5,68708,3.2,23,6.26,263,1.0,1.0,6.0,8.0,3.0,4.0,9.0,2.0,1.0,,,,,,,,1.0,,,
35,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,1,1,Marcelo Lomba do Nascimento,0.0,marcelo-lomba,0.0,M. Lomba,Marcelo Lomba,,False,Palmeiras,6,68872,-1.0,23,4.99,275,,,,,,,,,,,1.0,2.0,,,,,,,,
36,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,3,4,Philippe Coutinho Correia,0.0,philippe-coutinho,0.0,P. Coutinho,Philippe Coutinho,,False,Vasco,6,68899,1.73,23,6.82,267,,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,
37,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,9,5,Eduardo Pereira Rodrigues,0.0,dudu,0.0,Dudu,Dudu,,False,Palmeiras,6,68920,1.29,23,5.77,275,,,3.0,3.0,3.0,1.0,9.0,,,,,,,,,,,,,
38,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,14,1,Rafael Pires Monteiro,4.0,rafael,-0.23,Rafael,Rafael,,True,São Paulo,7,68928,3.35,23,6.86,276,,1.0,,,,,,,,6.0,31.0,13.0,,,,,,,,
39,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,5,1,Rafael Cabral Barbosa,0.0,rafael-cabral,0.0,R. Cabral,Rafael Cabral,,False,Grêmio,6,68940,2.5,23,6.8,284,,,,,,,1.0,,,1.0,15.0,8.0,,,,,,,,
40,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,11,5,Mário Sérgio Santos Costa,0.0,marinho,0.0,Marinho,Marinho,,False,Fortaleza,6,68952,3.1,23,4.91,356,1.0,2.0,10.0,18.0,4.0,11.0,23.0,,6.0,,,,,,,,,,,
41,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,15,4,Marcos Gabriel do Nascimento,2.0,marquinhos-gabriel,0.31,M. Gabriel,Marquinhos Gabriel,,True,Criciúma,6,68954,0.83,23,3.03,288,,3.0,5.0,7.0,3.0,5.0,8.0,,1.0,,,,,,,,,,,
42,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,16,4,Lucas Pacheco Affini,2.6,lucas-sasha,0.2,L. Sasha,Lucas Sasha,,True,Fortaleza,6,68991,2.84,23,5.07,356,,2.0,39.0,30.0,2.0,1.0,13.0,,,,,,,,,,,,,
43,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,0,1,Aderbar Melo dos Santos Neto,0.0,santos,0.0,Santos,Santos,,False,Fortaleza,6,69012,0.0,23,8.0,356,,,,,,,,,,,,,,,,,,,,
44,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,6,3,Manoel Messias Silva Carvalho,0.0,manoel,0.0,Manoel,Manoel,,False,Fluminense,6,69014,0.25,23,2.96,266,,1.0,2.0,7.0,1.0,,2.0,,,,,,,,,,,,,
45,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,0,1,Muriel Gustavo Becker,0.0,muriel,0.0,Muriel,Muriel,,False,Vitória,6,69041,-1.0,23,3.52,287,,2.0,,,,,,,,,,,,,,,,,,
