,atletas.jogos_num,atletas.nome,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.slug,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PP,PS,DE,GS,SG,V,PC,DP,GC
41,18,Lucas Pacheco Affini,Lucas Sasha,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,6,0.0,68991,29,L. Sasha,356,3.57,,0.0,6.5,False,Fortaleza,4,lucas-sasha,,2.0,,53.0,33.0,2.0,1.0,19.0,,,,,,,,,,,,
42,0,Aderbar Melo dos Santos Neto,Santos,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,6,0.0,69012,29,Santos,356,0.0,,0.0,8.0,False,Fortaleza,1,santos,,,,,,,,,,,,,,,,,,,,
43,8,Manoel Messias Silva Carvalho,Manoel,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,2,4.5,69014,29,Manoel,266,0.9,,0.63,3.63,True,Fluminense,3,manoel,,2.0,,3.0,7.0,1.0,,3.0,,,,,,,,1.0,,,,
44,1,Muriel Gustavo Becker,Muriel,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,6,0.0,69041,29,Muriel,287,6.5,,0.0,5.94,False,Vitória,1,muriel,,2.0,,,,,,1.0,,,,,,1.0,,1.0,,,,
45,0,Danilo Fernandes Batista,Danilo Fernandes,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,6,0.0,69051,29,D. Fernandes,265,-1.0,,0.0,3.54,False,Bahia,1,danilo-fernandes,,1.0,,,,,,,,,,,,,,,,,,
46,17,Eduardo Jesús Vargas Rojas,Vargas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,6,13.7,69102,29,Vargas,282,4.61,,1.96,7.47,True,Atlético-MG,5,vargas,1.0,,,6.0,4.0,4.0,7.0,15.0,,6.0,5.0,,2.0,,,,,,,
47,19,Pablo Felipe Teixeira,Pablo,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,7,0.0,69138,29,Pablo,293,1.89,,0.0,5.25,False,Athlético-PR,5,pablo,1.0,5.0,,7.0,20.0,3.0,10.0,6.0,1.0,2.0,3.0,,,,,,,,,
48,9,Allan Marques Loureiro,Allan,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,6,-0.3,69140,29,Allan,263,1.89,,-0.56,5.09,True,Botafogo,4,allan,1.0,2.0,,11.0,9.0,,,7.0,,,,,,,,,,,,
49,1,Pablo Nascimento Castro,Pablo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,6,0.0,69165,29,Pablo,263,0.0,,0.0,3.22,False,Botafogo,3,pablo,,,,,,,,,,,,,,,,,,,,
50,16,Maycon Vinícius Ferreira da Cruz,Nikão,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,6,1.0,69705,29,Nikão,293,4.68,,-0.3,8.21,True,Athlético-PR,4,nikao,1.0,,,15.0,5.0,10.0,13.0,24.0,1.0,2.0,2.0,,,,,,,,,
51,20,Lucas Rodrigues Moura da Silva,Lucas Moura,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,7,3.2,70164,29,L. Moura,276,6.49,,-1.28,13.4,True,São Paulo,4,lucas-moura,4.0,3.0,,27.0,18.0,8.0,7.0,45.0,,6.0,,,,,,,,,,
52,0,Rafael Pereira da Silva,Rafael,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,5,0.0,70171,29,Rafael,263,0.0,,0.0,3.0,False,Botafogo,2,rafael,,,,,,,,,,,,,,,,,,,,
53,12,Fábio Pereira da Silva,Fábio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,6,-3.0,70172,29,Fábio,284,2.79,,-0.38,5.0,False,Grêmio,2,fabio,,1.0,1.0,7.0,5.0,,2.0,14.0,1.0,,,,,,,4.0,,1.0,,
54,22,Luiz Gustavo de Almeida Pinto,Gustavo,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,7,8.0,70216,29,Gustavo,288,3.32,,0.49,6.34,True,Criciúma,1,gustavo,,2.0,1.0,,1.0,,,1.0,,,,,,75.0,31.0,4.0,,,2.0,
55,6,Bruno Uvini Bortolança,Bruno Uvini,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,6,0.0,70221,29,B. Uvini,287,0.48,,0.0,2.22,False,Vitória,3,bruno-uvini,,1.0,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,
