,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,DE,GS,CA,FS,SG,G,DS,FC,FF,V,I,FD,PC,PS,A,CV,FT,PP,PI
186,Ayrton Lucas,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_vtzXktM.png,ayrton-lucas,1,A. Lucas,1,262,3.9,7,3.9,,7.13,0.13,2,88393,True,Ayrton Lucas Dantas de Medeiros,,,,3.0,,,,2.0,,,,,,,,,1.0,,
187,Barreto,Criciúma,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ppF3oM9.png,barreto,1,Barreto,1,288,3.4,7,3.4,,3.67,0.67,4,89224,True,Gustavo Bonatto Barreto,,,,2.0,,,3.0,4.0,,,,,,,,,,,
188,Gerson,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_mBAg0JY.png,gerson,1,Gerson,1,262,2.1,6,2.1,,6.5,-0.5,4,89256,True,Gerson Santos da Silva,,,,,,,2.0,1.0,,,,,,,,,,,
189,João Pedro,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,joao-pedro,1,J. Pedro,1,284,1.0,7,1.0,,5.29,-0.71,2,89273,True,João Pedro Maturano dos Santos,,,,1.0,,,,1.0,1.0,,,,,,,,,,
190,William,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,william,1,William,1,283,9.9,7,9.9,,10.07,2.07,2,89275,True,Willian de Asevedo Furtado,,,,1.0,,,3.0,,1.0,,,,,,1.0,,,,
191,Erick,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,erick,1,Erick,1,286,0.6,7,0.6,,3.5,-0.5,5,89467,True,Erick Samuel Correa Farias,,,,,,,,,1.0,,2.0,,,,,,,,
192,Igor Rabello,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,igor-rabello,1,I. Rabello,1,282,5.5,2,5.5,,6.87,0.87,3,89493,True,Igor Rabello da Costa,,,,1.0,1.0,,,,,,,,,,,,,,
193,Thiago Maia,Internacional,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,thiago-maia,1,T. Maia,1,285,2.4,7,2.4,,5.78,-0.22,4,89637,True,Thiago Maia Alencar,,,,,,,1.0,,,,,1.0,,,,,,,
194,Rodrigo Andrade,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_j4J1Kog.png,rodrigo-andrade,1,R. Andrade,1,287,1.7,6,1.7,,3.07,0.07,4,89646,True,José Rodrigo Andrade Ramos,,,,1.0,,,1.0,,,,,,,,,,,,
195,Iury Castilho,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_5wPuqrz.png,iury-castilho,1,I. Castilho,1,287,0.2,6,0.2,,3.36,-0.64,5,89695,True,Iury Lirio Freitas de Castilho,,,,1.0,,,,1.0,,,,,,,,,,,
196,Calleri,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,calleri,1,Calleri,1,276,2.3,7,2.3,,13.97,-2.03,5,89840,True,Jonathan Calleri,,,,1.0,,,1.0,,1.0,,2.0,,,,,,,,
197,Cristaldo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,cristaldo,1,Cristaldo,1,284,2.6,7,2.6,,9.96,-1.04,4,89846,True,Franco Cristaldo,,,,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,
198,Dodi,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,dodi,0,Dodi,1,284,0.0,6,0.0,,4.0,0.0,4,89883,False,Douglas Moreira Fagundes,,,,,,,,,,,,,,,,,,,
199,Everton Galdino,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ywqLzxA.png,everton-galdino,0,E. Galdino,1,284,0.0,6,0.0,,4.0,0.0,5,89918,False,Everton Galdino Moreira,,,,,,,,,,,,,,,,,,,
200,Bruno Pacheco,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,bruno-pacheco,1,B. Pacheco,1,356,3.3,7,3.3,,9.39,-0.61,2,90061,True,Bruno de Jesus Pacheco,,,,2.0,,,2.0,3.0,1.0,,,,,,,,,,
201,Bruno Henrique,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,bruno-henrique,1,B. Henrique,1,262,0.6,7,0.6,,8.43,-1.57,5,90285,True,Bruno Henrique Pinto,,,,,,,,1.0,,,1.0,,,1.0,,,,,
202,Pedro Rocha,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Mch7ZGz.png,pedro-rocha,0,P. Rocha,1,356,0.0,6,0.0,,5.0,0.0,5,90302,False,Pedro Rocha Neves,,,,,,,,,,,,,,,,,,,
203,Lincoln,Bragantino,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,lincoln,0,Lincoln,1,280,0.0,6,0.0,,7.0,0.0,4,90303,False,Lincoln Henrique Oliveira dos Santos,,,,,,,,,,,,,,,,,,,
204,David,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,david,1,David,1,267,9.4,7,9.4,,8.25,2.25,5,90309,True,David Correa da Fonseca,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
205,Rezende,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,rezende,1,Rezende,1,265,7.0,6,7.0,,5.76,1.76,4,90449,True,Júlio César de Rezende Miranda,,,,2.0,,,5.0,,,,,,,,,,,,
206,Caíque,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,caique,1,Caíque,1,286,3.8,7,3.8,,3.81,0.81,4,90588,True,Caique de Jesus Gonçalves,,,1.0,2.0,,,3.0,2.0,1.0,,,,,,,,,,
207,Mateus Claus,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,mateus-claus,0,M. Claus,1,286,0.0,6,0.0,,3.0,0.0,1,90590,False,Mateus Eduardo Claus,,,,,,,,,,,,,,,,,,,
208,Lucas Mineiro,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,lucas-mineiro,1,L. Mineiro,1,1371,0.2,6,0.2,,2.54,-0.46,4,90634,True,Lucas da Silva Izidoro,,,,1.0,,,,1.0,,,,,,,,,,,
209,Matheuzinho,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,matheuzinho,1,Matheuzinho,1,287,4.0,6,4.0,,4.7,0.7,4,90703,True,Matheus Martins Fogaça de Paulo,,,,2.0,,,1.0,2.0,3.0,,,,,,,,,,
210,Luiz Fernando,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,luiz-fernando,1,L. Fernando,1,373,9.9,7,9.9,,8.42,2.42,5,90715,True,Luiz Fernando Moraes dos Santos,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,
211,Fabrício Bruno,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,fabricio-bruno,1,F. Bruno,1,262,-1.3,7,-1.3,,5.3,-1.7,3,90768,True,Fabrício Bruno Soares de Faria,,,1.0,,,,,1.0,,,,,,,,,,,
212,Zé Marcos,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,ze-marcos,1,Z. Marcos,1,286,-0.3,7,-0.3,,1.54,-0.46,3,90943,True,José Marcos Alves Luis,,,1.0,2.0,,,,1.0,,,,,,,,,,,
213,Cardona,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,cardona,0,Cardona,1,356,0.0,6,0.0,,2.0,0.0,3,90947,False,Tomás Cardona,,,,,,,,,,,,,,,,,,,
214,Ronaldo,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,ronaldo,1,Ronaldo,1,373,-2.0,7,-2.0,,2.58,-1.42,1,91101,True,Ronaldo de Oliveira Strada,,2.0,,,,,,,,,,,,,,,,,
215,Everaldo,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,everaldo,0,Everaldo,1,287,0.0,5,0.0,,5.0,0.0,5,91151,False,Everaldo Silva do Nascimento,,,,,,,,,,,,,,,,,,,
216,PK,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,pk,0,PK,1,287,0.0,6,0.0,,3.0,0.0,2,91190,False,Ítaro Patric Cardoso Calmon,,,,,,,,,,,,,,,,,,,
217,Carballo,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_w5Qzw1m.png,carballo,0,Carballo,1,284,0.0,6,0.0,,4.0,0.0,4,91254,False,Felipe Ignacio Carballo Ares,,,,,,,,,,,,,,,,,,,
218,Erick Pulgar,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,erick-pulgar,1,E. Pulgar,1,262,0.6,7,0.6,,5.15,-0.85,4,91473,True,Erick Antonio Pulgar Farfán,,,,,,,1.0,2.0,,,,,,,,,,,
219,Rodrigo Sam,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,rodrigo-sam,1,R. Sam,1,286,-0.4,2,-0.4,,2.33,-0.67,3,91509,True,Rodrigo Eduardo da Silva,,,1.0,,,,1.0,2.0,,,,,,,,,,,
220,Eder,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_8rXUJzI.png,eder,1,Eder,1,288,1.2,2,1.2,,4.53,-0.47,5,91521,True,Eder Citadin Martins,,,,2.0,,,,2.0,1.0,,,,,,,,,,
221,Arboleda,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_BatY9Y1.png,arboleda,1,Arboleda,1,276,2.9,7,2.9,,7.6,-0.4,3,91573,True,Robert Abel Arboleda Escobar,,,,1.0,,,1.0,,,,,1.0,,,,,,,
222,Rony,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,rony,1,Rony,1,275,6.0,6,6.0,,8.69,0.69,5,91607,True,Ronielson da Silva Barbosa,,,,3.0,,,3.0,3.0,1.0,,2.0,1.0,,,,,,,
223,Marlon,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,marlon,1,Marlon,1,283,2.3,7,2.3,,12.32,-1.68,2,91706,True,Marlon Rodrigues Xavier,,,,1.0,,,2.0,2.0,,,,,,,,,,,
224,David Duarte,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,david-duarte,0,D. Duarte,1,265,0.0,6,0.0,,4.0,0.0,3,91772,False,David de Duarte Macedo,,,,,,,,,,,,,,,,,,,
225,Zé Ivaldo,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,ze-ivaldo,1,Z. Ivaldo,1,283,-0.1,7,-0.1,,4.08,-0.92,3,91866,True,José Ivaldo Almeida Silva,,,1.0,,,,1.0,1.0,,,,,,,,,,,
226,Pavón,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,pavon,1,Pavón,1,284,1.2,7,1.2,,7.0,-1.0,5,91908,True,Cristian David Pavón,,,,,,,1.0,,,,,,,,,,,,
227,Ramón Díaz,Vasco,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,ramon-diaz,1,R. Díaz,1,267,5.2,7,5.2,,7.59,0.59,6,92075,True,Ramón Ángel Díaz,,,,,,,,,,1.0,,,,,,,,,
228,André Luís,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,andre-luis,1,A. Luís,1,1371,0.7,6,0.7,,3.54,-0.46,5,92146,True,Andre Luis da Costa Alfredo,,,,2.0,,,,1.0,,,,,,,,,,,
229,Alario,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,alario,1,Alario,1,285,-1.4,6,-1.4,,5.26,-1.74,5,92149,True,Lucas Nicolás Alario,,,1.0,,,,,1.0,,,1.0,,,,,,,,
230,Jair Ventura,Atlético-GO,https://s.sde.globo.com/media/person_role/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png,jair-ventura,1,J. Ventura,1,373,1.83,7,1.83,,4.76,-0.24,6,92180,True,Jair Ventura,,,,,,,,,,,,,,,,,,,
231,Caíque,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,caique,0,Caíque,1,284,0.0,6,0.0,,4.0,0.0,1,92207,False,Caíque Luiz Santos da Purificação,,,,,,,,,,,,,,,,,,,
232,Rodrigo Ely,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,rodrigo-ely,1,R. Ely,1,284,1.7,6,1.7,,3.89,-0.11,3,92237,True,Rodrigo Ely,,,,3.0,,,,2.0,1.0,,,,,,,,,,
233,Raul,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,raul,1,Raul,1,280,-0.6,7,-0.6,,2.26,-0.74,4,92496,True,Raul Lô Gonçalves,,,,,,,,2.0,,,,,,,,,,,
234,Renato Kayzer,Fortaleza,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,renato-kayzer,1,R. Kayzer,1,356,9.6,6,9.6,,6.67,2.67,5,92696,True,Renato Kayzer de Souza,,,,2.0,,1.0,,,1.0,,2.0,,,,,,,,
235,Deyverson,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_K9KAkJa.png,deyverson,1,Deyverson,1,1371,4.3,6,4.3,,8.09,0.09,5,92708,True,Deyverson Brum Silva Acosta,,,,4.0,,,1.0,,,,1.0,1.0,,,,,,,
236,Bruno Rodrigues,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,bruno-rodrigues,0,B. Rodrigues,1,275,0.0,5,0.0,,5.0,0.0,5,92811,False,Bruno Rafael Rodrigues do Nascimento,,,,,,,,,,,,,,,,,,,
237,Borré,Internacional,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,borre,1,Borré,1,285,5.9,7,5.9,,12.77,-0.23,5,92854,True,Rafael Santos Borré Maury,,,,,,,1.0,5.0,2.0,,2.0,4.0,,,,,,,
238,Palacios,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_r6zWOHc.png,palacios,0,Palacios,1,283,0.0,6,0.0,,3.0,0.0,2,92855,False,Helibelton Palacios Zapata,,,,,,,,,,,,,,,,,,,
239,Mateus Vital,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,mateus-vital,1,M. Vital,1,283,0.8,2,0.8,,3.57,-0.43,4,93108,True,Mateus da Silva Vital Assumpção,,,,,,,,,1.0,,,,,,,,,,
240,Wanderson,Internacional,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,wanderson,1,Wanderson,1,285,1.6,7,1.6,,7.96,-1.04,5,93478,True,Wanderson Maciel Sousa Campos,,,,2.0,,,1.0,2.0,,,,,,,,,,,
241,Bruno Tubarão,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_3mh3bUg.png,bruno-tubarao,0,B. Tubarão,1,373,0.0,7,0.0,,4.0,0.0,2,93637,False,Bruno Nunes de Barros,,,,,,,,,,,,,,,,,,,
242,Gabriel Inocêncio,Juventude,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,gabriel-inocencio,1,G. Inocêncio,1,286,-1.2,7,-1.2,,2.04,-0.96,2,93702,True,Gabriel de Souza Inocêncio,,,,,,,,4.0,,,,,,,,,,,
243,Paulo Henrique,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,paulo-henrique,1,P. Henrique,1,267,3.1,7,3.1,,5.2,0.2,2,93716,True,Paulo Henrique de Oliveira Alves,,,,1.0,,,2.0,2.0,1.0,,,,,,,,,,
244,Marlon Freitas,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_vbqyTPv.png,marlon-freitas,1,M. Freitas,1,263,0.0,6,0.0,,4.11,-0.89,4,93790,True,Marlon Rodrigues Freitas,,,,,,,,,,,,,,,,,,,
245,Danielzinho,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_DHkocIw.png,danielzinho,0,Danielzinho,1,373,0.0,6,0.0,,4.0,0.0,4,93791,False,Daniel Sampaio Simões,,,,,,,,,,,,,,,,,,,
246,Keiller,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,keiller,0,Keiller,1,267,0.0,6,0.0,,4.0,0.0,1,93834,False,Keiller da Silva Nunes,,,,,,,,,,,,,,,,,,,
247,Cleiton,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,cleiton,1,Cleiton,1,280,3.0,2,3.0,,5.99,-0.01,1,93882,True,Cleiton Schwengber,4.0,1.0,,,,,,,,,,,,,,,,,
248,Matheusinho,Criciúma,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,matheusinho,1,Matheusinho,1,288,0.8,6,0.8,,3.57,-0.43,4,93886,True,Matheus Leonardo Sales Cardoso,,,,,,,,,1.0,,,,,,,,,,
249,Breno Lopes,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_rJYZcuY.png,breno-lopes,0,B. Lopes,1,275,0.0,6,0.0,,5.0,0.0,5,93988,False,Breno Henrique Vasconcelos Lopes,,,,,,,,,,,,,,,,,,,
250,John Victor,Botafogo,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_Gl9YNRP.png,john-victor,0,J. Victor,1,263,0.0,6,0.0,,7.0,0.0,1,94044,False,John Victor Maciel Furtado,,,,,,,,,,,,,,,,,,,
251,Matheus Fernandes,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_sgQrNPa.png,matheus-fernandes,0,M. Fernandes,1,280,0.0,6,0.0,,5.0,0.0,4,94067,False,Matheus Fernandes Siqueira,,,,,,,,,,,,,,,,,,,
252,Felipe Vizeu,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_CKkxA4v.png,felipe-vizeu,0,F. Vizeu,1,288,0.0,6,0.0,,4.0,0.0,5,94138,False,Felipe dos Reis Pereira Vizeu do Carmo,,,,,,,,,,,,,,,,,,,
253,Maycon,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fb3TwT8.png,maycon,1,Maycon,1,264,-0.8,2,-0.8,,5.47,-1.53,4,94154,True,Maycon de Andrade Barberan,,,1.0,1.0,,,,1.0,,,,,,,,,,,
254,Raphael Veiga,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XOXiO3C.png,raphael-veiga,1,R. Veiga,1,275,3.3,7,3.3,,17.61,-2.39,4,94509,True,Raphael Cavalcante Veiga,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,
255,Pedro,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_xrhSS2w.png,pedro,1,Pedro,1,262,9.2,7,9.2,,15.58,0.58,5,94583,True,Pedro Guilherme Abreu dos Santos,,,,3.0,,1.0,,1.0,,,,,,,,,,,
256,Battaglia,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_XVs5pqz.png,battaglia,1,Battaglia,1,282,-3.9,3,-3.9,,3.56,-2.44,4,94845,True,Rodrigo Andrés Battaglia,,,,,,,,3.0,,,,,,,,1.0,,,
257,Eduardo Coudet,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_apsV9qH.png,eduardo-coudet,1,E. Coudet,1,285,6.32,7,6.32,,9.63,0.63,6,94853,True,Eduardo Germán Coudet,,,,,,,,,,1.0,,,,,,,,,
258,Lucas Fernandes,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Bzva6ru.png,lucas-fernandes,0,L. Fernandes,1,1371,0.0,6,0.0,,6.0,0.0,4,94931,False,Lucas Fernandes da Silva,,,,,,,,,,,,,,,,,,,
259,Juninho Capixaba,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_U4Lwrth.png,juninho-capixaba,1,J. Capixaba,1,280,3.0,7,3.0,,12.57,-1.43,2,94968,True,Luis Antônio da Rocha Júnior,,,1.0,2.0,,,3.0,2.0,,,,,,,,,,,
260,Gabriel Taliari,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vGTDrZr.png,gabriel-taliari,0,G. Taliari,1,286,0.0,6,0.0,,3.0,0.0,5,95131,False,Gabriel Pereira Taliari,,,,,,,,,,,,,,,,,,,
261,Gregore,Botafogo,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_OoYMXid.png,gregore,1,Gregore,1,263,-1.0,2,-1.0,,4.58,-1.42,4,95464,True,Gregore de Magalhães da Silva,,,1.0,,,,1.0,4.0,,,,,,,,,,,
262,Igor Vinícius,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_DKQOGT2.png,igor-vinicius,1,I. Vinícius,1,276,3.4,7,3.4,,3.67,0.67,2,95466,True,Igor Vinícius de Souza,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,
263,Raniele,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wftQgQv.png,raniele,1,Raniele,1,264,2.6,7,2.6,,7.49,-0.51,4,95556,True,Raniele Almeida Melo,,,1.0,3.0,,,2.0,1.0,,,,,,,,,,,
264,Lucas Kal,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_Ho8rTXl.png,lucas-kal,0,L. Kal,1,373,0.0,6,0.0,,5.0,0.0,4,95662,False,Lucas Kal Schenfeld Progioli,,,,,,,,,,,,,,,,,,,
265,Trauco,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_38OPKZz.png,trauco,1,Trauco,1,288,0.2,7,0.2,,4.18,-0.82,2,95738,True,Miguel Ángel Trauco Saavedra,,,1.0,,,,1.0,,,,,,,,,,,,
266,Tobias Figueiredo,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_GTVYOSI.png,tobias-figueiredo,0,T. Figueiredo,1,288,0.0,6,0.0,,3.0,0.0,3,95878,False,Tobias Pereira Figueiredo,,,,,,,,,,,,,,,,,,,
267,Machado,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_frORMmM.png,machado,0,Machado,1,283,0.0,6,0.0,,4.0,0.0,4,96089,False,Luiz Filipe da Rosa Machado - Felipe,,,,,,,,,,,,,,,,,,,
268,Lima,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Lwuhu7n.png,lima,1,Lima,1,266,18.2,6,18.2,,10.53,5.53,4,96340,True,Vinicius Moreira de Lima,,,,2.0,,2.0,1.0,,,,,,,,,,,,
269,Matheus Pereira,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_tZZNLQo.png,matheus-pereira,1,M. Pereira,1,283,2.7,2,2.7,,8.35,-0.65,4,96610,True,Matheus Fellipe Costa Pereira,,,,2.0,,,,1.0,1.0,,,1.0,,,,,,,
270,Allan,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_j7yMylW.png,allan,0,Allan,1,262,0.0,7,0.0,,5.0,0.0,4,96652,False,Allan Rodrigues de Souza,,,,,,,,,,,,,,,,,,,
271,Gabriel Milito,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/24/photo_FORMATO.png,gabriel-milito,1,G. Milito,1,282,4.21,7,4.21,,8.06,0.06,6,96673,True,Gabriel Alejandro Milito,,,,,,,,,,,,,,,,,,,
272,Bustos,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_4JN6eBb.png,bustos,1,Bustos,1,285,1.6,7,1.6,,7.14,-0.86,2,96678,True,Fabricio Tomás Bustos Sein,,,1.0,,,,2.0,2.0,1.0,,,,,,,,,,
273,Saravia,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_HmHq0Tu.png,saravia,1,Saravia,1,282,4.4,2,4.4,,6.48,0.48,2,96725,True,Renzo Saravia,,,1.0,1.0,1.0,,1.0,4.0,,,1.0,,,,,,,,
274,Camutanga,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_dArb0z1.png,camutanga,1,Camutanga,1,287,2.0,6,2.0,,3.17,0.17,3,96793,True,Cleidson Andrade da Souza Silva,,,1.0,,,,3.0,2.0,,,,,,,,,,,
275,Carlinhos,Flamengo,https://s.sde.globo.com/media/person_role/2024/04/08/photo_FORMATO_jmKsdsL.png,carlinhos,1,Carlinhos,1,262,0.8,6,0.8,,2.75,-0.25,5,96831,True,Carlos Moisés de Lima,,,,,,,,,1.0,,,,,,,,,,
276,Arthur Gomes,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_0C3TGei.png,arthur-gomes,1,A. Gomes,1,283,5.8,7,5.8,,6.16,1.16,5,96966,True,Arthur Gomes Lourenço,,,1.0,2.0,,,,1.0,,,1.0,1.0,,,1.0,,,,
277,Yony González,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_1seH9AO.png,yony-gonzalez,1,Y. González,1,373,1.5,6,1.5,,3.82,-0.18,5,97080,True,Jony Alexander González Copete,,,,3.0,,,,,,,,,,,,,,,
278,Dudu,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_VyiA44m.png,dudu,0,Dudu,1,356,0.0,6,0.0,,4.0,0.0,2,97133,False,Luís Eduardo Marques dos Santos,,,,,,,,,,,,,,,,,,,
279,Villasanti,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_hHpUtkJ.png,villasanti,1,Villasanti,1,284,1.7,7,1.7,,10.47,-1.53,4,97145,True,Mathías Adalberto Villasanti Rolón,,,,1.0,,,1.0,,,,,,,,,,,,
280,Rogério Ceni,Bahia,https://s.sde.globo.com/media/person_role/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png,rogerio-ceni,1,R. Ceni,1,265,4.08,6,4.08,,9.66,-0.34,6,97341,True,Rogério Mücke Ceni,,,,,,,,,,,,,,,,,,,
