,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,DE,GS,CA,FS,SG,G,DS,FC,FF,V,I,FD,PC,PS,A,CV,FT,PP,PI
32,Alan Ruschel,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,alan-ruschel,0,A. Ruschel,1,286,0.0,5,0.0,,4.0,0.0,2,63110,False,Alan Luciano Ruschel,,,,,,,,,,,,,,,,,,,
33,Edenílson,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,edenilson,0,Edenílson,1,282,0.0,5,0.0,,7.0,0.0,4,63289,False,Edenílson Andrade dos Santos,,,,,,,,,,,,,,,,,,,
34,Alan Patrick,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,alan-patrick,0,A. Patrick,1,285,0.0,5,0.0,,16.0,0.0,4,68685,False,Alan Patrick Lourenço,,,,,,,,,,,,,,,,,,,
35,Eduardo,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,eduardo,0,Eduardo,1,263,0.0,5,0.0,,11.0,0.0,4,68708,False,Carlos Eduardo de Oliveira Alves,,,,,,,,,,,,,,,,,,,
36,Marcelo Lomba,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,marcelo-lomba,0,M. Lomba,1,275,0.0,6,0.0,,6.0,0.0,1,68872,False,Marcelo Lomba do Nascimento,,,,,,,,,,,,,,,,,,,
37,Dudu,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,dudu,0,Dudu,1,275,0.0,5,0.0,,10.0,0.0,5,68920,False,Eduardo Pereira Rodrigues,,,,,,,,,,,,,,,,,,,
38,Rafael,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,rafael,1,Rafael,1,276,-2.0,7,-2.0,,8.34,-2.66,1,68928,True,Rafael Pires Monteiro,,2.0,,,,,,,,,,,,,,,,,
39,Rafael Cabral,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6y6dg3Y.png,rafael-cabral,0,R. Cabral,1,283,0.0,6,0.0,,8.0,0.0,1,68940,False,Rafael Cabral Barbosa,,,,,,,,,,,,,,,,,,,
40,Marinho,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,marinho,1,Marinho,1,356,0.6,7,0.6,,5.15,-0.85,5,68952,True,Mário Sérgio Santos Costa,,,,2.0,,,,1.0,,,1.0,,,,,,,,
41,Marquinhos Gabriel,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,marquinhos-gabriel,1,M. Gabriel,1,288,1.6,7,1.6,,4.68,-0.32,4,68954,True,Marcos Gabriel do Nascimento,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,
42,Lucas Sasha,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,lucas-sasha,1,L. Sasha,1,356,6.0,6,6.0,,6.23,1.23,4,68991,True,Lucas Pacheco Affini,,,,,,,5.0,,,,,,,,,,,,
43,Santos,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,santos,0,Santos,1,356,0.0,6,0.0,,8.0,0.0,1,69012,False,Aderbar Melo dos Santos Neto,,,,,,,,,,,,,,,,,,,
44,Manoel,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,manoel,0,Manoel,1,266,0.0,6,0.0,,6.0,0.0,3,69014,False,Manoel Messias Silva Carvalho,,,,,,,,,,,,,,,,,,,
45,Paulinho,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_s4LBKU4.png,paulinho,1,Paulinho,1,264,0.8,6,0.8,,4.39,-0.61,4,69034,True,José Paulo Bezerra Maciel Júnior,,,,,,,,,1.0,,,,,,,,,,
46,Muriel,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,muriel,0,Muriel,1,287,0.0,6,0.0,,4.0,0.0,1,69041,False,Muriel Gustavo Becker,,,,,,,,,,,,,,,,,,,
47,Danilo Fernandes,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,danilo-fernandes,0,D. Fernandes,1,265,0.0,6,0.0,,4.0,0.0,1,69051,False,Danilo Fernandes Batista,,,,,,,,,,,,,,,,,,,
48,James Rodríguez,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,james-rodriguez,1,J. Rodríguez,1,276,0.0,5,0.0,,5.76,-1.24,4,69063,True,James David Rodríguez Rubio,,,,,,,,,,,,,,,,,,,
49,Vargas,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,vargas,1,Vargas,1,282,0.5,6,0.5,,3.47,-0.53,5,69102,True,Eduardo Jesús Vargas Rojas,,,,1.0,,,,,,,,,,,,,,,
50,Pablo,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,pablo,1,Pablo,1,293,9.4,7,9.4,,8.25,2.25,5,69138,True,Pablo Felipe Teixeira,,,,,,1.0,,2.0,1.0,,,1.0,,,,,,,
51,Pablo,Botafogo,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_w2C4Ucg.png,pablo,0,Pablo,1,263,0.0,6,0.0,,4.0,0.0,3,69165,False,Pablo Nascimento Castro,,,,,,,,,,,,,,,,,,,
52,Aránguiz,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,aranguiz,0,Aránguiz,1,285,0.0,5,0.0,,7.0,0.0,4,69325,False,Charles Mariano Aránguiz Sandoval,,,,,,,,,,,,,,,,,,,
53,Medel,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_6uzylAN.png,medel,1,Medel,1,267,-0.3,6,-0.3,,4.83,-1.17,3,69355,True,Gary Alexis Medel Soto,,,,,,,,1.0,,,,,,,,,,,
54,João Pedro Galvão,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,joao-pedro-galvao,1,J. Galvão,1,284,0.7,2,0.7,,4.36,-0.64,5,69686,True,João Pedro Geraldino dos Santos Galvão,,,1.0,1.0,,,1.0,,,,,,,,,,,,
55,Nikão,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_tNs9Ouu.png,nikao,0,Nikão,1,276,0.0,6,0.0,,6.0,0.0,4,69705,False,Maycon Vinícius Ferreira da Cruz,,,,,,,,,,,,,,,,,,,
56,Lucas Moura,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,lucas-moura,0,L. Moura,1,276,0.0,5,0.0,,16.0,0.0,4,70164,False,Lucas Rodrigues Moura da Silva,,,,,,,,,,,,,,,,,,,
57,Rafael,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,rafael,0,Rafael,1,263,0.0,5,0.0,,3.0,0.0,2,70171,False,Rafael Pereira da Silva,,,,,,,,,,,,,,,,,,,
58,Fábio,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,fabio,0,Fábio,1,284,0.0,6,0.0,,4.0,0.0,2,70172,False,Fábio Pereira da Silva,,,,,,,,,,,,,,,,,,,
59,Gustavo,Criciúma,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,gustavo,0,Gustavo,1,288,0.0,6,0.0,,3.0,0.0,1,70216,False,Luiz Gustavo de Almeida Pinto,,,,,,,,,,,,,,,,,,,
60,Bruno Uvini,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,bruno-uvini,0,B. Uvini,1,287,0.0,6,0.0,,4.0,0.0,3,70221,False,Bruno Uvini Bortolança,,,,,,,,,,,,,,,,,,,
61,Diego Costa,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,diego-costa,1,D. Costa,1,284,1.0,2,1.0,,6.93,-1.07,5,70316,True,Diego da Silva Costa,,,,2.0,,,,,,,,,,,,,,,
62,Marchesín,Grêmio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,marchesin,1,Marchesín,1,284,-1.0,7,-1.0,,5.4,-1.6,1,70332,True,Agustín Federico Marchesín,1.0,2.0,,,,,,,,,,,,,,,,,
63,Eduardo Sasha,Bragantino,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,eduardo-sasha,1,E. Sasha,1,280,13.5,7,13.5,,10.51,3.51,5,70360,True,Eduardo Colcenti Antunes,,,,1.0,,1.0,2.0,2.0,1.0,,,2.0,,,,,,,
64,Gabriel,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,gabriel,1,Gabriel,1,286,0.5,7,0.5,,3.47,-0.53,1,70449,True,Gabriel Vasconcelos Ferreira,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
65,Marllon,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,marllon,1,Marllon,1,1371,0.5,6,0.5,,3.47,-0.53,3,70666,True,Marllon Gonçalves Jerônimo Borges,,,,1.0,,,,,,,,,,,,,,,
