,atletas.preco_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.media_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.atleta_id,atletas.apelido,atletas.nome,atletas.clube_id,atletas.status_id,atletas.pontos_num,atletas.foto,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,I,DE,GS,SG,PS,V,CV,DP,PC,PP,GC
38,6.5,São Paulo,8,2.75,-1.02,,True,68928,Rafael,Rafael Pires Monteiro,276,7,1.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,1,Rafael,16,rafael,,,,,,,,,,,15.0,8.0,3.0,,,,,,,
39,5.21,Grêmio,4,0.75,0.0,,False,68940,Rafael Cabral,Rafael Cabral Barbosa,284,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,1,R. Cabral,16,rafael-cabral,,,,,,,,,,,11.0,8.0,,,,,,,,
40,4.44,Fortaleza,7,2.11,0.0,,False,68952,Marinho,Mário Sérgio Santos Costa,356,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,5,Marinho,16,marinho,,1.0,3.0,7.0,3.0,7.0,11.0,,,4.0,,,,,,,,,,
41,3.09,Criciúma,11,0.98,-0.15,,True,68954,Marquinhos Gabriel,Marcos Gabriel do Nascimento,288,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,4,M. Gabriel,16,marquinhos-gabriel,,2.0,4.0,5.0,3.0,3.0,7.0,,,,,,,,,,,,,
42,4.89,Fortaleza,10,2.86,-0.96,,True,68991,Lucas Sasha,Lucas Pacheco Affini,356,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,4,L. Sasha,16,lucas-sasha,,1.0,25.0,18.0,1.0,1.0,6.0,,,,,,,,,,,,,
43,8.0,Fortaleza,0,0.0,0.0,,False,69012,Santos,Aderbar Melo dos Santos Neto,356,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,1,Santos,16,santos,,,,,,,,,,,,,,,,,,,,
44,2.96,Fluminense,6,0.25,0.0,,False,69014,Manoel,Manoel Messias Silva Carvalho,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,3,Manoel,16,manoel,,1.0,2.0,7.0,1.0,,2.0,,,,,,,,,,,,,
45,3.54,Vitória,0,-1.0,-0.46,,False,69041,Muriel,Muriel Gustavo Becker,287,6,-1.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,1,Muriel,16,muriel,,1.0,,,,,,,,,,,,,,,,,,
46,3.54,Bahia,0,-1.0,-0.46,,False,69051,Danilo Fernandes,Danilo Fernandes Batista,265,6,-1.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,1,D. Fernandes,16,danilo-fernandes,,1.0,,,,,,,,,,,,,,,,,,
47,4.84,São Paulo,2,-0.05,0.0,,False,69063,James Rodríguez,James David Rodríguez Rubio,276,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,4,J. Rodríguez,16,james-rodriguez,,,,,,,,,,1.0,,,,,,,,,,
48,6.99,Atlético-MG,9,5.04,1.65,,True,69102,Vargas,Eduardo Jesús Vargas Rojas,282,7,10.2,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5,Vargas,16,vargas,,,3.0,2.0,2.0,4.0,6.0,,4.0,2.0,,,,2.0,,,,,,
49,5.84,Athlético-PR,14,2.27,-0.76,,True,69138,Pablo,Pablo Felipe Teixeira,293,6,1.9,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,5,Pablo,16,pablo,1.0,4.0,5.0,16.0,3.0,6.0,4.0,1.0,2.0,,,,,,,,,,,
50,8.0,Botafogo,0,0.0,0.0,,False,69140,Allan,Allan Marques Loureiro,263,6,0.0,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,4,Allan,16,allan,,,,,,,,,,,,,,,,,,,,
51,3.22,Botafogo,1,0.0,0.0,,False,69165,Pablo,Pablo Nascimento Castro,263,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,3,Pablo,16,pablo,,,,,,,,,,,,,,,,,,,,
52,3.76,Internacional,7,0.53,0.0,,False,69325,Aránguiz,Charles Mariano Aránguiz Sandoval,285,5,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,4,Aránguiz,16,aranguiz,,2.0,2.0,12.0,2.0,,3.0,1.0,,,,,,,,,,,,
53,3.06,Grêmio,11,1.0,0.0,,False,69686,João Pedro Galvão,João Pedro Geraldino dos Santos Galvão,284,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,5,J. Galvão,16,joao-pedro-galvao,,1.0,2.0,13.0,3.0,3.0,15.0,,,,,,,,,,,,,
54,8.81,Athlético-PR,9,5.32,0.0,,False,69705,Nikão,Maycon Vinícius Ferreira da Cruz,293,5,0.0,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,4,Nikão,16,nikao,,,13.0,1.0,6.0,10.0,19.0,,1.0,1.0,,,,,,,,,,
55,14.84,São Paulo,10,5.81,1.55,,True,70164,Lucas Moura,Lucas Rodrigues Moura da Silva,276,7,11.2,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,4,L. Moura,16,lucas-moura,1.0,1.0,14.0,10.0,3.0,4.0,19.0,,3.0,,,,,,,,,,,
56,3.0,Botafogo,0,0.0,0.0,,False,70171,Rafael,Rafael Pereira da Silva,263,5,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,2,Rafael,16,rafael,,,,,,,,,,,,,,,,,,,,
57,5.49,Grêmio,7,3.13,0.0,,False,70172,Fábio,Fábio Pereira da Silva,284,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,2,Fábio,16,fabio,,1.0,5.0,4.0,,2.0,9.0,1.0,,,,,2.0,,,,,1.0,,
58,6.31,Criciúma,10,3.37,1.22,,True,70216,Gustavo,Luiz Gustavo de Almeida Pinto,288,7,7.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,1,Gustavo,16,gustavo,,2.0,,1.0,,,,,,,35.0,13.0,2.0,,,1.0,1.0,,,
59,2.32,Vitória,5,0.54,0.0,,False,70221,Bruno Uvini,Bruno Uvini Bortolança,287,7,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,3,B. Uvini,16,bruno-uvini,,1.0,2.0,1.0,,2.0,,,,,,,,,,,,,,
60,6.25,Grêmio,2,1.0,0.0,,False,70316,Diego Costa,Diego da Silva Costa,284,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,5,D. Costa,16,diego-costa,,,2.0,,1.0,,3.0,,,1.0,,,,,,1.0,,,,
61,5.67,Grêmio,9,3.06,-0.11,,True,70332,Marchesín,Agustín Federico Marchesín,284,7,2.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,1,Marchesín,16,marchesin,,1.0,,,,,1.0,,,,22.0,9.0,3.0,,,,,,,
62,8.33,Bragantino,10,4.64,0.0,,False,70360,Eduardo Sasha,Eduardo Colcenti Antunes,280,6,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,5,E. Sasha,16,eduardo-sasha,3.0,2.0,5.0,8.0,8.0,4.0,8.0,,2.0,,,,,,,1.0,,,,
63,5.23,Juventude,12,3.01,0.0,,False,70449,Gabriel,Gabriel Vasconcelos Ferreira,286,7,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,1,Gabriel,16,gabriel,,3.0,,,,,2.0,,,,41.0,18.0,3.0,,,,,,,
64,4.06,Cuiabá,12,2.84,0.0,,False,70666,Marllon,Marllon Gonçalves Jerônimo Borges,1371,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3,Marllon,16,marllon,,2.0,14.0,10.0,2.0,1.0,4.0,,1.0,,,,2.0,,,,,1.0,,
65,15.47,Internacional,1,0.5,0.0,,False,70788,Enner Valencia,Enner Remberto Valencia Lastra,285,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,5,E. Valencia,16,enner-valencia,,,,,,,1.0,,,,,,,,,,,,,
66,2.83,Fluminense,10,0.74,0.27,,True,70916,Diogo Barbosa,Diogo Barbosa Mendanha,266,6,2.4,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,2,D. Barbosa,16,diogo-barbosa,,3.0,7.0,5.0,,,7.0,,,,,,,,,,,,,
67,5.45,Internacional,13,2.97,0.0,,False,70944,Bruno Henrique,Bruno Henrique Corsini,285,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,4,B. Henrique,16,bruno-henrique,1.0,2.0,16.0,26.0,5.0,4.0,8.0,1.0,1.0,,,,,,,,,,,
68,8.22,Juventude,9,4.6,0.0,,False,70958,Jean Carlos,Jean Carlos Vicente,286,7,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,4,J. Carlos,16,jean-carlos,1.0,1.0,5.0,6.0,2.0,6.0,4.0,,3.0,,,,,,,,,,,
69,6.04,Vasco,5,3.46,0.0,,False,70984,Payet,Florent Dimitri Payet,267,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,4,Payet,16,payet,2.0,,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,
