,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
170,kannemann,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_f52uCmN.png,0.18,1.8,Kannemann,87342,284,Walter Kannemann,7,1.02,3.31,14,Grêmio,3,Kannemann,True,5,,5.0,8.0,,,1.0,,,,4.0,1.0,,,,,,,,,,
171,allano,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_4fbfMIP.png,-0.07,2.5,Allano,87391,288,Allano Brendon de Souza Lima,3,1.43,3.24,14,Criciúma,5,Allano,True,6,,7.0,6.0,2.0,1.0,8.0,,,2.0,2.0,,,,,,,1.0,,,,
172,thaciano,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_wgwd4Ze.png,0.62,7.6,Thaciano,87470,265,Thaciano Mickael da Silva,7,4.35,7.39,14,Bahia,4,Thaciano,True,12,,7.0,7.0,3.0,11.0,5.0,1.0,4.0,10.0,3.0,,,,,,,,,,,
173,mateus-pasinato,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_5YNRqaD.png,0.0,0.0,Mateus Pasinato,87603,1371,Mateus Pasinato,6,-1.0,2.59,14,Cuiabá,1,M. Pasinato,False,0,,,,,,,,,,1.0,,,,,,,,,,,
174,galdames,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8l71w1x.png,0.0,0.0,Galdames,87660,267,Pablo Ignacio Galdames Millán,6,2.17,4.41,14,Vasco,4,Galdames,False,10,,16.0,25.0,1.0,3.0,9.0,,,1.0,3.0,1.0,,,,,,,,,,
175,yago-felipe,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_wf2lvdn.png,0.0,0.0,Yago Felipe,87747,265,Yago Felipe da Costa Rocha,6,-0.25,3.0,14,Bahia,4,Y. Felipe,False,2,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,
176,mauricio-lemos,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,0.0,0.0,Mauricio Lemos,87853,282,Paolo Mauricio Lemos Merladett,5,2.65,9.41,14,Atlético-MG,3,M. Lemos,False,6,,4.0,10.0,,2.0,1.0,,,,3.0,,3.0,,,,,,,,,
177,arrascaeta,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_ehYT9k1.png,0.0,0.0,Arrascaeta,87863,262,Giorgian Daniel de Arrascaeta Benedetti,6,6.55,15.9,14,Flamengo,4,Arrascaeta,False,4,,,3.0,2.0,4.0,9.0,,1.0,,1.0,2.0,,,,,,,,,,
178,gustavo-scarpa,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_UXqyPlk.png,-0.33,6.1,Gustavo Scarpa,87999,282,Gustavo Henrique Furtado Scarpa,6,6.45,11.97,14,Atlético-MG,4,G. Scarpa,True,12,,11.0,6.0,8.0,5.0,17.0,1.0,3.0,2.0,3.0,4.0,,,,,,,,,,
179,alan-empereur,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_yJZY7yN.png,-1.02,-1.6,Alan Empereur,88033,1371,Alan Pereira Empereur,7,2.12,2.8,14,Cuiabá,3,A. Empereur,True,10,,2.0,5.0,,1.0,7.0,,,,4.0,1.0,3.0,,,,,,,,,
180,ivan,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TR1I7LU.png,0.0,0.0,Ivan,88136,285,Ivan Quaresma da Silva,5,0.0,3.0,14,Internacional,1,Ivan,False,0,,,,,,,,,,,,,,,,,,,,,
181,angel-romero,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1ruJswV.png,0.25,2.9,Ángel Romero,88323,264,Ángel Rodrigo Romero Villamayor,6,2.36,5.63,14,Corinthians,5,Ã. Romero,True,8,,6.0,3.0,2.0,8.0,12.0,,,2.0,2.0,,,,,,,,,,,
182,ayrton-lucas,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_vtzXktM.png,0.94,8.7,Ayrton Lucas,88393,262,Ayrton Lucas Dantas de Medeiros,7,5.23,8.74,14,Flamengo,2,A. Lucas,True,11,,15.0,6.0,2.0,6.0,12.0,2.0,1.0,,1.0,,3.0,,,,,,,,,
183,petit,https://s.sde.globo.com/media/person_role/2024/05/06/photo_FORMATO_dWuxEhT.png,-0.26,2.23,Petit,89141,1371,Armando Gonçalves Teixeira,7,4.6,6.13,14,Cuiabá,6,Petit,True,8,,,,,,,,,,,,,,,,,,,,,2.0
184,barreto,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ppF3oM9.png,0.33,4.2,Barreto,89224,288,Gustavo Bonatto Barreto,7,4.05,5.46,14,Criciúma,4,Barreto,True,11,,18.0,25.0,1.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
185,gerson,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_mBAg0JY.png,-1.33,1.9,Gerson,89256,262,Gerson Santos da Silva,7,4.2,6.27,14,Flamengo,4,Gerson,True,14,,17.0,13.0,4.0,6.0,22.0,,1.0,1.0,1.0,3.0,,,,,,,,,,
186,joao-pedro,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,-1.03,2.4,João Pedro,89273,284,João Pedro Maturano dos Santos,7,2.76,5.07,14,Grêmio,2,J. Pedro,True,9,,4.0,3.0,1.0,4.0,5.0,,,,1.0,1.0,2.0,,,,,,,,,
187,william,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,0.0,0.0,William,89275,283,Willian de Asevedo Furtado,6,8.18,11.12,14,Cruzeiro,2,William,False,12,,36.0,13.0,3.0,6.0,5.0,,2.0,,3.0,3.0,4.0,,,,,,,,,
188,erick,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,0.22,2.4,Erick,89467,286,Erick Samuel Correa Farias,7,3.58,4.86,14,Juventude,5,Erick,True,12,,14.0,2.0,5.0,4.0,4.0,,2.0,4.0,,,,,,,,,,,,
189,igor-rabello,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,0.0,0.0,Igor Rabello,89493,282,Igor Rabello da Costa,7,2.5,5.88,14,Atlético-MG,3,I. Rabello,False,9,,8.0,7.0,1.0,1.0,2.0,,,,2.0,,3.0,,,,1.0,,,,,
190,thiago-maia,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,0.0,0.0,Thiago Maia,89637,285,Thiago Maia Alencar,7,2.39,4.68,14,Internacional,4,T. Maia,False,10,,18.0,12.0,1.0,4.0,3.0,,,,,,,,,,,,,,,
191,rodrigo-andrade,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_j4J1Kog.png,0.0,0.0,Rodrigo Andrade,89646,287,José Rodrigo Andrade Ramos,5,1.92,3.29,14,Vitória,4,R. Andrade,False,6,,7.0,6.0,,3.0,5.0,,,,,,,,,,,,,,,
192,iury-castilho,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_5wPuqrz.png,0.0,0.0,Iury Castilho,89695,287,Iury Lirio Freitas de Castilho,6,3.23,4.39,14,Vitória,5,I. Castilho,False,4,,,6.0,,1.0,8.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
193,calleri,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,0.36,14.6,Calleri,89840,276,Jonathan Calleri,3,5.73,12.4,14,São Paulo,5,Calleri,True,13,,6.0,16.0,6.0,8.0,30.0,2.0,4.0,15.0,3.0,2.0,,,,,,,,,,
194,cristaldo,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,1.03,10.0,Cristaldo,89846,284,Franco Cristaldo,7,5.08,10.19,14,Grêmio,4,Cristaldo,True,12,,12.0,1.0,5.0,5.0,14.0,,3.0,2.0,,1.0,,,,,,,,1.0,,
195,dodi,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,0.0,0.0,Dodi,89883,284,Douglas Moreira Fagundes,6,1.23,3.24,14,Grêmio,4,Dodi,False,10,,10.0,15.0,1.0,2.0,10.0,,,,3.0,,,,,,,,,,,
196,everton-galdino,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ywqLzxA.png,-0.07,1.2,Everton Galdino,89918,284,Everton Galdino Moreira,6,0.36,2.14,14,Grêmio,5,E. Galdino,True,9,,3.0,7.0,,3.0,7.0,,,1.0,4.0,,,,,,,,,,,
197,bruno-pacheco,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,0.26,4.5,Bruno Pacheco,90061,356,Bruno de Jesus Pacheco,7,3.92,7.79,14,Fortaleza,2,B. Pacheco,True,10,,12.0,7.0,,3.0,5.0,,1.0,,1.0,,3.0,,,,,,,,,
198,bruno-henrique,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,2.37,18.9,Bruno Henrique,90285,262,Bruno Henrique Pinto,7,6.02,10.97,14,Flamengo,5,B. Henrique,True,12,,18.0,17.0,5.0,7.0,25.0,,4.0,3.0,2.0,,,,,,,,,2.0,,
199,pedro-rocha,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Mch7ZGz.png,0.0,0.0,Pedro Rocha,90302,356,Pedro Rocha Neves,6,2.23,5.14,14,Fortaleza,5,P. Rocha,False,3,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,
200,lincoln,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,3.29,19.5,Lincoln,90303,280,Lincoln Henrique Oliveira dos Santos,7,3.79,8.0,14,Bragantino,4,Lincoln,True,7,,5.0,3.0,,3.0,8.0,,2.0,,1.0,,,,,,,,,,,
201,david,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,0.47,5.1,David,90309,267,David Correa da Fonseca,3,4.53,8.3,14,Vasco,5,David,True,12,,15.0,14.0,2.0,11.0,9.0,,2.0,1.0,3.0,3.0,,,,,,1.0,,,,
202,rezende,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,-0.22,0.7,Rezende,90449,265,Júlio César de Rezende Miranda,6,1.07,3.37,14,Bahia,4,Rezende,True,11,,9.0,7.0,,2.0,5.0,,,,1.0,,,,,,,,,,,
203,caique,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,1.0,7.3,Caíque,90588,286,Caique de Jesus Gonçalves,7,2.86,4.85,14,Juventude,4,Caíque,True,11,,26.0,13.0,,1.0,17.0,,,,4.0,,,,,,1.0,,,,,
204,mateus-claus,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,0.0,0.0,Mateus Claus,90590,286,Mateus Eduardo Claus,6,2.0,3.46,14,Juventude,1,M. Claus,False,1,,,,,,,,,,1.0,,,4.0,,1.0,,,,,,
205,lucas-mineiro,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,0.0,0.0,Lucas Mineiro,90634,1371,Lucas da Silva Izidoro,6,1.84,2.71,14,Cuiabá,4,L. Mineiro,False,9,,15.0,15.0,,2.0,7.0,,,,2.0,,,,,,,,,,,
206,matheuzinho,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,1.19,9.1,Matheuzinho,90703,287,Matheus Martins Fogaça de Paulo,7,5.88,9.19,14,Vitória,4,Matheuzinho,True,13,,13.0,9.0,8.0,10.0,22.0,,2.0,1.0,1.0,4.0,,,,,,,,,,
207,luiz-fernando,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,-0.07,10.2,Luiz Fernando,90715,373,Luiz Fernando Moraes dos Santos,7,5.53,9.33,14,Atlético-GO,5,L. Fernando,True,12,,11.0,14.0,7.0,10.0,25.0,,4.0,5.0,2.0,,,,,1.0,,,,,,
208,fabricio-bruno,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,-0.89,2.4,Fabrício Bruno,90768,262,Fabrício Bruno Soares de Faria,7,3.08,5.31,14,Flamengo,3,F. Bruno,True,12,,11.0,3.0,1.0,1.0,5.0,,1.0,,3.0,,3.0,,,,,,,,,
209,ze-marcos,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,0.1,2.6,Zé Marcos,90943,286,José Marcos Alves Luis,7,2.64,3.46,14,Juventude,3,Z. Marcos,True,8,,7.0,3.0,,2.0,12.0,,,,4.0,,2.0,,,,,,,,,
210,cardona,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,0.0,0.0,Cardona,90947,356,Tomás Cardona,6,4.95,5.76,14,Fortaleza,3,Cardona,False,4,,3.0,2.0,,1.0,2.0,,,,,,3.0,,,,,,,,,
211,ronaldo,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,-0.92,-1.0,Ronaldo,91101,373,Ronaldo de Oliveira Strada,7,2.35,3.36,14,Atlético-GO,1,Ronaldo,True,12,,,1.0,,,3.0,,,,1.0,1.0,1.0,38.0,,17.0,,1.0,,,,
212,everaldo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,0.0,0.0,Everaldo,91151,287,Everaldo Silva do Nascimento,6,0.0,5.0,14,Vitória,5,Everaldo,False,0,,,,,,,,,,,,,,,,,,,,,
213,pk,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,-0.76,1.1,PK,91190,287,Ítaro Patric Cardoso Calmon,6,2.12,3.21,14,Vitória,2,PK,True,6,,7.0,3.0,1.0,2.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,
214,carballo,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_w5Qzw1m.png,0.25,1.7,Carballo,91254,284,Felipe Ignacio Carballo Ares,6,0.37,2.38,14,Grêmio,4,Carballo,True,7,,5.0,8.0,,,2.0,,,,2.0,,,,,,,,,,,
215,erick-pulgar,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,-0.29,0.8,Erick Pulgar,91473,262,Erick Antonio Pulgar Farfán,6,0.87,3.4,14,Flamengo,4,E. Pulgar,True,6,,4.0,7.0,1.0,1.0,3.0,,,,1.0,,,,,,,,,,,
216,rodrigo-sam,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,0.0,0.0,Rodrigo Sam,91509,286,Rodrigo Eduardo da Silva,6,3.88,4.68,14,Juventude,3,R. Sam,False,5,,6.0,7.0,,1.0,5.0,,1.0,,2.0,,1.0,,,,,,,,,
217,eder,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_8rXUJzI.png,0.28,2.4,Eder,91521,288,Eder Citadin Martins,6,1.03,3.23,14,Criciúma,5,Eder,True,9,,3.0,2.0,2.0,5.0,6.0,,,1.0,3.0,,,,,,,,,,,
218,arboleda,https://s.sde.globo.com/media/person_role/2024/05/07/photo_FORMATO_4juynn8.png,0.52,4.3,Arboleda,91573,276,Robert Abel Arboleda Escobar,7,3.71,7.41,14,São Paulo,3,Arboleda,True,12,,17.0,9.0,2.0,,5.0,,1.0,1.0,1.0,,3.0,,,,,,,,,
219,rony,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,0.04,3.2,Rony,91607,275,Ronielson da Silva Barbosa,6,3.79,7.13,14,Palmeiras,5,Rony,True,13,,9.0,12.0,11.0,10.0,17.0,,2.0,7.0,3.0,,,,,,,,,,,
220,marlon,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,0.0,0.0,Marlon,91706,283,Marlon Rodrigues Xavier,6,3.22,8.4,14,Cruzeiro,2,Marlon,False,9,,16.0,14.0,1.0,1.0,6.0,,,,,,3.0,,,,,2.0,,,,
221,david-duarte,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,0.0,0.0,David Duarte,91772,265,David de Duarte Macedo,6,0.0,4.0,14,Bahia,3,D. Duarte,False,0,,,,,,,,,,,,,,,,,,,,,
222,ze-ivaldo,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,-1.02,0.4,Zé Ivaldo,91866,283,José Ivaldo Almeida Silva,7,3.64,4.9,14,Cruzeiro,3,Z. Ivaldo,True,11,,9.0,11.0,5.0,9.0,9.0,,,2.0,4.0,,4.0,,,,1.0,,,,,
223,pavon,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,1.59,11.8,Pavón,91908,284,Cristian David Pavón,7,3.71,8.14,14,Grêmio,5,Pavón,True,9,,7.0,4.0,6.0,5.0,4.0,,1.0,,,1.0,,,,,,,,,,
224,andre-luis,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,-0.38,-1.6,André Luís,92146,1371,Andre Luis da Costa Alfredo,3,0.33,1.95,14,Cuiabá,5,A. Luís,True,8,,2.0,5.0,,1.0,6.0,,,,2.0,,,,,,,,,,,
225,alario,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,0.4,1.8,Alario,92149,285,Lucas Nicolás Alario,6,-0.23,2.78,14,Internacional,5,Alario,True,7,,,7.0,1.0,4.0,4.0,,,9.0,4.0,,,,,,1.0,,,,,
226,caique,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,0.0,0.0,Caíque,92207,284,Caíque Luiz Santos da Purificação,6,1.0,3.99,14,Grêmio,1,Caíque,False,1,,,,,,,,,,,,,3.0,,2.0,,,,,,
227,rodrigo-ely,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,-0.55,3.0,Rodrigo Ely,92237,284,Rodrigo Ely,3,2.76,4.62,14,Grêmio,3,R. Ely,True,9,,8.0,5.0,2.0,3.0,6.0,1.0,,,3.0,,2.0,,,,1.0,,,,,
228,raul,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,-0.11,-0.3,Raul,92496,280,Raul Lô Gonçalves,6,-0.05,1.02,14,Bragantino,4,Raul,True,8,,,8.0,1.0,1.0,,,,,,,,,,,,,,,,
229,renato-kayzer,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,0.14,1.9,Renato Kayzer,92696,356,Renato Kayzer de Souza,6,2.38,5.14,14,Fortaleza,5,R. Kayzer,True,12,,7.0,14.0,5.0,8.0,11.0,1.0,1.0,6.0,1.0,,,,,,,1.0,,,,
230,deyverson,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_K9KAkJa.png,0.0,0.0,Deyverson,92708,1371,Deyverson Brum Silva Acosta,6,4.3,8.09,14,Cuiabá,5,Deyverson,False,1,,1.0,,1.0,,4.0,,,1.0,,,,,,,,,,,,
231,bruno-rodrigues,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,0.0,0.0,Bruno Rodrigues,92811,275,Bruno Rafael Rodrigues do Nascimento,5,0.0,5.0,14,Palmeiras,5,B. Rodrigues,False,0,,,,,,,,,,,,,,,,,,,,,
232,borre,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,0.0,0.0,Borré,92854,285,Rafael Santos Borré Maury,6,5.14,10.44,14,Internacional,5,Borré,False,5,,4.0,12.0,6.0,7.0,4.0,1.0,1.0,3.0,2.0,1.0,,,,,,,1.0,,,
233,palacios,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_r6zWOHc.png,0.15,1.2,Palacios,92855,283,Helibelton Palacios Zapata,6,1.2,3.15,14,Cruzeiro,2,Palacios,True,1,,1.0,,,,,,,,,,,,,,,,,,,
234,mateus-vital,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,-0.06,1.5,Mateus Vital,93108,283,Mateus da Silva Vital Assumpção,6,2.55,4.43,14,Cruzeiro,4,M. Vital,True,6,,1.0,,1.0,3.0,5.0,,1.0,,,,,,,,,,,,,
235,wanderson,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,0.25,3.0,Wanderson,93478,285,Wanderson Maciel Sousa Campos,7,1.58,5.18,14,Internacional,5,Wanderson,True,10,,8.0,12.0,3.0,4.0,10.0,,,1.0,2.0,,,,,,,,,,,
236,bruno-tubarao,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_3mh3bUg.png,-0.17,0.0,Bruno Tubarão,93637,373,Bruno Nunes de Barros,6,1.22,3.07,14,Atlético-GO,2,B. Tubarão,True,8,,7.0,5.0,1.0,2.0,4.0,,,,2.0,,,,,,,,,,,
237,gabriel-inocencio,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,0.0,0.0,Gabriel Inocêncio,93702,286,Gabriel de Souza Inocêncio,6,3.25,4.13,14,Juventude,2,G. Inocêncio,False,6,,7.0,10.0,,2.0,7.0,,,,1.0,,2.0,,,,,,,,,
238,paulo-henrique,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,1.1,11.0,Paulo Henrique,93716,267,Paulo Henrique de Oliveira Alves,7,3.76,6.66,14,Vasco,2,P. Henrique,True,14,,26.0,17.0,3.0,3.0,7.0,,1.0,,1.0,,2.0,,,,,,,,,
239,marlon-freitas,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_IWdTjkg.png,-0.3,1.2,Marlon Freitas,93790,263,Marlon Rodrigues Freitas,7,2.58,4.24,14,Botafogo,4,M. Freitas,True,12,,15.0,6.0,1.0,5.0,3.0,,,,2.0,2.0,,,,,,,,,,
240,danielzinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_DHkocIw.png,0.0,0.0,Danielzinho,93791,373,Daniel Sampaio Simões,6,0.53,3.12,14,Atlético-GO,4,Danielzinho,False,3,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,
241,keiller,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,0.0,0.0,Keiller,93834,267,Keiller da Silva Nunes,6,0.0,4.0,14,Vasco,1,Keiller,False,0,,,,,,,,,,,,,,,,,,,,,
242,cleiton,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,0.64,5.0,Cleiton,93882,280,Cleiton Schwengber,7,3.38,6.63,14,Bragantino,1,Cleiton,True,12,,,,,,1.0,,,,1.0,,2.0,43.0,,12.0,,,,,,
243,matheusinho,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,-0.16,2.5,Matheusinho,93886,288,Matheus Leonardo Sales Cardoso,7,3.55,5.5,14,Criciúma,4,Matheusinho,True,9,,10.0,8.0,,5.0,9.0,,2.0,1.0,2.0,,,,,,,,,,,
244,breno-lopes,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_XhXbbVU.png,0.26,5.4,Breno Lopes,93988,356,Breno Henrique Vasconcelos Lopes,7,4.82,7.76,14,Fortaleza,5,B. Lopes,True,10,,4.0,8.0,6.0,8.0,31.0,,1.0,3.0,2.0,2.0,,,,,,,,1.0,,
245,john-victor,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_5TQNQjS.png,0.63,5.0,John Victor,94044,263,John Victor Maciel Furtado,7,3.29,6.82,14,Botafogo,1,J. Victor,True,11,,,1.0,,,1.0,,,,1.0,,3.0,32.0,,10.0,,,,,,
246,matheus-fernandes,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_sgQrNPa.png,0.0,0.0,Matheus Fernandes,94067,280,Matheus Fernandes Siqueira,6,7.88,10.8,14,Bragantino,4,M. Fernandes,False,5,,17.0,5.0,2.0,2.0,7.0,,1.0,,,1.0,,,,,,,,,,
247,felipe-vizeu,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_CKkxA4v.png,0.0,0.0,Felipe Vizeu,94138,288,Felipe dos Reis Pereira Vizeu do Carmo,6,0.65,3.45,14,Criciúma,5,F. Vizeu,False,2,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,
248,maycon,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fb3TwT8.png,0.0,0.0,Maycon,94154,264,Maycon de Andrade Barberan,5,0.2,4.65,14,Corinthians,4,Maycon,False,2,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,
249,raphael-veiga,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XOXiO3C.png,0.0,0.0,Raphael Veiga,94509,275,Raphael Cavalcante Veiga,6,5.01,12.62,14,Palmeiras,4,R. Veiga,False,12,,9.0,9.0,14.0,17.0,14.0,,1.0,3.0,1.0,3.0,,,,,,1.0,1.0,,,
250,pedro,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_xrhSS2w.png,-0.82,6.1,Pedro,94583,262,Pedro Guilherme Abreu dos Santos,7,7.69,13.57,14,Flamengo,5,Pedro,True,14,,12.0,10.0,9.0,7.0,16.0,,6.0,1.0,1.0,5.0,,,,,,,,,,
251,battaglia,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_XVs5pqz.png,0.01,2.6,Battaglia,94845,282,Rodrigo Andrés Battaglia,7,1.17,2.75,14,Atlético-MG,4,Battaglia,True,10,,14.0,16.0,3.0,2.0,5.0,,,,2.0,,,,,,,2.0,,,,
252,eduardo-coudet,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_apsV9qH.png,-0.15,3.37,Eduardo Coudet,94853,285,Eduardo Germán Coudet,7,4.87,9.01,14,Internacional,6,E. Coudet,True,12,,,,,,,,,,,,,,,,,,,,,5.0
253,lucas-fernandes,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Bzva6ru.png,-0.07,0.5,Lucas Fernandes,94931,1371,Lucas Fernandes da Silva,6,0.82,3.47,14,Cuiabá,4,L. Fernandes,True,7,,1.0,3.0,3.0,1.0,4.0,,,,1.0,,,,,,,,,,,
254,juninho-capixaba,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_U4Lwrth.png,-0.61,3.3,Juninho Capixaba,94968,280,Luis Antônio da Rocha Júnior,7,5.16,10.49,14,Bragantino,2,J. Capixaba,True,12,,37.0,16.0,2.0,3.0,21.0,,,,3.0,,2.0,,,,,,,,,
255,gabriel-taliari,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vGTDrZr.png,-0.4,-0.3,Gabriel Taliari,95131,286,Gabriel Pereira Taliari,6,1.9,2.97,14,Juventude,5,G. Taliari,True,6,,,4.0,1.0,,7.0,1.0,,1.0,,1.0,,,,,,,,,,
256,gregore,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_OoYMXid.png,-0.03,1.4,Gregore,95464,263,Gregore de Magalhães da Silva,7,1.58,3.65,14,Botafogo,4,Gregore,True,12,,23.0,31.0,1.0,,5.0,,,,3.0,,,,,,,,,,,
