,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
29,douglas-costa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,-0.08,1.1,Douglas Costa,62020,266,Douglas Costa de Souza,6,1.31,4.33,14,Fluminense,5,D. Costa,True,8,,5.0,4.0,3.0,2.0,3.0,,,,1.0,,,,,,,,,,,
30,ganso,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,1.07,8.5,Ganso,62977,266,Paulo Henrique Chagas de Lima,7,3.54,8.03,14,Fluminense,4,Ganso,True,11,,5.0,8.0,1.0,,12.0,,3.0,,6.0,2.0,,,,,,,,,,
31,marcos-rocha,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,-1.28,1.2,Marcos Rocha,63013,275,Marcos Luis Rocha Aquino,7,3.98,6.69,14,Palmeiras,2,M. Rocha,True,11,,11.0,10.0,,2.0,4.0,,,,,,6.0,,,,,,,,,
32,alan-ruschel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,-0.27,1.7,Alan Ruschel,63110,286,Alan Luciano Ruschel,7,2.47,3.96,14,Juventude,2,A. Ruschel,True,7,,14.0,11.0,,1.0,8.0,,,,1.0,,,,,,,,,,,
33,edenilson,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,0.15,3.6,Edenílson,63289,284,Edenílson Andrade dos Santos,6,1.49,4.69,14,Grêmio,4,Edenílson,True,9,,4.0,6.0,,,9.0,,1.0,,2.0,,,,,,,,,,,
34,alan-patrick,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,-1.35,-0.9,Alan Patrick,68685,285,Alan Patrick Lourenço,7,2.75,9.54,14,Internacional,4,A. Patrick,True,6,,5.0,6.0,3.0,4.0,7.0,,1.0,,2.0,,,,,,,,1.0,,,
35,eduardo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,0.68,7.3,Eduardo,68708,263,Carlos Eduardo de Oliveira Alves,7,4.07,8.09,14,Botafogo,4,Eduardo,True,8,,5.0,6.0,2.0,2.0,7.0,,2.0,1.0,,1.0,,,,,,,,,,
36,marcelo-lomba,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,0.0,0.0,Marcelo Lomba,68872,275,Marcelo Lomba do Nascimento,6,0.0,6.0,14,Palmeiras,1,M. Lomba,False,0,,,,,,,,,,,,,,,,,,,,,
37,dudu,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,-0.79,1.4,Dudu,68920,275,Eduardo Pereira Rodrigues,6,1.83,8.38,14,Palmeiras,5,Dudu,True,3,,2.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,
38,rafael,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,0.0,0.0,Rafael,68928,276,Rafael Pires Monteiro,6,3.0,7.52,14,São Paulo,1,Rafael,False,7,,,,,,,,,,,,3.0,12.0,,6.0,,,,,,
