,atletas.rodada_id,atletas.slug,atletas.clube_id,atletas.status_id,atletas.apelido_abreviado,atletas.apelido,atletas.foto,atletas.entrou_em_campo,atletas.preco_num,atletas.minimo_para_valorizar,atletas.media_num,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,DE,GS,DP,PC,PS,PP,V,GC,CV
38,6,rafael,276,7,Rafael,Rafael,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,True,6.34,,2.17,-0.06,Rafael Pires Monteiro,6,São Paulo,1,68928,1.0,,,,,,,,,,2.0,,9.0,6.0,,,,,,,
39,6,rafael-cabral,284,6,R. Cabral,Rafael Cabral,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,False,7.27,,2.0,0.0,Rafael Cabral Barbosa,1,Grêmio,1,68940,0.0,,,,,,,,,,,,3.0,1.0,,,,,,,
40,6,marinho,356,7,Marinho,Marinho,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,True,4.49,,1.84,-0.01,Mário Sérgio Santos Costa,5,Fortaleza,5,68952,2.4,,1.0,3.0,5.0,1.0,6.0,5.0,,4.0,,,,,,,,,,,
41,6,marquinhos-gabriel,288,6,M. Gabriel,Marquinhos Gabriel,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,False,4.17,,1.5,0.0,Marcos Gabriel do Nascimento,3,Criciúma,4,68954,0.0,,1.0,3.0,1.0,1.0,,2.0,,,,,,,,,,,,,
42,6,lucas-sasha,356,5,L. Sasha,Lucas Sasha,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,False,5.12,,2.1,0.0,Lucas Pacheco Affini,3,Fortaleza,4,68991,0.0,,,6.0,3.0,,,,,,,,,,,,,,,,
43,6,santos,356,6,Santos,Santos,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,False,8.0,,0.0,0.0,Aderbar Melo dos Santos Neto,0,Fortaleza,1,69012,0.0,,,,,,,,,,,,,,,,,,,,
44,6,manoel,266,7,Manoel,Manoel,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,True,3.6,,0.52,-0.87,Manoel Messias Silva Carvalho,4,Fluminense,3,69014,-1.3,,1.0,2.0,5.0,1.0,,2.0,,,,,,,,,,,,,
45,6,paulinho,264,7,Paulinho,Paulinho,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_s4LBKU4.png,True,3.33,,1.07,0.4,José Paulo Bezerra Maciel Júnior,6,Corinthians,4,69034,2.6,,,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,
46,6,muriel,287,6,Muriel,Muriel,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,False,4.0,,0.0,0.0,Muriel Gustavo Becker,0,Vitória,1,69041,0.0,,,,,,,,,,,,,,,,,,,,
47,6,danilo-fernandes,265,6,D. Fernandes,Danilo Fernandes,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,False,4.0,,0.0,0.0,Danilo Fernandes Batista,0,Bahia,1,69051,0.0,,,,,,,,,,,,,,,,,,,,
48,6,james-rodriguez,276,6,J. Rodríguez,James Rodríguez,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,False,4.84,,-0.05,0.0,James David Rodríguez Rubio,2,São Paulo,4,69063,0.0,,,,,,,,,1.0,,,,,,,,,,,
49,6,vargas,282,6,Vargas,Vargas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,False,7.63,,6.42,0.0,Eduardo Jesús Vargas Rojas,5,Atlético-MG,5,69102,0.0,,,2.0,1.0,1.0,3.0,3.0,3.0,1.0,,,,,,,1.0,,,,
50,6,pablo,293,7,Pablo,Pablo,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,True,8.22,,4.64,0.52,Pablo Felipe Teixeira,5,Athlético-PR,5,69138,6.9,,1.0,2.0,6.0,1.0,3.0,2.0,2.0,,,1.0,,,,,,,,,
51,6,pablo,263,6,Pablo,Pablo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,False,3.22,,0.0,0.0,Pablo Nascimento Castro,1,Botafogo,3,69165,0.0,,,,,,,,,,,,,,,,,,,,
52,6,aranguiz,285,5,Aránguiz,Aránguiz,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,False,7.0,,0.0,0.0,Charles Mariano Aránguiz Sandoval,0,Internacional,4,69325,0.0,,,,,,,,,,,,,,,,,,,,
53,6,medel,267,6,Medel,Medel,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_6uzylAN.png,False,3.96,,-0.3,0.0,Gary Alexis Medel Soto,2,Vasco,3,69355,0.0,,,,2.0,,,,,,,,,,,,,,,,
54,6,joao-pedro-galvao,284,6,J. Galvão,João Pedro Galvão,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,False,3.56,,1.2,0.0,João Pedro Geraldino dos Santos Galvão,4,Grêmio,5,69686,0.0,,1.0,2.0,6.0,2.0,1.0,4.0,,,,,,,,,,,,,
55,6,nikao,293,7,Nikão,Nikão,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,True,9.3,,6.47,-1.35,Maycon Vinícius Ferreira da Cruz,3,Athlético-PR,4,69705,2.4,,,4.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,
56,6,lucas-moura,276,6,L. Moura,Lucas Moura,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,False,16.0,,0.0,0.0,Lucas Rodrigues Moura da Silva,0,São Paulo,4,70164,0.0,,,,,,,,,,,,,,,,,,,,
57,6,rafael,263,5,Rafael,Rafael,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,False,3.0,,0.0,0.0,Rafael Pereira da Silva,0,Botafogo,2,70171,0.0,,,,,,,,,,,,,,,,,,,,
58,6,fabio,284,6,Fábio,Fábio,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,False,6.61,,4.8,0.0,Fábio Pereira da Silva,3,Grêmio,2,70172,0.0,,,2.0,1.0,,1.0,3.0,,,2.0,,,,,,,,,,
59,6,gustavo,288,6,Gustavo,Gustavo,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,False,7.74,,15.0,0.0,Luiz Gustavo de Almeida Pinto,1,Criciúma,1,70216,0.0,,,,,,,,,,1.0,,3.0,,1.0,,,,,,
60,6,bruno-uvini,287,6,B. Uvini,Bruno Uvini,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,False,2.57,,0.23,0.0,Bruno Uvini Bortolança,3,Vitória,3,70221,0.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
61,6,diego-costa,284,3,D. Costa,Diego Costa,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,False,6.25,,1.0,0.0,Diego da Silva Costa,2,Grêmio,5,70316,0.0,,,2.0,,1.0,,3.0,,1.0,,,,,,,,,,,1.0
62,6,marchesin,284,6,Marchesín,Marchesín,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,False,6.66,,4.0,0.0,Agustín Federico Marchesín,3,Grêmio,1,70332,0.0,,,,,,,,,,2.0,,4.0,2.0,,,,,,,
63,6,eduardo-sasha,280,6,E. Sasha,Eduardo Sasha,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,False,9.1,,5.3,0.0,Eduardo Colcenti Antunes,5,Bragantino,5,70360,0.0,,1.0,3.0,5.0,4.0,2.0,6.0,2.0,,,,,,,,,,,,
64,6,gabriel,286,6,Gabriel,Gabriel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,False,3.81,,1.75,0.0,Gabriel Vasconcelos Ferreira,4,Juventude,1,70449,0.0,,2.0,,,,,2.0,,,1.0,,10.0,7.0,,,,,,,
65,6,marllon,1371,6,Marllon,Marllon,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,False,3.74,,1.78,0.0,Marllon Gonçalves Jerônimo Borges,4,Cuiabá,3,70666,0.0,,1.0,6.0,1.0,1.0,,2.0,,,,,,,,1.0,,,,,
66,6,enner-valencia,285,6,E. Valencia,Enner Valencia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,False,17.0,,0.0,0.0,Enner Remberto Valencia Lastra,0,Internacional,5,70788,0.0,,,,,,,,,,,,,,,,,,,,
67,6,diogo-barbosa,266,7,D. Barbosa,Diogo Barbosa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,True,3.95,,0.05,0.1,Diogo Barbosa Mendanha,2,Fluminense,2,70916,1.4,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,
68,6,bruno-henrique,285,6,B. Henrique,Bruno Henrique,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,False,6.48,,3.57,0.0,Bruno Henrique Corsini,4,Internacional,4,70944,0.0,1.0,,8.0,7.0,,1.0,2.0,,,,,,,,,,,,,
69,6,jean-carlos,286,5,J. Carlos,Jean Carlos,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,False,9.85,,8.5,0.0,Jean Carlos Vicente,3,Juventude,4,70958,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
70,6,payet,267,7,Payet,Payet,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,True,8.82,,8.55,3.24,Florent Dimitri Payet,2,Vasco,4,70984,12.9,2.0,,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,
71,6,pedro-henrique,373,6,P. Henrique,Pedro Henrique,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,False,3.13,,1.85,0.0,Pedro Henrique Pereira da Silva,2,Atlético-GO,3,71038,0.0,,1.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,
72,6,maicon,267,7,Maicon,Maicon,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,True,5.06,,2.68,1.57,Maicon Pereira Roque,5,Vasco,3,71227,8.9,,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
73,6,luiz-gustavo,276,6,L. Gustavo,Luiz Gustavo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,False,6.0,,0.0,0.0,Luiz Gustavo Dias,0,São Paulo,4,71536,0.0,,,,,,,,,,,,,,,,,,,,
74,6,weverton,275,7,Weverton,Weverton,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,True,11.45,,5.5,-0.54,Weverton Pereira da Silva,6,Palmeiras,1,71631,3.0,,1.0,,,,,,,,4.0,,17.0,3.0,,,,,,,
75,6,raul-caceres,287,5,R. Cáceres,Raúl Cáceres,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,False,3.0,,0.0,0.0,Raúl Alejandro Cáceres Bogado,0,Vitória,2,71680,0.0,,,,,,,,,,,,,,,,,,,,
76,6,gustavo-gomez,275,7,G. Gómez,Gustavo Gómez,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,True,8.79,,3.5,-1.1,Gustavo Raúl Gómez Portillo,5,Palmeiras,3,71684,1.5,,2.0,5.0,9.0,1.0,4.0,2.0,,2.0,3.0,,,,,1.0,,,,1.0,
77,6,santiago-arias,265,7,S. Arias,Santiago Arias,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,True,6.47,,3.78,0.66,Santiago Arias Naranjo,5,Bahia,2,71701,6.6,,1.0,5.0,6.0,,1.0,10.0,,1.0,2.0,,,,,,,,,,
78,6,gabriel-pires,266,6,G. Pires,Gabriel Pires,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,False,4.0,,0.0,0.0,Gabriel Appelt Pires,0,Fluminense,4,71898,0.0,,,,,,,,,,,,,,,,,,,,
79,6,everson,282,6,Everson,Everson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,False,9.62,,4.0,0.0,Everson Felipe Marques Pires,5,Atlético-MG,1,72294,0.0,,1.0,,,,,2.0,,,3.0,,8.0,3.0,,,,,,,
80,6,felipe-alves,266,6,F. Alves,Felipe Alves,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,False,5.0,,0.0,0.0,Felipe Alves Raymundo,0,Fluminense,1,72372,0.0,,,,,,,,,,,,,,,,,,,,
81,6,fernando-diniz,266,7,F. Diniz,Fernando Diniz,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,True,9.78,,4.57,-0.93,Fernando Diniz Silva,5,Fluminense,6,72391,2.37,,,,,,,,,,,,,,,,,,1.0,,
