,atletas.foto,atletas.rodada_id,atletas.posicao_id,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.apelido,atletas.entrou_em_campo,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.status_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.preco_num,CA,DS,FC,FS,PC,A,FD,FF,FT,G,I,CV,SG,DE,GS,V,PP,PS,DP,GC
41,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,26,4,18,,288,M. Gabriel,marquinhos-gabriel,Marcos Gabriel do Nascimento,Marquinhos Gabriel,True,0.0,0.89,-0.04,6,68954,Criciúma,2.76,3.0,6.0,7.0,9.0,,,4.0,6.0,,,2.0,,,,,,,,,
42,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,26,4,18,,356,L. Sasha,lucas-sasha,Lucas Pacheco Affini,Lucas Sasha,False,0.0,3.57,0.0,6,68991,Fortaleza,6.5,2.0,53.0,33.0,19.0,,,2.0,1.0,,,,,,,,,,,,
43,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,26,1,0,,356,Santos,santos,Aderbar Melo dos Santos Neto,Santos,False,0.0,0.0,0.0,6,69012,Fortaleza,8.0,,,,,,,,,,,,,,,,,,,,
44,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,26,3,6,,266,Manoel,manoel,Manoel Messias Silva Carvalho,Manoel,False,0.0,0.25,0.0,6,69014,Fluminense,2.96,1.0,2.0,7.0,2.0,,,1.0,,,,,,,,,,,,,
45,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,26,1,0,,287,Muriel,muriel,Muriel Gustavo Becker,Muriel,False,0.0,-1.0,0.0,7,69041,Vitória,3.52,2.0,,,,,,,,,,,,,,,,,,,
46,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,26,1,0,,265,D. Fernandes,danilo-fernandes,Danilo Fernandes Batista,Danilo Fernandes,False,0.0,-1.0,0.0,6,69051,Bahia,3.54,1.0,,,,,,,,,,,,,,,,,,,
47,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,26,5,15,,282,Vargas,vargas,Eduardo Jesús Vargas Rojas,Vargas,False,0.0,4.28,0.0,6,69102,Atlético-MG,6.65,,6.0,3.0,12.0,,,4.0,7.0,,5.0,5.0,,,,,,,2.0,,
48,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,26,5,18,,293,Pablo,pablo,Pablo Felipe Teixeira,Pablo,True,0.8,1.93,-0.19,6,69138,Athlético-PR,5.28,5.0,6.0,18.0,6.0,,1.0,3.0,9.0,1.0,2.0,,,,,,,,,,
49,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,26,4,6,,263,Allan,allan,Allan Marques Loureiro,Allan,True,0.9,2.28,-0.83,6,69140,Botafogo,5.75,2.0,8.0,8.0,7.0,,1.0,,,,,,,,,,,,,,
50,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,26,3,1,,263,Pablo,pablo,Pablo Nascimento Castro,Pablo,False,0.0,0.0,0.0,6,69165,Botafogo,3.22,,,,,,,,,,,,,,,,,,,,
