,atletas.foto,atletas.clube.id.full.name,atletas.pontos_num,atletas.slug,atletas.status_id,atletas.jogos_num,atletas.posicao_id,atletas.rodada_id,atletas.media_num,atletas.variacao_num,atletas.nome,atletas.preco_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube_id,atletas.apelido,atletas.minimo_para_valorizar,A,CA,CV,DS,FC,FD,FF,FS,G,I,FT,DE,DP,GS,PC,SG,PP,PS,V,GC
29,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,Palmeiras,1.7,marcos-rocha,7,9,2,12,3.61,-0.11,Marcos Luis Rocha Aquino,6.53,True,M. Rocha,63013,275,Marcos Rocha,,,,,5.0,7.0,,2.0,4.0,,,,,,,,5.0,,,,
30,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,Juventude,3.7,alan-ruschel,7,6,2,12,2.6,-0.05,Alan Luciano Ruschel,4.23,True,A. Ruschel,63110,286,Alan Ruschel,,,1.0,,13.0,10.0,,,8.0,,,,,,,,,,,,
31,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,Grêmio,-1.0,edenilson,6,7,4,12,1.04,-0.51,Edenílson Andrade dos Santos,4.07,True,Edenílson,63289,284,Edenílson,,,2.0,,,4.0,,,5.0,1.0,,,,,,,,,,,
32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,Internacional,8.9,alan-patrick,7,4,4,12,3.33,0.08,Alan Patrick Lourenço,12.16,True,A. Patrick,68685,285,Alan Patrick,,,1.0,,3.0,2.0,2.0,3.0,5.0,1.0,,,,,,,,1.0,,,
33,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,Botafogo,17.2,eduardo,7,6,4,12,3.7,2.79,Carlos Eduardo de Oliveira Alves,9.08,True,Eduardo,68708,263,Eduardo,,,,,2.0,3.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,
34,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,Palmeiras,0.0,marcelo-lomba,6,0,1,12,0.0,0.0,Marcelo Lomba do Nascimento,6.0,False,M. Lomba,68872,275,Marcelo Lomba,,,,,,,,,,,,,,,,,,,,,
35,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,Palmeiras,1.2,dudu,6,2,5,12,2.05,-0.93,Eduardo Pereira Rodrigues,9.17,True,Dudu,68920,275,Dudu,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,
36,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,São Paulo,0.0,rafael,6,7,1,12,3.0,0.0,Rafael Pires Monteiro,7.52,False,Rafael,68928,276,Rafael,,,,,,,,,,,,,12.0,,6.0,,3.0,,,,
37,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,Grêmio,0.0,rafael-cabral,6,3,1,12,1.33,0.0,Rafael Cabral Barbosa,6.43,False,R. Cabral,68940,284,Rafael Cabral,,,,,,,,,,,,,9.0,,5.0,,,,,,
38,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,Fortaleza,0.0,marinho,5,5,5,12,1.84,0.0,Mário Sérgio Santos Costa,4.49,False,Marinho,68952,356,Marinho,,,1.0,,3.0,5.0,1.0,6.0,5.0,,4.0,,,,,,,,,,
39,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,Criciúma,-0.3,marquinhos-gabriel,3,9,4,12,1.14,-0.2,Marcos Gabriel do Nascimento,3.23,True,M. Gabriel,68954,288,Marquinhos Gabriel,,,2.0,,4.0,5.0,3.0,3.0,6.0,,,,,,,,,,,,
40,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,Fortaleza,-0.3,lucas-sasha,2,6,4,12,1.53,-0.28,Lucas Pacheco Affini,4.19,True,L. Sasha,68991,356,Lucas Sasha,,,,,10.0,11.0,,,1.0,,,,,,,,,,,,
41,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,Fortaleza,0.0,santos,6,0,1,12,0.0,0.0,Aderbar Melo dos Santos Neto,8.0,False,Santos,69012,356,Santos,,,,,,,,,,,,,,,,,,,,,
42,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,Fluminense,0.0,manoel,6,6,3,12,0.25,0.0,Manoel Messias Silva Carvalho,2.96,False,Manoel,69014,266,Manoel,,,1.0,,2.0,7.0,1.0,,2.0,,,,,,,,,,,,
43,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,Vitória,0.0,muriel,6,0,1,12,0.0,0.0,Muriel Gustavo Becker,4.0,False,Muriel,69041,287,Muriel,,,,,,,,,,,,,,,,,,,,,
44,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,Bahia,0.0,danilo-fernandes,6,0,1,12,0.0,0.0,Danilo Fernandes Batista,4.0,False,D. Fernandes,69051,265,Danilo Fernandes,,,,,,,,,,,,,,,,,,,,,
45,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,São Paulo,0.0,james-rodriguez,6,2,4,12,-0.05,0.0,James David Rodríguez Rubio,4.84,False,J. Rodríguez,69063,276,James Rodríguez,,,,,,,,,,,1.0,,,,,,,,,,
46,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,Atlético-MG,0.0,vargas,6,6,5,12,5.42,0.0,Eduardo Jesús Vargas Rojas,5.65,False,Vargas,69102,282,Vargas,,,,,2.0,2.0,1.0,4.0,3.0,3.0,2.0,,,,,,,,1.0,,
47,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,Athlético-PR,0.8,pablo,6,10,5,12,2.24,0.02,Pablo Felipe Teixeira,5.9,True,Pablo,69138,293,Pablo,,,3.0,,3.0,9.0,1.0,4.0,2.0,2.0,,1.0,,,,,,,,,
48,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,Botafogo,0.0,pablo,6,1,3,12,0.0,0.0,Pablo Nascimento Castro,3.22,False,Pablo,69165,263,Pablo,,,,,,,,,,,,,,,,,,,,,
49,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,Internacional,-0.3,aranguiz,7,6,4,12,0.67,-0.68,Charles Mariano Aránguiz Sandoval,3.96,True,Aránguiz,69325,285,Aránguiz,,,2.0,,2.0,11.0,2.0,,3.0,,,1.0,,,,,,,,,
50,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,Grêmio,1.2,joao-pedro-galvao,6,10,5,12,1.0,0.1,João Pedro Geraldino dos Santos Galvão,3.12,True,J. Galvão,69686,284,João Pedro Galvão,,,1.0,,2.0,13.0,3.0,3.0,13.0,,,,,,,,,,,,
51,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,Athlético-PR,1.8,nikao,7,9,4,12,5.32,-0.72,Maycon Vinícius Ferreira da Cruz,8.81,True,Nikão,69705,293,Nikão,,,,,13.0,1.0,6.0,10.0,19.0,1.0,1.0,,,,,,,,,,
52,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,São Paulo,8.2,lucas-moura,7,6,4,12,6.47,0.59,Lucas Rodrigues Moura da Silva,15.43,True,L. Moura,70164,276,Lucas Moura,,1.0,1.0,,6.0,7.0,3.0,2.0,17.0,2.0,,,,,,,,,,,
53,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,Botafogo,0.0,rafael,5,0,2,12,0.0,0.0,Rafael Pereira da Silva,3.0,False,Rafael,70171,263,Rafael,,,,,,,,,,,,,,,,,,,,,
54,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,Grêmio,0.0,fabio,6,7,2,12,3.13,0.0,Fábio Pereira da Silva,5.49,False,Fábio,70172,284,Fábio,,,1.0,,5.0,4.0,,2.0,9.0,,,1.0,,,,1.0,2.0,,,,
55,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,Criciúma,2.0,gustavo,7,6,1,12,2.45,0.22,Luiz Gustavo de Almeida Pinto,5.21,True,Gustavo,70216,288,Gustavo,,,2.0,1.0,,1.0,,,,,,,17.0,1.0,9.0,,1.0,,,,
56,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,Vitória,0.0,bruno-uvini,6,4,3,12,0.67,0.0,Bruno Uvini Bortolança,2.87,False,B. Uvini,70221,287,Bruno Uvini,,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,
57,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,Grêmio,0.0,diego-costa,5,2,5,12,1.0,0.0,Diego da Silva Costa,6.25,False,D. Costa,70316,284,Diego Costa,,,,1.0,2.0,,1.0,,3.0,,1.0,,,,,,,,,,
58,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,Grêmio,3.0,marchesin,7,6,1,12,2.67,0.31,Agustín Federico Marchesín,5.57,True,Marchesín,70332,284,Marchesín,,,1.0,,,,,,,,,,12.0,,5.0,,2.0,,,,
59,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,Bragantino,0.0,eduardo-sasha,7,8,5,12,4.2,0.0,Eduardo Colcenti Antunes,8.49,False,E. Sasha,70360,280,Eduardo Sasha,,1.0,1.0,1.0,4.0,6.0,6.0,3.0,8.0,2.0,,,,,,,,,,,
60,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,Juventude,0.0,gabriel,7,9,1,12,2.23,0.0,Gabriel Vasconcelos Ferreira,3.91,False,Gabriel,70449,286,Gabriel,,,3.0,,,,,,2.0,,,,26.0,,14.0,,2.0,,,,
61,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,Cuiabá,7.4,marllon,7,9,3,12,2.94,0.55,Marllon Gonçalves Jerônimo Borges,4.79,True,Marllon,70666,1371,Marllon,,,2.0,,8.0,8.0,2.0,1.0,2.0,1.0,,,,,,1.0,2.0,,,,
62,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,Internacional,0.0,enner-valencia,6,1,5,12,0.5,0.0,Enner Remberto Valencia Lastra,15.47,False,E. Valencia,70788,285,Enner Valencia,,,,,,,,,1.0,,,,,,,,,,,,
63,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,Fluminense,0.0,diogo-barbosa,6,7,2,12,0.54,-0.29,Diogo Barbosa Mendanha,2.6,True,D. Barbosa,70916,266,Diogo Barbosa,,,2.0,,5.0,4.0,,,2.0,,,,,,,,,,,,
64,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,Internacional,1.3,bruno-henrique,7,10,4,12,2.14,0.07,Bruno Henrique Corsini,5.22,True,B. Henrique,70944,285,Bruno Henrique,,1.0,2.0,,14.0,23.0,3.0,3.0,5.0,,,,,,,,,,,,
65,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,Juventude,0.8,jean-carlos,6,6,4,12,5.92,-0.41,Jean Carlos Vicente,8.88,True,J. Carlos,70958,286,Jean Carlos,,1.0,1.0,,4.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,,,
66,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,Vasco,0.0,payet,6,3,4,12,5.77,0.0,Florent Dimitri Payet,7.23,False,Payet,70984,267,Payet,,2.0,,,2.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,
67,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,Atlético-GO,0.0,pedro-henrique,5,6,3,12,2.8,0.0,Pedro Henrique Pereira da Silva,4.4,False,P. Henrique,71038,373,Pedro Henrique,,,2.0,,7.0,6.0,1.0,,2.0,,,,,,,,2.0,,,,
68,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,Vasco,2.6,maicon,7,11,3,12,2.38,0.44,Maicon Pereira Roque,4.22,True,Maicon,71227,267,Maicon,,,2.0,,10.0,4.0,1.0,1.0,5.0,1.0,1.0,,,,,,1.0,,,,
69,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,São Paulo,8.0,luiz-gustavo,7,6,4,12,2.52,1.3,Luiz Gustavo Dias,5.59,True,L. Gustavo,71536,276,Luiz Gustavo,,,1.0,,8.0,7.0,3.0,5.0,2.0,,,,,,,,,,,,
70,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,Palmeiras,0.0,weverton,7,12,1,12,5.21,-1.14,Weverton Pereira da Silva,10.45,True,Weverton,71631,275,Weverton,,1.0,1.0,,,,,,1.0,,,,37.0,,9.0,,6.0,,,,
71,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,Vitória,4.7,raul-caceres,6,3,2,12,4.33,0.81,Raúl Alejandro Cáceres Bogado,5.88,True,R. Cáceres,71680,287,Raúl Cáceres,,1.0,,,3.0,2.0,,,,,,,,,,,1.0,,,,
72,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,Palmeiras,0.0,gustavo-gomez,6,6,3,12,5.02,0.0,Gustavo Raúl Gómez Portillo,10.8,False,G. Gómez,71684,275,Gustavo Gómez,,1.0,3.0,,6.0,11.0,1.0,4.0,2.0,1.0,2.0,,,,,1.0,3.0,,,,1.0
73,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,Bahia,0.0,santiago-arias,6,6,2,12,3.32,0.0,Santiago Arias Naranjo,5.58,False,S. Arias,71701,265,Santiago Arias,,,1.0,,5.0,6.0,,1.0,12.0,,1.0,,,,,,2.0,,,,
74,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,Fluminense,5.6,gabriel-pires,7,3,4,12,3.97,0.58,Gabriel Appelt Pires,5.63,True,G. Pires,71898,266,Gabriel Pires,,,1.0,,10.0,6.0,1.0,,3.0,,,,,,,,,,,,
75,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,Atlético-MG,0.0,everson,7,9,1,12,2.27,0.0,Everson Felipe Marques Pires,8.14,False,Everson,72294,282,Everson,,,3.0,,,,,,3.0,,,,17.0,,10.0,,3.0,,,,
76,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,Fluminense,0.0,felipe-alves,6,0,1,12,0.0,0.0,Felipe Alves Raymundo,5.0,False,F. Alves,72372,266,Felipe Alves,,,,,,,,,,,,,,,,,,,,,
77,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,Atlético-GO,0.0,gustavo-campanharo,5,0,4,12,0.0,0.0,Gustavo Campanharo,5.0,False,G. Campanharo,72497,373,Gustavo Campanharo,,,,,,,,,,,,,,,,,,,,,
78,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,Atlético-GO,0.5,maguinho,7,9,2,12,3.48,-0.93,Magno José da Silva,4.97,True,Maguinho,72532,373,Maguinho,,1.0,,1.0,13.0,8.0,1.0,3.0,7.0,,,,,,,1.0,2.0,,,,
