,atletas.clube.id.full.name,atletas.clube_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.atleta_id,atletas.foto,atletas.nome,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,PC,CV,DE,GS,PP,GC,DP
36,São Paulo,276,-1.0,Rafael,Rafael,68928,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,Rafael Pires Monteiro,7,rafael,35,1,,True,23,3.18,6.08,-0.61,,1.0,,,,,2.0,,,,,8.0,,,,56.0,23.0,,,
37,Grêmio,284,0.0,R. Cabral,Rafael Cabral,68940,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,Rafael Cabral Barbosa,6,rafael-cabral,35,1,,False,6,2.08,5.34,0.0,,,,,,,1.0,,,,,1.0,,,,15.0,8.0,,,
38,Fortaleza,356,7.2,Marinho,Marinho,68952,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,Mário Sérgio Santos Costa,7,marinho,35,5,,True,18,5.07,7.07,-0.4,1.0,3.0,25.0,27.0,9.0,16.0,47.0,,3.0,8.0,,,,,1.0,,,,,
39,Criciúma,288,1.2,M. Gabriel,Marquinhos Gabriel,68954,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,Marcos Gabriel do Nascimento,6,marquinhos-gabriel,35,4,,True,22,0.99,2.91,0.18,,3.0,10.0,7.0,4.0,6.0,11.0,,,3.0,,,,,,,,,,
40,Fortaleza,356,0.0,L. Sasha,Lucas Sasha,68991,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,Lucas Pacheco Affini,6,lucas-sasha,35,4,,False,18,3.57,6.5,0.0,,2.0,53.0,33.0,2.0,1.0,19.0,,,,,,,,,,,,,
41,Fortaleza,356,0.0,Santos,Santos,69012,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,Aderbar Melo dos Santos Neto,6,santos,35,1,,False,0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,
42,Fluminense,266,0.0,Manoel,Manoel,69014,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,Manoel Messias Silva Carvalho,6,manoel,35,3,,False,10,1.55,3.51,0.0,,2.0,6.0,8.0,1.0,,3.0,,,,,2.0,,,,,,,,
43,Vitória,287,0.0,Muriel,Muriel,69041,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,Muriel Gustavo Becker,6,muriel,35,1,,False,1,6.5,5.94,0.0,,2.0,,,,,1.0,,,,,1.0,,,,1.0,,,,
44,Bahia,265,0.0,D. Fernandes,Danilo Fernandes,69051,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,Danilo Fernandes Batista,6,danilo-fernandes,35,1,,False,0,-1.0,3.54,0.0,,1.0,,,,,,,,,,,,,,,,,,
45,Atlético-MG,282,0.0,Vargas,Vargas,69102,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,Eduardo Jesús Vargas Rojas,6,vargas,35,5,,True,20,4.57,5.94,-0.23,1.0,1.0,8.0,7.0,5.0,7.0,20.0,,7.0,6.0,3.0,,,,,,,,,
