,atletas.nome,atletas.apelido_abreviado,atletas.variacao_num,atletas.apelido,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.media_num,atletas.pontos_num,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.foto,atletas.preco_num,atletas.slug,DE,GS,SG,CA,DP,PC,DS,FC,FD,FF,FS,G,I,FT,A,CV,PP,PS,V,GC
174,Thaciano Mickael da Silva,Thaciano,-0.48,Thaciano,Bahia,True,2.77,0.8,10,4,7,265,8,87470,,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_wgwd4Ze.png,5.71,thaciano,,,,3.0,,,5.0,6.0,1.0,9.0,4.0,1.0,4.0,1.0,,,,,,
175,Mateus Pasinato,M. Pasinato,-0.41,Mateus Pasinato,Cuiabá,False,-1.0,-1.0,10,1,6,1371,0,87603,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_5YNRqaD.png,2.59,mateus-pasinato,,,,1.0,,,,,,,,,,,,,,,,
176,Pablo Ignacio Galdames Millán,Galdames,-0.74,Galdames,Vasco,True,2.17,-1.7,10,4,3,267,10,87660,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8l71w1x.png,4.41,galdames,,,,3.0,,,16.0,25.0,1.0,3.0,9.0,,1.0,,1.0,,,,,
177,Yago Felipe da Costa Rocha,Y. Felipe,0.0,Yago Felipe,Bahia,False,-0.25,0.0,10,4,6,265,2,87747,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_wf2lvdn.png,3.0,yago-felipe,,,,1.0,,,,1.0,,1.0,,,,,,,,,,
178,Paolo Mauricio Lemos Merladett,M. Lemos,0.0,Mauricio Lemos,Atlético-MG,False,3.18,0.0,10,3,6,282,5,87853,,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,9.96,mauricio-lemos,,,3.0,3.0,,,4.0,10.0,,2.0,1.0,,,,,,,,,
179,Giorgian Daniel de Arrascaeta Benedetti,Arrascaeta,0.0,Arrascaeta,Flamengo,False,6.55,0.0,10,4,6,262,4,87863,,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_ehYT9k1.png,15.9,arrascaeta,,,,1.0,,,,3.0,2.0,4.0,9.0,1.0,,,2.0,,,,,
180,Gustavo Henrique Furtado Scarpa,G. Scarpa,1.9,Gustavo Scarpa,Atlético-MG,True,6.04,13.1,10,4,7,282,9,87999,,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_UXqyPlk.png,12.78,gustavo-scarpa,,,,2.0,,,7.0,5.0,4.0,4.0,15.0,3.0,1.0,,2.0,,,,,
181,Alan Pereira Empereur,A. Empereur,0.62,Alan Empereur,Cuiabá,True,1.8,6.4,10,3,7,1371,7,88033,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_yJZY7yN.png,3.52,alan-empereur,,,2.0,2.0,,,2.0,2.0,,1.0,4.0,,,,,,,,,
182,Ivan Quaresma da Silva,Ivan,0.0,Ivan,Internacional,False,0.0,0.0,10,1,5,285,0,88136,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TR1I7LU.png,3.0,ivan,,,,,,,,,,,,,,,,,,,,
183,Ángel Rodrigo Romero Villamayor,Ã. Romero,0.0,Ángel Romero,Corinthians,False,2.28,0.0,10,5,6,264,7,88323,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1ruJswV.png,5.38,angel-romero,,,,2.0,,,4.0,3.0,2.0,8.0,11.0,,2.0,,,,,,,
184,Ayrton Lucas Dantas de Medeiros,A. Lucas,-1.29,Ayrton Lucas,Flamengo,True,4.93,1.3,10,2,7,262,7,88393,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_vtzXktM.png,7.61,ayrton-lucas,,,2.0,,,,10.0,4.0,,4.0,9.0,,,2.0,,,,,,
185,Armando Gonçalves Teixeira,Petit,0.67,Petit,Cuiabá,True,5.64,7.97,10,6,7,1371,4,89141,,https://s.sde.globo.com/media/person_role/2024/05/06/photo_FORMATO_dWuxEhT.png,6.71,petit,,,,,,,,,,,,,,,,,,,2.0,
186,Gustavo Bonatto Barreto,Barreto,-0.35,Barreto,Criciúma,True,3.0,0.0,10,4,7,288,7,89224,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ppF3oM9.png,4.14,barreto,,,,1.0,,,6.0,12.0,,,5.0,1.0,1.0,1.0,1.0,,,,,
187,Gerson Santos da Silva,Gerson,2.29,Gerson,Flamengo,True,4.05,14.9,10,4,7,262,10,89256,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_mBAg0JY.png,7.74,gerson,,,,,,,10.0,8.0,2.0,4.0,15.0,1.0,1.0,,2.0,,,,,
188,João Pedro Maturano dos Santos,J. Pedro,0.15,João Pedro,Grêmio,True,1.8,2.5,10,2,7,284,5,89273,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,4.79,joao-pedro,,,1.0,1.0,,,1.0,2.0,,3.0,4.0,,,,,,,,,
189,Willian de Asevedo Furtado,William,3.85,William,Cruzeiro,True,8.65,26.4,10,2,7,283,9,89275,,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,14.23,william,,,3.0,2.0,,,28.0,8.0,2.0,4.0,4.0,2.0,,,2.0,,,,,
190,Erick Samuel Correa Farias,Erick,-0.23,Erick,Juventude,True,2.09,0.0,10,5,6,286,8,89467,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,3.57,erick,,,,,,,4.0,1.0,1.0,3.0,2.0,1.0,4.0,,,,,,,
191,Igor Rabello da Costa,I. Rabello,0.0,Igor Rabello,Atlético-MG,False,3.02,0.0,10,3,7,282,6,89493,,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,5.76,igor-rabello,,,3.0,1.0,,,3.0,4.0,1.0,,1.0,,,,,,,,,
192,Thiago Maia Alencar,T. Maia,0.0,Thiago Maia,Internacional,False,1.6,0.0,10,4,7,285,7,89637,,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,3.99,thiago-maia,,,,,,,7.0,7.0,1.0,4.0,1.0,,,,,,,,,
193,José Rodrigo Andrade Ramos,R. Andrade,-0.17,Rodrigo Andrade,Vitória,True,1.9,0.9,10,4,6,287,4,89646,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_j4J1Kog.png,3.36,rodrigo-andrade,,,,,,,5.0,4.0,,1.0,4.0,,,,,,,,,
194,Iury Lirio Freitas de Castilho,I. Castilho,0.0,Iury Castilho,Vitória,False,3.23,0.0,10,5,5,287,4,89695,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_5wPuqrz.png,4.39,iury-castilho,,,,1.0,,,,6.0,,1.0,8.0,1.0,1.0,1.0,,,,,,
195,Jonathan Calleri,Calleri,-0.77,Calleri,São Paulo,True,4.67,2.4,10,5,7,276,9,89840,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,10.71,calleri,,,,2.0,,,4.0,12.0,4.0,4.0,24.0,2.0,12.0,1.0,1.0,,,,,
196,Franco Cristaldo,Cristaldo,-0.47,Cristaldo,Grêmio,True,3.74,1.5,10,4,7,284,8,89846,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,8.68,cristaldo,,,,,,,5.0,1.0,1.0,4.0,8.0,2.0,2.0,,,,,,,
197,Douglas Moreira Fagundes,Dodi,-0.08,Dodi,Grêmio,True,0.9,0.5,10,4,7,284,7,89883,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,2.95,dodi,,,,1.0,,,4.0,10.0,1.0,1.0,7.0,,,,,,,,,
198,Everton Galdino Moreira,E. Galdino,0.0,Everton Galdino,Grêmio,False,0.22,0.0,10,5,6,284,5,89918,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ywqLzxA.png,2.21,everton-galdino,,,,3.0,,,1.0,4.0,,2.0,5.0,,,,,,,,,
199,Bruno de Jesus Pacheco,B. Pacheco,0.0,Bruno Pacheco,Fortaleza,False,2.62,0.0,10,2,7,356,6,90061,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,6.8,bruno-pacheco,,,2.0,1.0,,,4.0,4.0,,2.0,3.0,,,,,,,,,
200,Bruno Henrique Pinto,B. Henrique,0.09,Bruno Henrique,Flamengo,True,4.54,2.5,10,5,2,262,9,90285,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,8.2,bruno-henrique,,,,1.0,,,9.0,11.0,4.0,6.0,16.0,2.0,2.0,,,,,1.0,,
201,Pedro Rocha Neves,P. Rocha,0.0,Pedro Rocha,Fortaleza,False,0.0,0.0,10,5,6,356,1,90302,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Mch7ZGz.png,4.51,pedro-rocha,,,,,,,,,,,,,,,,,,,,
202,Lincoln Henrique Oliveira dos Santos,Lincoln,0.0,Lincoln,Bragantino,False,0.8,0.0,10,4,6,280,4,90303,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,4.83,lincoln,,,,,,,1.0,1.0,,1.0,3.0,,,,,,,,,
203,David Correa da Fonseca,David,-0.51,David,Vasco,True,3.82,0.0,10,5,6,267,9,90309,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,7.39,david,,,,2.0,,,11.0,8.0,1.0,10.0,7.0,1.0,1.0,,1.0,,,,,
204,Júlio César de Rezende Miranda,Rezende,-0.17,Rezende,Bahia,True,1.04,-0.3,10,4,6,265,9,90449,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,3.38,rezende,,,,1.0,,,8.0,5.0,,1.0,3.0,,,,,,,,,
205,Caique de Jesus Gonçalves,Caíque,0.05,Caíque,Juventude,True,2.48,3.1,10,4,7,286,7,90588,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,4.09,caique,,,,4.0,,,15.0,8.0,,1.0,10.0,,,,,,,,,
206,Mateus Eduardo Claus,M. Claus,0.0,Mateus Claus,Juventude,False,0.0,0.0,10,1,6,286,0,90590,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,3.0,mateus-claus,,,,,,,,,,,,,,,,,,,,
207,Lucas da Silva Izidoro,L. Mineiro,0.44,Lucas Mineiro,Cuiabá,True,1.82,2.7,10,4,7,1371,6,90634,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,3.1,lucas-mineiro,,,,,,,9.0,8.0,,,5.0,,,,,,,,,
208,Matheus Martins Fogaça de Paulo,Matheuzinho,1.94,Matheuzinho,Vitória,True,7.16,16.5,10,4,7,287,9,90703,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,10.63,matheuzinho,,,,1.0,,,12.0,7.0,5.0,9.0,18.0,2.0,1.0,,3.0,,,,,
209,Luiz Fernando Moraes dos Santos,L. Fernando,-1.52,Luiz Fernando,Atlético-GO,True,4.86,0.9,10,5,7,373,8,90715,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,7.85,luiz-fernando,,1.0,,2.0,,,8.0,11.0,5.0,7.0,17.0,2.0,5.0,,,,,,,
210,Fabrício Bruno Soares de Faria,F. Bruno,0.0,Fabrício Bruno,Flamengo,False,2.32,0.0,10,3,7,262,8,90768,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,4.69,fabricio-bruno,,,2.0,3.0,,,7.0,3.0,1.0,1.0,4.0,,,,,,,,,
211,José Marcos Alves Luis,Z. Marcos,1.81,Zé Marcos,Juventude,True,3.1,8.4,10,3,6,286,5,90943,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,4.18,ze-marcos,,,2.0,2.0,,,3.0,3.0,,1.0,8.0,,,,,,,,,
212,Tomás Cardona,Cardona,1.25,Cardona,Fortaleza,True,4.87,6.2,10,3,6,356,3,90947,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,5.5,cardona,,,2.0,,,,3.0,,,,2.0,,,,,,,,,
213,Ronaldo de Oliveira Strada,Ronaldo,-0.43,Ronaldo,Atlético-GO,True,2.41,0.2,10,1,3,373,9,91101,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,3.53,ronaldo,27.0,12.0,1.0,1.0,,,,1.0,,,2.0,,,,1.0,1.0,,,,
214,Everaldo Silva do Nascimento,Everaldo,0.0,Everaldo,Vitória,False,0.0,0.0,10,5,6,287,0,91151,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,5.0,everaldo,,,,,,,,,,,,,,,,,,,,
215,Ítaro Patric Cardoso Calmon,PK,0.0,PK,Vitória,False,1.12,0.0,10,2,6,287,4,91190,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,2.65,pk,,,,,,,4.0,2.0,1.0,2.0,1.0,,,,,1.0,,,,
216,Felipe Ignacio Carballo Ares,Carballo,-0.41,Carballo,Grêmio,True,-0.05,-0.3,10,4,7,284,4,91254,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_w5Qzw1m.png,2.52,carballo,,,,2.0,,,3.0,6.0,,,,,,,,,,,,
217,Erick Antonio Pulgar Farfán,E. Pulgar,0.0,Erick Pulgar,Flamengo,False,0.88,0.0,10,4,6,262,5,91473,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,3.69,erick-pulgar,,,,1.0,,,4.0,7.0,1.0,,3.0,,,,,,,,,
218,Rodrigo Eduardo da Silva,R. Sam,0.0,Rodrigo Sam,Juventude,False,3.88,0.0,10,3,7,286,5,91509,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,4.68,rodrigo-sam,,,1.0,2.0,,,6.0,7.0,,1.0,5.0,1.0,,,,,,,,
219,Eder Citadin Martins,Eder,0.0,Eder,Criciúma,False,0.5,0.0,10,5,6,288,5,91521,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_8rXUJzI.png,2.94,eder,,,,2.0,,,,2.0,1.0,3.0,3.0,,,,,,,,,
220,Robert Abel Arboleda Escobar,Arboleda,0.29,Arboleda,São Paulo,True,4.65,3.6,10,3,7,276,9,91573,,https://s.sde.globo.com/media/person_role/2024/05/07/photo_FORMATO_4juynn8.png,7.99,arboleda,,,3.0,,,,14.0,6.0,2.0,,3.0,1.0,1.0,,,,,,,
221,Ronielson da Silva Barbosa,Rony,1.64,Rony,Palmeiras,True,4.26,12.8,10,5,7,275,10,91607,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,8.68,rony,,,,2.0,,,8.0,9.0,8.0,7.0,14.0,2.0,5.0,,,,,,,
222,Marlon Rodrigues Xavier,Marlon,0.32,Marlon,Cruzeiro,True,3.44,7.3,10,2,7,283,8,91706,,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,9.41,marlon,,,3.0,,,,12.0,13.0,1.0,1.0,6.0,,,,,1.0,,,,
223,David de Duarte Macedo,D. Duarte,0.0,David Duarte,Bahia,False,0.0,0.0,10,3,6,265,0,91772,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,4.0,david-duarte,,,,,,,,,,,,,,,,,,,,
224,José Ivaldo Almeida Silva,Z. Ivaldo,0.39,Zé Ivaldo,Cruzeiro,True,3.78,7.4,10,3,7,283,8,91866,,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,5.73,ze-ivaldo,,,3.0,2.0,,1.0,6.0,9.0,4.0,7.0,7.0,,2.0,,,,,,,
225,Cristian David Pavón,Pavón,-0.56,Pavón,Grêmio,True,3.46,1.0,10,5,7,284,5,91908,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,7.07,pavon,,,,,,,5.0,1.0,4.0,1.0,2.0,,,,1.0,,,,,
226,Andre Luis da Costa Alfredo,A. Luís,0.0,André Luís,Cuiabá,False,0.8,0.0,10,5,6,1371,6,92146,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,2.71,andre-luis,,,,,,,2.0,3.0,,1.0,5.0,,,,,,,,,
227,Lucas Nicolás Alario,Alario,-0.39,Alario,Internacional,True,-0.62,0.0,10,5,7,285,4,92149,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,3.36,alario,,,,2.0,,1.0,,5.0,,2.0,2.0,,6.0,,,,,,,
228,Jair Ventura,J. Ventura,-0.24,Jair Ventura,Atlético-GO,True,3.28,3.18,10,6,7,373,9,92180,,https://s.sde.globo.com/media/person_role/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png,5.17,jair-ventura,,,,,,,,,,,,,,,,,,,2.0,
229,Caíque Luiz Santos da Purificação,Caíque,0.0,Caíque,Grêmio,False,1.0,0.0,10,1,6,284,1,92207,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,3.99,caique,3.0,2.0,,,,,,,,,,,,,,,,,,
230,Rodrigo Ely,R. Ely,0.86,Rodrigo Ely,Grêmio,True,2.86,5.6,10,3,7,284,5,92237,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,5.0,rodrigo-ely,,,1.0,2.0,,1.0,5.0,4.0,1.0,1.0,5.0,,,1.0,,,,,,
231,Raul Lô Gonçalves,Raul,0.0,Raul,Bragantino,False,-0.2,0.0,10,4,6,280,5,92496,,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,1.18,raul,,,,,,,,6.0,,1.0,,,,,,,,,,
232,Renato Kayzer de Souza,R. Kayzer,0.0,Renato Kayzer,Fortaleza,False,2.38,0.0,10,5,6,356,8,92696,,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,4.89,renato-kayzer,,,,1.0,,,6.0,12.0,4.0,4.0,8.0,1.0,6.0,,,1.0,,,,
233,Deyverson Brum Silva Acosta,Deyverson,0.0,Deyverson,Cuiabá,False,4.3,0.0,10,5,6,1371,1,92708,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_K9KAkJa.png,8.09,deyverson,,,,,,,1.0,,1.0,,4.0,,1.0,,,,,,,
234,Bruno Rafael Rodrigues do Nascimento,B. Rodrigues,0.0,Bruno Rodrigues,Palmeiras,False,0.0,0.0,10,5,5,275,0,92811,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,5.0,bruno-rodrigues,,,,,,,,,,,,,,,,,,,,
235,Rafael Santos Borré Maury,Borré,0.0,Borré,Internacional,False,5.14,0.0,10,5,6,285,5,92854,,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,10.44,borre,,,,2.0,,,4.0,12.0,6.0,7.0,4.0,1.0,3.0,1.0,1.0,,1.0,,,
236,Helibelton Palacios Zapata,Palacios,0.0,Palacios,Cruzeiro,False,0.0,0.0,10,2,6,283,0,92855,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_r6zWOHc.png,3.0,palacios,,,,,,,,,,,,,,,,,,,,
237,Mateus da Silva Vital Assumpção,M. Vital,0.0,Mateus Vital,Cruzeiro,False,3.25,0.0,10,4,6,283,4,93108,,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,4.8,mateus-vital,,,,,,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,
238,Wanderson Maciel Sousa Campos,Wanderson,0.07,Wanderson,Internacional,True,1.47,2.5,10,5,7,285,6,93478,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,5.55,wanderson,,,,,,,6.0,8.0,1.0,1.0,4.0,,,,,,,,,
239,Bruno Nunes de Barros,B. Tubarão,0.0,Bruno Tubarão,Atlético-GO,False,1.38,0.0,10,2,6,373,5,93637,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_3mh3bUg.png,3.3,bruno-tubarao,,,,1.0,,,5.0,4.0,,2.0,3.0,,,,,,,,,
240,Gabriel de Souza Inocêncio,G. Inocêncio,1.34,Gabriel Inocêncio,Juventude,True,3.7,6.7,10,2,6,286,5,93702,,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,4.95,gabriel-inocencio,,,2.0,1.0,,,7.0,9.0,,1.0,6.0,,,,,,,,,
241,Paulo Henrique de Oliveira Alves,P. Henrique,-1.05,Paulo Henrique,Vasco,True,2.85,1.2,10,2,7,267,10,93716,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,4.97,paulo-henrique,,,1.0,,,,18.0,14.0,1.0,3.0,5.0,,,,,,,,,
242,Marlon Rodrigues Freitas,M. Freitas,-1.02,Marlon Freitas,Botafogo,True,2.79,0.0,10,4,7,263,9,93790,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_IWdTjkg.png,4.23,marlon-freitas,,,,2.0,,,11.0,5.0,1.0,4.0,2.0,,,,2.0,,,,,
243,Daniel Sampaio Simões,Danielzinho,0.0,Danielzinho,Atlético-GO,False,0.53,0.0,10,4,6,373,3,93791,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_DHkocIw.png,3.12,danielzinho,,,,,,,1.0,3.0,,1.0,1.0,,,,,,,,,
244,Keiller da Silva Nunes,Keiller,0.0,Keiller,Vasco,False,0.0,0.0,10,1,6,267,0,93834,,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,4.0,keiller,,,,,,,,,,,,,,,,,,,,
245,Cleiton Schwengber,Cleiton,0.0,Cleiton,Bragantino,True,3.5,3.0,10,1,7,280,9,93882,,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,6.56,cleiton,31.0,9.0,2.0,1.0,,,,,,,1.0,,,,,,,,,
246,Matheus Leonardo Sales Cardoso,Matheusinho,-0.16,Matheusinho,Criciúma,True,3.63,0.8,10,4,7,288,6,93886,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,5.28,matheusinho,,,,1.0,,,3.0,3.0,,4.0,2.0,2.0,1.0,,,,,,,
247,Breno Henrique Vasconcelos Lopes,B. Lopes,-0.24,Breno Lopes,Fortaleza,True,3.85,0.4,10,5,7,356,7,93988,,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_XhXbbVU.png,6.59,breno-lopes,,,,2.0,,,3.0,5.0,3.0,5.0,19.0,,3.0,,2.0,,,,,
248,John Victor Maciel Furtado,J. Victor,0.34,John Victor,Botafogo,True,3.89,4.0,10,1,7,263,7,94044,,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_5TQNQjS.png,7.21,john-victor,18.0,5.0,3.0,1.0,,,,1.0,,,1.0,,,,,,,,,
249,Matheus Fernandes Siqueira,M. Fernandes,1.79,Matheus Fernandes,Bragantino,True,7.88,12.6,10,4,7,280,5,94067,,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_sgQrNPa.png,10.8,matheus-fernandes,,,,,,,17.0,5.0,2.0,2.0,7.0,1.0,,,1.0,,,,,
250,Felipe dos Reis Pereira Vizeu do Carmo,F. Vizeu,0.0,Felipe Vizeu,Criciúma,False,0.65,0.0,10,5,5,288,2,94138,,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_CKkxA4v.png,3.45,felipe-vizeu,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,
251,Maycon de Andrade Barberan,Maycon,0.0,Maycon,Corinthians,False,0.2,0.0,10,4,5,264,2,94154,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fb3TwT8.png,4.65,maycon,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,
252,Raphael Cavalcante Veiga,R. Veiga,2.25,Raphael Veiga,Palmeiras,True,4.04,14.3,10,4,7,275,9,94509,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XOXiO3C.png,13.01,raphael-veiga,,,,1.0,,,9.0,6.0,6.0,15.0,11.0,1.0,3.0,,,,1.0,,,
253,Pedro Guilherme Abreu dos Santos,Pedro,0.81,Pedro,Flamengo,True,6.99,7.9,10,5,7,262,10,94583,,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_xrhSS2w.png,13.56,pedro,,,,1.0,,,6.0,8.0,8.0,7.0,14.0,3.0,,,4.0,,,,,
254,Rodrigo Andrés Battaglia,Battaglia,0.5,Battaglia,Atlético-MG,True,-0.47,1.1,10,4,6,282,6,94845,,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_XVs5pqz.png,1.89,battaglia,,,,1.0,,,4.0,12.0,1.0,1.0,2.0,,,,,2.0,,,,
255,Eduardo Germán Coudet,E. Coudet,0.86,Eduardo Coudet,Internacional,True,5.27,8.02,10,6,7,285,8,94853,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_apsV9qH.png,9.92,eduardo-coudet,,,,,,,,,,,,,,,,,,,4.0,
256,Lucas Fernandes da Silva,L. Fernandes,0.0,Lucas Fernandes,Cuiabá,False,1.2,0.0,10,4,6,1371,4,94931,,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Bzva6ru.png,4.39,lucas-fernandes,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,
257,Luis Antônio da Rocha Júnior,J. Capixaba,0.08,Juninho Capixaba,Bragantino,True,5.86,7.2,10,2,7,280,8,94968,,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_U4Lwrth.png,11.66,juninho-capixaba,,,2.0,3.0,,,26.0,12.0,1.0,2.0,19.0,,,,,,,,,
258,Gabriel Pereira Taliari,G. Taliari,-0.15,Gabriel Taliari,Juventude,True,0.25,0.5,10,5,6,286,2,95131,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vGTDrZr.png,2.55,gabriel-taliari,,,,,,,,,,,1.0,,,,,,,,,
259,Gregore de Magalhães da Silva,Gregore,0.76,Gregore,Botafogo,True,1.39,3.3,10,4,7,263,9,95464,,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_OoYMXid.png,3.89,gregore,,,,2.0,,,16.0,23.0,1.0,,2.0,,,,,,,,,
260,Igor Vinícius de Souza,I. Vinícius,-0.56,Igor Vinícius,São Paulo,True,4.53,1.0,10,2,7,276,9,95466,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_DKQOGT2.png,5.69,igor-vinicius,,,3.0,3.0,,,12.0,7.0,1.0,1.0,19.0,,,1.0,1.0,,,,,1.0
261,Raniele Almeida Melo,Raniele,-1.19,Raniele,Corinthians,True,3.67,0.6,10,4,7,264,9,95556,,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wftQgQv.png,6.46,raniele,,,,3.0,,,18.0,10.0,4.0,2.0,16.0,,,1.0,,,,,,
